SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
124051470,39,27,6,3,80,55,20,8,8,86,110,60,13,8,193,85,24,15,9,135,74,39,12,7,127,30,15,5,8,59,26,33,6,4,74,6,15,0,3,29,19,19,13,4,56,8,4,0,0,13,522,288,106,59,977
124051580,33,29,10,7,74,54,15,11,5,91,93,45,26,9,175,57,36,15,3,114,55,21,3,3,87,22,14,8,5,44,12,9,5,0,24,4,10,3,4,17,17,10,4,5,33,6,3,4,3,20,446,243,100,66,865
124051581,51,28,24,11,110,77,19,10,8,118,166,52,23,8,248,106,47,13,7,166,57,21,10,4,96,32,15,0,0,50,20,14,0,5,43,4,0,0,0,13,31,26,13,5,76,21,6,0,0,30,702,299,117,62,1171
125011475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125011582,26,12,5,0,39,36,15,5,8,62,64,32,10,4,116,37,18,9,9,71,36,9,4,3,49,9,10,0,4,26,9,6,4,5,29,5,3,7,0,15,16,6,5,9,29,5,6,0,0,11,326,173,59,49,605
125011583,21,4,4,0,26,24,14,0,0,38,31,21,0,3,57,22,3,0,5,29,5,10,0,0,17,7,4,0,0,16,0,6,0,0,4,3,0,0,0,6,10,0,0,0,12,0,0,0,0,0,168,82,29,17,290
125011584,8,4,4,3,22,18,5,7,4,35,36,13,3,4,56,25,5,8,0,37,18,5,0,4,32,9,3,0,0,12,6,0,5,0,15,4,4,0,0,8,8,4,0,0,19,7,0,0,0,10,175,82,32,21,315
125011585,16,9,3,0,32,18,11,0,0,31,53,18,0,4,72,34,17,3,4,57,22,6,5,0,40,10,0,6,0,20,7,13,0,0,21,6,4,3,3,14,8,5,4,3,22,0,0,0,0,7,225,105,35,16,383
125011586,34,11,11,5,60,39,11,3,3,53,106,35,14,3,157,66,25,6,4,104,57,21,4,5,82,41,7,5,0,58,21,22,3,0,45,13,18,3,6,34,12,15,6,0,37,8,5,0,0,18,493,207,61,24,777
125011587,9,3,5,3,12,23,9,5,0,28,30,9,3,3,44,12,4,4,4,24,12,5,5,0,29,0,0,3,0,9,7,0,0,0,13,0,7,0,0,11,5,0,0,0,6,0,0,0,0,0,132,45,23,13,215
125011709,6,4,0,0,11,5,4,0,0,16,29,11,3,0,45,25,10,4,0,42,28,6,7,0,37,14,6,0,0,20,11,8,0,0,16,11,10,3,0,19,8,5,0,0,8,0,0,0,0,3,151,77,18,9,255
125011710,21,0,3,0,27,30,8,0,0,39,88,17,4,0,115,65,22,0,0,89,54,7,0,0,70,29,6,0,0,36,19,13,0,0,30,14,3,0,0,23,15,10,0,0,28,3,0,0,0,8,447,117,17,3,593
125021477,47,19,5,0,68,56,23,4,3,95,137,51,9,3,194,78,32,10,4,128,79,40,13,0,130,38,22,3,0,66,26,25,10,4,68,13,16,3,4,41,26,18,10,5,58,9,8,0,0,17,617,319,81,28,1043
125021478,30,18,6,5,58,39,9,7,0,62,80,47,8,8,139,78,28,5,0,108,62,22,8,0,89,28,14,4,0,49,14,13,5,0,39,22,12,16,3,55,20,12,5,3,39,8,3,0,0,12,475,224,69,22,789
125021711,16,8,3,0,25,12,14,8,0,31,58,13,0,0,73,29,25,5,0,50,33,21,6,0,53,20,4,0,0,27,9,16,3,0,23,16,14,10,0,34,6,8,9,0,22,7,0,0,0,14,243,135,38,4,421
125021712,25,15,6,0,45,39,17,0,0,62,73,40,3,5,118,74,33,3,0,112,72,30,6,0,105,31,17,4,0,48,21,16,0,0,37,9,15,4,0,36,8,14,0,0,27,4,3,0,0,5,421,230,41,10,701
125031479,54,17,17,9,96,62,30,14,11,115,109,60,18,15,198,67,39,15,5,130,35,27,7,4,79,33,14,7,3,55,18,30,10,3,56,5,13,14,10,34,22,15,3,3,43,10,7,4,6,21,501,309,146,88,1047
125031480,35,21,4,0,64,62,12,7,7,85,88,39,18,8,155,50,27,9,5,92,35,29,12,7,75,14,15,11,4,40,12,16,0,0,30,9,10,5,0,21,14,14,6,0,44,10,4,3,0,18,435,241,95,54,826
125031481,37,27,6,6,68,44,17,3,6,76,104,40,6,17,169,61,27,4,5,103,46,24,6,3,77,32,14,5,3,54,16,13,8,0,38,12,13,7,0,25,16,18,9,3,47,13,4,0,0,17,487,236,83,64,867
125031483,55,14,12,7,94,60,10,15,10,97,97,44,17,17,179,59,39,12,10,116,34,17,14,3,69,14,14,3,7,38,20,8,9,6,41,7,14,3,3,27,19,27,8,8,60,12,6,0,7,23,494,247,134,103,979
125031484,38,20,18,7,88,55,21,14,7,92,101,67,20,20,210,81,39,19,11,142,58,29,10,7,119,32,19,4,10,65,14,21,11,6,57,8,10,11,3,40,20,23,11,9,57,5,0,4,0,7,546,312,151,96,1106
125031486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125031487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125031713,18,13,6,0,40,37,10,6,7,63,74,41,17,3,137,55,27,10,0,97,46,35,6,3,89,17,13,3,0,40,32,20,5,0,56,10,12,4,0,24,17,20,6,6,52,0,0,0,0,9,369,217,89,30,709
125031714,40,15,3,3,68,76,16,3,4,101,116,48,21,8,197,83,29,14,9,135,56,33,7,3,98,30,22,0,6,51,15,20,4,5,48,14,11,16,5,43,18,17,4,5,44,15,7,5,0,23,602,278,107,66,1054
125031715,13,11,6,0,29,9,8,0,5,26,58,17,8,5,79,34,22,9,0,62,25,16,9,3,52,21,14,0,0,36,10,12,8,4,35,7,10,12,4,28,6,10,6,0,20,5,5,0,0,7,217,143,56,20,434
125031716,13,4,3,0,19,12,6,7,0,24,43,17,6,3,69,28,16,8,0,46,17,14,6,3,38,15,6,3,0,23,8,8,5,0,22,5,5,5,0,11,8,6,6,0,26,0,3,4,0,7,184,92,45,14,335
125041489,31,18,5,4,64,52,25,6,0,90,113,28,4,3,152,96,40,3,4,141,73,26,9,5,106,30,17,5,5,53,37,14,6,0,54,17,8,4,0,32,19,14,7,0,38,0,0,0,0,9,591,242,50,18,895
125041490,10,0,0,0,13,22,6,3,0,27,29,7,3,0,42,24,7,4,3,36,22,10,4,0,34,15,6,0,0,24,12,8,0,0,27,7,3,0,0,14,4,3,9,0,20,0,0,0,0,0,163,68,30,4,267
125041491,38,13,7,0,55,37,11,5,0,52,102,25,5,5,139,64,37,7,4,110,47,23,9,0,83,35,11,3,0,46,34,14,5,6,57,16,6,0,0,26,16,17,6,3,45,7,0,0,0,7,460,185,51,16,711
125041493,27,21,7,5,60,48,11,3,0,72,113,55,15,5,183,85,40,9,0,135,68,29,7,0,106,35,20,9,0,66,30,22,3,3,57,20,19,3,4,47,30,10,9,5,57,3,5,0,0,10,530,276,75,39,918
125041494,7,5,0,0,11,15,9,0,0,22,33,16,3,0,60,36,13,5,0,52,29,30,9,0,61,11,11,0,0,26,19,11,4,0,33,9,17,3,0,24,14,13,5,0,28,4,0,0,0,5,194,133,38,8,366
125041588,19,8,0,0,30,21,10,0,4,39,52,20,0,4,77,29,15,0,4,52,31,10,5,0,48,14,9,0,0,26,10,15,0,0,24,4,3,0,0,10,7,9,0,0,22,3,0,0,0,9,239,121,25,22,404
125041589,23,8,5,3,36,42,15,0,0,61,96,20,5,0,125,66,21,9,4,95,47,10,4,0,67,20,11,8,0,28,12,18,0,0,33,9,6,0,0,17,14,4,0,0,25,8,0,0,0,9,419,142,43,21,620
125041717,14,5,0,0,13,19,3,0,0,26,35,7,3,0,51,36,6,0,0,39,31,6,0,0,34,10,0,0,0,15,8,4,0,0,8,6,4,0,0,12,3,0,0,0,7,0,0,0,0,3,194,42,12,0,248
125041718,11,10,0,0,18,30,4,5,0,34,39,12,3,0,52,21,10,3,0,38,15,5,0,0,21,16,5,5,0,22,10,0,3,0,14,0,0,0,0,3,10,0,0,0,10,0,0,0,0,3,198,58,24,3,281
125041719,12,5,4,0,16,16,3,0,0,22,52,7,0,0,61,25,6,4,0,33,20,3,0,0,26,3,4,0,0,5,3,3,0,0,7,11,5,0,0,19,5,3,0,0,13,7,3,0,0,18,180,54,15,9,267
126011496,14,15,3,0,33,20,6,4,0,31,61,25,4,0,94,48,18,6,0,73,51,37,11,0,98,31,11,0,0,48,34,24,14,0,69,19,35,5,0,60,23,15,11,4,52,8,0,0,0,8,351,205,56,13,630
126011720,14,5,0,0,27,26,4,0,0,35,60,20,0,0,80,39,14,0,0,52,40,13,4,0,56,30,5,0,0,37,20,6,0,0,29,19,10,0,0,33,12,9,3,0,26,0,0,0,0,0,304,116,23,0,447
126011721,14,17,4,0,34,29,12,3,0,45,87,16,7,0,108,69,23,0,0,96,51,30,4,0,83,31,3,0,0,35,17,17,4,0,41,20,14,4,0,42,10,10,4,0,24,8,0,0,0,8,445,172,33,0,658
126021498,22,5,0,0,31,30,0,0,0,36,53,19,5,0,78,45,14,8,0,65,44,35,5,0,82,24,6,0,0,33,27,26,5,0,51,39,13,7,0,60,15,19,6,0,37,5,5,0,0,6,338,159,37,3,537
126021499,3,5,5,0,9,7,3,0,0,10,22,4,0,0,24,13,12,0,0,26,15,7,0,0,25,6,5,0,0,15,19,7,5,0,30,29,17,8,0,55,10,3,3,4,18,0,0,0,0,0,147,75,23,8,253
126021500,29,12,3,0,43,37,15,0,0,55,106,35,7,0,147,75,20,6,0,103,71,28,6,0,107,26,7,0,0,35,22,15,3,0,45,24,17,5,0,38,18,17,4,4,44,0,0,0,0,10,501,188,40,9,741
126021501,21,3,0,0,25,21,5,0,0,27,62,19,0,0,89,50,21,3,0,77,37,26,10,0,66,14,10,4,0,28,16,18,4,0,43,24,16,0,0,44,14,5,9,0,29,4,0,0,0,3,301,157,28,4,489
126021503,38,12,0,0,51,35,3,3,0,43,92,42,0,0,139,66,23,3,0,95,49,23,0,0,75,34,18,5,0,61,21,23,6,0,43,20,15,4,0,38,20,17,0,0,40,0,0,0,0,0,434,205,34,13,684
126021590,4,0,0,0,4,5,5,0,0,3,16,7,0,0,19,10,6,0,0,14,14,3,0,0,21,0,0,0,0,7,8,10,0,0,9,3,14,6,0,26,0,0,4,0,3,0,0,0,0,0,60,43,7,0,116
126021722,7,6,0,0,9,10,3,0,0,15,27,6,0,0,36,15,7,0,0,29,13,14,3,0,28,9,0,3,0,16,11,8,0,0,22,6,6,4,0,19,5,4,4,0,14,4,0,0,0,4,123,64,12,0,208
126021723,23,9,0,0,31,46,11,0,0,57,92,21,5,0,117,67,26,6,0,98,42,25,6,3,78,29,8,3,0,41,17,18,6,0,37,23,5,0,0,35,18,14,3,0,33,3,0,0,0,3,437,170,31,12,648
126021724,38,16,0,0,55,54,11,3,0,68,85,38,8,4,133,60,32,6,0,99,71,27,3,0,106,25,14,3,0,44,29,18,0,3,54,20,27,5,4,50,23,11,9,0,45,5,3,0,0,7,488,227,48,11,779
126021725,15,10,0,0,25,19,8,4,0,33,47,20,0,0,64,31,16,0,0,46,34,16,3,0,52,18,10,3,0,24,18,5,0,0,23,17,5,0,0,20,6,7,0,0,15,7,0,0,0,7,232,108,15,3,356
127011504,64,24,24,15,130,86,40,25,21,172,130,70,40,17,259,62,33,15,14,133,38,39,14,9,92,14,11,11,6,41,5,16,4,5,34,8,13,7,0,24,18,28,15,14,75,21,5,4,0,32,646,391,217,136,1393
127011505,12,11,6,0,40,20,8,5,0,35,49,26,13,3,94,27,13,9,0,57,24,11,9,3,48,11,11,4,0,34,9,9,6,0,32,0,7,0,7,13,11,14,8,4,29,5,0,0,0,3,214,142,78,28,458
127011592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127011593,3,10,0,0,18,11,6,5,0,27,23,11,6,3,54,20,10,9,0,38,13,10,4,3,31,12,7,3,0,19,6,12,10,3,24,0,7,10,5,26,3,4,6,0,15,3,6,0,0,8,109,103,55,18,285
127011594,27,29,9,0,64,32,16,3,6,61,69,34,15,5,131,43,23,16,0,88,28,28,6,0,66,10,19,0,3,33,13,25,4,4,46,0,10,3,12,26,21,11,8,3,44,7,4,0,0,12,311,244,96,48,691
127011595,26,12,10,0,49,34,10,6,6,53,65,34,15,3,110,36,29,17,8,86,40,23,14,3,76,23,15,9,0,45,17,13,6,0,40,7,12,0,0,11,10,11,7,0,34,0,3,0,0,5,312,197,92,31,616
127011596,19,20,5,0,46,16,15,5,4,49,54,32,8,0,101,36,20,18,3,75,25,17,4,7,57,15,17,4,5,34,10,22,0,3,33,0,6,5,3,23,14,15,11,5,47,0,0,0,0,0,218,199,82,42,536
127011597,11,16,9,7,50,17,11,7,0,41,55,36,17,8,119,48,23,11,5,91,45,36,10,8,102,25,18,3,0,39,23,26,5,6,64,4,12,7,3,25,14,16,9,3,39,5,3,0,3,16,274,238,107,58,675
127011726,4,6,0,0,10,3,0,0,0,9,15,5,4,3,22,18,5,6,0,31,10,6,4,0,20,0,7,4,0,12,4,4,0,0,11,5,0,0,0,10,4,4,0,0,13,3,0,0,0,3,83,40,28,8,156
127011727,12,16,3,4,35,14,12,4,5,31,44,38,21,3,102,33,17,3,5,57,34,22,6,3,70,17,9,10,0,33,4,17,5,3,29,3,10,4,0,21,4,9,9,0,25,4,0,0,0,4,191,177,73,26,470
127011728,8,4,0,0,20,11,10,3,0,25,38,21,10,6,74,28,29,10,0,59,20,21,5,3,51,3,8,4,0,18,6,8,8,0,22,3,9,4,4,15,3,6,0,3,13,0,0,0,0,3,146,130,60,18,357
127011729,13,17,10,5,51,28,12,10,7,52,59,51,11,9,132,51,38,11,10,109,41,31,12,0,84,12,14,8,5,41,16,20,3,5,40,9,10,7,3,26,7,10,6,0,24,0,0,0,0,4,281,245,97,49,667
127021509,33,20,23,8,86,48,20,12,10,85,138,75,32,17,260,60,49,18,3,131,51,39,17,4,110,25,23,7,3,53,11,22,12,5,56,3,10,5,5,30,33,15,8,4,69,12,3,0,0,16,530,370,177,78,1156
127021510,24,12,6,3,47,51,17,5,6,78,106,57,15,3,184,52,32,9,8,96,54,30,15,10,101,32,27,8,0,64,16,18,7,7,53,13,18,8,4,37,13,16,10,9,38,10,5,3,0,13,424,263,92,48,830
127021511,88,46,16,3,146,113,41,9,7,172,195,88,35,3,326,104,58,24,6,193,68,45,10,4,131,30,23,9,3,65,22,21,6,8,57,7,11,10,9,29,30,32,6,5,69,17,8,0,0,32,939,517,160,62,1676
127021512,58,32,11,5,104,94,29,17,11,149,128,66,25,9,238,81,49,19,13,160,44,34,15,3,102,22,25,10,5,61,17,29,10,6,59,8,11,9,4,30,32,10,10,6,63,8,7,0,4,25,652,402,152,70,1269
127021513,62,39,15,4,117,95,34,18,12,154,175,88,21,14,302,101,64,25,3,197,71,36,14,6,123,20,32,6,4,68,18,34,10,4,68,10,10,5,3,32,23,24,11,10,62,13,4,0,3,24,777,490,162,63,1494
127021514,14,10,4,5,32,36,7,3,5,48,64,26,16,3,107,29,17,5,0,59,21,25,3,0,56,16,18,11,3,42,10,16,4,0,30,10,13,3,3,25,3,12,0,0,19,0,3,0,0,9,253,158,64,28,505
127021515,55,21,15,9,92,106,35,11,7,159,173,68,11,3,259,79,39,14,3,140,37,26,5,8,75,21,16,11,0,43,13,15,10,5,42,3,11,0,4,21,23,20,4,4,53,19,5,0,0,23,649,337,96,49,1143
127021516,35,27,11,11,78,74,28,12,10,124,137,67,37,9,245,71,45,19,12,142,44,41,17,5,106,27,21,7,4,62,10,15,14,7,39,3,18,5,0,25,31,19,8,3,58,12,8,4,3,25,535,362,169,75,1142
127021517,15,8,0,0,27,35,14,0,0,57,55,32,11,4,95,34,16,4,0,52,26,13,8,0,46,15,14,3,0,37,11,15,0,0,26,6,0,5,3,10,3,6,0,0,14,7,6,0,0,8,232,149,54,16,458
127021518,0,8,0,0,8,7,3,0,0,18,14,5,0,0,25,12,4,0,0,18,5,3,0,0,6,9,5,0,0,10,6,6,0,0,19,7,3,0,0,8,0,0,5,3,8,0,3,0,0,4,77,44,13,6,141
127021519,40,14,15,3,69,63,12,13,3,94,123,66,23,5,223,82,56,24,7,167,53,29,9,8,99,28,19,9,6,61,17,19,8,6,49,7,12,13,3,36,7,18,11,5,44,14,10,0,0,23,535,330,148,56,1065
127021520,19,19,4,0,45,22,22,3,0,51,68,48,14,5,131,60,29,10,3,106,38,20,10,0,64,19,19,0,0,41,17,17,4,0,41,7,9,4,7,23,9,9,4,0,22,0,4,0,0,4,312,219,57,26,612
127021521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127031522,26,23,4,5,67,51,14,7,5,78,86,37,8,4,140,56,31,6,10,104,43,21,3,8,69,19,14,6,4,41,15,18,6,0,39,9,12,5,4,30,21,15,6,8,44,7,7,0,4,14,409,232,82,57,780
127031523,25,22,10,7,60,52,18,13,5,84,109,40,9,3,165,67,34,15,8,121,59,30,8,0,93,32,12,5,0,54,34,21,3,0,56,18,14,8,0,38,12,16,14,0,44,5,0,3,0,13,485,245,94,40,863
127031524,19,13,9,0,38,38,25,8,5,70,76,35,10,7,123,74,42,15,0,128,60,39,9,6,110,27,19,4,0,52,25,26,3,4,62,13,26,5,0,38,21,18,6,3,50,6,0,0,0,4,395,263,79,29,766
127031599,37,24,17,6,81,73,19,10,10,110,98,31,14,12,158,56,26,7,12,94,21,12,9,4,45,11,10,10,3,29,4,6,4,3,20,6,0,5,0,11,22,4,7,5,36,17,3,0,0,25,431,198,103,60,796
127031601,20,4,6,0,30,32,6,4,3,41,58,14,4,4,78,30,10,0,0,38,27,4,0,0,32,5,4,0,0,8,3,0,0,0,3,0,4,0,0,3,7,3,4,3,23,3,4,0,0,9,235,69,37,11,352
127031730,6,8,3,0,12,13,9,6,0,25,31,14,4,0,56,24,23,7,4,55,15,12,6,0,30,10,17,0,3,31,3,10,4,5,27,3,11,3,0,24,3,3,0,0,11,3,0,0,0,4,136,113,45,21,314
127031731,57,25,12,0,91,72,24,8,4,109,135,58,6,3,205,79,36,13,0,121,57,26,3,5,86,20,10,0,0,38,11,12,0,0,24,0,4,0,0,15,22,9,9,3,42,16,7,3,0,21,594,284,78,29,979
127031732,45,20,7,8,78,61,16,9,3,90,109,32,10,12,161,53,22,6,3,86,46,25,7,0,82,15,8,9,7,45,9,14,4,0,26,9,11,0,0,16,10,8,7,4,27,7,7,0,0,20,453,222,80,55,808
127031733,20,3,5,7,30,20,11,10,9,48,61,49,16,16,132,56,29,7,5,100,35,19,15,3,65,24,9,6,3,44,6,20,12,4,38,3,11,7,3,29,11,8,5,0,32,7,0,4,0,12,267,196,92,59,619
128011529,23,11,5,0,36,40,9,4,0,54,69,32,5,0,103,56,25,5,0,96,47,48,6,0,100,30,10,7,4,47,25,16,0,0,43,17,16,8,0,47,18,16,11,0,48,5,0,0,0,5,372,203,59,6,639
128011530,30,22,7,0,64,42,15,8,3,63,101,50,13,0,169,77,35,11,5,128,71,31,3,0,103,41,14,3,5,57,37,19,0,3,59,25,19,4,0,48,40,20,11,0,68,3,3,0,0,10,533,258,64,24,876
