SA2_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
101021007,4,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,26,34,35,58,27,9,3,0,0,3,213,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,8,0,7,3,0,0,0,0,0,20,0,0,0,3,0,3,4,0,0,0,0,0,23,0,0,0,4,0,4,10,3,0,0,0,0,23,0,0,0,0,0,4,7,4,0,0,0,0,16,0,0,0,0,0,7,5,6,0,0,0,3,22,0,0,0,4,3,6,9,5,0,0,0,0,19,0,0,0,4,0,3,10,11,0,0,0,0,27,0,0,0,0,0,3,13,0,0,0,0,5,23,0,0,0,0,0,0,0,4,0,0
101021008,5,9,14,6,0,0,13,57,0,0,8,0,3,5,3,4,3,0,0,11,42,27,69,89,104,64,81,155,213,65,12,4,42,926,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,11,11,0,7,0,0,0,0,0,0,30,0,0,21,9,0,6,4,0,0,0,0,0,47,0,0,21,27,4,5,4,3,3,0,0,3,71,0,0,12,8,5,6,4,5,0,0,0,0,45,0,0,6,19,17,9,8,12,3,0,0,8,79,0,0,0,8,9,8,15,19,0,0,0,4,70,0,0,0,7,6,13,16,22,5,0,0,3,80,0,0,0,7,0,12,8,43,6,0,0,3,77,0,0,0,11,6,7,22,51,17,0,0,4,112,0,0,0,0,3,4,7,43,22,3,4,3,86,0,0,0,0,0,3,5,22,9,3
101021009,7,19,20,16,0,0,4,76,0,4,4,7,4,0,4,0,3,0,0,8,41,24,73,85,180,160,281,382,324,115,13,16,64,1714,0,0,0,4,0,3,3,3,0,0,0,0,20,0,4,0,0,5,3,0,0,0,0,0,0,17,5,4,10,7,8,0,10,0,0,0,0,3,54,0,0,29,15,8,9,12,8,0,0,0,3,83,0,0,31,33,20,18,14,14,0,0,0,3,137,0,0,0,27,11,32,16,24,0,0,0,3,112,0,0,3,29,31,38,35,21,3,0,0,4,159,0,3,0,32,39,53,29,24,5,4,0,0,185,0,0,5,20,32,60,47,58,10,0,0,4,235,0,0,0,15,30,42,78,59,11,3,3,4,243,0,0,3,15,28,54,83,102,22,0,0,0,308,0,0,4,4,8,30,39,102,29,3,0,0,223,0,0,0,0,0,11,12,37,21,3
101021010,9,13,9,4,0,0,0,40,0,0,0,0,0,0,0,0,3,0,0,0,8,16,16,50,109,97,129,186,138,47,15,14,20,847,0,0,0,5,3,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,4,4,0,4,0,0,0,0,0,16,0,0,3,4,5,3,9,3,0,0,0,5,31,0,0,4,19,6,9,5,3,0,0,0,5,54,0,0,0,18,13,15,4,4,0,0,0,3,55,0,0,3,17,19,19,11,9,0,0,0,0,73,0,0,5,10,19,22,21,4,0,0,0,0,85,0,0,0,8,23,39,28,20,8,0,0,0,124,0,0,0,11,5,16,26,25,9,0,0,0,95,0,0,0,6,16,23,23,30,8,0,0,0,119,0,0,0,4,4,11,36,30,10,4,0,0,101,0,0,0,0,0,0,3,12,7,5
101021012,18,16,18,9,8,0,11,91,3,0,0,0,0,0,0,0,0,0,0,6,11,9,17,40,69,67,114,195,228,139,74,36,37,1024,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,4,0,0,0,0,0,16,0,0,5,0,0,4,0,3,0,0,0,0,16,0,0,6,0,0,3,0,3,0,0,0,0,21,0,0,0,7,4,6,4,0,0,0,0,5,23,0,0,0,3,5,7,4,13,5,0,0,0,30,0,0,0,0,0,6,14,11,8,0,0,0,45,0,0,0,0,5,5,9,20,8,3,0,4,57,0,0,0,3,3,12,11,33,11,3,0,0,73,0,0,0,0,3,11,20,54,21,6,5,0,126,0,0,4,6,0,14,32,45,34,26,9,4,179,0,0,0,0,0,15,17,19,26,10
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
101021611,7,3,0,9,5,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,4,17,9,21,32,25,48,84,102,57,45,21,25,480,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,3,4,4,6,3,5,3,0,0,0,26,0,0,0,0,0,4,3,3,6,0,0,0,20,0,0,0,3,0,7,5,4,3,0,0,0,21,0,0,5,8,3,6,0,6,4,4,4,0,33,0,0,3,0,6,0,7,4,4,3,0,4,27,0,0,0,0,0,4,12,10,8,3,0,0,40,3,0,0,0,0,12,7,22,11,8,0,0,64,0,0,0,0,0,3,8,26,23,14,5,0,81,0,0,0,0,0,0,6,13,4,11
101031013,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,21,15,56,44,12,0,0,0,0,0,0,15,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,7,0,0,0,0,0,0,0,0,12,0,0,3,0,8,0,0,0,0,0,0,0,19,4,0,3,9,3,6,0,0,0,0,0,0,19,0,0,4,7,3,0,0,0,0,0,0,0,19,0,3,4,3,3,3,0,0,0,0,0,0,18,0,0,0,3,5,0,0,0,0,0,0,0,16,0,0,0,9,3,0,0,0,0,0,0,0,16,0,0,0,0,3,4,0,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,0
101031014,6,5,3,0,0,0,0,36,0,3,0,4,3,0,0,0,0,0,0,4,28,23,61,166,169,107,138,65,16,3,6,12,26,782,0,0,0,0,0,6,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,11,12,5,10,0,0,0,0,0,3,43,0,4,21,18,13,10,0,0,0,0,0,0,62,0,0,30,24,16,18,6,0,0,0,0,0,106,0,0,4,15,12,19,6,0,0,0,0,0,65,4,6,4,18,18,23,10,0,0,0,0,5,82,0,0,9,17,14,20,6,0,0,0,0,0,63,0,5,0,8,12,23,22,4,0,0,0,5,75,0,0,7,4,5,19,15,4,0,0,0,0,53,0,0,4,3,6,27,20,3,0,0,0,0,69,0,0,0,7,3,17,11,10,0,0,0,0,46,0,0,0,0,0,5,7,0,0,0
101031015,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,25,30,12,15,13,13,3,0,4,16,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,3,6,4,4,0,0,0,0,0,0,18,0,4,0,0,0,0,3,0,0,0,0,0,15,0,0,0,3,3,6,0,3,0,0,0,0,15,0,0,3,0,4,0,0,4,0,0,0,0,8,0,0,0,3,3,0,3,0,0,0,5,3,13,0,0,0,0,0,3,0,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,0
