SA2_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
101021007,0,6,0,8,8,6,13,3,0,52,0,0,0,0,0,4,0,3,0,9,220,130,112,157,293,383,314,234,61,1895,3,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,4,4,0,0,12,0,3,0,0,3,0,4,0,0,18,406,144,204,233,281,307,250,89,16,1926,68,21,42,53,62,83,66,46,11,448,695,295,369,455,641,785,643,380,88,4343
101021008,30,28,37,37,35,41,30,5,0,238,0,0,0,0,0,0,0,0,0,0,686,458,455,545,644,724,563,308,80,4468,21,13,58,19,6,9,0,0,0,133,21,0,11,13,8,6,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,34,11,5,0,0,0,0,76,0,4,12,6,9,7,0,0,0,42,20,8,48,17,13,7,0,0,0,121,725,446,554,433,398,259,130,48,9,3004,133,71,124,95,70,77,52,26,10,648,1617,1009,1265,1133,1148,1094,752,385,99,8517
101021009,48,25,48,60,26,34,31,22,6,300,0,0,0,0,0,0,3,0,0,7,645,412,566,624,690,730,612,410,255,4945,119,41,360,99,18,6,0,0,0,645,104,13,128,64,15,3,9,0,0,342,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,65,12,156,55,5,0,4,0,0,304,5,3,14,8,5,4,0,0,0,40,68,15,167,66,11,3,4,0,0,337,694,563,948,663,553,404,210,76,38,4147,99,71,164,94,82,82,78,54,42,764,1738,1127,2368,1647,1393,1259,926,552,347,11342
101021010,23,19,21,21,17,16,4,0,0,128,0,0,0,0,0,0,0,0,0,4,320,201,307,282,358,360,233,129,45,2233,34,21,93,41,10,3,0,0,0,200,51,9,71,30,11,4,0,0,0,173,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,26,12,40,23,5,0,0,0,0,107,0,5,14,6,7,3,3,0,0,33,25,9,49,31,13,3,3,0,0,135,324,253,469,311,218,182,123,54,7,1949,33,28,89,45,43,59,26,14,6,337,788,530,1093,744,660,619,390,201,58,5085
101021012,77,37,40,51,59,45,30,16,0,356,0,0,0,0,0,0,0,0,0,6,1268,894,612,843,1321,1034,574,258,66,6872,50,16,42,61,19,6,6,0,0,202,29,12,27,14,17,10,8,0,0,117,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,27,4,18,17,0,11,0,0,0,79,7,7,9,4,6,6,3,0,0,43,29,15,23,27,9,15,5,3,0,130,1197,668,691,752,703,507,195,46,10,4762,136,61,88,83,70,74,23,9,3,556,2718,1670,1479,1806,2169,1670,821,328,79,12744
101021610,47,31,30,43,26,4,0,0,0,183,0,0,0,0,0,0,0,0,0,3,915,257,571,618,413,168,105,36,4,3093,85,8,48,80,13,4,5,0,0,243,56,14,24,33,14,5,4,0,0,154,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,46,11,35,43,5,10,3,0,0,150,0,0,0,5,0,0,0,0,0,7,46,11,35,42,6,10,3,0,0,157,678,177,551,487,218,86,30,7,0,2227,67,25,59,63,29,15,19,0,0,287,1874,496,1299,1347,700,291,169,49,6,6224
101021611,77,44,22,47,51,46,41,4,3,335,5,4,0,3,6,3,5,0,0,20,1371,827,575,910,1353,1385,984,415,77,7893,9,0,0,6,4,0,0,0,0,23,4,6,6,5,5,4,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,13,6,0,7,14,15,5,8,0,0,58,6,9,12,16,14,12,6,0,0,73,1610,870,908,989,1129,929,610,193,26,7258,197,129,125,138,170,212,133,46,6,1162,3204,1853,1628,2079,2694,2560,1751,659,109,16539
101031013,3,0,3,9,7,3,8,0,0,29,0,0,0,0,0,0,0,0,0,0,183,113,96,138,171,255,269,161,60,1438,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,186,80,99,86,75,87,82,26,8,723,41,30,29,27,39,41,30,18,7,263,411,217,236,250,287,396,386,200,76,2454
101031014,28,11,15,14,12,18,11,5,0,99,0,0,0,0,0,0,0,0,0,0,439,244,254,293,421,555,515,409,188,3329,11,5,23,14,6,0,3,0,0,67,17,3,19,17,0,5,4,0,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,15,7,5,3,6,10,0,0,0,0,29,4,5,5,15,10,0,3,0,0,40,530,344,409,321,279,297,180,94,31,2487,76,56,130,136,107,71,52,36,22,680,1102,656,860,819,829,943,765,545,244,6761
101031015,10,12,6,4,15,13,9,4,0,72,0,0,0,0,0,0,0,0,0,0,229,144,94,162,303,365,276,189,43,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,4,7,4,0,0,19,0,0,0,0,4,7,4,0,0,26,267,140,143,116,193,192,144,53,12,1256,49,28,39,40,47,59,44,39,8,367,545,316,286,318,560,629,477,283,66,3472
