SA2_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
122021421,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,5,0,0,9,3,0,0,6,4,0,10,0,0,0,7,0,0,7,10,0,0,11,3,3,19,6,0,0,17,3,0,31,33,0,0,29,6,0,66,27,0,0,17,0,0,45,24,0,0,20,0,0,44,23,0,0,4,0,0,33,26,0,0,7,0,0,27,15,0,0,6,0,0,22,39,0,0,16,0,0,53,4,0,0,15,5,3,27,202,3,11,153,21,9,401,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,3,0,15,4,0,0,3,0,0,4,0,0,0,0,0,0,6,0,0,0,6,0,0,6,3,0,3,6,0,0,13,17,0,0,10,3,0,39,21,0,0,22,0,0,44,29,0,0,8,0,0,41,25,0,0,13,0,0,37,20,0,0,11,0,0,36,20,0,0,8
122021422,0,0,16,0,3,0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,0,0,5,0,0,11,6,0,0,16,0,0,23,9,0,0,18,3,0,29,61,0,0,33,3,0,97,132,0,0,56,3,0,196,129,0,0,46,0,0,171,69,0,0,19,3,0,93,67,0,0,24,0,0,94,44,0,0,3,0,0,51,23,0,0,9,0,0,35,50,0,0,22,0,0,70,12,0,0,10,0,0,35,612,4,16,277,14,6,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,11,0,0,0,3,0,0,3,4,0,0,3,0,0,9,20,0,0,23,0,0,39,105,0,0,26,0,0,128,122,0,0,48,4,0,171,80,0,0,26,3,0,110,63,0,0,22,0,0,83,65,0,0,12,0,0,71,37,0,0,15
122021690,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,4,0,0,22,4,3,0,29,11,0,0,15,4,0,28,29,0,0,38,3,0,74,135,0,3,47,3,0,187,131,0,0,71,7,0,207,117,0,0,40,0,0,159,69,0,0,13,0,0,94,55,0,0,20,0,0,78,35,0,0,3,0,0,34,33,0,0,7,0,0,40,11,0,3,12,0,0,28,635,4,30,287,28,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,4,0,0,3,0,0,0,10,0,0,0,10,0,0,10,4,0,19,3,0,0,20,7,0,0,11,0,0,21,51,0,0,34,0,0,84,138,0,0,41,0,0,178,131,0,0,45,4,0,180,82,0,0,31,0,0,112,91,0,0,14,0,0,104,50,0,0,14
122021691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,9,0,0,0,8,0,18,6,3,0,13,3,0,25,9,0,0,15,0,0,25,10,0,0,19,0,0,34,17,0,0,31,5,0,49,39,0,0,26,0,0,68,51,0,0,22,0,0,75,37,0,0,7,0,0,49,27,0,0,8,0,0,39,13,0,0,8,0,0,12,17,0,0,5,0,0,23,9,0,0,12,0,0,20,235,4,0,176,26,0,447,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,3,3,0,7,0,0,0,3,3,0,12,8,0,0,13,0,0,33,20,0,0,25,4,0,49,26,0,0,28,0,0,58,38,0,0,33,0,0,72,128,0,0,31,3,0,166,52,0,0,21,0,0,69,40,0,0,9
122031424,0,28,0,0,0,0,39,0,123,0,0,0,0,124,0,81,10,3,0,3,99,0,33,3,5,0,0,49,0,13,0,3,0,0,20,8,17,0,11,3,0,38,9,11,0,9,3,0,43,25,7,0,22,0,0,57,63,10,0,34,0,0,108,72,11,0,25,3,0,110,64,0,0,20,0,0,84,31,0,0,7,0,0,38,17,0,0,4,0,0,24,13,0,0,4,0,0,18,4,31,3,9,4,0,59,314,369,23,171,26,12,912,0,13,0,5,0,0,16,0,14,0,0,0,0,14,0,152,7,0,0,6,159,0,50,6,0,0,0,53,4,25,0,0,0,0,28,0,13,0,10,4,0,31,8,14,4,8,5,0,31,21,11,4,23,10,0,55,25,6,0,17,0,0,49,43,4,0,24,5,0,73,68,6,0,22,0,0,97,87,0,0,21,0,0,111,56,0,0,6
122031425,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,5,10,3,3,0,19,0,6,0,3,0,0,11,6,4,0,0,9,0,20,0,0,0,10,0,0,21,10,0,0,9,0,0,23,25,0,0,15,0,0,42,32,0,0,13,0,0,46,46,0,0,14,0,0,54,29,0,0,3,0,0,37,20,0,0,3,0,0,20,9,0,0,0,0,0,14,4,0,0,0,0,0,11,8,0,0,4,4,0,13,176,19,9,81,23,6,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,10,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,5,3,0,0,15,3,4,0,13,7,0,19,15,0,0,7,4,0,26,18,0,0,19,0,0,40,28,0,0,6,0,0,35,22,0,0,7,0,0,34,39,0,0,8,0,0,42,26,0,0,6
122031427,0,6,11,0,0,0,17,0,45,15,0,0,0,60,0,3,16,0,0,0,27,0,8,0,4,0,0,8,0,3,0,0,0,0,8,3,0,0,7,0,0,15,3,0,0,13,0,0,11,29,0,0,16,0,0,47,70,0,0,26,3,0,92,70,0,0,28,0,0,98,78,0,0,16,0,0,93,51,0,0,10,0,0,60,18,0,0,3,0,0,20,35,0,0,11,0,0,48,9,0,0,13,0,0,22,368,64,51,143,5,5,636,0,0,0,0,0,0,0,0,0,7,0,0,0,14,0,47,12,0,0,4,62,0,7,10,4,0,0,14,0,0,5,0,0,0,12,0,4,7,5,0,0,13,3,0,0,9,0,0,8,13,5,0,15,0,0,34,20,0,0,21,0,0,47,53,0,0,18,0,0,74,65,0,0,12,0,0,78,79,0,0,14,0,0,89,72,0,0,16
122031429,0,11,0,3,0,0,24,0,59,0,0,0,0,57,0,20,0,11,0,0,35,6,10,9,12,3,0,32,3,3,0,24,3,0,31,34,3,0,31,6,0,76,153,4,0,67,8,6,232,524,3,3,157,5,4,699,471,0,0,130,3,8,607,195,0,0,53,0,0,248,147,0,0,42,0,0,181,80,0,0,23,0,5,108,37,0,0,13,0,0,53,84,0,0,30,0,0,115,23,13,0,21,0,4,59,1762,120,20,617,30,22,2566,0,4,0,0,0,0,6,0,4,0,0,0,0,4,0,77,3,3,0,0,80,6,10,3,8,0,0,22,4,4,0,16,0,0,20,11,7,0,13,0,0,34,38,6,0,28,3,0,75,237,5,0,71,4,0,315,523,0,0,123,9,4,664,522,0,0,106,3,0,636,241,0,0,47,4,0,297,137,0,0,33,0,0,168,86,0,0,16
122031430,0,18,55,9,10,3,96,0,27,0,0,0,0,32,4,14,22,5,0,5,54,5,12,33,6,0,0,59,4,4,4,7,0,0,17,22,5,0,16,0,0,43,95,6,6,29,0,0,139,217,3,0,48,9,3,278,184,0,0,53,4,0,244,98,4,0,30,0,0,137,61,0,0,20,0,0,81,40,0,0,16,0,0,54,18,0,0,3,0,0,22,44,0,0,6,0,0,55,22,13,6,18,3,7,66,820,107,128,275,31,20,1374,0,6,20,3,0,0,31,0,8,45,3,4,4,66,0,37,3,0,0,0,50,0,11,26,3,4,4,51,4,12,12,9,3,0,35,5,10,3,8,3,0,29,20,0,0,15,0,0,42,135,4,5,32,3,0,183,255,3,0,58,4,0,313,161,0,0,30,0,0,187,121,0,0,15,0,0,137,74,0,0,18,0,0,91,55,0,0,11
122031432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,4,0,0,4,0,0,0,5,0,0,7,0,0,0,0,0,0,8,0,0,0,5,3,0,8,0,0,0,14,0,0,14,8,0,0,12,4,0,27,6,0,0,7,6,0,9,8,0,0,11,0,0,18,11,0,0,5,0,0,17,10,0,0,0,0,0,6,13,0,0,7,0,0,15,3,3,0,5,4,0,10,55,5,0,77,17,3,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,6,7,0,8,0,0,0,0,3,0,4,7,0,0,6,0,0,11,5,0,0,12,4,0,22,3,0,0,9,0,0,15,17,0,0,3,0,0,15,7,0,0,0
