SA2_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
101021007,0,0,0,3,9,0,0,0,0,20,9,8,3,3,0,0,19,441,582,183,151,64,34,1459,467,683,169,177,76,39,1610,31,20,3,5,0,0,60,0,3,0,0,0,0,3,32,25,3,5,0,0,63,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,3,3,0,0,0,25,3,0,0,0,0,0,3,7,4,0,0,0,0,11,15,11,4,0,0,0,37,5,0,0,0,0,0,6,529,716,181,179,77,42,1719
101021008,0,0,4,0,0,0,0,0,0,4,7,0,0,3,0,0,11,712,926,508,509,218,87,2961,462,824,449,466,174,91,2472,130,77,42,24,13,6,288,110,57,42,25,9,0,236,233,141,81,45,20,7,518,31,8,11,0,0,0,47,25,9,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,17,7,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,974,541,510,196,94,3075
101021009,3,0,11,10,4,0,0,3,0,21,4,4,3,0,0,0,9,1928,1404,619,423,179,70,4622,520,666,344,311,136,72,2052,299,166,57,41,9,9,574,248,175,64,55,17,3,567,547,338,120,96,27,10,1145,393,131,48,30,5,5,603,199,94,37,23,4,4,362,342,183,66,30,11,3,636,43,28,5,0,0,0,81,8,5,8,0,0,0,16,979,434,158,83,25,15,1695,0,3,0,0,0,0,3,0,0,0,0,0,0,0,7,5,0,0,0,0,12,10,5,0,0,0,0,21,0,0,3,0,0,0,13,2059,1457,624,496,186,94,4916
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,796,600,300,228,72,34,2031,140,302,171,140,56,24,832,146,57,23,13,0,5,251,198,138,62,39,13,0,450,343,201,88,53,14,5,698,197,64,24,12,0,0,298,77,38,15,10,4,3,144,160,75,36,15,4,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,173,71,36,14,5,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,924,679,326,232,79,33,2276
101021012,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,11,675,1174,754,969,433,136,4142,413,1022,710,895,373,118,3535,186,156,71,36,8,4,458,60,80,35,20,4,4,204,246,233,106,55,10,3,662,53,24,10,0,3,0,87,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,20,10,0,3,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,3,0,0,0,0,0,3,728,1283,828,957,390,127,4305
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,139,117,116,49,17,464,128,491,408,532,176,67,1796,5,9,3,0,0,0,14,36,29,18,4,4,0,96,37,34,24,10,4,0,107,0,0,0,0,0,0,0,3,8,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,534,433,545,179,67,1929
101021611,0,0,9,21,15,11,6,7,0,58,5,10,3,0,0,0,21,679,1698,797,966,443,190,4774,712,1928,893,1023,463,237,5265,16,15,11,4,0,0,43,4,9,4,4,0,0,25,23,19,11,5,0,0,66,7,4,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,11,3,0,4,3,0,24,6,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,7,0,3,0,0,13,3,4,0,0,0,0,11,760,1968,911,1034,467,241,5374
101031013,0,0,5,7,0,0,0,0,0,7,3,0,0,0,0,3,8,324,352,123,92,38,20,951,313,381,87,91,54,17,939,10,9,0,0,0,0,15,0,0,0,0,0,0,0,10,9,0,0,0,0,15,5,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,10,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,3,6,0,3,0,0,6,343,396,91,92,54,17,981
101031014,0,0,18,13,13,3,4,0,0,26,25,3,8,6,4,0,43,941,996,353,260,113,46,2706,734,914,333,264,114,50,2415,86,29,3,6,4,0,132,21,8,3,0,0,0,30,106,37,4,7,4,0,166,78,19,9,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,8,88,22,9,0,0,0,121,4,0,0,0,0,0,3,0,0,0,0,0,0,0,10,3,3,5,0,0,23,13,0,3,5,0,0,26,3,3,0,0,0,0,9,944,981,354,273,127,58,2738
101031015,0,0,3,15,9,4,0,0,0,29,8,10,4,0,0,0,28,320,508,137,145,70,30,1218,335,505,166,149,67,38,1255,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,7,9,4,0,0,0,0,13,3,0,0,0,0,0,9,340,513,163,151,67,38,1277
