SA2_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,9,0,0,5,0,6,0,0,0,23,3,0,6,4,16,16,20,3,5,81,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,3,3,13,16,28,19,8,112,7,9,0,10,7,8,11,0,0,54,0,0,0,0,0,0,5,0,0,4,242,139,123,200,282,357,325,153,59,1881,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,12,3,0,5,3,4,8,0,0,0,24,315,112,123,176,196,222,176,53,3,1366
101021008,11,3,5,5,5,5,0,0,0,27,7,0,0,0,7,11,4,3,3,30,5,0,0,0,0,0,0,0,0,7,0,3,4,9,11,5,3,0,0,33,16,3,7,7,14,4,0,0,0,55,18,18,10,33,35,38,33,23,0,203,6,0,0,0,4,5,4,0,0,20,4,4,3,7,0,0,0,0,0,20,43,22,26,24,43,44,22,9,3,245,19,36,27,15,37,32,19,6,3,197,0,0,0,0,0,0,3,0,0,3,937,670,589,654,826,784,528,251,71,5302,9,4,16,11,0,4,3,0,0,52,22,7,14,11,8,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,5,3,3,8,0,3,0,0,0,28,3,6,6,10,3,9,0,0,0,31,14,6,13,11,5,10,0,3,0,64,484,336,359,318,258,163,75,32,7,2022
101021009,0,5,5,0,0,0,0,0,0,17,0,4,9,3,7,10,0,4,8,42,0,0,4,0,0,4,0,0,0,3,13,8,11,7,9,0,0,4,3,62,23,24,15,20,9,9,9,3,0,99,8,14,19,14,31,35,30,24,15,193,7,0,3,0,6,9,3,0,0,25,0,0,0,5,0,3,0,0,0,15,30,18,34,17,33,27,43,7,8,222,39,19,49,55,35,42,22,14,7,278,0,0,0,0,0,0,3,0,0,6,727,556,818,738,811,710,585,441,269,5657,72,22,161,68,6,3,0,0,0,330,63,16,115,42,12,3,0,3,0,264,0,0,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,7,37,13,96,21,5,3,0,0,0,183,0,4,12,9,4,3,4,0,0,41,43,22,110,34,11,10,4,0,0,221,593,438,721,489,388,269,131,34,21,3088
101021010,8,4,6,0,0,0,0,0,0,14,4,6,4,6,4,8,7,6,0,39,7,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,5,0,0,14,11,3,14,9,8,8,0,0,0,54,5,10,14,18,18,35,7,8,0,116,4,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,13,10,11,13,19,13,7,5,103,23,25,23,17,30,17,7,3,0,143,0,0,0,0,0,0,0,0,0,0,389,312,351,334,419,350,200,113,51,2511,33,15,63,23,7,0,0,0,0,149,54,11,86,23,3,6,0,0,0,186,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,14,47,19,5,3,0,0,0,113,0,0,3,4,4,0,0,0,0,12,29,14,51,21,10,9,0,0,0,130,213,194,310,170,174,137,84,30,4,1317
101021012,0,8,3,3,8,0,0,0,0,21,7,4,8,17,19,9,7,6,0,84,0,0,0,0,0,0,0,0,0,3,7,3,0,8,6,7,0,0,0,43,22,25,15,20,22,14,4,0,0,123,36,10,26,34,81,51,32,13,3,281,0,0,0,4,4,8,0,0,0,20,3,3,5,4,3,4,0,0,0,21,55,40,25,55,82,57,30,16,6,369,77,53,25,63,30,28,13,6,0,299,0,0,0,0,0,4,0,0,0,16,1744,1119,750,1125,1618,871,447,214,51,7947,24,8,16,18,13,9,0,0,0,87,27,13,16,16,9,10,6,0,0,97,4,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,24,9,0,6,0,3,0,54,7,0,0,7,5,5,7,0,0,22,13,7,24,14,8,9,7,3,0,81,923,482,524,575,542,301,99,17,12,3475
101021610,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,3,5,6,0,3,0,0,13,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,3,5,0,5,4,0,0,17,24,0,13,11,3,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,267,84,236,171,94,46,24,4,0,920,11,0,9,7,7,0,0,0,0,36,6,0,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,11,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,10,4,6,11,0,4,0,0,0,35,114,41,125,94,31,8,0,0,0,409
101021611,0,0,5,0,5,3,0,0,0,11,14,9,5,19,26,19,14,4,0,113,0,0,0,0,0,0,0,0,0,0,12,4,4,6,10,5,0,0,0,40,23,9,6,12,15,15,0,0,0,80,24,12,8,30,65,75,53,21,5,296,0,3,3,6,6,6,5,0,0,28,0,0,3,5,7,7,0,0,0,20,45,49,27,44,82,88,65,17,0,417,77,38,32,41,50,48,38,11,0,330,4,0,0,0,3,0,4,0,0,14,1558,939,640,1055,1523,1288,833,256,52,8166,3,0,9,6,4,0,0,0,0,14,4,4,5,3,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,14,11,6,7,10,10,14,0,0,0,55,13,10,9,11,15,14,0,0,3,71,1163,612,503,731,873,727,380,89,18,5096
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,0,0,4,0,0,0,0,0,13,17,9,10,6,19,32,23,22,13,152,0,0,0,0,0,4,0,0,0,13,4,6,0,0,0,0,0,0,0,12,5,0,5,9,7,8,8,3,3,57,4,0,3,5,3,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,251,144,129,156,240,284,257,121,68,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,123,61,79,62,49,71,42,16,8,517
101031014,0,0,0,0,0,0,0,0,0,4,4,5,3,8,7,11,24,10,9,79,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,14,21,4,12,3,5,6,0,4,0,50,8,7,4,9,23,28,33,28,7,143,0,0,0,0,7,0,5,4,0,13,0,0,0,0,0,0,0,0,0,5,11,4,14,12,14,33,31,17,11,152,36,18,16,15,19,14,6,5,0,132,0,0,0,0,0,0,0,0,0,4,556,372,324,413,544,601,554,382,171,3918,0,0,0,0,0,4,0,0,0,7,13,3,8,3,6,7,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,0,0,20,3,0,8,6,4,0,0,0,0,18,397,297,279,205,230,185,122,67,13,1796
101031015,6,0,0,0,0,0,0,0,0,11,5,0,4,0,8,9,7,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,6,3,3,4,13,28,23,3,4,84,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,3,10,24,26,18,8,3,101,15,0,3,4,7,10,10,5,0,51,0,0,0,0,0,0,0,0,0,0,307,173,95,193,342,336,322,154,36,1961,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,6,0,0,0,18,3,0,7,0,7,6,0,0,0,18,167,95,77,115,121,157,93,27,6,865
