SA2_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
125011709,59,889,0,0,0,0,0,0,0,0,0,0,0,0,13,5,4,0,0,23,87,96,114,36,7,339,16,9,18,13,10,72,0,0,0,0,0,0,119,114,138,51,16,433,0,0,0,0,0,0,36,7,4,0,0,51,259,160,114,13,7,552,75,60,62,9,6,216,0,0,0,0,0,3,3,0,3,0,0,8,375,226,181,27,14,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,726,523,616,187,93,2151
125011710,0,0,0,0,0,0,0,0,14,3,0,0,0,15,21,12,0,0,0,34,7,7,5,0,3,22,0,0,0,0,0,5,0,0,0,0,0,0,42,19,8,0,3,68,0,0,0,0,0,0,1147,159,39,10,0,1350,2005,1000,440,95,27,3570,265,205,192,37,17,726,4,18,12,3,0,41,32,12,4,0,0,48,3454,1401,691,146,50,5739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,7,0,6,45,3525,1432,702,146,56,5851
125021477,244,3790,0,0,0,0,0,0,18,3,0,0,0,27,124,61,33,8,3,224,288,265,245,78,20,905,101,107,162,65,40,481,6,5,3,0,0,10,535,446,448,156,67,1647,11,0,0,0,0,4,53,10,0,0,0,67,329,176,85,18,8,615,35,43,40,9,6,125,5,5,10,4,3,19,6,0,0,0,0,7,428,231,141,35,18,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,8,2143,1574,1605,643,330,6295
125021478,204,2730,0,0,0,0,0,0,16,4,0,0,0,19,130,66,33,3,0,231,257,214,259,64,24,814,107,110,138,62,36,458,5,4,10,0,0,12,510,386,441,138,62,1534,0,0,0,0,0,3,19,8,0,0,0,22,159,73,21,4,0,255,46,35,23,14,0,121,6,0,0,7,7,20,9,3,0,0,0,14,241,120,44,23,5,441,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,1617,1154,1128,544,273,4715
125021711,143,2236,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,80,56,74,21,6,241,18,36,43,17,3,126,0,0,3,0,0,3,107,99,126,38,13,374,0,0,0,0,0,0,28,9,3,0,0,37,140,115,94,23,0,374,19,35,48,13,16,128,0,0,0,0,0,3,0,0,0,0,0,6,197,153,150,39,11,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,747,898,346,175,3160
125021712,239,3179,0,0,0,0,0,0,0,0,0,0,0,3,40,21,22,6,0,83,95,121,110,39,12,378,18,31,36,23,5,111,3,0,8,0,0,9,153,180,170,66,19,589,0,0,0,0,0,0,52,16,3,0,0,73,358,332,267,45,6,1011,76,100,125,33,10,357,4,0,6,0,0,13,0,0,0,0,0,8,490,448,403,92,23,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1635,1348,1434,529,284,5227
125031479,606,3394,0,0,0,0,0,0,13,0,0,0,0,11,48,23,15,3,0,90,61,54,85,30,26,257,29,27,58,47,53,212,0,0,0,0,3,6,154,106,153,80,73,575,0,0,0,0,0,0,21,3,0,0,0,26,112,61,37,10,4,230,34,21,31,23,15,125,8,8,6,11,13,40,0,3,0,3,0,8,176,97,76,55,38,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,3,5,0,0,5,0,13,1173,914,948,661,720,4420
125031480,486,2419,0,0,0,0,0,0,9,0,0,0,0,15,26,6,8,5,0,42,25,26,19,15,16,101,18,18,30,14,29,107,0,0,0,0,0,4,78,57,52,33,41,266,0,0,0,0,0,0,47,10,3,0,0,59,163,87,44,16,11,317,26,29,31,11,5,114,3,5,8,5,10,24,10,0,4,5,0,11,251,129,82,39,24,528,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,16,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,5,4,4,0,28,4,0,0,0,0,3,947,669,658,423,553,3245
125031481,517,2756,0,0,0,0,0,0,10,0,0,0,0,10,67,28,19,8,5,123,74,70,90,48,45,329,22,20,23,20,26,109,0,0,0,5,0,5,174,124,128,89,73,580,0,0,0,0,0,0,117,20,0,0,0,143,475,376,263,68,21,1211,38,55,78,46,31,250,8,0,4,4,4,16,16,7,8,3,0,33,659,463,356,125,59,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,3,5,0,0,9,3,8,5,0,0,17,1532,1145,1082,611,651,5019
125031483,734,3114,0,0,0,0,0,0,30,0,0,0,0,37,101,23,20,5,0,142,65,78,90,68,33,336,14,23,27,26,64,155,4,0,0,0,0,11,218,124,133,105,103,682,0,0,0,0,0,0,24,3,3,0,0,32,204,131,91,34,10,471,15,25,41,19,21,132,4,0,7,6,22,35,8,3,0,3,0,14,253,166,142,67,52,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,5,10,4,6,0,3,20,1217,839,883,682,891,4511
