SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
125031486,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
125031487,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
125031713,0,0,0,0,9,33,48,27,15,8,125,0,0,0,0,0,0,0,30,64,22,14,4,136,0,0,0,0,0,0,0,15,47,13,13,3,92,0,0,0,0,0,0,0,14,40,27,18,3,102,0,0,0,0,0,0,0,7,12,22,20,3,69,0,0,0,0,0,0,0,8,16,4,9,8,46,0,0,0,0,0,0,0,0,4,0,0,11,16,0,4,29,27,30,30,53,191,325,171,101,55,1025
125031714,0,3,8,10,79,203,116,21,24,9,478,0,0,3,0,7,6,42,178,103,35,32,8,407,0,0,0,0,0,0,25,88,49,25,23,3,221,0,0,0,0,4,0,18,77,56,29,24,0,212,0,0,0,4,4,0,3,34,40,32,42,9,169,0,0,0,3,4,9,15,49,42,16,16,21,164,5,0,17,3,0,0,5,12,4,3,3,23,75,20,41,221,130,81,132,466,1402,703,253,215,168,3833
125031715,0,0,0,0,0,16,29,18,10,0,82,0,0,0,0,0,0,0,26,39,22,17,0,104,0,0,0,0,0,0,0,11,25,25,17,0,80,0,0,0,0,3,4,0,15,26,37,30,4,120,0,0,0,0,0,0,0,6,9,21,24,0,57,0,0,0,0,0,0,0,5,12,10,12,3,45,0,0,0,0,0,0,0,0,0,0,0,8,9,0,3,17,12,14,17,18,139,206,164,125,22,734
125031716,0,0,0,0,0,28,44,18,4,4,100,0,0,0,0,5,0,8,26,39,18,10,0,100,0,0,0,0,0,0,0,7,28,18,4,0,54,0,0,0,0,0,3,0,13,24,17,8,0,71,0,0,0,0,0,0,0,6,8,15,15,3,44,0,0,0,0,0,0,0,7,7,6,3,13,44,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,40,31,15,25,45,189,248,135,53,36,820
125041489,0,3,6,6,118,293,206,37,8,16,710,0,0,0,7,0,7,50,312,295,75,21,11,783,0,0,0,0,0,6,31,135,177,55,18,0,421,0,0,0,5,6,4,21,163,267,85,22,3,574,0,0,5,3,5,3,10,90,181,81,33,5,408,0,0,0,8,5,0,13,50,63,20,8,7,175,0,0,9,4,0,4,8,9,0,0,0,17,52,19,45,246,140,92,155,651,1784,1548,422,144,118,5366
125041490,0,0,0,0,0,16,16,12,23,0,72,0,0,0,0,0,0,4,9,21,25,6,0,76,0,0,0,0,0,0,0,8,13,19,16,0,47,0,0,0,0,0,0,0,6,23,15,14,0,60,0,0,0,0,0,0,0,4,8,23,45,0,74,0,0,0,0,0,0,0,0,5,7,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,79,126,129,117,16,492
125041491,8,4,0,3,60,306,144,27,7,10,565,0,0,0,0,4,4,45,322,218,40,12,3,646,0,0,4,5,0,4,16,177,123,37,9,6,375,0,0,0,0,8,0,9,182,204,69,21,8,500,0,0,0,0,0,0,6,127,156,43,38,4,375,0,0,4,0,0,0,9,50,46,21,9,12,148,0,0,4,6,0,0,0,9,6,0,0,10,38,14,12,146,77,64,74,335,1681,1128,278,109,82,4007
125041493,4,0,4,3,16,123,103,30,22,5,307,0,0,0,0,0,3,12,112,110,29,20,9,299,0,0,0,3,0,0,5,59,91,32,10,9,211,0,0,3,0,0,4,9,56,111,51,30,3,269,0,0,0,6,0,3,8,32,61,50,34,9,203,5,0,0,3,0,5,7,20,32,13,8,11,100,0,0,6,6,0,0,0,10,0,3,0,8,25,6,30,149,95,41,62,129,676,691,255,142,99,2379
125041494,0,0,0,0,0,11,19,15,9,0,48,0,0,0,0,0,0,0,7,32,20,7,0,70,0,0,0,0,0,0,0,0,19,11,5,0,48,0,0,0,0,0,0,0,0,23,28,15,6,73,0,0,0,0,0,0,0,7,7,32,26,0,73,0,0,0,0,0,0,0,0,3,9,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,4,8,15,69,146,140,67,16,476
125041588,0,3,3,5,11,103,65,16,0,3,213,0,0,0,0,0,4,9,101,92,21,16,0,246,0,0,0,0,0,3,5,52,41,21,10,3,127,0,0,0,0,0,0,4,55,83,37,9,5,193,0,0,4,0,0,0,0,41,63,39,19,4,170,0,0,0,0,0,0,3,21,17,9,5,10,73,4,0,3,0,0,0,5,8,5,5,0,10,33,14,23,108,69,58,52,122,607,477,184,58,63,1833
125041589,8,3,10,4,39,265,125,24,11,13,500,0,0,5,3,4,3,44,328,239,38,13,5,687,3,0,0,5,0,3,15,154,117,31,14,3,336,0,0,0,0,0,0,17,217,241,43,18,5,539,0,0,3,3,0,0,3,139,188,57,28,7,440,0,0,4,0,0,0,10,47,39,16,10,16,149,0,0,16,3,0,0,0,6,0,0,0,23,54,26,32,251,139,71,72,266,1601,1172,260,95,124,4115
125041717,0,7,4,9,84,189,164,45,23,9,539,0,0,0,11,0,9,70,203,249,85,32,11,666,0,3,0,3,0,9,14,88,125,40,8,0,297,0,0,0,0,0,6,17,113,229,109,22,8,515,0,0,0,4,5,10,14,84,256,133,48,15,566,0,0,0,0,0,3,10,28,46,18,6,18,132,0,0,0,0,0,0,4,0,0,3,0,13,26,0,12,33,40,35,125,407,1007,1290,517,166,88,3725
125041718,0,0,0,4,43,156,59,17,9,5,305,0,0,0,0,0,5,48,173,103,16,5,9,363,0,0,0,0,0,3,20,92,62,13,4,10,202,0,0,0,3,0,7,7,110,110,32,4,6,291,0,0,0,3,5,5,11,59,107,67,32,10,309,0,0,0,4,5,0,10,34,15,9,5,6,88,0,0,0,0,0,0,4,3,0,0,0,6,23,12,23,96,60,41,60,290,947,557,180,81,88,2430
