SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
316071546,32,11,24,33,3,4,10,107,99,208,34,32,68,0,0,5,4,3,10,8,25,31,0,0,0,54,65,117,17,16,40,5,0,5,3,0,8,14,29,47,0,0,0,40,50,89,989,1010,1993,53,49,102,170,200,370,50,124,178,557,419,979,1813,1804,3617
316071547,70,12,43,55,6,0,11,193,193,391,62,37,99,5,0,5,10,5,15,16,40,59,8,6,5,92,84,176,34,18,45,0,5,5,3,6,12,26,37,63,0,0,0,64,54,120,2572,2575,5148,141,162,304,465,592,1052,103,227,339,1632,1462,3092,4913,5017,9926
316071548,175,30,132,164,27,18,41,365,465,832,172,123,293,5,0,9,24,50,72,38,140,172,23,12,27,253,323,579,140,78,223,6,0,10,17,33,54,74,279,348,4,15,22,246,413,655,3823,3859,7678,324,439,766,888,1394,2278,207,815,1022,3419,3137,6554,8656,9644,18296
316081549,165,42,112,156,24,7,32,583,504,1084,223,120,339,9,4,10,39,34,74,44,116,157,6,5,13,310,283,589,115,52,169,4,9,11,11,14,30,42,170,212,7,4,11,187,246,435,5226,5260,10490,275,322,599,1047,1264,2309,226,721,950,3157,2699,5857,9932,10269,20202
317011445,20,11,24,33,0,0,0,89,87,179,33,14,51,5,0,5,0,10,12,6,7,17,0,0,0,47,35,85,17,8,27,0,0,0,0,0,0,5,13,16,0,0,0,23,24,46,1678,1702,3383,79,106,185,175,237,410,47,110,158,937,938,1877,2921,3091,6014
317011446,56,21,104,125,10,9,20,213,307,522,121,99,223,0,3,7,9,25,36,17,94,112,4,11,12,149,232,386,100,39,138,0,0,0,10,18,27,47,221,266,3,10,18,156,294,451,2562,2613,5176,140,250,383,315,699,1010,102,620,723,2195,2183,4378,5315,6363,11671
317011447,54,20,99,121,11,9,15,164,262,422,101,88,191,0,3,9,16,21,37,24,127,152,8,8,18,149,252,401,98,49,151,0,0,3,14,14,20,46,229,272,4,5,11,159,299,455,1698,1719,3418,125,215,344,367,595,958,140,627,768,1785,1585,3369,4118,4743,8859
317011448,21,13,68,80,5,4,11,142,158,307,42,36,81,4,0,7,0,5,10,16,54,69,7,10,15,74,107,179,37,15,56,0,0,0,3,11,14,21,103,125,3,5,7,67,139,205,1303,1243,2545,114,149,266,228,281,509,85,311,396,1434,1474,2911,3168,3463,6630
317011449,6,9,11,21,6,3,6,78,57,138,31,20,51,0,0,3,4,3,3,5,24,24,0,0,0,43,43,87,12,6,20,0,0,0,0,3,3,5,18,23,0,0,0,20,27,44,1495,1521,3018,71,79,152,160,200,357,35,112,146,835,711,1544,2597,2622,5220
317011450,29,13,64,80,3,3,8,292,295,590,129,75,201,0,5,5,10,3,9,14,70,87,0,3,8,149,157,307,72,29,104,0,0,0,3,3,4,19,82,101,0,0,6,98,113,211,3687,3707,7392,102,145,247,260,392,646,83,348,429,1535,1259,2793,5673,5848,11516
