STE_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
1,8429,19635,3728,1920,2705,1574,1498,1867,588,41947,17937,51096,11068,2801,5532,4513,4872,4659,1498,103971,52228,65225,127402,8024,14667,9830,33228,22559,4429,337586,27085,10840,69845,2579,4077,2573,8424,13080,1964,140468,10208,4759,10037,1172,1665,1361,3293,6067,534,39099,6076,48915,2794,9976,2040,1374,1886,1845,629,75550,6345,28764,1777,3227,1400,909,1590,1318,380,45710,84974,86179,14042,11658,34569,26338,16194,12853,4639,291442,19310,45852,4806,26530,9558,4548,4640,4761,1837,121852,7142,21636,5709,3049,3415,3526,2239,2674,549,49937,7039,1308,18841,3887,2212,2972,5493,5623,542,47926,138,138,216,121,86,119,203,328,46,1399,3649,4055,3014,1456,1539,1019,2861,1904,813,20319,4527,3205,7049,2005,1782,1943,4863,4661,6928,36962,255087,391608,280338,78404,85240,62618,91281,84207,25373,1354149,6553,17380,4644,3512,6627,2255,393,1305,527,43204,4423,14716,1731,1975,5004,1854,504,1122,532,31869,4614,11862,3236,1874,4391,1726,1440,2177,448,31750,2172,8021,2403,814,2224,1203,153,440,178,17607,2897,3621,2327,1466,2675,1264,366,1802,204,16625
2,7765,17814,3215,1911,2537,1717,1462,1944,499,38866,15865,44172,9730,2443,5600,3828,5315,4406,1501,92845,42786,55206,101819,6394,11918,8265,26238,21333,4017,277973,20589,9427,69539,2066,3331,2498,6938,11974,1947,128302,9785,3644,8700,1028,1318,1195,2938,4634,498,33747,5062,40253,2836,9879,1876,1351,1673,1935,551,65408,5580,25988,1757,3472,1392,871,1374,1283,355,42072,65857,66431,12161,9927,29359,19474,14250,10829,3631,231911,14209,34166,4805,20962,8301,4123,4782,4981,1422,97729,6379,19349,5905,3432,3626,3806,2414,3304,566,48776,6100,1170,18440,3411,2075,2605,5894,5455,581,45736,97,88,193,76,66,98,164,294,30,1096,3694,4227,3195,1954,1659,1016,2717,1900,818,21168,4184,2511,7065,1769,1439,1712,4143,4178,6289,33295,207944,324435,249362,68717,74498,52554,80287,78446,22699,1158938,6448,17641,4336,4104,6181,2617,411,1520,569,43831,3792,12967,1554,2354,4631,1638,532,1458,532,29465,4137,10313,2756,1896,3526,1605,1256,2327,448,28261,2178,7421,2595,931,2196,1415,165,556,191,17643,2669,2953,2357,1364,2267,1206,334,1715,176,15040
3,3798,10569,2226,1198,1106,749,781,1069,279,21775,6489,19036,5338,1251,2138,1751,2039,2158,527,40729,32964,39209,109371,6038,8738,7225,24778,18735,3485,250551,16165,5900,51940,2059,2941,2215,7113,11236,1530,101099,5321,3359,5856,767,1072,950,2628,4751,396,25100,4009,33969,2118,7952,1397,1055,1447,1582,474,54008,4048,18736,1351,2362,987,643,1389,992,284,30787,40252,34918,9400,7743,16646,13205,10740,8815,2021,143741,8726,20507,4020,19565,5147,3365,3822,4999,963,71113,2935,8800,3648,2106,1888,2120,1359,2156,281,25296,5199,989,14933,3137,1558,2504,4612,5207,415,38563,89,100,201,102,55,165,156,306,32,1205,2026,2013,2537,1366,944,666,2390,1557,586,14093,3066,1859,6215,1670,1096,1452,4057,4212,5052,28679,135095,199973,219153,57317,45725,38076,67304,67787,16312,846733,2746,9904,2790,2191,2871,1083,192,922,260,22947,1360,4163,699,1025,1771,701,121,630,173,10659,2060,5572,2589,1555,1908,1138,1132,2411,243,18600,1075,3768,1436,630,1509,771,136,447,114,9887,1694,2439,1376,1107,1724,913,291,1562,147,11249
4,1697,4446,969,531,501,316,363,633,119,9574,2001,6698,1981,660,898,587,850,917,204,14800,11261,12456,33577,2261,3367,2411,7661,6786,1275,81051,4365,1845,14349,550,791,649,1635,2656,417,27247,3429,1249,2430,375,437,431,935,1883,166,11340,1317,11766,654,2926,508,333,448,611,161,18722,1444,7341,379,983,379,219,388,335,102,11569,14199,12326,3120,2991,6770,4559,3158,3129,713,50957,3041,7029,1310,8039,2073,1017,1273,1625,358,25760,1047,3305,1208,733,632,731,462,803,100,9025,1616,275,5319,870,518,686,1245,1553,170,12257,25,23,34,26,18,13,39,57,4,253,669,643,790,503,344,201,777,614,196,4734,1057,475,1765,529,340,402,1139,1275,1249,8222,47157,69870,67886,21979,17586,12547,20373,22883,5222,285507,1125,3498,1175,931,1082,370,67,377,67,8696,461,1469,303,734,641,238,49,375,55,4330,719,1720,688,515,707,339,267,629,81,5656,413,1304,431,226,508,323,31,135,44,3421,786,875,698,512,635,408,72,578,64,4631
5,3100,8887,1894,873,743,512,715,827,179,17733,3274,9337,2982,811,1161,892,1366,1216,217,21257,21287,29540,73255,3599,5707,3379,15260,10202,2159,164384,6154,3092,23399,1132,1485,892,4494,4837,659,46144,3284,1990,2794,493,476,487,1529,2096,182,13333,2423,16105,1289,3607,699,443,1032,880,237,26705,2352,9583,836,1278,452,299,928,550,142,16418,21102,20714,5055,4077,8519,5811,5363,4178,1064,75878,4380,10480,2028,7902,2428,1391,2171,2351,431,33548,1377,4239,2021,1198,854,1141,979,1186,133,13130,2333,474,8206,1517,784,927,2859,2096,198,19390,32,35,104,45,29,58,96,146,26,573,977,1114,1689,796,475,290,1289,781,297,7709,1557,1036,3793,847,547,597,2226,1908,2477,14991,73638,116638,129346,28161,24365,17111,40310,33247,8408,471218,1876,7407,2296,1681,2121,879,195,626,163,17240,675,2032,495,712,993,421,135,497,78,6037,1405,4428,2089,988,1380,653,793,985,136,12851,588,2039,819,420,793,474,89,211,45,5469,1105,1768,1065,667,1035,513,231,821,78,7282
6,523,1472,317,167,143,56,75,180,39,2974,567,1469,847,290,257,259,267,440,59,4463,2840,2888,9856,753,785,597,2423,2066,353,22553,2512,579,5615,244,225,205,628,849,144,10992,1371,547,841,164,114,133,411,744,73,4418,321,3387,145,759,107,82,103,133,49,5095,477,2294,135,319,103,62,78,108,33,3608,3614,2673,1304,1279,1749,1270,1114,1434,247,14687,957,2103,375,2018,524,244,246,373,87,6912,268,903,349,267,158,174,82,191,34,2427,598,93,1785,358,180,239,398,546,53,4247,8,9,15,16,5,7,9,27,6,88,234,206,244,151,87,58,199,166,50,1408,391,178,686,197,131,138,430,479,433,3063,14686,18799,22511,6984,4576,3524,6465,7728,1661,86935,357,1183,353,278,293,127,26,96,15,2725,102,262,87,202,183,97,16,156,16,1125,173,317,194,158,178,91,87,299,10,1511,101,354,150,74,70,54,7,35,7,852,346,394,227,178,228,112,35,242,18,1775
7,174,386,116,77,65,17,33,32,16,916,243,531,297,166,110,133,98,116,21,1718,1356,1503,5362,645,433,260,912,746,145,11356,621,176,1589,171,115,59,212,344,56,3341,301,283,242,113,91,45,97,217,21,1410,219,1553,105,425,78,25,38,63,25,2536,237,834,83,202,64,20,50,38,22,1548,1555,1042,469,847,911,461,367,380,113,6138,540,1001,172,1572,255,81,140,167,68,3994,95,285,115,73,66,19,30,51,11,749,238,62,776,240,96,88,144,170,20,1830,0,6,12,6,4,0,4,9,0,48,111,108,152,159,47,12,71,72,28,757,142,120,355,224,86,73,164,201,278,1636,5828,7888,9841,4917,2422,1297,2362,2597,835,37985,150,417,106,111,117,29,9,36,18,993,60,138,36,77,108,52,6,47,8,542,111,206,132,76,109,52,44,64,9,804,47,75,54,15,48,16,4,15,4,287,134,225,91,92,151,36,8,110,11,857
8,1200,2824,306,225,440,93,53,120,77,5337,2202,7174,1154,401,672,473,346,507,209,13135,2475,4093,4575,536,849,380,781,772,245,14709,1401,636,3554,167,249,116,235,477,98,6933,404,420,533,82,174,49,81,139,46,1916,430,2956,172,621,171,70,50,70,58,4591,443,1787,93,300,174,36,72,125,36,3067,5677,5406,978,1108,2622,1105,608,727,415,18645,4114,6476,452,2128,1785,318,216,364,375,16225,601,1618,390,230,351,200,75,130,53,3649,420,121,1344,303,218,156,227,259,33,3072,6,8,13,12,6,3,11,12,4,71,430,428,157,171,191,49,107,85,74,1677,230,281,319,148,142,78,135,175,393,1906,20033,34212,14038,6421,8039,3126,2991,3965,2102,94932,1094,2259,342,360,774,152,14,56,82,5132,598,1720,178,390,423,243,11,131,72,3756,322,789,134,134,242,85,27,84,41,1863,194,466,119,67,204,77,8,25,15,1179,322,416,158,87,261,45,6,39,24,1362
9,7,6,3,0,0,0,0,4,0,26,4,6,6,0,0,0,0,0,0,14,44,17,121,8,8,9,20,22,3,259,16,3,64,9,0,4,8,10,0,107,9,5,5,0,6,0,4,3,0,31,4,7,0,4,0,0,0,0,0,17,4,23,0,4,0,0,0,0,0,33,30,6,0,13,4,3,0,6,0,73,12,11,3,21,6,0,0,0,0,62,4,5,0,3,4,0,0,0,0,15,5,0,27,0,3,0,3,4,0,44,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,19,8,5,16,0,0,3,4,8,4,48,146,89,261,66,33,20,42,67,18,737,3,9,0,7,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,4,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,11,0,0,0,3,0,0,0,0,16
