STE_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,626660,453276,223170,84475,4231474
2,466767,330124,160253,58814,3389371
3,388952,271254,127630,41351,2618666
4,134648,104384,50163,17517,875345
5,199230,137405,64511,22506,1367340
6,46118,36444,17427,5413,278846
7,15478,8242,2579,515,112338
8,34121,24615,12071,3938,265266
9,478,335,133,34,2618
