STE_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
1,5946,24191,544,7524,4507,797,120,421,303,44361,2405,9062,150,630,1508,181,17,81,92,14123,71872,270838,12667,41728,68909,21747,3059,10064,5905,506788,183,257,79,547,342,151,16,76,65,1724,11877,19678,3154,13900,20285,5391,812,2888,976,78956,18517,22417,6576,40546,36674,11306,1737,5326,2013,145108,19539,17899,23610,67456,60995,21256,4688,13516,2810,231771,2568,1570,1333,4381,9152,4099,776,2690,272,26840,4373,3425,1777,8114,15406,4539,838,2729,528,41737,1474,3349,566,1761,3457,1150,210,861,271,13088,2786,4939,1118,5012,6325,2722,591,2640,4221,30356,174230,498694,55081,201158,248754,79390,13742,43606,19870,1334532,902,3284,101,187,389,91,35,54,46,5100,5889,36469,732,542,1344,262,154,222,407,46016,69022,184131,9844,13564,31386,11930,5146,5932,4583,335548,2090,5580,245,430,996,361,181,201,179,10263,11026,36912,1502,8568,5973,1362,539,827,541,67248,4618,12401,535,1105,2117,370,151,228,177,21707,159798,473100,39631,62608,99596,40345,16944,24365,11845,928239,322,391,279,669,403,229,129,203,113,2732
2,7249,31070,755,10301,5365,1097,152,511,413,56910,2402,10084,174,800,1525,223,34,112,130,15492,55244,220031,12367,40668,59569,20649,2743,10241,5012,426520,142,213,82,598,286,150,22,89,48,1634,9705,14581,3426,13085,15933,4786,741,2654,869,65763,14814,18629,7321,40987,29113,10515,1675,5621,1747,130419,14147,10862,21303,55241,40946,16702,4073,12816,2285,178380,1604,995,1013,3245,5160,2827,486,1985,161,17472,2543,2004,1311,6492,7697,3123,534,2120,413,26244,971,2493,416,1301,1682,709,153,585,223,8529,2249,3907,1085,4505,4411,2379,456,2306,3651,24944,136852,420466,52717,187439,189206,68021,12016,41930,17115,1125758,812,3232,83,178,360,92,30,31,35,4850,5688,36005,652,578,1375,226,174,249,343,45285,51598,149477,9336,13647,25896,9702,6715,7053,4073,277496,2031,6279,290,576,945,353,252,236,183,11136,13167,46268,1887,11837,7219,1751,631,1050,677,84475,4353,13187,519,1307,2108,425,154,243,205,22495,128926,385799,37493,59423,87981,37086,16715,24579,10106,788119,308,303,345,725,348,219,172,193,83,2690
3,3635,17841,421,5920,3042,579,79,383,236,32135,1818,8223,139,622,1230,151,23,86,96,12388,31600,162324,7281,27414,34998,10850,1393,8062,2724,286637,116,154,79,543,235,97,21,91,34,1371,6263,10233,1779,9056,9592,2875,470,1760,518,42543,13815,15322,5284,36631,28290,9043,1436,4926,1459,116202,15896,12043,20853,61343,49342,19818,4693,14616,2497,201096,1714,1018,1085,3908,5415,4418,601,2625,230,21003,2409,1796,1135,6172,7253,3411,490,2167,326,25158,670,1549,336,1160,1301,614,102,605,154,6486,1772,2765,852,3925,3487,2134,398,2315,2947,20596,91544,287510,40688,161475,151221,56109,9964,38926,12108,849538,398,1845,46,85,176,49,12,20,24,2653,2916,21973,385,373,610,171,107,153,192,26888,24423,71862,3660,6469,9795,3891,1960,2701,1569,126329,838,3055,115,271,394,119,66,99,68,5030,6579,26678,1089,6884,3971,907,357,679,390,47537,3431,10950,457,1015,1743,294,91,197,161,18339,69273,264341,21393,39486,47904,19001,7879,16322,5148,490752,217,237,205,661,270,148,72,162,64,2028
4,1410,6532,154,2028,1038,159,17,112,90,11539,612,2125,41,209,341,42,3,24,22,3424,10332,55046,2906,10841,11460,3576,386,2852,888,98286,20,46,24,130,52,32,9,23,3,328,2390,4469,620,4113,3657,923,88,601,156,17020,3862,4546,1542,10676,6700,1824,228,1174,404,30954,5360,4301,7346,21165,16204,6211,928,4337,812,66673,657,378,427,1336,1904,1166,142,914,77,6996,820,556,450,2181,2438,940,109,627,96,8223,205,569,115,430,430,165,26,162,45,2150,571,872,265,1291,1096,663,75,724,686,6247,30359,98839,14599,57799,48188,16472,2118,12420,3608,284393,178,744,15,68,75,21,9,5,15,1126,1307,8583,201,163,321,42,30,80,64,10790,8193,24701,1744,4618,4352,1514,1116,1818,586,48651,313,1098,60,160,140,57,40,56,30,1947,2582,9702,384,2356,1429,268,106,247,141,17211,1151,2859,127,331,495,80,12,58,49,5171,23329,90802,8169,15948,16748,6507,3046,6576,1762,172880,52,59,66,169,73,37,32,40,14,534
5,2148,11301,357,2631,1659,330,60,213,111,18809,824,3685,85,282,517,86,12,49,32,5573,16924,85753,4961,15631,19510,6153,1087,4693,1394,156110,74,73,41,244,130,57,24,37,11,689,3303,6833,1632,5405,6034,1760,364,1123,261,26705,5644,6637,3284,15103,11375,3687,867,2365,546,49491,6946,5789,11998,30154,21273,8494,2833,6128,1012,94628,938,575,757,2685,3478,2453,465,1575,135,13052,1241,919,695,3459,4248,1569,323,1079,145,13690,467,1117,263,851,1033,426,91,396,76,4726,981,1622,550,2359,2164,1150,285,1162,1390,11664,45781,152413,25701,81985,75733,27491,6617,19784,5521,441025,320,1342,48,76,139,30,16,21,15,2013,1663,11864,239,211,418,85,70,102,122,14776,13925,39257,2640,4242,5945,2177,1485,2004,749,72427,578,1981,82,190,263,77,54,65,51,3336,4094,16722,757,3073,2171,486,261,421,173,28168,1660,4830,250,561,742,136,73,89,67,8418,40370,145294,14506,22333,27430,10454,6222,9648,2771,279030,129,125,147,297,149,77,66,88,18,1093
6,388,1863,68,473,259,48,4,27,22,3159,229,916,11,93,145,23,4,6,5,1430,2955,15572,773,2969,2559,884,105,820,243,26887,10,9,6,41,19,3,4,8,3,111,629,1006,210,936,912,191,25,130,51,4088,1141,1341,484,2935,2096,562,83,345,110,9090,1731,1353,2574,7454,5265,1965,308,1606,283,22552,210,97,177,684,696,546,66,411,26,2912,224,153,115,736,691,257,29,229,26,2463,60,160,36,163,136,67,4,68,15,712,192,323,92,493,354,255,30,346,216,2298,9093,29077,4791,18332,14085,5231,699,4462,1132,86903,32,226,6,15,14,11,4,8,0,306,454,2820,73,68,129,14,11,30,36,3629,2358,7330,834,2024,1286,800,524,1328,214,16696,90,288,15,46,41,23,15,28,17,561,658,2799,138,566,344,78,32,69,33,4712,437,1232,53,159,194,28,13,12,16,2143,6423,24727,2448,4619,3722,1605,779,2078,498,46905,25,18,22,39,20,5,7,8,3,151
7,260,984,16,285,111,20,4,14,13,1708,147,465,18,55,75,4,0,7,4,763,1540,6758,337,1599,1405,476,47,405,126,12700,12,11,0,26,12,0,0,0,7,79,256,401,79,331,348,72,10,64,24,1581,722,694,202,1162,1016,238,36,153,46,4271,754,796,702,2049,2369,528,146,395,105,7850,80,94,51,247,328,143,24,110,11,1097,100,98,53,226,268,95,17,60,17,931,33,102,11,74,56,19,0,30,4,330,96,193,44,251,178,86,21,117,160,1146,4764,13483,1596,6788,6710,1872,318,1451,575,37560,23,80,3,7,15,0,0,0,5,128,146,862,23,19,39,3,5,6,9,1116,1328,3617,281,856,826,360,133,254,114,7766,52,153,10,28,26,10,0,5,8,288,413,1363,40,347,151,20,12,25,16,2399,245,577,27,98,91,7,6,10,7,1072,2982,10236,1124,2598,2020,762,365,797,244,21139,19,22,12,29,14,4,0,4,4,113
8,1220,2773,41,584,539,50,5,30,64,5307,699,988,18,67,291,10,0,7,29,2126,6888,18767,910,3313,5889,1127,71,588,668,38217,15,13,0,30,22,10,0,3,8,98,774,1009,202,660,1157,226,16,91,73,4199,1564,1447,419,2085,2524,448,27,228,145,8888,1213,1228,1211,2669,3339,699,78,350,186,10972,145,128,73,201,396,185,8,70,13,1223,224,168,74,332,662,141,15,91,25,1740,60,174,45,92,134,33,0,25,10,592,125,266,55,206,289,86,9,71,204,1303,17801,38040,3378,11591,17541,3620,268,1855,1818,95911,80,283,3,13,31,6,6,7,7,437,1510,5511,118,89,345,26,13,20,92,7721,8869,16210,967,2001,3470,1193,480,916,706,34815,210,480,22,62,109,33,9,26,17,970,2056,4455,141,717,822,86,30,59,111,8467,1164,1491,58,148,431,24,7,16,44,3392,13806,34193,2870,5131,8772,2071,717,1533,1297,70382,16,19,10,41,25,14,4,0,8,139
9,3,30,0,3,5,3,0,0,0,39,0,6,0,0,0,0,0,0,0,3,36,78,4,29,27,9,4,5,0,178,0,0,0,0,0,0,0,0,0,0,7,5,3,7,17,0,0,0,0,51,16,6,0,22,22,3,0,8,0,86,21,11,17,37,36,6,0,16,0,141,3,0,0,11,13,5,0,9,0,46,0,4,0,9,11,3,0,0,0,34,3,3,0,0,5,0,0,0,0,10,8,3,3,11,11,8,0,4,3,50,122,178,26,141,141,42,8,37,5,706,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,10,21,33,0,12,7,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,9,33,0,3,5,3,0,0,0,51,4,7,0,0,0,0,0,0,0,7,64,120,9,47,30,11,4,6,0,293,0,0,0,0,0,0,0,0,0,3
