STE_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
1,11172,20811,14727,10610,12583,4555,2319,76789,3286,3797,2626,1860,2300,1115,711,15694,737,1043,692,470,511,232,134,3816,23303,45259,35144,26584,34429,14172,7591,186482,878,1674,1224,930,1119,436,253,6526,1442,2138,1312,901,959,330,190,7267,2323,3811,2538,1833,2080,763,445,13793,25631,49065,37682,28418,36511,14943,8036,200279,30407,31956,18817,13039,14111,5571,3232,117121,777,958,668,462,324,88,49,3338,56818,81984,57162,41922,50945,20598,11316,320741
2,8801,17886,12819,9446,12021,5287,2676,68942,1747,1839,1155,845,1142,519,302,7544,503,803,527,381,484,211,108,3019,16959,35217,27467,21151,29502,14222,7547,152062,637,1278,928,723,925,447,249,5195,1100,2051,1099,784,892,372,197,6508,1737,3330,2029,1513,1814,823,450,11702,18695,38545,29492,22663,31320,15048,7998,163763,18863,21021,12208,8782,10080,4776,2897,78635,585,738,481,355,236,92,63,2543,38146,60305,42180,31801,41632,19916,10951,244942
3,8972,17690,12606,8731,10201,2469,1044,61710,2190,2741,1829,1238,1530,471,200,10204,630,941,591,444,403,107,52,3160,18664,37910,29278,21793,27987,7623,3329,146588,1024,2096,1387,1011,979,201,81,6783,1601,2546,1406,883,841,181,62,7527,2623,4637,2794,1899,1824,384,148,14309,21285,42542,32075,23687,29817,8009,3479,160899,21714,22325,13019,8994,8393,2039,1035,77523,634,791,476,354,175,55,12,2510,43647,65665,45575,33040,38387,10102,4524,240935
4,2917,6035,4298,2980,3602,1260,649,21742,465,423,267,209,291,108,52,1822,171,215,155,104,111,34,21,803,5127,11018,8679,6472,8638,3341,1858,45136,230,505,351,241,305,95,40,1768,368,781,480,292,308,80,49,2367,595,1284,834,532,613,178,91,4134,5725,12304,9512,7010,9252,3521,1947,49265,6783,6904,4113,2925,2909,967,596,25188,132,162,134,108,63,24,3,633,12646,19369,13756,10046,12220,4507,2551,75091
5,4107,8752,6135,4301,4976,1451,770,30501,570,505,381,291,337,103,73,2263,219,315,207,165,186,55,37,1186,7669,16601,13122,9938,12710,4101,2459,66601,340,756,554,394,453,129,80,2705,668,1295,698,468,459,78,62,3722,1009,2056,1253,863,911,206,145,6427,8675,18657,14373,10797,13622,4305,2602,73035,9635,9553,5288,3651,3462,902,537,33033,266,359,240,159,95,22,17,1155,18580,28567,19899,14602,17175,5236,3158,107221
6,1061,2113,1583,1117,1259,316,98,7540,173,136,103,80,109,23,12,641,57,80,71,54,39,8,3,317,1774,3619,3001,2266,2874,777,308,14627,78,190,142,111,101,26,14,658,166,355,193,118,122,30,0,987,240,539,334,226,228,55,15,1641,2016,4164,3334,2494,3098,835,327,16268,2657,2768,1560,1103,1017,242,115,9457,51,75,47,31,16,3,0,227,4721,7006,4941,3629,4130,1081,438,25949
7,319,582,361,254,207,33,12,1770,74,89,41,25,22,4,0,257,27,33,27,25,18,7,0,141,865,1706,1199,852,904,154,65,5739,80,135,67,73,41,4,0,405,59,113,66,46,22,0,3,306,139,251,136,113,61,4,5,712,1004,1952,1341,966,965,160,66,6450,1356,1485,906,572,333,42,24,4714,74,87,46,47,20,3,0,275,2437,3528,2286,1580,1316,200,89,11439
8,592,988,664,415,584,180,98,3522,125,106,59,34,54,32,14,424,48,31,18,11,14,8,5,121,1407,2885,2079,1502,2168,819,394,11252,39,67,48,40,42,10,10,256,63,97,58,39,46,20,6,318,96,163,104,76,83,33,20,577,1508,3049,2183,1581,2256,852,410,11834,916,997,576,359,474,156,116,3594,29,28,19,9,8,6,0,99,2451,4078,2774,1954,2736,1015,526,15520
9,11,18,9,3,8,0,0,51,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,14,28,24,14,16,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,32,22,17,16,0,0,102,0,5,5,4,7,0,0,24,4,0,0,0,0,0,0,8,22,35,33,24,22,0,0,134
