STE_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,6240,12277,28937,26352,25413,19472,5810,823,51,125380,6742,15645,42169,38647,32252,23266,7507,2080,474,168787,179487,330502,841047,831152,749497,565084,162539,22670,2176,3684158
2,3693,10638,27031,23734,22162,16743,5040,693,43,109773,5046,13279,36841,32946,28299,20193,6368,1706,399,145076,147764,288281,754714,719495,634530,466283,132482,17744,1609,3162893
3,5282,10518,23023,20369,18660,13457,3930,512,28,95768,6023,11162,25272,23956,21263,14830,4742,1344,305,108892,150047,229496,527469,533437,514391,374911,100253,12993,1087,2444090
4,1389,3409,7683,6578,6712,5248,1733,232,19,33002,1234,2740,6050,5723,5467,4300,1529,560,119,27731,45015,77472,181094,177939,172727,140571,38933,5206,449,839414
5,2790,5474,12167,10802,9554,7163,2283,287,19,50545,2988,5719,13634,13556,11823,8476,2846,707,146,59901,71873,115318,282237,294679,270399,205322,58614,7233,582,1306249
6,430,968,2431,1921,1839,1510,480,65,0,9641,329,633,1642,1325,1358,1152,477,175,48,7136,12991,21321,57861,50988,52324,44950,12514,1627,146,254722
7,220,342,1087,977,743,587,187,17,0,4167,253,479,1203,973,785,533,193,38,8,4455,4959,9093,28569,24567,20493,14744,4175,412,31,107035
8,464,948,1784,1505,1273,803,293,39,0,7108,209,572,1578,1126,753,413,131,30,14,4833,12864,26313,65002,59779,47673,28597,7420,871,80,248603
9,0,0,4,17,12,18,8,3,0,66,4,14,16,19,21,24,20,5,0,117,110,136,335,426,461,516,229,41,4,2251
