STE_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1,3228581,3373575,6602157,1270667,865942,2136610,432000,719663,1151660,193161,202727,395888,105123,84732,189852,2000952,1873062,3874012,1034509,1306903,2341417,5.3,4.5,4.9,62,55.5,58.7,58.7,53,55.8,238825,247016,485845,47597,88018,135609,539015,678031,1217048,257635,358683,616322,647029,341819,988847,25432,47636,73071,50854,84343,135200,723319,473796,1197119,3117750,3218064,6335812,583304,601400,1184699,2011377,2084590,4095964,1488959,1545783,3034744
2,2600300,2733735,5334032,1166712,704564,1871278,378143,698602,1076741,93770,121105,214876,89608,78060,167667,1728227,1602334,3330560,729584,990067,1719644,5.2,4.9,5,66.5,58.6,62.4,63,55.8,59.3,193087,206528,399612,50861,102586,153446,445739,558652,1004394,226023,295268,521291,499032,260802,759840,19017,30263,49285,32323,48016,80339,550374,339078,889455,2539787,2634915,5174703,453064,469575,922640,1628210,1701442,3329653,1203806,1249930,2453741
3,2044361,2147455,4191812,880247,562205,1442451,270028,516914,786940,91405,123293,214697,75331,63383,138714,1317009,1265788,2582802,586114,754104,1340215,5.7,5,5.4,64.4,58.9,61.6,60.7,56,58.3,94693,102237,196928,30496,61737,92233,257621,371682,629307,161958,233653,395615,508749,284242,792993,24861,35146,60015,30255,44640,74893,563865,364031,927894,1919792,1989425,3909222,418744,449611,868358,1159118,1188917,2348035,1050344,1128571,2178913
4,723017,755362,1478375,302907,177195,480100,106713,203951,310668,21984,26660,48643,26791,20987,47778,458396,428801,887193,230183,294257,524448,5.8,4.9,5.4,63.4,56.8,60,59.7,54,56.8,36836,39944,76780,11325,21701,33029,95588,129817,225405,54682,73015,127698,164373,95230,259599,8575,11982,20557,10796,15190,25988,183739,122398,306135,714306,739074,1453376,110169,114570,224739,480451,495155,975602,302797,319736,622536
5,1062852,1091391,2154244,500048,286299,786345,141935,298053,439984,39542,40371,79916,36725,33274,70001,718253,658000,1376251,268572,373268,641842,5.1,5.1,5.1,67.6,60.3,63.9,64.1,57.2,60.6,54953,54961,109913,16672,33473,50138,150169,203443,353606,87305,113348,200659,250555,131966,382528,14162,20785,34947,13539,24323,37859,278257,177080,455335,1033388,1061871,2095256,180456,189646,370101,670528,684875,1355404,473119,500484,973607
6,226250,238684,464930,88353,51500,139850,33855,64739,98591,7415,8857,16275,8819,7239,16058,138441,132337,270780,75493,94370,169864,6.4,5.5,5.9,61.2,55.4,58.2,57.3,52.4,54.8,12820,14388,27212,3503,6792,10301,26896,37434,64334,15334,21358,36691,54750,31440,86188,2711,4947,7654,2898,4884,7777,60357,41271,101628,218269,227255,445520,36612,38571,75186,146616,151573,298192,95823,102390,198214
7,92299,91409,183704,41256,32269,73528,9661,16198,25856,3609,4044,7648,3396,2961,6359,57918,55476,113390,24574,27472,52047,5.9,5.3,5.6,62.8,60.7,61.7,59.1,57.4,58.3,4597,5667,10260,1260,3040,4302,9703,15163,24866,6314,7456,13766,19676,9905,29580,1318,1743,3061,1247,1475,2723,22236,13123,35361,82719,82460,165183,20309,21209,41514,51031,50473,101502,44523,46393,90918
8,181575,189986,371559,93042,70539,163581,26924,44461,71381,5687,7952,13639,5432,4521,9956,131090,127471,258562,42435,55096,97524,4.1,3.5,3.9,72.2,67.1,69.6,69.2,64.7,66.9,27466,25314,52777,6468,10350,16818,40577,49375,89954,15262,19141,34410,25215,14610,39826,1477,2041,3512,2008,3621,5631,28698,20272,48973,171950,178340,350290,40392,40954,81345,103525,108698,212227,97480,99901,197380
9,2073,1891,3965,816,536,1350,245,473,723,87,92,178,27,30,56,1171,1133,2307,598,482,1084,2.2,2.6,2.4,56.4,60,58.1,55.2,58.5,56.7,37,71,101,17,52,72,134,218,351,117,180,299,503,184,687,35,53,84,17,43,63,560,279,832,1595,1593,3182,326,329,660,1132,1132,2267,671,701,1371
