STE_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1,3067,6618,25643,30627,9168,57102,7049,37165,3033,179487,16002,56542,52594,60989,38249,46410,18004,35329,6383,330502,95379,271641,112470,89433,96532,55224,44481,59059,16825,841047,150210,257111,91100,71506,108016,45123,44258,47907,15923,831152,142075,188313,78492,71046,110869,43675,48716,53292,13021,749497,92720,125507,60215,54428,89276,35485,46246,52240,8954,565084,29815,40744,14612,11879,25414,10334,12307,14209,3238,162539,6706,5311,1371,828,2908,1407,1100,1653,1384,22670,845,332,91,43,169,128,31,109,430,2176,536820,952131,436589,390779,480612,294889,222186,300966,69202,3684158
2,2373,3325,16607,25927,6375,53582,4267,32744,2562,147764,13260,41774,47003,51573,31537,47341,15724,34173,5898,288281,77685,236756,109207,83023,84612,48428,41142,58223,15631,754714,123708,219445,86842,66214,87790,37491,38720,45172,14115,719495,117967,153819,72895,62968,89206,37514,40331,48261,11565,634530,76333,99984,52993,46895,71265,29448,37447,44140,7780,466283,24718,31679,12652,10245,19637,8357,9603,12773,2810,132482,5451,3948,1193,692,1917,1091,671,1701,1081,17744,604,231,67,31,108,80,31,114,350,1609,442109,790960,399460,347570,392444,263317,187939,277292,61805,3162893
3,2341,3229,17661,27540,7091,49615,6127,33765,2673,150047,10287,32000,37843,44166,25659,31752,13890,29504,4397,229496,50580,134847,85605,66763,61070,35419,33357,49429,10407,527469,80551,141050,73736,56550,68295,28768,33663,40565,10263,533437,84641,116244,63078,56783,73594,31259,36880,42857,9051,514391,55330,73418,44899,40545,57433,25626,33174,38422,6066,374911,17644,20307,10230,8121,14607,7888,8879,10494,2085,100253,3980,2192,823,546,1531,1055,735,1293,841,12993,402,100,34,19,93,61,34,71,271,1087,305755,523395,333915,301039,309376,211439,166739,246394,46047,2444090
4,641,819,4659,8423,1704,15547,1282,11184,764,45015,3400,10305,12459,15803,7732,11737,3938,10727,1381,77472,16839,47201,28481,25219,19702,12026,10665,17871,3083,181094,27220,47213,23233,20739,22717,9259,10107,14372,3087,177939,29446,37841,20845,19687,25154,10363,11029,15399,2961,172727,22237,27564,16388,16191,21638,9216,10810,14300,2219,140571,7794,8510,3980,3267,5698,2494,2640,3730,829,38933,1661,967,394,184,586,329,204,464,415,5206,161,46,26,12,27,32,6,42,101,449,109406,180460,110462,109523,104955,71002,50680,88086,14838,839414
5,910,1463,8167,13826,2972,23448,3223,16670,1190,71873,4607,14878,19944,22882,11494,16845,7765,14928,1981,115318,25490,74543,50820,33725,30980,16559,20552,24510,5055,282237,42405,78636,46745,30120,35534,13670,21500,21122,4942,294679,43711,61516,38807,28189,36581,14451,21924,20852,4374,270399,31211,41677,27785,20647,30600,12297,19739,18329,3041,205322,10181,12718,6594,4629,8554,3901,5289,5671,1075,58614,1982,1489,497,310,854,466,389,825,426,7233,193,77,20,10,51,30,12,53,128,582,160687,287009,199379,154341,157610,101670,100392,122961,22204,1306249
6,288,175,1853,2253,554,4385,437,2807,239,12991,1048,2240,4134,4283,2022,3268,1043,2924,360,21321,5376,12482,9614,8924,5784,4334,3463,6847,1035,57861,7580,12707,6874,6303,5927,2904,3031,4718,953,50988,8364,11473,6166,6474,7269,3279,3422,4968,906,52324,6737,8857,5384,5273,6460,2799,3782,4923,733,44950,2405,2715,1350,1091,1577,765,966,1333,314,12514,552,257,103,70,177,98,98,141,144,1627,51,21,10,6,11,9,0,4,45,146,32403,50919,35480,34676,29776,21834,16230,28679,4717,254722
7,82,141,604,997,369,1445,176,990,154,4959,412,1174,1528,2215,1156,937,424,999,250,9093,2653,7187,4194,5135,3587,1675,1288,2210,634,28569,3611,6197,3482,3684,3189,1064,1146,1686,508,24567,3604,4472,2667,2744,2965,858,1179,1610,403,20493,2630,3301,1785,1623,2185,688,1030,1217,287,14744,750,1012,474,381,587,244,280,347,99,4175,97,84,29,30,65,25,31,35,22,412,4,4,0,0,5,0,0,3,12,31,13843,23578,14759,16803,14102,6942,5551,9099,2366,107035
8,540,559,1181,3413,825,4010,299,1870,163,12864,1912,5397,3369,5536,4218,3193,578,1598,520,26313,8750,23180,7505,7003,8803,3372,1596,3303,1491,65002,13628,21856,5183,4740,8105,1658,1110,2175,1338,59779,12217,15402,3724,3578,7679,1365,1065,1614,1023,47673,6062,8849,2263,2258,5160,1113,989,1355,536,28597,1118,2594,577,570,1227,428,351,413,149,7420,137,301,71,43,138,71,29,52,31,871,16,24,5,0,7,10,0,11,11,80,44389,78169,23880,27144,36150,15209,6016,12380,5263,248603
9,3,0,17,49,3,12,4,15,4,110,8,19,27,30,17,6,6,23,0,136,34,56,68,64,40,12,18,35,4,335,78,62,65,60,61,23,26,45,9,426,88,70,78,57,64,24,24,50,7,461,104,65,101,44,72,34,27,58,11,516,29,27,42,15,25,19,30,33,9,229,11,5,4,6,3,3,0,6,3,41,4,0,0,0,0,0,0,0,0,4,364,299,391,335,279,135,135,271,43,2251
