STE_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1,3117750,3218064,6335812,128345,133224,261563,379954,393104,773058,12593,12290,24883,12463,13224,25682,2181,2121,4305,2438,2395,4831,1063,1111,2174,1156,1126,2285,4786,4894,9675,69,38,112,416702,430304,847004,28536,29827,58370,9718,8039,17760,583304,601400,1184699,236050,224087,460135,3937101,4043549,7980647
2,2539787,2634915,5174703,83534,87858,171396,10390,11082,21473,315300,325936,641234,6506,6862,13364,2669,2760,5434,2439,2479,4922,1696,1780,3475,1115,1202,2321,1294,1312,2604,9,4,19,341420,353422,694839,21538,22819,44354,6578,5476,12050,453064,469575,922640,170881,162194,333070,3163734,3266679,6430414
3,1919792,1989425,3909222,72472,78837,151312,21763,23096,44862,14191,15134,29320,272917,295309,568229,2725,2916,5643,2803,3014,5817,1666,1831,3501,2453,2501,4952,1805,1808,3617,32,34,64,320355,345647,665999,17218,17557,34773,8704,7574,16275,418744,449611,868358,173125,149548,322672,2511659,2588588,5100249
4,714306,739074,1453376,21556,22932,44491,3614,3211,6823,4591,4169,8758,2147,2255,4399,69032,72893,141924,984,1006,1984,390,422,808,957,1039,1993,341,329,662,8,7,9,82052,85326,167376,4580,4686,9263,1979,1629,3609,110169,114570,224739,44661,40312,84972,869134,893955,1763085
5,1033388,1061871,2095256,35371,37712,73082,4354,4168,8523,4708,4625,9329,4002,4028,8027,1298,1243,2542,115465,122831,238295,629,666,1297,1094,1085,2179,377,388,762,54,57,113,131982,139098,271079,9755,9901,19654,3351,2937,6285,180456,189646,370101,93179,70645,163822,1307026,1322157,2629183
6,218269,227255,445520,6606,7111,13719,2704,2477,5178,2731,2476,5209,1641,1800,3436,271,258,531,401,454,855,20202,21992,42197,197,195,393,150,163,314,6,5,4,28299,29824,58123,1062,1063,2124,641,567,1214,36612,38571,75186,16073,15307,31377,270950,281132,552079
7,82719,82460,165183,3377,3614,6987,1451,1462,2909,1672,1718,3391,1571,1638,3212,626,702,1331,703,737,1441,107,103,206,9319,9792,19111,176,187,361,10,8,12,15627,16346,31973,851,883,1733,454,365,818,20309,21209,41514,12935,9918,22852,115962,113582,229546
8,171950,178340,350290,3189,3313,6502,7241,7353,14597,2246,2119,4359,1565,1519,3083,375,388,762,434,415,847,147,147,298,243,238,483,22028,22646,44678,11,11,23,34289,34834,69122,2360,2368,4724,560,437,1001,40392,40954,81345,9291,8446,17740,221636,227742,449377
9,1595,1593,3182,92,110,202,56,50,105,16,7,22,48,49,98,0,4,7,67,72,142,0,0,0,9,4,16,10,13,27,0,0,4,206,205,410,18,21,43,4,3,5,326,329,660,579,329,905,2497,2249,4749
