STE_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
1,3844,12198,10627,10813,10111,8748,4357,989,61682,11387,32662,44256,21174,10563,4120,714,61,124935,21138,86139,85458,85972,94157,74187,39321,10979,497355,17401,41942,37608,35898,31016,21858,11143,3338,200204,2961,8818,9722,10525,9564,6445,3005,748,51789,5119,23192,19132,16519,14741,10559,5109,1664,96041,1619,11298,11071,11460,12949,14881,6112,1580,70974,20002,85327,92973,72021,53534,36642,14995,3427,378932,9865,35872,33079,31464,25441,19921,8190,1946,165782,7504,20021,16241,10363,6922,4550,1736,418,67763,6315,16689,16764,12446,8472,5199,2538,541,68958,718,614,367,275,315,325,193,143,2952,1857,5380,6321,6123,5148,3612,1743,588,30778,35485,50920,45254,37988,33899,29362,23169,12887,268957,145222,431078,428867,363060,316826,240413,122335,39314,2087100,5216,14536,14251,11550,9092,5733,2195,535,63113,2610,11518,14935,7791,4922,2133,471,39,44419,2321,12593,11233,7675,7302,4410,2713,1409,49665,2271,7121,5865,4141,2589,1283,450,102,23816,2317,5343,5033,4385,3430,1680,581,121,22889,20597,71769,57762,50713,49967,35278,15440,5093,306622,10531,46447,45655,43177,40292,36888,15441,4197,242626,29615,121007
2,4970,11539,9707,9501,8423,6926,3386,697,55142,7927,30659,39159,17991,8772,3586,513,45,108650,18707,73289,70256,68572,68613,53247,27582,7817,388065,14256,42922,33074,27779,21845,14426,7474,2208,163988,2685,8049,8932,8629,7288,4373,1846,500,42290,4490,21039,16696,13438,11524,7930,3315,1062,79481,1774,10707,10213,9582,10906,12041,5849,1270,62345,15728,66544,73127,55696,39109,25694,9995,2338,288227,9315,30207,26442,23368,18335,14416,5673,1284,129037,7683,20505,15432,9015,5269,3400,1373,341,63024,4955,16329,15825,9671,6738,3585,1683,393,59177,543,560,355,215,198,171,107,30,2176,1600,5633,6935,5944,4462,3005,1406,443,29431,25393,38200,32574,28132,24449,21559,17187,8886,196373,120011,376179,358735,287529,235922,174349,87391,27307,1667417,6938,15493,14597,10772,6941,3881,1233,351,60207,2037,12068,13697,6360,3667,1419,257,17,39526,2250,11419,10473,6791,4974,2960,1956,1079,41906,1982,7616,5684,3838,2176,906,307,78,22583,2185,5072,4836,3784,2671,1040,326,82,20004,18644,71157,54534,43713,38795,27378,12219,4282,270729,8275,40810,39661,36869,34055,30972,13590,3138,207359,18532,86957
3,2484,6052,6094,5861,4781,4248,1974,397,31882,4517,12511,15634,9556,4885,2071,390,29,49591,21268,61844,63939,62789,62795,49989,24628,5842,353091,9527,27365,26550,25119,22308,17195,8176,1950,138184,2504,5310,6789,7508,6090,3626,1723,362,33917,3993,15421,14041,12926,10268,6563,2851,765,66833,1254,6125,7794,8605,8689,8259,3845,734,45318,15419,35849,41776,37967,27936,18882,7222,1445,186498,10746,20535,18550,17665,13221,10102,4054,790,95649,5561,9951,7283,4792,3102,2260,855,230,34037,6682,12098,11349,9329,6199,3785,1571,292,51314,881,414,213,174,150,160,82,30,2100,1645,3309,4202,4244,3328,2179,1061,315,20294,26395,34421,31186,29509,24918,20125,14453,6835,187845,112872,251204,255400,236056,198674,149444,72897,20020,1296559,3246,7546,7890,5918,3959,2418,819,182,31977,1007,3796,4372,3021,1897,873,178,16,15157,2428,6826,6263,4619,3458,1926,1073,450,27045,1229,3945,3271,2331,1267,601,186,40,12879,1924,3647,3880,2920,2035,833,231,47,15512,17461,50160,43045,38382,34852,22310,9736,2838,218781,6419,25250,33292,34095,28135,22042,8841,1926,159992,24092,63416
4,818,2437,2670,2573,2185,2225,1034,215,14154,1708,4974,5706,2931,1767,859,129,10,18082,6098,20287,19658,20788,21382,18409,9487,2788,118897,3192,8706,6320,5908,5547,4378,2533,757,37336,1061,2592,2953,3026,2494,1639,596,152,14511,1411,5205,4714,4182,3863,2816,1226,352,23762,492,2927,2663,2613,3091,4249,1870,309,18215,3689,13031,15181,13078,10429,7659,3102,760,66931,2860,7357,7069,6176,5547,4731,1914,389,36039,1828,3373,2764,1758,1306,935,358,92,12415,1670,4196,3634,2796,2108,1284,526,131,16348,109,98,64,60,61,44,26,8,467,442,1251,1450,1354,1085,848,430,160,7022,6150,7953,7622,7490,7104,6177,4850,2519,49868,31518,84384,82450,74735,67978,56257,28076,8652,434052,1068,2910,3085,2203,1555,1077,358,98,12351,376,1915,1737,977,593,332,64,8,5990,617,2161,1920,1512,1117,728,546,305,8909,409,1429,1034,785,468,277,79,16,4506,804,1467,1482,1167,825,352,77,18,6196,5445,18294,15403,13579,14607,10163,4043,1413,82949,2217,9452,9604,8930,8744,9216,4020,937,53117,5283,19516
5,1798,4512,4779,4477,3757,2970,1305,251,23833,2637,6041,8356,4615,2396,960,188,10,25196,12104,41786,43915,39378,36248,27147,12042,2990,215623,4268,13368,12036,10288,9360,7105,3473,1007,60897,1231,2763,3609,3495,2949,2037,981,255,17317,1929,7235,6997,6208,4967,3126,1489,409,32360,812,3292,3707,4012,4515,4138,1854,443,22780,7221,17272,22367,19147,14295,9798,4068,854,95020,4650,9133,8780,7814,6270,4932,1990,416,43991,3235,4630,3776,2274,1521,1218,431,99,17178,2388,5733,5966,4353,3162,1704,790,144,24250,406,199,94,79,97,72,49,16,1015,716,1887,2294,2153,1643,1045,552,157,10452,11750,19195,18726,16849,13433,9329,6561,3447,99297,55139,137042,145401,125157,104606,75578,35778,10498,689197,2449,5859,5991,4256,2696,1411,434,112,23198,466,2271,2751,1536,1024,409,84,7,8547,1408,5051,4696,2798,1779,1056,550,329,17682,551,2245,1870,1254,771,350,80,26,7151,1031,2372,2660,1841,1176,476,115,33,9697,8531,26757,23169,18806,17211,11498,5320,1687,112976,4378,14631,17488,17935,15535,11308,4590,1181,87038,10372,31373
6,183,782,795,860,820,733,358,87,4614,516,2261,1486,738,537,255,52,0,5844,1489,5813,5113,5736,6618,5552,2865,723,33919,1117,3213,2382,2464,2711,1927,1017,248,15075,372,990,1186,1206,1044,686,279,74,5832,264,1378,1169,1194,1216,953,372,100,6651,95,680,925,909,1146,1358,590,128,5828,940,5966,3631,3031,2725,2122,829,184,19425,597,1974,1767,1839,1721,1579,542,108,10118,328,853,746,590,503,452,193,34,3692,532,1399,1222,1028,864,504,175,30,5760,37,50,15,13,14,24,10,3,162,122,394,400,413,342,295,143,36,2150,2248,2819,2379,2491,2666,2718,2013,826,18162,8836,28566,23217,22502,22929,19161,9437,2586,137242,301,940,873,719,555,351,94,29,3858,103,765,313,224,171,112,22,0,1714,140,561,470,438,390,250,128,76,2453,82,360,272,191,158,72,19,0,1152,206,583,533,539,401,173,45,12,2502,1488,4873,3919,3706,4362,3372,1472,443,23637,480,2392,3170,3105,3367,3163,1588,452,17710,1750,7985
7,49,234,267,216,183,139,40,9,1122,260,691,526,248,146,57,0,0,1934,1015,3331,2867,2663,2264,1324,431,68,13967,308,1034,956,774,690,386,150,30,4326,194,354,415,389,288,141,39,4,1822,135,780,780,541,415,178,51,6,2887,64,362,368,358,418,299,100,10,1986,397,2280,1668,1256,827,461,110,7,7016,340,1153,1164,909,636,378,108,18,4710,89,253,241,157,118,67,26,4,953,259,622,550,353,238,109,25,0,2159,12,15,15,17,9,6,0,0,72,59,199,242,218,135,71,18,3,954,2045,2859,2313,2154,1748,1018,389,99,12628,5231,14159,12384,10247,8120,4642,1493,259,56532,81,339,330,240,132,64,19,0,1206,44,244,207,105,70,24,4,0,701,93,344,265,159,101,52,21,8,1047,28,121,101,56,32,9,0,0,345,184,299,273,201,98,36,9,5,1103,571,3031,2047,1366,1206,591,183,51,9044,267,1385,1489,1381,1113,640,215,21,6516,768,3420
8,476,1622,1408,1311,1248,1133,640,172,8004,1224,4259,4539,2659,1705,673,115,3,15181,829,4345,3971,3449,3011,2401,1292,479,19777,776,2294,1746,1432,1127,808,535,168,8876,111,514,517,490,437,296,172,54,2592,305,1529,1277,902,709,479,222,77,5499,100,798,880,774,642,605,370,90,4258,1124,5664,5636,4432,3027,1887,730,169,22659,1415,4913,4446,3758,2855,2531,1215,297,21431,508,1304,1193,724,418,278,98,19,4545,399,1089,931,662,367,162,86,18,3725,38,24,9,10,8,15,9,0,116,164,459,516,417,292,248,146,68,2309,1827,2518,1975,1416,1113,841,645,322,10665,9284,31340,29045,22431,16960,12359,6279,1943,129638,585,1776,1563,1261,876,595,218,60,6937,388,1454,1319,784,583,246,44,3,4832,113,754,709,364,281,193,90,49,2550,125,466,346,258,176,96,22,3,1493,160,446,393,383,199,104,43,12,1725,1231,4729,3637,2653,2340,1730,888,327,17533,552,2609,2819,2368,2112,2142,1208,307,14122,1627,7552
9,0,4,3,5,7,7,6,0,32,0,0,3,0,3,3,0,0,22,13,47,41,61,77,61,13,4,319,11,15,17,28,29,16,8,5,141,0,8,4,9,13,0,4,0,39,0,4,5,7,0,6,0,4,27,0,4,10,6,8,6,0,0,35,3,18,17,14,18,13,5,0,83,5,8,29,11,5,14,3,0,70,0,5,4,3,5,4,0,0,18,4,8,12,8,13,0,0,0,52,0,0,0,0,0,0,0,0,0,0,5,5,6,8,3,0,0,21,53,162,106,95,64,55,34,3,587,96,284,265,264,253,199,66,15,1442,0,5,12,4,4,0,0,0,26,0,4,5,6,0,0,0,0,8,0,0,4,6,4,0,0,0,17,0,0,0,0,0,0,0,0,7,0,5,3,9,4,0,0,0,18,3,19,20,18,26,30,9,4,136,7,19,28,27,32,22,7,0,153,14,34
