STE_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
1,33865,1220,369,1586,35450,14285,180,49919,228,64,24,335,652,5,4,11,663,124,710,1497,148509,27132,10597,3056,189290,3754,948,4706,193994,23991,1321,219304,41028,5307,1990,262,48585,736,153,888,49470,3232,82,52786,32951,6895,1793,287,41929,521,127,648,42578,2790,58,45429,3545,883,1302,54,5787,81,15,92,5885,436,16,6335,350,71,40,489,959,18,14,30,987,100,114,1203,77875,13157,5125,1104,97257,1353,309,1660,98918,6561,271,105751,754,160,49,15,976,198,22,224,1200,135,0,1335,968,190,58,24,1238,135,78,212,1452,161,0,1614,1721,344,111,39,2212,333,103,437,2653,296,4,2949,79593,13503,5238,1142,99471,1689,412,2099,101571,6857,273,108703,14305,3643,1712,542,20200,718,248,961,21164,9604,113,30878,111,44,17,165,340,8,6,10,349,60,456,865,94012,17188,6966,1850,120011,2411,657,3070,123081,16523,838,140445,52487,7007,2625,327,62447,1017,197,1213,63659,4504,82,68242,38794,8457,2187,341,49780,670,140,803,50584,3583,79,54244
2,28370,893,278,1170,29535,6743,138,36419,232,71,0,252,558,16,0,18,578,54,620,1249,131666,20503,3189,2519,157877,2970,805,3770,161652,12624,1065,175337,32422,3936,584,158,37098,587,147,734,37829,1913,44,39790,34413,5497,694,270,40875,514,110,620,41503,1853,57,43408,1704,303,293,14,2315,38,10,53,2371,185,8,2557,338,51,19,431,837,20,5,24,857,70,75,1002,68875,9785,1588,882,81132,1157,275,1432,82558,4022,180,86765,625,131,30,18,805,139,12,153,958,118,0,1071,1096,203,22,26,1345,123,76,199,1541,141,9,1693,1726,334,49,37,2151,268,89,351,2502,257,8,2767,70604,10122,1633,920,83277,1422,363,1785,85061,4278,190,89530,12868,3010,407,433,16711,548,177,724,17441,4764,102,22301,121,33,7,122,280,0,0,0,283,36,368,689,83586,13164,2043,1479,100272,1977,540,2513,102787,9076,659,112521,43209,5178,823,205,49415,793,152,950,50361,2761,73,53187,42684,7133,888,346,51056,618,158,784,51833,2463,47,54346
3,19479,704,201,902,20384,4917,89,25391,146,39,7,175,361,0,0,7,366,37,448,851,102695,15638,3886,1931,124147,2321,609,2936,127086,10377,798,138256,28221,3208,793,162,32386,478,122,598,32981,1777,45,34808,24669,3981,798,210,29661,372,108,479,30135,1433,51,31621,2411,457,435,36,3339,41,11,54,3392,236,5,3630,245,42,6,359,655,6,6,14,668,83,60,810,55549,7687,2034,767,66037,899,245,1143,67178,3526,156,70858,490,107,21,22,631,131,17,148,779,101,5,880,765,136,31,24,962,74,49,121,1084,96,10,1187,1256,244,54,49,1592,204,64,270,1868,197,6,2064,56799,7935,2088,808,67626,1107,307,1415,69039,3722,167,72926,9083,1839,410,293,11621,382,109,494,12114,3378,51,15542,101,16,0,89,212,8,5,8,218,25,276,520,65987,9785,2495,1194,79464,1501,411,1914,81374,7121,490,88985,36849,4116,1101,207,42268,586,167,754,43022,2381,58,45459,29366,5004,996,232,35606,418,113,530,36134,1907,50,38097
4,6011,204,71,274,6284,1767,31,8077,51,15,0,22,84,0,0,0,85,16,116,223,32876,5408,771,522,39580,668,208,882,40460,3187,220,43865,8127,1105,129,44,9409,114,40,156,9561,481,21,10057,9350,1590,194,92,11231,127,45,170,11394,488,19,11901,282,88,64,10,436,9,3,9,451,33,0,476,79,17,6,92,198,0,0,0,203,17,14,238,17845,2797,388,238,21271,250,84,331,21605,1016,55,22677,128,35,6,0,171,43,0,43,213,24,0,236,261,60,9,3,332,26,19,48,381,31,0,413,391,94,14,6,502,69,19,87,593,57,0,646,18236,2894,401,248,21773,320,103,420,22199,1077,55,23329,2780,637,93,90,3596,116,49,162,3762,1296,11,5068,28,6,0,12,40,0,0,0,40,5,70,116,21037,3535,495,348,25418,432,151,584,25999,2376,131,28513,10815,1458,217,51,12546,150,44,194,12739,656,12,13406,11448,1886,255,104,13690,161,58,218,13907,656,15,14573
5,11717,332,98,429,12139,1964,37,14137,82,18,4,92,190,0,0,0,192,11,225,433,54813,6782,1676,995,64264,1089,276,1366,65625,3947,393,69975,12839,1479,302,72,14690,202,43,248,14938,684,25,15653,15008,1964,425,122,17519,174,46,219,17740,573,19,18336,443,76,97,6,620,5,0,5,631,33,3,665,122,12,7,146,290,9,0,9,301,26,39,363,28404,3531,826,353,33120,389,98,488,33607,1320,90,35020,255,41,11,8,322,63,4,72,387,34,3,426,543,81,11,20,656,45,16,54,711,57,5,771,792,125,26,31,972,110,22,125,1101,90,4,1200,29193,3658,855,386,34089,498,114,613,34703,1416,98,36214,5465,865,209,163,6708,208,53,262,6967,1366,23,8358,41,5,0,58,99,7,0,6,101,12,151,269,34695,4530,1064,612,40897,711,168,874,41774,2793,271,44837,16720,1836,394,101,19051,278,67,342,19392,908,28,20337,17694,2368,484,139,20679,251,67,322,21002,792,23,21823
6,1675,62,20,80,1758,525,6,2288,18,6,0,3,26,0,0,0,20,0,28,56,9445,1814,276,179,11716,207,63,274,11988,1054,50,13092,2288,340,63,23,2711,37,8,44,2755,140,4,2903,2836,543,65,30,3477,37,7,47,3520,166,0,3690,110,35,32,0,182,0,0,0,182,15,0,194,26,0,4,42,71,0,0,3,73,7,4,81,5258,924,169,90,6435,75,21,93,6535,328,9,6874,35,17,0,6,60,15,3,17,79,11,0,91,54,6,0,0,68,3,4,9,75,12,0,79,93,22,4,6,128,17,10,26,152,23,0,173,5352,944,169,91,6560,100,24,121,6683,351,9,7051,777,183,36,20,1012,26,15,47,1058,404,6,1468,4,7,0,3,12,0,0,0,12,0,22,35,6137,1128,210,114,7591,129,41,166,7758,761,30,8546,2838,464,87,25,3417,24,19,47,3467,203,0,3668,3280,603,91,31,4002,41,13,53,4051,232,4,4294
7,674,71,20,86,756,748,9,1513,10,0,0,5,12,3,0,3,17,3,62,78,3852,620,144,90,4705,197,40,237,4942,1027,78,6050,1358,130,29,11,1529,20,6,24,1553,70,0,1626,571,126,26,5,720,14,3,19,742,51,0,796,47,10,14,0,66,0,0,0,66,7,0,73,10,0,0,22,33,4,0,4,33,8,0,45,1984,264,63,43,2352,31,16,46,2399,131,3,2535,14,12,6,0,28,40,0,40,65,7,0,73,13,8,0,0,23,4,13,16,38,6,0,43,32,20,6,0,53,39,13,55,110,12,0,124,2015,280,66,43,2403,74,23,100,2506,146,3,2660,270,64,12,16,363,23,14,42,398,486,3,884,4,0,0,0,6,5,0,5,12,0,21,32,2289,347,81,62,2768,107,34,147,2913,634,28,3574,1614,127,46,8,1804,32,10,34,1836,96,0,1932,588,131,22,9,754,7,8,6,764,71,3,835
8,1161,30,10,41,1195,178,0,1373,16,3,0,14,34,0,0,0,34,3,14,44,10514,1307,244,94,12164,134,41,174,12341,516,26,12884,3679,348,50,11,4090,40,11,45,4135,161,0,4298,1843,257,35,9,2145,26,3,26,2172,71,6,2249,122,25,29,7,178,0,0,0,181,7,0,187,12,0,0,25,36,0,0,0,36,4,3,42,5658,634,113,46,6448,66,15,77,6525,243,12,6776,40,9,0,0,43,8,0,7,52,6,0,59,41,10,0,0,50,0,4,5,60,7,0,68,80,17,0,0,94,14,0,13,112,12,0,121,5735,648,115,46,6547,79,18,91,6639,251,12,6899,538,95,9,13,661,16,7,19,681,131,0,811,13,0,0,0,19,0,0,0,19,0,10,23,6289,746,122,62,7220,90,21,116,7339,382,15,7733,4668,461,94,9,5241,41,17,55,5295,275,0,5575,2213,274,54,13,2548,27,4,29,2578,103,0,2688
9,15,0,0,0,15,5,0,16,0,0,0,0,0,0,0,0,0,0,3,6,78,17,7,3,100,0,3,3,99,9,3,111,25,4,4,0,34,0,0,0,34,0,0,34,18,0,0,0,20,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,4,0,51,0,0,0,51,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,4,0,51,0,0,0,56,0,0,57,3,0,0,0,4,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,47,11,4,0,62,0,0,0,60,0,0,64,20,0,0,0,24,0,0,0,24,0,0,22,13,9,4,0,19,0,0,0,19,0,0,17
