STE_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
1,810,139,0,950,888,216,111,18,1230,243,70,315,1546,241,0,1792,43760,8305,3692,567,56326,1162,300,1461,57781,5088,69,62942,8421,2232,1230,247,12124,368,149,517,12641,6441,34,19119,46,22,7,56,136,3,0,3,139,24,129,300,52226,10559,4933,878,68589,1531,445,1980,70561,11549,234,82357,10873,1562,680,65,13179,269,75,342,13520,1507,14,15042,7199,2126,605,59,9996,165,43,207,10200,1246,13,11458,1068,322,591,19,1999,27,6,33,2033,294,0,2326,73,18,24,113,223,6,0,13,235,50,19,304,19210,4033,1899,261,25395,470,120,595,25987,3098,50,29133,173,53,22,4,252,106,8,109,365,48,0,416,220,64,27,6,320,47,45,95,411,100,0,515,389,120,55,8,574,150,52,210,776,153,0,931,19596,4150,1955,269,25966,619,178,797,26763,3252,54,30064,4335,1318,741,133,6534,206,91,291,6829,4435,27,11292,15,12,6,38,67,0,0,0,72,16,94,183,23956,5481,2690,444
2,926,93,3,1023,1042,249,24,17,1329,188,68,254,1583,173,6,1764,45106,6982,1160,522,53773,1072,305,1383,55153,3540,104,58791,8154,1982,294,229,10655,314,143,456,11112,3618,31,14758,52,14,0,42,108,0,0,0,112,18,105,232,53303,8979,1452,795,64536,1394,448,1840,66377,7170,234,73778,10463,1479,217,58,12220,208,65,274,12489,1057,8,13556,9370,2097,260,61,11783,162,74,234,12021,1011,14,13044,569,107,145,5,824,17,8,19,843,106,0,953,79,21,5,154,264,3,0,7,273,37,23,327,20476,3699,634,280,25094,390,146,535,25624,2211,41,27877,184,68,11,7,273,65,16,82,352,38,0,397,240,82,3,6,332,41,35,81,410,86,0,491,428,149,14,16,605,111,47,157,765,122,0,887,20905,3849,649,295,25698,503,191,698,26391,2338,40,28764,4458,1177,168,133,5943,182,58,243,6182,2747,23,8953,27,12,0,35,71,0,0,4,73,17,73,160,25383,5039,818,464
3,315,49,0,361,419,75,18,12,515,72,15,88,611,88,0,698,22608,3362,955,252,27180,431,107,540,27719,1747,46,29509,3400,669,198,72,4341,136,53,187,4531,1290,14,5838,24,4,0,16,41,0,0,0,40,11,32,79,26032,4039,1153,336,31561,572,163,733,32287,3052,87,35429,4457,569,133,28,5185,88,23,111,5295,409,12,5718,3122,727,132,22,4009,64,25,88,4092,396,3,4492,402,88,119,5,625,12,0,16,640,63,0,697,46,9,0,54,104,4,0,4,102,11,0,123,8032,1392,386,107,9917,158,51,216,10129,877,16,11024,63,16,5,3,82,27,0,29,115,16,0,130,83,21,7,0,106,11,7,23,130,20,0,150,151,34,4,3,194,41,9,53,245,43,0,285,8183,1427,394,109,10105,204,64,267,10371,919,19,11307,1399,347,106,30,1882,68,32,104,1983,765,8,2752,12,0,0,8,17,0,0,0,17,0,24,46,9593,1775,499,147
4,163,14,0,178,178,55,3,3,247,45,16,57,303,31,0,343,9819,1583,278,82,11764,177,61,239,11997,786,24,12810,1380,367,44,37,1829,55,26,74,1906,762,7,2674,15,0,0,4,18,0,0,0,18,4,16,30,11215,1952,326,120,13611,228,78,312,13920,1551,39,15514,2367,362,62,11,2799,40,7,49,2846,232,4,3081,2168,459,56,18,2699,43,16,60,2754,239,3,2997,97,21,45,0,164,0,0,0,163,25,0,187,10,0,0,20,30,0,0,0,30,11,0,38,4639,836,161,51,5689,85,19,104,5796,502,6,6304,31,12,3,4,50,12,4,13,60,10,0,80,44,15,0,0,62,7,6,13,73,18,0,96,75,32,3,4,111,12,11,27,144,33,0,172,4717,870,166,51,5806,99,36,131,5939,532,6,6479,782,263,28,10,1086,36,8,45,1131,598,0,1729,5,0,0,4,11,0,0,0,10,0,11,18,5503,1135,195,62
5,300,25,6,323,346,58,4,8,423,50,13,61,486,40,5,531,13848,1867,367,174,16265,281,79,361,16620,779,29,17431,2383,435,67,62,2940,61,27,86,3024,647,9,3680,14,4,0,11,32,0,0,0,32,0,16,46,16242,2304,439,247,19234,343,106,446,19679,1434,47,21158,3374,385,71,16,3842,54,31,82,3923,282,3,4205,2936,552,88,9,3586,67,17,88,3676,241,5,3923,126,25,55,5,209,5,5,3,213,15,0,228,16,6,0,38,64,5,6,4,72,3,0,79,6452,973,208,66,7703,124,52,179,7879,541,19,8439,60,14,4,0,80,13,0,14,95,6,0,105,101,15,0,5,125,12,9,21,141,16,0,164,162,36,7,4,205,25,11,36,242,30,0,261,6614,1004,211,73,7902,152,62,216,8118,566,19,8701,1328,282,32,40,1681,39,12,47,1730,527,8,2265,3,5,0,9,18,0,0,0,18,3,13,36,7946,1292,249,118
6,20,3,0,21,26,10,0,0,30,0,4,4,37,3,0,40,1877,344,72,30,2322,28,18,42,2366,171,0,2537,270,58,7,6,347,7,4,11,357,135,0,486,0,0,0,3,3,0,0,0,3,0,3,7,2148,404,85,32,2672,32,19,49,2722,304,3,3033,300,64,9,0,366,4,3,9,371,17,0,393,322,79,7,0,411,3,0,3,417,50,0,470,13,4,4,0,21,0,0,0,21,0,0,22,0,0,0,3,5,0,0,0,5,0,0,9,635,148,22,4,811,4,4,8,820,72,0,892,4,0,0,0,4,0,0,0,4,0,0,4,9,0,0,0,5,0,0,0,5,0,0,10,7,0,0,0,12,0,0,0,12,4,0,12,644,146,22,4,814,4,4,8,825,74,0,900,86,19,6,0,114,6,0,6,119,67,0,184,0,0,0,0,0,0,0,0,0,0,0,0,731,163,30,8
7,10,0,0,10,10,4,0,0,14,3,0,4,20,5,0,19,453,56,16,7,533,20,0,18,549,36,4,590,44,9,0,0,55,4,0,4,62,62,0,121,4,0,0,0,3,0,0,0,3,0,0,3,501,63,19,14,596,20,0,22,619,94,0,718,143,10,4,0,152,0,0,0,156,9,0,171,36,11,0,0,52,0,0,0,52,4,0,58,3,0,4,0,6,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,0,190,22,4,0,220,0,0,0,222,19,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,8,197,20,4,0,220,0,5,3,222,19,0,246,19,4,0,0,25,0,0,3,24,8,0,41,0,0,0,0,0,0,0,0,0,0,0,0,213,22,4,0
8,23,3,0,26,35,4,0,0,40,4,3,7,48,4,0,55,2895,359,69,15,3338,35,14,47,3384,225,3,3607,327,60,13,3,402,8,3,13,412,108,0,516,0,0,0,0,4,0,0,0,4,0,3,8,3221,409,83,21,3736,43,16,57,3798,329,8,4129,822,104,16,3,949,9,7,16,962,93,0,1057,330,81,15,0,427,5,0,10,431,43,0,484,24,10,6,0,39,0,0,0,39,12,0,49,6,0,0,4,8,0,0,0,8,4,0,8,1184,195,37,11,1420,17,9,21,1445,149,0,1593,3,3,0,0,6,3,4,7,16,0,0,13,9,0,0,0,9,5,0,5,14,0,0,14,13,3,0,0,16,10,4,10,24,0,0,25,1195,194,37,11,1439,20,10,30,1467,153,0,1622,179,50,7,0,246,7,4,7,251,87,0,344,0,0,0,0,0,0,0,0,0,0,4,0,1376,249,46,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
