STE_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
1,23402,81567,298911,329043,287327,200044,45136,4863,383,1270667,48542,59801,84984,65925,60516,65476,37769,8201,788,432000,14351,21293,33273,27127,24786,24783,8926,1315,165,156029,1844,4369,10638,8022,5766,4238,1464,619,174,37137,88137,167029,427808,430117,378396,294540,93292,15000,1511,1895828,4242,9682,17080,13249,12433,10606,1653,75,12,69025,9498,7639,6249,3161,3034,4341,1907,234,24,36092,13735,17322,23327,16410,15471,14946,3564,306,37,105123,101876,184346,451132,446528,393864,309490,96859,15312,1544,2000952,122288,54761,76132,66351,76792,134885,263637,180013,59637,1034509,11988,15700,36913,31312,26497,24304,20520,15988,9895,193121,236148,254808,564183,544184,497158,468679,381017,211315,71074,3228581,10218,65559,229681,208246,204036,125115,21504,1494,92,865942,61930,72109,130682,153495,138204,118865,39245,4794,333,719663,17510,22534,45186,33868,24715,23481,7330,867,90,175586,1695,3272,7693,5422,4146,3084,1168,509,153,27143,91350,163478,413238,401035,371102,270545,69249,7669,663,1788326,2402,5339,10059,8170,7377,4941,481,29,11,38814,9573,6953,8418,7402,6202,5996,1271,93,17,45919,11968,12290,18472,15574,13580,10933,1756,120,28,84732
2,16903,73914,290408,305233,259631,177774,38658,3908,292,1166712,46191,61012,77052,53848,47714,52212,32658,6859,592,378143,6547,7690,12093,10042,9335,11088,4649,803,113,62362,1421,3659,9361,6806,4853,3331,1323,517,132,31405,71060,146278,388912,375926,321531,244412,77288,12086,1131,1638622,2773,7978,14236,10468,9921,7805,1213,61,16,54468,12046,7533,5335,2695,2453,3459,1415,178,21,35138,14822,15509,19570,13164,12375,11264,2631,235,39,89608,85875,161786,408484,389089,333907,255676,79921,12326,1170,1728227,92336,37054,45365,39897,48279,88380,194143,136391,47739,729584,8299,11692,29156,23722,20147,17174,14974,11212,6110,142484,186517,210533,483005,452707,402329,361238,289036,159926,55017,2600300,5283,49453,202496,168766,164031,97854,15634,985,60,704564,61118,78884,128455,150034,133462,108591,34162,3683,210,698602,8940,10750,28522,20258,11832,12941,4376,549,61,98229,1362,2912,6330,4510,3675,2485,1023,436,144,22874,76705,142002,365801,343568,312996,221871,55198,5657,479,1524268,1573,4496,9036,6568,5800,3806,364,27,6,31673,12266,7129,7773,7211,5919,4965,1007,98,16,46389,13843,11623,16811,13777,11715,8767,1377,122,21,78060
3,19007,66273,198856,216568,205780,140619,29849,3110,174,880247,43607,37771,49535,37654,35989,38367,22274,4460,373,270028,7503,7997,12833,10639,11286,12042,4295,571,75,67248,1495,3068,6592,4934,3970,2610,944,417,124,24162,71617,115105,267820,269792,257027,193648,57364,8565,748,1241677,4349,7720,11266,8083,8310,7450,1105,54,10,48355,9813,4674,3926,2152,2107,2904,1255,129,14,26981,14170,12398,15193,10240,10420,10348,2358,181,24,75331,85789,127504,283008,280028,267445,203991,59727,8749,767,1317009,66118,23447,33767,30963,39110,76393,171152,112621,32540,586114,8617,11934,27292,23404,22291,18763,14526,9695,4703,141232,160521,162887,344067,334387,328847,299154,245407,131066,38018,2044361,8474,46950,133602,131347,141526,85741,13560,963,44,562205,56787,52215,94143,109989,97418,78934,24554,2732,145,516914,11633,12808,27015,18823,15391,14471,4015,386,38,104593,1543,2406,4889,3490,3027,2125,758,346,106,18699,78432,114388,259657,263647,257366,181268,42889,4428,339,1202413,2470,4278,6642,5173,5245,3736,382,16,9,27951,9371,4606,6062,5514,4516,4396,893,55,16,35434,11845,8877,12705,10686,9767,8131,1276,69,26,63383
4,5099,20950,69541,73247,69674,52019,11235,1074,62,302907,14923,16168,20178,14220,13574,15939,9498,2037,158,106713,1018,1340,2764,2460,2602,3353,1158,197,24,14918,459,838,1829,1381,1162,829,367,163,46,7066,21505,39291,94316,91315,87014,72140,22250,3473,294,431597,1075,2720,4067,2944,2990,2654,338,18,3,16810,3126,2024,1544,882,835,1150,370,41,6,9983,4201,4738,5612,3832,3825,3807,709,62,12,26791,25703,44035,99928,95145,90836,75951,22960,3532,301,458396,23431,9599,11913,11454,14946,29904,67167,45364,16409,230183,1979,2522,5823,5278,5246,4912,4134,3038,1510,34433,51114,56156,117670,111877,111029,110759,94257,51928,18220,723017,1961,13955,42827,39443,44020,29871,4802,302,15,177195,19875,21762,36110,42140,38038,34326,10473,1153,83,203951,1246,1774,6593,4161,2790,3518,1115,139,19,21362,439,691,1254,878,863,712,287,141,34,5301,23518,38177,86780,86626,85711,68434,16685,1732,157,407810,594,1382,2198,1645,1639,1085,109,3,0,8663,2955,1797,2160,1962,1641,1494,293,19,8,12326,3553,3183,4358,3610,3277,2579,402,19,6,20987
5,9806,32951,113196,128358,114794,81728,17615,1499,102,500048,23280,22318,24081,18269,16753,19905,14175,2912,234,141935,1222,1731,5325,5444,5328,5803,1948,251,33,27081,618,1489,3571,2674,2001,1374,475,194,62,12463,34928,58485,146172,154746,138876,108811,34211,4857,435,681527,1812,3433,5379,4225,4206,3689,651,39,3,23436,5250,2272,1755,929,950,1302,745,77,3,13288,7061,5703,7134,5155,5164,4987,1396,120,8,36725,41989,64188,153304,159901,144040,113796,35615,4973,443,718253,32958,11439,15491,14238,16524,30406,78038,52682,16790,268572,3737,5491,15177,14579,13184,10403,6615,4433,2411,76029,78685,81122,183972,188720,173750,154609,120271,62085,19644,1062852,4413,23407,72232,64820,69275,44474,7256,402,14,286299,30576,30073,51569,66746,56352,45732,15282,1649,79,298053,1275,2173,9953,6716,4415,5303,1502,171,7,31515,675,1174,2312,1652,1474,1013,362,154,48,8859,36943,56827,136063,139929,131522,96515,24396,2371,147,624724,1172,1810,3028,2688,2690,1801,176,13,0,13385,5327,2235,3336,3584,2662,2259,460,33,7,19892,6498,4043,6363,6277,5349,4056,639,46,14,33274
6,1973,6495,21318,19662,19815,15544,3203,316,20,88353,3784,3669,7397,4705,4387,5694,3497,669,49,33855,284,319,856,807,1005,1230,405,56,12,4980,131,311,664,410,395,319,137,57,16,2437,6175,10796,30233,25583,25604,22795,7242,1092,106,129624,471,1051,1573,884,814,703,91,4,0,5588,928,609,652,293,284,328,122,10,0,3232,1398,1656,2227,1177,1095,1034,214,19,3,8819,7570,12447,32460,26765,26696,23829,7457,1116,108,138441,7196,2543,3885,3485,4949,10745,23370,14916,4412,75493,758,815,2017,1653,1688,1802,1832,1202,542,12313,15523,15806,38367,31893,33340,36370,32657,17239,5062,226250,760,4338,12357,10744,12940,8921,1349,82,4,51500,5563,5516,12754,13086,12366,11629,3446,354,16,64739,341,458,2028,1285,1105,1383,377,53,5,7028,157,215,483,286,310,224,100,46,16,1827,6819,10523,27630,25399,26723,22161,5268,528,40,125097,269,492,975,518,476,351,52,4,0,3134,943,553,885,578,500,554,85,0,3,4109,1217,1041,1864,1097,975,905,138,10,3,7239
7,852,3337,11096,10006,8378,5946,1514,123,10,41256,1397,1162,2251,1637,1242,1189,665,112,7,9661,94,145,504,482,486,420,147,12,0,2291,87,166,380,256,207,141,53,12,4,1312,2428,4806,14233,12376,10320,7695,2378,263,25,54524,263,381,649,429,363,257,55,3,0,2397,266,142,209,130,93,101,46,10,0,1003,529,523,853,558,453,358,106,16,0,3396,2955,5327,15089,12936,10773,8055,2488,271,21,57918,3742,2098,3593,2893,2595,2864,4287,2084,421,24574,624,893,2256,1827,1685,1380,798,284,55,9806,7320,8321,20934,17661,15049,12298,7569,2644,499,92299,595,2467,8924,7606,7080,4644,889,56,6,32269,1763,1499,4061,3707,2491,1860,739,78,4,16198,100,199,1036,673,446,428,135,11,0,3028,70,121,305,196,152,116,37,8,0,1009,2532,4288,14336,12182,10174,7044,1796,153,8,52506,184,268,508,352,243,159,20,0,4,1734,274,159,305,225,157,91,23,6,0,1235,453,419,810,575,397,255,39,8,4,2961
8,1413,6998,25701,25327,20345,10958,2123,155,13,93042,4273,5203,5793,3849,2756,2833,1798,380,32,26924,312,376,859,891,716,696,241,25,4,4128,69,219,561,337,212,105,38,10,6,1563,6076,12795,32917,30404,24036,14593,4208,574,58,125651,211,477,816,559,453,356,62,3,0,2937,1073,528,344,150,121,161,95,12,0,2498,1284,1006,1156,709,579,520,160,18,0,5432,7355,13803,34075,31117,24611,15111,4362,592,54,131090,5479,2290,2698,1835,2222,5984,11644,7720,2559,42435,574,990,1930,1389,1003,812,637,472,256,8058,13415,17084,38702,34336,27837,21907,16645,8789,2867,181575,781,6209,20456,17682,16034,8231,1102,45,0,70539,5554,6634,8997,9730,6547,4897,1860,226,21,44461,401,505,2239,1766,915,805,217,23,5,6875,58,173,391,196,144,79,31,9,3,1076,6796,13516,32083,29374,23641,14007,3211,296,26,122948,122,268,583,377,259,180,14,0,0,1800,994,445,434,341,226,213,62,3,0,2725,1117,717,1018,715,484,388,76,3,0,4521
9,20,51,124,163,176,203,70,11,0,816,28,16,28,37,39,54,41,9,3,245,5,4,3,12,10,13,11,3,0,58,0,0,8,3,4,0,5,0,0,27,49,60,172,215,231,276,131,20,4,1149,0,0,0,5,0,4,0,0,0,16,0,0,0,5,0,5,0,0,0,10,0,6,0,3,0,8,0,0,0,27,52,63,171,218,228,279,130,22,3,1171,32,25,112,64,57,53,146,77,26,598,7,15,56,45,62,47,45,24,5,308,88,108,339,324,347,382,322,120,31,2073,13,33,80,114,145,126,36,0,0,536,41,32,59,89,72,101,57,15,0,473,0,4,21,5,11,17,10,0,0,73,0,5,0,0,4,5,0,0,0,20,60,72,168,214,234,243,100,23,0,1107,0,0,0,4,0,10,0,0,0,12,0,0,0,4,5,8,0,0,0,16,0,0,0,9,9,11,0,0,0,30
