STE_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1,536820,952131,436589,390779,480612,294889,222186,300966,69202,3684158
2,442109,790960,399460,347570,392444,263317,187939,277292,61805,3162893
3,305755,523395,333915,301039,309376,211439,166739,246394,46047,2444090
4,109406,180460,110462,109523,104955,71002,50680,88086,14838,839414
5,160687,287009,199379,154341,157610,101670,100392,122961,22204,1306249
6,32403,50919,35480,34676,29776,21834,16230,28679,4717,254722
7,13843,23578,14759,16803,14102,6942,5551,9099,2366,107035
8,44389,78169,23880,27144,36150,15209,6016,12380,5263,248603
9,364,299,391,335,279,135,135,271,43,2251
