STE_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
1,12265,133304,7399,38965,15794,5452,1199,3866,1518,219756,16050,99217,1361,28064,11576,3046,607,2157,1004,163080,73381,90217,6576,26850,130064,33634,4069,12292,5119,382205,26457,76737,4010,68902,36330,10220,1944,7021,2929,234557,11887,31852,3770,6608,11565,6793,741,1963,835,76011,7880,3041,15740,15209,13092,7789,1339,5937,883,70902,85,152,51,238,275,195,36,204,24,1257,3041,4890,751,2510,4010,1429,356,903,505,18393,2518,3686,1089,4174,5133,2533,601,2411,5172,27325,174230,498694,55081,201158,248754,79390,13742,43606,19870,1334532,14986,37019,8374,5429,9324,3834,1886,3174,1116,85149,22366,65803,12794,4779,10538,6373,5374,5780,2027,135841,56837,77086,130631,9901,19055,11556,34664,24731,4868,369336,29255,18855,72255,3390,6301,3776,8576,13520,2144,158073,13108,8376,12357,2636,4341,2627,3656,7877,738,55719,18341,182221,10190,48943,17832,6826,3083,5719,2149,295300,22400,127977,3144,31294,12974,3955,2193,3474,1384,208790,158350,176393,20623,38507,164626,59970,20269,25144,9762,673651,45767,122589,8816,95429,45884,14770,6585,11785,4771,356399,19030,53485,9481,9657,14979,10320,2977,4641,1380,125949
2,11052,122885,6464,36007,15066,5399,1058,3565,1461,202963,11519,81935,1437,28757,10040,3375,604,2289,971,140922,52401,65339,5803,20263,86168,23061,3006,9456,3621,269114,21339,63441,3971,64847,30748,9670,1738,7414,2621,205790,9096,25066,3607,6533,9344,6561,741,2058,740,63745,6870,2334,15903,13505,11006,7714,1354,6199,816,65705,74,99,38,154,126,97,29,177,21,822,3324,5283,896,3193,4184,1536,320,1050,531,20319,1961,2789,983,3533,3722,2123,455,2154,4415,22139,136852,420466,52717,187439,189206,68021,12016,41930,17115,1125758,14212,35462,7556,6011,8723,4338,1866,3462,1068,82697,19658,57133,11285,4797,10234,5465,5846,5861,2028,122307,46920,65515,104573,8295,15443,9868,27492,23663,4465,306235,22766,16847,72134,2989,5531,3908,7101,12531,2143,145946,12456,6596,11054,2392,3584,2403,3272,6349,674,48785,16112,163141,9303,45888,16942,6753,2731,5500,2016,268377,17096,107927,3197,32231,11425,4250,1981,3570,1329,182992,118260,131770,17960,30187,115526,42534,17251,20280,7251,501020,35549,97606,8776,85802,39048,13791,6519,12396,4043,303523,15472,44411,9509,9963,12974,10365,3154,5362,1307,112514
3,7642,95990,5617,31815,11781,4724,851,3224,1106,162750,9061,63360,1048,24861,8721,2297,497,2077,701,112633,37199,42963,4863,18981,75926,21633,2884,9645,2617,216719,13796,39405,2767,55097,22558,7868,1399,6948,1734,151569,4837,13351,2091,4546,6040,3939,534,1691,422,37446,7048,2343,13967,14131,10759,7834,1215,6247,702,64234,63,103,58,244,185,264,25,184,14,1149,1315,2173,469,1744,2116,860,232,712,320,9942,1657,1984,905,3553,3372,2090,434,2206,3560,19765,91544,287510,40688,161475,151221,56109,9964,38926,12108,849538,6545,20477,5015,3386,3977,1830,976,1993,536,44722,7849,23198,6035,2280,3916,2453,2162,2793,694,51388,35023,44782,111961,7591,10649,8364,25912,21145,3729,269158,17241,9664,53376,2690,4447,2989,7246,11684,1642,110980,7012,5800,7233,1874,2790,1865,2912,6318,540,36349,11641,129959,7736,39770,13178,5779,2299,4813,1575,216753,13113,82096,2398,27222,9705,2946,1887,3073,986,143419,77457,77882,14268,26723,92565,34837,13626,18458,4638,360456,22521,59912,6783,74665,27709,11228,5225,11946,2693,222687,7773,22147,5744,6648,7925,6056,1898,3852,702,62743
4,2929,35080,1968,12981,4035,1417,211,1066,405,60084,3017,21552,348,6819,2204,617,86,616,228,35489,11854,13275,1513,6283,23747,6141,488,2821,845,66965,4743,13931,1052,21608,8144,2470,349,2385,598,55283,1369,4131,665,1351,1869,1158,115,499,102,11269,1961,605,5321,3847,2863,2109,237,1866,193,18991,25,32,11,65,65,40,6,58,7,304,436,757,171,794,731,267,48,311,83,3592,529,612,254,1149,956,561,98,707,827,5686,30359,98839,14599,57799,48188,16472,2118,12420,3608,284393,2821,7938,2145,1469,1583,690,427,1001,188,18269,2468,8165,2289,1394,1540,824,902,1291,258,19128,11982,14178,34265,2772,4067,2745,7930,7416,1352,86706,4774,3150,14775,775,1298,974,1669,2791,460,30664,4212,2125,3130,879,1076,842,1009,2460,230,15970,4245,46841,2625,15904,4547,1753,656,1675,563,78804,4456,28889,725,7801,2582,833,476,955,329,47058,26048,25599,4634,9268,30519,10702,3643,5953,1556,117923,7782,20959,2356,29643,10218,3483,1624,4012,954,81048,2416,7435,1877,2088,2503,1892,576,1300,207,20288
5,4154,49386,3405,15661,6089,2343,717,1754,526,84040,5061,32779,797,15303,4696,1609,413,1286,305,62249,17356,22437,2835,9637,36531,9788,1557,4872,1165,106184,6737,20540,1921,24203,11037,3720,883,3604,747,73399,2293,6169,1266,2670,3139,2173,309,946,186,19136,3033,1035,7824,6999,5140,3472,834,2726,317,31373,38,45,24,135,80,93,20,115,7,553,660,1262,343,1110,1017,439,173,340,121,5473,811,1080,533,1812,1675,921,269,1011,1646,9745,45781,152413,25701,81985,75733,27491,6617,19784,5521,441025,4972,16291,4186,2552,2864,1389,911,1455,344,34978,3948,11369,3472,1516,2157,1312,1496,1718,299,27292,22689,33969,75344,4586,7089,4031,16056,11184,2295,177235,6742,5135,24218,1554,2284,1364,4582,5049,700,51618,4385,3761,3859,1159,1518,994,1764,2915,268,20616,6579,65491,4698,19264,6788,2785,1752,2629,769,110747,7415,42365,1635,16577,5152,1910,1336,1830,446,78669,38455,43158,7892,13712,45045,15603,6910,9051,2226,182055,11114,31019,3948,32109,13462,5108,3058,5948,1179,106948,3671,10405,3287,3867,3992,3318,1286,2131,316,32269
6,787,10398,555,2973,926,394,61,255,103,16452,914,6569,142,2445,680,200,21,169,53,11196,3287,3351,497,2576,7434,2108,162,1137,287,20836,1542,4277,429,6797,2076,748,109,810,213,16999,458,1258,217,475,496,263,41,155,24,3394,681,222,1764,1482,955,690,86,692,79,6652,12,9,0,22,9,17,4,16,3,102,166,286,53,220,215,78,12,58,46,1144,179,206,115,447,334,248,37,325,255,2147,9093,29077,4791,18332,14085,5231,699,4462,1132,86903,879,2648,676,443,438,180,103,281,55,5700,667,1736,929,490,437,353,284,599,80,5585,3016,3202,10047,911,961,693,2518,2361,362,24060,2614,930,5761,317,296,258,630,887,150,11847,1717,945,1075,349,343,244,444,989,88,6195,1114,13784,701,3735,1036,476,167,391,153,21543,1390,8864,276,2764,786,263,97,278,84,14805,6893,6020,1797,3859,9181,3376,1275,2565,540,35520,2504,6378,802,8815,2596,991,346,1183,302,23918,720,2163,576,745,653,434,131,344,59,5826
7,471,5012,179,1130,487,135,24,110,50,7601,542,2970,35,1007,356,94,27,94,45,5171,1797,1596,219,1084,3345,839,74,348,121,9425,832,2018,145,2123,1042,225,39,207,91,6715,174,424,50,179,179,62,5,54,13,1143,252,119,488,507,469,204,38,210,19,2300,6,6,0,17,3,4,0,3,0,48,93,113,20,103,98,29,0,30,10,495,104,170,46,261,196,74,27,111,190,1188,4764,13483,1596,6788,6710,1872,318,1451,575,37560,318,800,218,189,186,50,38,70,31,1905,306,674,336,249,217,188,99,164,34,2259,1474,1709,5492,720,536,311,957,811,152,12159,667,252,1643,190,165,75,215,353,64,3627,431,504,330,204,242,83,110,334,34,2261,696,6567,285,1551,565,164,68,173,72,10142,780,3805,119,1212,418,115,78,129,70,6720,3348,2634,685,1921,4253,1300,446,735,236,15565,1367,3014,316,3691,1301,311,181,371,158,10711,272,706,160,253,249,87,40,106,23,1894
8,969,8174,368,1929,1170,253,15,126,123,13139,1075,5593,82,1656,791,142,9,155,82,9577,5837,5881,379,1767,7180,1329,74,516,420,23379,5336,9572,331,3670,3988,524,51,320,496,24288,1041,2222,250,400,928,279,16,76,69,5278,436,205,931,733,925,311,22,193,60,3814,4,6,0,10,16,14,0,7,0,62,424,520,50,175,364,71,7,47,58,1721,155,226,50,210,274,90,7,70,278,1362,17801,38040,3378,11591,17541,3620,268,1855,1818,95911,2292,5078,648,581,1215,252,66,183,158,10468,2800,8896,1332,787,1096,712,358,635,276,16887,2793,4879,4713,678,1085,469,812,863,280,16572,1593,1100,3673,237,451,197,243,502,111,8114,723,837,689,163,432,94,90,180,69,3281,1401,11125,538,2547,1340,325,66,198,182,17732,1519,7378,177,1952,966,180,80,276,116,12640,11507,11283,1358,2877,9802,2430,683,1239,834,42022,9454,16043,788,5797,5775,840,266,685,868,40514,1646,3841,636,630,1274,480,89,211,121,8922
9,7,52,0,15,13,0,0,6,0,93,14,65,0,22,6,4,0,0,0,118,34,18,7,33,65,16,0,3,0,173,17,22,0,30,22,7,0,14,0,109,3,3,3,0,7,3,0,0,0,25,11,0,11,17,14,7,0,12,0,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,13,4,0,0,14,9,4,0,5,3,39,122,178,26,141,141,42,8,37,5,706,12,15,3,4,6,0,0,4,0,43,11,6,6,0,0,0,0,0,0,20,49,18,123,14,9,9,21,23,3,268,20,7,64,7,0,4,8,10,0,117,11,9,7,4,9,0,4,3,0,46,8,54,0,22,14,0,0,6,0,115,13,89,0,27,6,4,0,4,0,148,61,25,10,41,66,18,4,10,6,239,33,30,8,47,27,7,0,13,0,169,7,9,9,4,7,3,0,0,0,37
