STE_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1,14918,4348,34586,19098,15302,10758,6829,11563,1424,118827,223,296,273,357,362,318,241,533,65,2660,6696,8941,3771,3965,5555,2445,3219,2806,1313,38716,7046,6894,8133,6182,6921,4477,5465,7070,12101,64287,429318,890301,335425,279565,333988,142009,105020,127817,45237,2688687
2,12970,3504,34347,16917,13085,10323,7250,11652,1399,111438,173,187,228,229,188,197,194,467,52,1920,7015,9507,4090,5147,5839,2551,3040,2943,1350,41495,6146,5299,8049,5306,5160,3834,4602,6330,10704,55435,344795,744899,302077,256152,263699,120575,92305,120374,39825,2284690
3,12250,3335,28901,17268,12316,10333,5829,11458,1112,102796,155,197,261,349,239,424,189,493,41,2351,3342,4189,3008,3105,3062,1527,2622,2267,905,24024,4724,3841,7115,5228,4474,3539,4490,6417,8618,48445,226642,487483,259837,218784,196948,94185,77265,106712,28419,1696275
4,3580,884,10634,4716,3383,2797,1473,3420,362,31251,49,57,42,96,87,57,39,113,17,562,1110,1398,960,1293,1079,470,820,925,278,8326,1581,1086,2018,1682,1302,956,1232,1977,2078,13909,77515,168715,82487,79774,65769,29016,22485,35301,8833,569900
5,5366,1504,16025,8508,5925,4399,3696,4817,521,50761,69,81,128,178,105,154,120,261,35,1125,1645,2381,2035,1901,1494,723,1468,1116,419,13184,2369,2114,4328,2652,2231,1511,2494,2919,4122,24734,119414,269052,155048,110142,100096,44598,46926,53028,13932,912238
6,1278,311,3550,1840,1135,929,484,1237,132,10894,20,16,18,37,17,24,13,36,3,186,400,490,299,374,302,138,213,231,101,2546,570,381,799,642,468,387,469,803,684,5207,23777,47869,27301,25320,18659,8758,7163,12191,2796,173841
7,486,178,1261,747,571,291,182,376,36,4128,4,9,12,31,6,11,4,13,4,92,203,221,170,256,148,44,76,101,36,1253,246,293,398,491,279,147,190,316,463,2819,10593,21370,11439,11699,9131,3166,2680,4046,1416,75547
8,850,323,2271,1032,1142,465,245,451,95,6888,9,13,15,22,25,18,14,13,3,138,850,946,204,348,556,119,107,135,131,3398,386,504,369,356,416,174,143,249,673,3263,37835,72251,17415,18007,25579,6748,3260,5819,3916,190839
9,17,0,38,26,13,8,4,11,4,119,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,6,33,9,3,15,14,5,5,4,16,7,86,265,271,286,210,172,61,50,107,22,1444
