STE_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
1,2872,6435,17422,15902,13006,8671,2907,849,207,68262,91350,163478,413238,401035,371102,270545,69249,7669,663,1788326,2433,4386,10920,11576,13820,15861,11074,4054,605,74728,368,1875,8522,9920,8406,5380,829,96,5,35406,6668,13549,39759,44855,47652,39027,9074,998,66,201654,349,1567,6892,9448,9295,6720,1216,93,3,35584,16394,34127,81472,70410,59265,42013,10766,1016,62,315520,1951,6033,20548,26040,25055,18359,4708,703,60,103466,42897,50758,71134,59155,52688,41706,11588,1457,108,331486,58994,38223,45804,32258,25518,20392,5536,684,52,227466,2698,9953,32285,37568,40251,35656,10078,1074,45,169608,1262,4511,17577,20093,14674,7894,1793,250,30,68068,854,11803,50067,61250,43075,21092,4758,682,98,193679,1244,4787,14283,15265,13260,9130,3668,863,136,62633,2978,24310,90653,88546,62636,39510,15383,2438,134,326595,2446,9743,27370,26449,25290,20307,5722,637,26,117988,2400,12320,47224,56610,56412,39148,8217,545,30,222909,8936,23533,68172,72939,74192,56867,16208,1347,51,322236,9163,44476,124711,113226,111672,97045,26358,2434,95,529176,4467,6623,12539,10548,8680,6247,2247,393,38,51789
2,2213,5222,14487,12940,11049,7380,2363,688,181,56521,76705,142002,365801,343568,312996,221871,55198,5657,479,1524268,2154,4091,10911,11060,12592,13488,9141,3334,449,67220,82,418,1862,2448,2410,1710,381,47,3,9362,6901,14063,43226,50015,54005,41997,9576,972,63,220823,244,1517,8034,10602,8470,5966,1094,74,8,36012,11534,32340,82248,68113,55889,37747,9142,901,56,297981,1622,5464,17377,21565,22330,16242,4152,534,49,89336,38890,51208,64280,50458,46900,34884,9697,1091,59,297471,52201,37220,41523,26328,19910,14683,3974,436,26,196300,1761,9580,32888,34738,31992,27843,7756,678,24,147258,1229,3741,12582,14554,10451,5648,1296,177,4,49676,443,6935,33470,41419,28255,13927,3366,480,69,128361,617,3347,11765,11217,9647,6533,2532,553,55,46271,1595,16784,76070,74854,52244,31504,11903,1881,92,266926,1899,8619,24912,21905,20814,15869,4767,582,28,99383,1515,9317,39941,45509,42763,31032,7257,708,37,178077,5986,18086,63515,66758,62343,46971,12411,984,39,277100,4924,34161,112802,100184,94129,77466,20565,1600,76,445906,5429,7476,13448,11089,8922,5826,2056,317,23,54589
3,2593,4232,9946,9415,8258,5575,1812,553,135,42529,78432,114388,259657,263647,257366,181268,42889,4428,339,1202413,2393,4469,11606,10193,11801,11971,7171,2532,307,62444,590,2943,12451,15702,13859,8503,1351,97,3,55486,6135,11845,28030,31609,32497,24427,5165,551,28,140285,452,1408,5185,7781,7697,5343,893,65,0,28814,9859,21634,53513,51567,45537,31609,7768,696,34,222234,1769,4148,10981,13371,14174,10369,2603,311,14,57743,36083,35014,46307,36738,36159,27699,7583,829,53,226468,55296,28524,34354,22188,18210,13051,3730,466,30,175850,1971,6801,21970,25320,27380,24387,7270,749,22,115870,836,2541,5626,5635,4910,2988,744,96,4,23379,542,4203,14798,17670,14953,8022,1927,283,37,62436,881,3118,8518,9491,9501,7415,3246,702,68,42931,2281,13440,40731,43318,34860,21011,7478,974,24,164129,2362,7462,18537,17867,18066,13475,3773,367,9,81926,1416,9312,31068,37081,39644,26527,4961,330,19,150358,5048,13881,39772,52010,55902,39368,9236,772,36,216015,6769,31687,87242,84350,82989,66114,15249,1083,35,375511,4068,5389,8493,7216,6349,4338,1439,237,22,37550
4,558,1069,2265,2156,1980,1580,610,240,53,10521,23518,38177,86780,86626,85711,68434,16685,1732,157,407810,992,1932,4870,5530,6425,6543,4013,1193,139,31637,95,593,2916,2886,2496,1675,277,29,0,10969,2146,4363,11568,13257,14615,11608,2598,281,12,60445,134,484,2362,2711,2720,2015,364,22,0,10821,2742,7220,17459,14969,13602,10644,2727,272,15,69648,540,1300,3534,4236,5004,3966,1057,132,5,19768,13247,13075,16291,12590,12521,10354,2768,309,24,81181,15280,10315,11126,7090,5767,4588,1146,162,10,55478,487,2168,6755,7280,7776,7661,2126,219,13,34480,235,739,2092,2361,1731,1107,287,39,0,8596,169,1428,5345,6383,5535,3390,743,123,8,23121,150,687,2026,2111,2153,1972,787,195,21,10108,484,3744,12882,13740,10624,7269,2878,400,21,52037,686,2845,7125,6332,6847,6001,1654,153,10,31645,389,2968,11050,14365,14389,10690,1874,97,0,55830,1506,5128,15079,17443,17145,13632,3723,278,8,73937,1764,10598,32150,30249,29390,26518,6148,414,12,137250,1366,1733,2729,2097,1805,1388,509,92,6,11737
5,1196,2093,5038,5113,4381,2974,993,289,56,22133,36943,56827,136063,139929,131522,96515,24396,2371,147,624724,1009,1824,4813,5127,5817,5921,3743,1229,153,29641,861,5374,24440,28215,23073,13662,2278,133,7,98036,2915,5114,13469,16015,15934,12051,2929,345,18,68785,228,708,3032,4068,3724,2803,539,30,5,15135,4270,9818,27642,27932,23234,17573,4274,327,19,115090,973,2309,6558,7648,7542,5562,1436,184,16,32226,18255,19017,22393,18333,17623,14325,4182,458,29,114617,24459,14864,16987,11784,8622,6429,1875,208,14,85241,1116,3653,11590,13048,13298,12148,3872,356,14,59111,524,1019,2427,2424,1921,1311,391,60,0,10087,205,1450,6330,7952,6836,4150,1129,180,12,28251,315,1225,3710,4069,4150,3292,1507,326,31,18626,847,6224,21773,25169,19080,12014,4376,598,41,90117,1170,3590,9180,9048,8345,6682,2031,231,8,40292,819,4184,15468,18677,19202,15251,3508,293,13,77420,2674,6738,20819,26111,28993,22539,6043,482,14,114415,2807,13907,41019,40709,38433,31587,8458,636,16,177570,2649,3092,4786,3986,3183,2381,901,163,8,21131
6,160,235,631,480,534,427,173,78,18,2734,6819,10523,27630,25399,26723,22161,5268,528,40,125097,436,990,3033,2420,2485,2379,1248,390,37,13422,18,133,566,637,659,518,115,7,0,2653,719,1275,3560,3289,3535,3086,667,63,9,16202,28,157,968,1186,1154,820,144,11,0,4463,1196,2491,5498,4307,3848,3489,904,89,3,21821,180,431,1147,1151,1365,1108,302,37,0,5729,3374,3420,5570,3879,3899,3249,946,97,0,24430,4144,2852,5365,2635,2108,1751,551,65,3,19461,148,532,2048,1919,2332,2564,731,88,5,10368,71,177,584,607,536,444,121,11,0,2561,49,269,1152,1279,1072,725,170,25,0,4751,51,241,595,481,593,536,253,59,7,2819,189,791,3132,3034,2686,2071,868,134,4,12908,177,542,1625,1531,1668,1440,386,42,3,7399,138,776,3343,4465,5252,3828,702,43,0,18545,394,1214,4457,5700,6104,4882,1241,77,3,24060,424,2980,10193,8428,8994,8648,1925,121,13,41724,483,444,948,810,839,762,284,37,8,4619
7,121,190,504,377,312,205,74,17,0,1805,2532,4288,14336,12182,10174,7044,1796,153,8,52506,151,349,594,433,395,340,141,36,6,2448,30,112,568,754,710,387,45,8,0,2612,147,215,542,563,508,345,84,5,0,2405,14,60,342,400,387,335,68,5,0,1600,317,651,2185,2153,1732,1218,310,34,0,8598,39,121,367,382,358,265,66,9,0,1611,1069,966,2067,1329,1125,851,303,25,0,7736,1398,974,2521,1314,830,651,197,18,0,7909,104,290,1076,882,913,796,221,30,0,4306,30,67,221,176,130,115,31,0,0,772,12,58,297,260,215,116,36,0,0,992,20,79,273,268,247,185,96,24,3,1205,88,332,1505,1276,954,740,263,33,6,5195,86,240,771,717,668,501,146,14,0,3142,255,1757,5005,4785,4292,2696,621,34,0,19442,270,607,2233,2474,2281,1705,447,33,0,10038,249,1102,5022,3999,2818,2099,610,44,5,15947,220,289,695,460,392,275,113,14,0,2457
8,93,236,631,421,288,158,54,16,13,1902,6796,13516,32083,29374,23641,14007,3211,296,26,122948,33,64,147,104,85,119,74,23,8,657,0,11,36,45,31,23,5,0,0,150,290,420,1023,821,866,504,157,29,3,4124,23,141,536,489,401,245,39,3,0,1878,770,2071,5102,3835,2676,1603,426,53,3,16544,72,233,420,435,395,305,85,10,3,1957,2893,3276,4235,2166,1635,1284,475,62,7,16035,4267,3493,4107,1872,1080,727,195,22,0,15770,90,357,1403,1148,1052,868,297,25,0,5256,98,317,969,998,809,415,89,24,4,3712,25,277,968,989,698,402,117,25,6,3513,65,355,830,657,499,396,153,39,11,3008,285,2569,7720,7288,5140,3005,982,135,9,27138,161,593,1775,1519,1188,928,287,33,3,6495,713,4675,17846,21545,18374,9268,1519,88,3,74027,1093,2225,5255,5708,4951,3164,877,94,8,23370,635,2923,8250,6760,5124,3671,1026,88,7,28483,667,785,1018,774,637,442,183,39,6,4543
9,5,4,3,5,7,13,6,5,0,48,60,72,168,214,234,243,100,23,0,1107,0,0,6,4,9,6,0,0,0,30,3,0,11,20,30,15,9,0,0,93,4,0,4,3,6,8,3,0,0,32,0,0,10,15,10,8,9,0,0,50,10,13,34,36,46,46,18,0,0,209,0,0,3,0,3,0,3,3,0,20,14,10,15,26,31,50,34,7,3,198,35,22,35,35,49,53,22,4,0,257,0,12,23,21,18,25,7,0,0,104,0,0,0,0,3,7,6,0,0,15,0,0,9,6,6,6,0,0,0,26,0,0,0,8,4,3,5,0,0,24,0,0,3,10,17,21,4,3,0,60,5,10,18,34,34,36,11,3,0,151,9,27,68,101,88,86,39,0,0,419,0,13,36,29,33,36,9,0,0,161,0,3,22,29,34,42,17,3,0,156,12,5,5,15,13,15,4,0,0,66
