STE_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1,2031,6042,304,253161,8776,1716,1135,7298,1863,4610,1015,2280,1451,5772,26489,62416,625,115,579,575,256,336,120,136,337,980,3711,7777,221686,46180,16620,227273,56500,144111,22859,54525,24301,107882,32654,954588
2,857,3025,246,178012,7232,1497,851,7435,1176,4163,703,1929,1022,3902,20249,50160,673,106,536,745,239,352,113,129,259,678,2836,6672,179448,38421,7717,233186,35746,130025,11186,43922,10797,66665,25210,782321
3,727,1529,154,113308,6873,1026,694,5401,1190,2987,585,1342,720,2873,28361,52057,519,54,423,420,154,196,64,65,166,423,2041,4530,140854,25414,7009,155394,30863,83791,10513,27224,9085,41452,31724,563327
4,173,494,45,33441,2356,416,160,2499,290,1017,182,541,207,1009,7853,16527,110,20,88,142,52,67,19,24,52,154,471,1213,43410,10590,1728,63529,7839,27672,2988,10750,2204,16221,8812,195738
5,659,940,106,72840,3804,658,357,3809,541,1934,329,795,378,1595,26038,40239,200,28,193,216,71,95,37,27,82,159,1049,2156,66126,12893,2903,96812,11970,53142,4720,13974,4372,18988,27773,313666
6,51,119,11,7514,776,196,54,878,112,342,71,167,69,353,2223,5244,22,3,23,34,11,15,3,9,7,45,133,300,11118,3548,588,18487,2280,7374,938,3210,715,4705,2483,55446
7,45,61,3,4682,455,34,33,159,47,152,28,80,39,301,1706,3034,16,3,22,9,3,8,0,8,14,54,154,294,7394,859,316,4532,1052,3161,282,1073,331,3419,1969,24375
8,86,337,10,21685,652,50,43,330,75,203,29,74,39,145,1373,3019,38,0,15,11,11,12,0,3,10,16,90,201,19300,2243,621,14769,2941,6975,728,1936,457,2749,1545,54271
9,0,0,0,52,11,0,0,9,0,0,0,0,0,0,23,54,0,0,0,0,0,0,0,0,0,0,7,8,117,26,14,109,14,47,5,23,6,18,26,413
