STE_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
1,5702,10067,7684,4323,12041,10575,1786,3557,12527,68262,175586,304449,257955,157260,365366,300311,70576,129683,27143,1788326,2370,8249,7255,4945,8864,13672,4451,23404,1516,74728,2144,873,1258,609,4921,8185,4174,12802,439,35406,12529,17246,14537,10184,53992,50703,15904,24928,1632,201654,1734,1545,1509,1328,9992,10692,2873,5656,263,35584,47269,31095,23791,15063,45268,82908,18677,46468,4988,315520,5124,8158,7306,4950,26972,28523,7514,14318,602,103466,42065,75145,51208,25806,57700,43701,11510,20765,3594,331486,47284,78998,32839,13059,21421,15797,4257,10689,3121,227466,14652,17353,17561,9114,33366,36851,11226,27010,2477,169608,3809,4851,4150,2800,16606,20148,4673,10596,440,68068,6556,7873,11380,9551,49873,61106,14189,32042,1117,193679,3515,7403,5736,3525,13577,15250,4035,9086,508,62633,11786,30509,28166,18091,66722,97759,21832,49765,1967,326595,12801,24000,16968,8358,22186,19947,4144,8142,1432,117988,14716,11244,15611,8738,80426,51991,17325,21148,1709,222909,22585,54558,39744,28195,65425,53625,17349,38623,2131,322236,35454,77777,87834,63795,111170,94782,18209,35512,4653,529176,11845,9092,5644,3032,8317,7809,1666,3877,507,51789
2,2896,8884,7052,4089,10650,8271,1371,2670,10635,56521,98229,290909,246516,161179,305551,241456,58530,99021,22874,1524268,2224,7902,6722,4804,9378,12452,3875,18434,1428,67220,765,390,363,299,935,2040,895,3542,134,9362,6339,17515,15101,11468,63453,59675,18307,27315,1661,220823,1262,1396,1777,1714,10179,11160,2991,5237,284,36012,8692,20303,20472,16561,52906,98569,24664,51480,4317,297981,2640,6537,6602,4974,24461,25010,7128,11452,532,89336,18837,79771,47921,24144,54111,40406,10918,18389,2974,297471,20754,77036,33048,12512,21077,15155,4020,10133,2576,196300,7157,13990,16490,9200,29533,35275,10834,22548,2227,147258,2326,4532,3697,2606,13026,13679,3294,6196,321,49676,4636,5477,8401,6733,30910,44708,8918,17825,756,128361,1740,4473,4379,2914,11270,11379,3024,6726,376,46271,7369,23781,23002,16713,57113,80666,18095,38735,1456,266926,5322,20775,17092,8186,20423,16053,3613,6701,1219,99383,10301,11636,13767,11315,52855,47274,12350,17316,1274,178077,13150,48138,37460,25406,58574,43075,16972,32538,1784,277100,25472,65858,80241,69467,87578,70989,15412,27201,3697,445906,7478,12339,6440,4019,9095,8467,1916,4354,485,54589
3,2613,6688,5176,3148,7494,5551,1028,2469,8376,42529,104593,208211,183599,125104,254483,174260,45514,87949,18699,1202413,1805,5977,5186,4169,7927,10655,3641,21687,1386,62444,5337,1389,1447,823,4382,8559,5527,27153,862,55486,5076,9527,8213,6642,38406,35427,13455,22341,1205,140285,1448,1072,1112,1199,6677,9252,2543,5322,186,28814,8136,15116,14031,12176,35879,61698,20384,51845,2963,222234,2210,4033,3670,2807,15394,15310,4877,9059,378,57743,19930,53985,35450,19881,43152,28135,8696,14946,2290,226468,25090,60801,26092,11924,20341,13600,4415,11216,2370,175850,7158,10399,11725,6947,23173,23574,8376,22946,1568,115870,1565,2299,1951,1257,5995,5273,1372,3514,155,23379,2565,3126,4901,3825,18765,16157,4227,8554,322,62436,1851,4473,3809,2824,9739,9340,2843,7712,334,42931,5706,15411,14620,10763,35103,44379,11311,26021,811,164129,5824,16874,12265,6670,16753,11911,3089,7540,1001,81926,10401,7403,9523,7021,50316,38062,10917,15384,1332,150358,15776,33635,33605,21625,41769,32487,11316,24442,1357,216015,27281,47980,59281,54631,87094,58077,12675,25130,3362,375511,7445,7398,4313,2575,6280,5156,1172,2779,425,37550
4,524,1848,1440,834,1948,1081,230,498,2105,10521,21362,81255,73796,48898,88006,49876,15089,24225,5301,407810,1146,3571,2998,2299,4327,6216,2187,8333,573,31637,1290,319,343,207,1028,1542,937,5155,143,10969,1767,4782,4379,3443,18267,14740,5614,6974,477,60445,367,465,500,526,3045,3194,949,1682,83,10821,2254,5068,5218,4315,13417,20131,6019,12378,839,69648,534,1535,1504,1192,5704,4923,1685,2576,115,19768,3252,23268,14321,7365,15383,9178,3107,4520,791,81181,2854,21809,10122,4231,6246,4309,1771,3425,710,55478,1737,3435,4038,2273,6685,6947,2648,6248,461,34480,266,919,783,543,2553,2033,497,950,48,8596,849,1321,2143,1814,7744,5094,1534,2522,100,23121,358,1143,1047,705,2674,1943,696,1474,67,10108,1351,5371,5388,3865,12655,12967,3492,6684,259,52037,1229,7248,5758,3060,6951,3965,1106,1984,337,31645,3027,2613,4043,4003,19423,14011,3853,4499,359,55830,3339,12181,11774,7456,14770,10815,4840,8338,421,73937,7756,19428,25776,22170,32880,15478,4589,8020,1147,137250,681,3430,1693,1021,2018,1498,465,836,97,11737
5,867,4232,3139,1750,3272,3144,583,1252,3897,22133,31515,125394,107011,65652,119497,92856,25609,48332,8859,624724,1251,3400,2757,2005,2746,5420,2047,9460,556,29641,9077,3018,3141,1754,7323,15710,9697,46823,1506,98036,2201,5227,4604,3185,15896,17876,7145,12154,502,68785,621,650,726,683,4155,3937,1458,2781,136,15135,3857,7562,7472,6270,15783,32158,10451,30107,1438,115090,986,2320,2246,1577,6859,8875,2996,6162,202,32226,4280,32474,20566,9891,19492,14320,4625,7956,1019,114617,2758,30492,15097,6765,9936,8365,2883,7876,1064,85241,2940,5440,5941,3660,9216,13549,4972,12573,815,59111,339,1442,1033,660,2352,2456,606,1128,72,10087,1212,2012,2757,1957,6948,7732,1872,3617,139,28251,536,2136,1942,1208,3693,4065,1393,3517,143,18626,2871,9002,8276,5989,17370,25539,6732,13887,440,90117,1599,8984,6863,3305,6740,6235,1739,4375,449,40292,4693,5465,5899,4387,22875,20320,5491,7759,526,77420,4920,20379,16944,11679,21105,18927,7201,12565,694,114415,9868,26965,31707,23841,40119,25531,6161,11952,1429,177570,860,6456,3065,1794,3360,2926,806,1689,178,21131
6,156,539,383,222,348,233,55,114,682,2734,7028,25946,23769,15025,25067,14749,4311,7377,1827,125097,540,1474,1290,1105,2301,2602,794,3022,307,13422,252,87,80,55,167,454,371,1154,36,2653,651,1522,1374,976,4134,3924,1614,1826,177,16202,179,155,221,256,1593,1136,366,519,41,4463,614,1464,1468,1361,4227,7493,1774,3119,290,21821,176,513,506,367,1558,1443,432,701,28,5729,1068,6688,4374,2237,4614,2800,1008,1374,266,24430,807,6921,3562,1557,2765,1803,546,1207,280,19461,703,1115,1226,676,1784,1898,765,2028,170,10368,105,347,278,160,770,527,129,235,4,2561,206,317,536,393,1548,999,256,465,22,4751,109,390,298,211,784,498,174,327,21,2819,405,1753,1605,1150,3179,2629,702,1422,68,12908,345,2095,1317,654,1377,834,229,456,91,7399,1222,1215,1873,1668,6159,3572,1097,1607,132,18545,1033,4226,4524,2165,4930,3489,1328,2194,163,24060,2722,5666,7808,6974,8672,5244,1464,2784,380,41724,223,1230,732,445,830,588,160,387,31,4619
7,98,202,180,106,313,251,54,143,464,1805,3028,5944,5747,4511,14297,9650,2719,5600,1009,52506,67,174,127,96,356,392,160,1025,56,2448,371,80,69,29,153,384,229,1239,52,2612,79,159,134,139,589,685,185,425,20,2405,117,58,58,60,462,441,132,256,20,1600,295,430,441,444,1457,2307,815,2292,118,8598,57,65,77,72,450,398,152,318,17,1611,304,1470,1163,656,1804,1128,405,710,95,7736,206,1607,1135,691,1634,1197,341,978,120,7909,210,279,410,271,798,995,380,891,79,4306,23,61,64,34,246,167,53,103,8,772,66,66,57,79,278,273,59,117,8,992,36,97,99,56,299,287,92,233,8,1205,198,388,434,399,1246,1330,404,764,35,5195,121,504,420,249,710,522,128,438,51,3142,1290,719,803,859,5977,5113,1672,2807,202,19442,462,1081,1058,826,2488,1902,665,1463,92,10038,971,1230,1508,1570,5124,3184,712,1461,180,15947,107,380,282,163,597,538,101,251,39,2457
8,69,273,220,130,392,252,46,88,438,1902,6875,17738,15876,10842,32377,22565,6442,9151,1076,122948,35,137,81,53,123,112,31,79,6,657,9,11,4,6,15,22,11,72,7,150,127,467,331,202,979,1144,304,546,22,4124,98,91,80,91,573,519,155,254,16,1878,490,931,1085,809,2576,5551,1676,3211,210,16544,50,145,130,116,523,536,159,288,10,1957,671,4589,2864,1207,3156,1803,622,984,132,16035,750,5669,2824,1019,2438,1568,502,844,148,15770,286,489,612,353,1084,1143,436,791,74,5256,106,303,252,210,1136,1002,277,411,11,3712,129,225,289,220,1091,906,236,407,11,3513,103,244,240,144,832,720,220,487,20,3008,754,1873,2053,1582,6462,8925,1991,3382,116,27138,239,1166,1064,501,1530,1245,243,457,55,6495,3964,2190,3831,4345,24994,20460,6079,7856,305,74027,1100,4280,2775,1709,5583,3745,1499,2579,93,23370,1485,3718,4304,3298,7533,4620,1126,2192,197,28483,223,1291,609,313,963,624,182,317,24,4543
9,8,14,4,6,11,3,0,4,7,48,73,223,134,118,237,171,41,90,20,1107,0,11,0,7,6,4,3,8,0,30,3,4,0,0,26,12,14,37,3,93,0,5,0,5,4,4,0,4,0,32,10,3,0,0,15,10,4,8,3,50,3,15,17,18,60,57,7,32,0,209,3,3,3,3,7,4,0,0,0,20,4,44,35,15,43,22,14,18,0,198,26,64,29,19,45,29,4,24,10,257,3,21,10,9,19,17,10,15,0,104,0,3,0,0,0,8,0,0,0,15,0,4,3,4,3,4,0,5,0,26,0,8,6,0,9,3,4,0,0,24,8,11,9,10,3,7,4,7,0,60,17,22,12,21,42,25,6,6,0,151,18,27,16,13,132,117,25,74,4,419,7,16,20,26,30,26,15,22,0,161,10,26,24,11,29,34,3,10,0,156,7,18,6,0,21,10,4,6,0,66
