STE_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,103322,175771,431717,416605,384685,281480,71003,7785,698,1873062,107684,52105,111697,113096,111395,189789,315862,212297,92981,1306903,10744,13505,34425,29278,23711,21837,20844,20127,19147,193611,221749,241374,577842,558980,519788,493100,407711,240207,112820,3373575,33618,147128,528587,537293,491362,325158,66642,6354,468,2136610,110470,131909,215669,219418,198721,184341,77014,13000,1121,1151660,31866,43826,78458,60996,49498,48271,16256,2186,253,331611,3538,7642,18330,13449,9911,7319,2629,1129,325,64276,179487,330502,841047,831152,749497,565084,162539,22670,2176,3684158,6639,15028,27140,21417,19816,15546,2136,100,20,107837,19068,14591,14662,10566,9242,10339,3182,323,45,82015,25712,29613,41798,31982,29055,25881,5318,425,67,189852,205200,360120,882847,863131,778548,590968,167861,23095,2240,3874012,229969,106867,187835,179450,188189,324677,579496,392315,152619,2341417,22730,29202,71348,60586,50208,46139,41368,36114,29036,386728,457896,496185,1142026,1103170,1016948,961784,788725,451521,183895,6602157
2,90542,153630,382613,357348,324716,230643,56568,5775,499,1602334,78437,36179,83106,86377,81709,138714,244381,165354,75816,990067,7710,9995,26769,22303,18135,15962,15581,13743,11148,141342,176690,199803,492492,466025,424557,385315,316522,184873,87455,2733735,22183,123372,492899,473996,423663,275628,54296,4895,349,1871278,107314,139897,205509,203880,181174,160806,66821,10549,800,1076741,15489,18444,40617,30296,21167,24025,9021,1351,180,160594,2787,6567,15691,11319,8529,5818,2343,945,281,54278,147764,288281,754714,719495,634530,466283,132482,17744,1609,3162893,4345,12473,23268,17040,15727,11614,1579,78,22,86137,24314,14662,13114,9908,8364,8421,2423,276,35,81526,28655,27135,36384,26947,24088,20036,4002,358,59,167667,176418,315411,791094,746438,658618,486318,136487,18104,1666,3330560,170779,73229,128479,126273,129980,227090,438519,301743,123556,1719644,16007,21693,55921,46027,38287,33141,30550,24954,17258,283829,363201,410337,975493,918738,826885,746547,605557,344801,142475,5334032
3,90275,123264,272359,274336,267131,189397,44165,4496,366,1265788,54838,27281,61691,59593,60752,111503,200561,127850,50038,754104,7873,10308,23606,19498,17405,15234,13336,11580,8715,127561,152988,160852,357651,353426,345286,316136,258059,143929,59126,2147455,27476,113226,332461,347914,347308,226361,43405,4076,220,1442451,100396,89984,143679,147641,133409,117293,46828,7194,522,786940,19139,20806,39848,29458,26680,26521,8313,958,116,171840,3039,5480,11481,8423,6998,4737,1705,769,231,42860,150047,229496,527469,533437,514391,374911,100253,12993,1087,2444090,6826,11994,17908,13259,13558,11187,1485,69,21,76304,19188,9285,9986,7669,6625,7293,2149,182,29,62408,26016,21278,27895,20926,20187,18477,3638,252,47,138714,176068,250771,555367,554363,534576,393391,103891,13244,1135,2582802,120954,50726,95459,90554,99862,187903,371713,240478,82581,1340215,16490,22241,50898,42899,39697,34001,27867,21277,13423,268794,313506,323739,701724,687817,674132,615299,503466,274997,97140,4191812
4,27072,41364,91134,90235,88991,71007,17082,1757,169,428801,19165,9546,21457,20197,20432,41254,80740,55137,26325,294257,1806,2107,5023,4355,4192,4124,4259,3835,2609,32298,48041,53018,117619,114778,113611,116382,102082,60725,29101,755362,7064,34902,112364,112692,113692,81890,16040,1372,83,480100,34794,37931,56294,56366,51611,50265,19970,3190,243,310668,2264,3114,9359,6623,5402,6872,2277,334,38,36281,893,1524,3087,2261,2023,1540,647,304,79,12364,45015,77472,181094,177939,172727,140571,38933,5206,449,839414,1670,4106,6268,4593,4625,3741,447,26,9,25475,6082,3821,3700,2847,2476,2647,662,60,15,22307,7751,7926,9968,7441,7104,6388,1108,84,19,47778,52771,85398,191061,185378,179826,146955,40044,5287,469,887193,42602,19144,33373,31649,35378,71155,147906,100499,42731,524448,3784,4635,10846,9633,9439,9035,8387,6868,4119,66736,99152,109174,235287,226660,224641,227147,196344,112656,47325,1478375
5,43441,60866,142430,146206,136871,100572,25044,2420,157,658000,27766,12393,34588,34810,29361,51121,95860,61241,26129,373268,3373,4436,11366,9756,8275,7143,6212,5385,4174,60125,74580,77702,188385,190766,174505,158832,127110,69042,30459,1091391,14223,56361,185428,193178,184068,126198,24874,1900,119,786345,53851,52397,75647,85012,73107,65642,29457,4559,311,439984,2501,3902,15279,12155,9751,11096,3451,425,39,58597,1297,2661,5875,4330,3471,2390,834,345,110,21318,71873,115318,282237,294679,270399,205322,58614,7233,582,1306249,2986,5238,8403,6912,6895,5491,837,49,5,36822,10574,4505,5088,4511,3615,3556,1210,114,14,33179,13559,9738,13492,11429,10511,9046,2041,160,22,70001,85432,125059,295732,306105,280915,214370,60654,7388,601,1376251,60724,23835,50079,49044,45883,81525,173903,113924,42917,641842,7106,9925,26545,24340,21457,17550,12824,9818,6587,136153,153263,158817,372352,379492,348256,313444,247382,131131,50106,2154244
6,8033,11569,29488,26496,27696,23063,5411,535,41,132337,5870,2881,6966,6055,6725,14297,27165,17354,7058,94370,642,771,1837,1515,1448,1660,1767,1518,829,11979,14544,15216,38291,34058,35868,39020,34338,19414,7928,238684,2740,10832,33678,30407,32756,24461,4554,395,29,139850,9346,9187,20152,17794,16753,17327,6938,1028,74,98591,623,781,2885,2089,2109,2619,781,104,16,12007,285,520,1147,695,708,541,239,100,32,4267,12991,21321,57861,50988,52324,44950,12514,1627,146,254722,740,1535,2551,1398,1288,1054,144,8,0,8720,1873,1160,1543,871,782,882,208,17,6,7331,2611,2701,4088,2266,2066,1936,352,25,7,16058,15602,24023,61952,53252,54393,46889,12866,1652,153,270780,13068,5420,10853,9536,11676,25037,50534,32275,11468,169864,1400,1583,3854,3161,3139,3466,3600,2727,1376,24299,30065,31024,76661,65959,69206,75393,66998,36649,12995,464930
7,2985,4710,15148,12760,10574,7297,1834,160,7,55476,3305,2068,4739,3758,2957,3516,4465,2096,573,27472,563,698,2076,1641,1388,1121,628,269,79,8457,6857,7473,21958,18155,14923,11933,6933,2513,665,91409,1446,5803,20024,17609,15463,10590,2401,183,11,73528,3162,2657,6314,5344,3735,3049,1399,191,11,25856,196,342,1542,1148,937,852,278,23,0,5323,162,288,684,454,362,254,92,17,3,2329,4959,9093,28569,24567,20493,14744,4175,412,31,107035,439,647,1159,781,602,418,77,7,4,4124,542,297,512,352,247,192,71,13,0,2233,983,944,1664,1137,849,607,149,21,0,6359,5941,10039,30235,25700,21342,15353,4320,434,32,113390,7055,4167,8327,6652,5549,6379,8755,4178,992,52047,1184,1591,4333,3469,3079,2501,1426,550,135,18262,14183,15791,42894,35817,29970,24236,14499,5157,1157,183704
8,7911,14235,33100,30091,24123,14391,3292,298,26,127471,4467,2073,4273,3800,3399,8459,15032,9728,3868,55096,560,872,1671,1157,848,649,706,539,419,7413,12936,17173,39046,35048,28369,23500,19029,10567,4314,189986,2197,13205,46163,43017,36382,19191,3227,199,16,163581,9831,11838,14788,13577,9303,7732,3661,605,48,71381,712,882,3095,2655,1628,1500,462,49,14,11003,129,394,957,531,361,182,65,22,5,2641,12864,26313,65002,59779,47673,28597,7420,871,80,248603,330,745,1399,930,712,534,83,3,0,4732,2069,974,773,496,350,374,155,15,0,5220,2400,1726,2176,1421,1060,909,234,19,0,9956,15272,28038,67175,61198,48738,29508,7654,892,82,258562,9946,4358,6975,5631,5621,14438,26675,17448,6424,97524,1133,1861,3596,2547,1851,1459,1343,1012,670,15474,26348,34261,77747,69387,56207,45406,35673,19350,7181,371559
9,61,76,168,224,238,261,102,23,0,1133,26,17,28,39,39,81,138,84,30,482,14,16,48,50,38,46,24,25,6,269,103,104,240,310,316,384,267,135,34,1891,29,78,209,276,315,321,107,11,0,1350,70,41,91,128,114,153,96,23,3,723,7,6,19,20,21,31,21,4,0,131,4,5,10,7,10,5,6,0,0,47,110,136,335,426,461,516,229,41,4,2251,0,0,0,7,6,13,0,0,0,27,0,0,0,3,3,11,0,0,0,32,0,6,0,9,7,25,3,0,0,56,109,140,338,437,471,536,234,39,3,2307,57,39,140,109,91,137,283,167,57,1084,21,32,103,92,102,97,72,47,8,576,189,218,583,642,665,772,586,257,66,3965
