STE_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
1,19231,2344,53032,2930,606,7796,5235,8030,1102,25694,3726,1009,12364,2912,2347,492,22854,14199,3252,34583,12000,11213,2101,77346,2525,601,7293,5197,8149,962,24736,25785,6206,63580,16132,15606,2856,130168,3497,1099,12520,8414,12087,1601,39213,13286,5331,30864,16473,17763,1753,85467,44537,18172,89042,24893,27517,3194,207349,46326,19259,129828,59874,79753,10048,345092,2358,711,7201,3057,4148,467,17936,2974,1117,9425,9835,19188,1246,43784,6051,994,15365,7480,9061,6535,45485,194173,63992,506788,225785,300346,43449,1334532,1882,868,9604,7063,19537,2428,41370,1423,398,3921,2891,17211,631,26472,12583,2113,34631,19855,57819,4201,131202,3599,656,6834,4133,11212,602,27027,10142,1848,36058,24764,143657,5748,222211,10422,1544,24243,11365,22133,2085,71797,17505,2841,53221,30325,60830,6703,171431,7804,1342,29183,24220,38791,4493,105832,10108,1808,25503,18526,40912,4301,101166,9760,2007,27401,7880,7506,1264,55811,34941,7164,78346,22235,17371,3906,163955,5641,1233,15414,10016,15850,1758,49903,63703,12672,146769,32141,28589,5918,289794,7047,1755,23115,14515,26182,2993,75608,27053,9488,59000,36463,46793,3921,182723,68855
2,14834,1819,45797,2235,728,6777,4448,6196,773,21153,2739,1104,7386,2065,1631,276,15203,8435,2637,22055,8183,6263,1225,48793,1753,577,5527,3457,5212,703,17225,21898,6336,50913,12724,10066,1785,103730,3399,1305,10802,6980,8606,1176,32274,12152,7023,27200,13608,12150,1331,73467,39285,23413,72877,21188,19467,2413,178652,42734,25077,111883,54850,59334,7842,301722,2302,1168,7588,3541,3757,396,18754,3181,1331,8759,9499,15595,1077,39443,4578,1148,11907,6141,6970,5462,36204,167003,78849,426520,197819,222093,33473,1125758,1731,855,7926,6950,16569,2094,36119,806,170,1839,713,3233,175,6928,13797,2991,39528,22456,57083,4164,140016,4068,970,8832,3810,9157,592,27426,8580,2203,31523,24758,134164,4999,206231,6900,1608,20054,10039,17834,1701,58136,14658,3675,52513,30305,47158,5443,153752,7199,1431,27062,22066,29754,3490,91001,9945,2100,24355,18610,30903,3533,89442,7144,2092,18297,5734,5451,835,39552,20100,5852,50966,16181,10677,2332,106124,3842,1117,11720,6468,10764,1312,35227,53654,12448,120771,26488,19716,3973,237054,6969,2102,20501,12743,19697,2222,64233,22750,11246,50262,28755,30207,2900,146115,61992
3,20313,2016,45255,1007,501,4232,3799,6834,670,17044,685,382,2944,1120,1424,164,6716,2126,1193,8128,6065,6569,714,24799,966,388,3966,3358,6106,710,15492,8931,4204,28927,8691,10745,1199,62703,1497,796,7379,6019,10204,1139,27023,5403,4119,19052,11371,12739,1087,53766,21504,14519,58261,18534,25348,2075,140243,24750,15520,89913,47070,62011,6152,245420,887,506,4241,2550,3941,344,12466,1522,917,6126,8274,16979,927,34746,1973,606,6518,4755,7395,4397,25644,80873,47570,286637,160111,247263,27081,849538,1223,517,6852,5152,14674,1954,30374,2706,874,7444,4174,24094,999,40290,4363,1284,15551,11973,50741,2543,86453,1915,651,5086,3597,10109,443,21806,3479,1333,17328,17238,112810,3790,155984,2267,669,7886,5810,17048,1034,34716,5174,1657,24795,19949,53237,4122,108931,4036,985,18483,17502,38605,3493,83096,4023,1349,13446,13064,32544,2782,67215,1649,648,6722,3016,4621,417,17071,5369,2535,17512,10853,10196,1233,47696,2122,746,8338,5668,12018,1237,30133,22849,7902,66348,18227,20689,2697,138703,2828,1249,12545,9812,21915,2012,50355,11423,7201,35574,25731,35036,2640,117607,33473
4,5769,553,12635,253,97,887,720,1568,152,3677,277,139,984,352,510,56,2316,840,400,2776,2157,2687,261,9125,188,94,880,883,1492,171,3705,3176,1267,8423,2699,3434,398,19391,746,280,2637,1964,4031,410,10066,2537,1597,7309,3864,5027,366,20710,8006,4641,20143,5904,7267,596,46561,10096,5628,32952,16008,22760,2186,89635,367,162,1401,648,1099,110,3785,573,313,2145,2035,6131,317,11513,591,155,1643,1024,1746,1016,6171,31426,16089,98286,48306,81887,8395,284393,603,303,3074,2441,7546,942,14910,629,183,1777,748,4361,188,7878,2589,733,8397,5272,19178,1086,37257,743,272,1989,1116,3572,183,7881,1264,366,5517,4201,32420,1204,44972,727,253,2496,1781,5492,371,11116,2101,573,9142,5250,17322,1404,35784,1661,289,5976,4178,10974,995,24075,1449,311,3741,3384,8940,832,18655,703,252,2393,1048,1697,151,6248,1927,869,5761,4054,4089,417,17120,438,183,1928,1700,2928,288,7463,7800,2532,20875,5867,6719,896,44686,1441,421,4597,3293,8208,706,18659,5398,2755,14124,8661,12948,883,44774,12894
5,8882,1058,21826,539,220,2071,1713,3183,376,8105,297,193,1212,435,543,74,2752,988,454,3892,2618,2776,423,11146,322,161,1752,1800,2497,446,6977,5378,1942,15334,4450,5242,745,33093,901,413,3663,2763,4724,629,13096,3500,2154,10526,5084,6549,781,28588,9545,9446,30414,9331,14552,1593,74888,12588,7436,46270,21247,27099,3511,118147,581,299,2534,1288,2193,239,7136,788,478,3455,4031,9088,638,18473,1133,378,3847,2303,3613,2279,13550,43891,26379,156110,76891,121373,16388,441025,593,314,3636,2365,6635,947,14500,7188,1903,18242,8474,36088,1883,73776,2698,818,9441,6541,23820,1501,44813,1175,351,2908,1535,4888,272,11123,2611,849,11227,10080,50772,2411,77943,1346,398,4804,3003,9573,629,19763,3428,883,14228,9286,24294,2411,54536,2030,506,10369,8544,17108,1837,40401,2453,705,7670,6991,14994,1500,34313,751,322,2865,1304,1935,202,7379,2409,1069,8513,4886,4076,670,21620,757,304,3708,3179,4837,658,13445,13846,3821,37472,10348,11050,1769,78305,1728,638,6386,4613,10050,1085,24492,6825,3811,19154,11555,16993,1665,59996,15209
6,2259,256,5266,72,24,201,215,616,56,1183,102,66,291,144,188,16,809,147,66,392,436,701,74,1822,55,23,185,277,460,61,1056,886,351,1823,632,1032,104,4826,190,62,517,419,969,116,2269,967,691,2612,1316,1907,181,7675,2887,1204,6158,1574,2827,234,14883,3087,1794,8767,4455,7984,779,26866,219,78,531,212,423,57,1515,261,95,540,538,1983,81,3495,166,29,338,196,484,346,1557,10898,4896,26887,13288,27921,3011,86903,668,137,1690,1126,3320,454,7387,71,22,218,165,1212,64,1751,730,128,1620,1066,5837,405,9784,351,103,923,540,1502,53,3465,328,91,1089,1122,11932,349,14912,199,48,483,442,1853,117,3140,1097,180,2377,1317,5529,494,10992,1496,160,2491,1414,4026,411,9992,494,92,890,796,3029,295,5588,200,98,657,329,526,42,1852,327,155,924,794,999,114,3322,121,48,385,473,819,86,1927,2043,724,4605,1392,1935,214,10911,400,106,892,681,1982,175,4252,1783,1148,4619,2481,4114,349,14497,4502
7,717,124,2217,37,23,133,99,267,33,589,22,15,89,32,46,10,222,31,13,106,139,161,13,469,38,9,100,116,205,20,488,436,163,827,248,414,53,2144,79,27,253,194,343,55,949,874,593,2117,1383,1860,184,7004,1012,714,2382,671,1138,140,6053,1490,830,3894,1363,1779,306,9656,75,40,254,121,244,40,776,134,53,319,230,558,56,1349,89,32,254,154,299,214,1045,4923,2654,12700,5927,9881,1476,37560,75,15,260,213,736,65,1364,91,30,286,206,1205,75,1892,76,12,215,225,976,51,1555,119,41,264,218,590,34,1259,134,30,615,555,4213,181,5734,47,9,165,144,531,46,944,500,58,1025,497,1605,191,3866,516,55,1355,819,1496,224,4468,169,64,518,530,1250,105,2639,58,30,200,88,161,16,552,58,34,193,221,205,25,731,59,17,185,176,368,35,844,876,262,1734,492,898,107,4368,156,40,452,344,772,95,1864,1682,936,3842,3020,4868,405,14758,1521
8,832,103,3242,102,27,187,132,189,25,654,259,108,531,147,117,18,1180,301,102,478,296,231,48,1445,160,42,332,234,338,39,1149,2437,834,4415,969,953,145,9757,349,115,751,424,484,77,2191,7343,3242,13090,4301,3585,404,31962,3761,1490,5622,1225,1410,146,13663,3459,1413,7501,2637,2600,370,17982,321,137,712,201,294,26,1693,332,111,703,562,979,67,2749,278,48,451,180,158,233,1333,20737,7933,38217,13198,13939,1892,95911,74,30,130,72,130,11,450,23,7,35,11,34,3,108,360,50,718,381,1119,55,2687,258,62,424,191,450,25,1411,564,110,1782,1395,7031,245,11128,141,31,362,208,425,20,1195,1498,180,2585,1211,2239,242,7957,1328,110,2324,1459,2013,254,7479,611,98,842,586,1111,148,3393,554,212,1252,414,461,47,2942,622,175,1107,525,378,84,2903,308,75,687,464,623,55,2221,6248,1739,10705,2340,2089,375,23495,752,192,1401,728,1103,141,4315,16105,5583,24914,8408,7356,865,63236,6468
9,25,16,74,3,0,4,0,10,0,15,0,0,0,0,3,0,0,0,0,4,3,4,0,11,0,0,0,4,0,0,8,5,0,9,7,4,0,27,4,0,8,8,21,0,39,20,10,25,39,46,5,144,15,17,41,8,28,6,112,10,9,35,17,21,13,97,3,0,8,6,9,0,23,0,0,3,4,9,0,11,0,0,6,5,4,3,25,57,47,178,134,216,65,706,0,0,0,7,10,0,25,0,0,7,10,35,0,52,0,0,3,3,17,0,19,0,0,3,3,26,0,37,0,0,11,15,96,14,129,0,0,0,0,7,0,9,3,9,23,9,39,11,88,0,0,24,19,58,24,129,7,0,8,5,32,7,61,0,0,0,0,10,0,14,0,0,4,0,6,0,17,0,0,4,8,4,0,17,5,0,18,14,8,3,47,3,0,15,12,43,6,76,29,21,69,64,129,11,319,14
