STE_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
1,176,34,73,121,34,180,19,134,127,3806,72,4790,40,23,11,30,9,57,11,84,41,679,7,992,26,35,17,41,9,52,18,239,94,1263,11,1808,23,21,9,27,8,71,4,296,122,1089,15,1680,61,95,49,77,7,162,39,670,240,2828,47,4282,63,137,53,159,26,386,43,1378,486,3547,74,6348,174,409,129,371,66,1289,157,2571,954,7431,106,13662,275,934,264,718,139,3318,310,3645,1500,8020,151,19276,654,1882,588,2111,401,7504,738,5327,2326,11746,210,33477,1547,3746,1130,6581,1347,11060,1500,6314,2770,11716,273,47980,2098,3135,1033,8865,1897,11858,1566,4992,2262,8447,173,46326,4325,3638,1131,11968,2633,11702,1747,4118,1934,7405,186,50785,18723,7898,2660,32453,7746,26732,4226,7371,3386,12178,334,123725,23950,6411,2274,35232,8843,12584,3522,4589,1983,7190,218,106784,27237,4752,1689,31717,7839,12968,2644,3263,1427,5065,173,98778,26033,3034,1128,21148,6023,6004,1685,1877,825,2680,107,70544,106858,8175,2664,67779,17355,33237,3486,5228
2,185,54,60,129,25,222,20,163,139,2970,65,4030,43,27,7,47,6,79,0,143,40,577,13,990,31,52,13,59,17,97,11,332,98,979,17,1700,16,39,7,41,8,111,12,408,45,812,19,1511,74,130,18,95,19,230,22,717,143,2197,35,3683,83,217,16,185,26,715,53,1576,252,2360,54,5543,207,590,55,487,81,1874,117,2822,484,4693,86,11498,354,1118,123,1066,198,4762,224,3835,677,5138,149,17654,730,2296,213,2722,425,9454,462,5095,1014,7370,195,29978,1865,3917,367,8792,1211,12603,834,5319,1141,7081,237,43361,2370,3184,376,11505,1542,12562,781,3955,935,5304,183,42708,4861,3362,424,14572,1940,11779,871,3075,775,4401,152,46215,19094,6606,1059,37368,5427,23825,1855,5191,1344,7260,276,109305,22617,4997,955,38722,5726,10095,1525,3116,729,3989,181,92642,23370,3343,759,32282,4842,10356,1174,2022,550,2612,123,81444,21238,2047,532,20062,3480,4270,754,1123,278,1329,94,55214,74405,4828,1336,56862,9353,22466,1665,2968
3,142,27,36,79,22,110,14,75,64,1368,41,1975,36,18,14,29,6,52,0,66,16,317,9,566,42,33,14,23,3,55,10,160,48,515,8,905,17,14,8,30,6,54,12,159,40,360,4,695,76,69,12,70,8,123,9,388,77,1206,13,2064,75,116,19,116,32,308,34,808,163,1387,29,3079,179,316,42,318,50,965,94,1546,351,3214,42,7122,310,662,97,667,138,2567,154,2313,495,3510,74,10983,629,1379,182,1935,355,5954,396,3173,835,4855,130,19823,1550,2589,410,5868,1059,8903,785,3623,1056,4933,147,30924,2122,2139,370,8118,1426,8684,806,2596,887,3421,103,30673,4067,2233,422,10403,1915,8149,807,2099,731,2799,115,33751,16846,4371,1041,26510,5097,15903,1908,3303,1348,4282,180,80797,19741,3340,881,26508,5181,6767,1549,1828,659,2315,150,68907,20017,2391,711,21599,4364,6529,1137,1257,496,1438,69,59996,17538,1407,516,13789,3022,2555,702,674,203,701,55,41168,50075,3229,1122,33503,6840,12936,1443,1755
4,29,4,16,40,4,26,3,32,11,456,11,632,8,18,4,21,0,7,0,39,5,117,5,226,4,14,4,12,0,14,4,73,21,175,4,316,9,4,0,14,0,26,6,65,8,166,0,299,23,27,6,36,5,48,7,178,29,566,10,935,29,60,3,65,5,130,9,360,43,570,6,1290,61,147,15,135,17,377,31,711,84,1335,32,2950,130,348,20,319,32,1162,45,952,137,1428,25,4595,229,674,35,844,104,2483,128,1369,206,2067,50,8191,539,1178,75,2849,315,3360,245,1481,250,1937,54,12276,695,1008,97,3774,364,3079,211,1014,197,1271,43,11756,1310,1015,116,4752,463,2722,225,744,167,1126,31,12677,5749,1986,277,11653,1393,4903,529,1197,288,1696,75,29745,6482,1333,243,11027,1361,2259,450,699,152,901,51,24965,6200,850,191,8689,1158,1798,307,462,113,495,33,20296,5403,462,125,5108,763,801,209,220,55,254,13,13407,14035,1030,242,11555,1509,3391,377,603
5,62,17,11,52,7,60,7,36,32,678,12,981,19,9,6,21,0,18,0,35,6,163,6,282,13,19,3,15,0,35,7,94,6,263,5,455,11,5,0,14,0,33,0,106,12,228,0,419,15,28,0,33,7,88,13,240,26,713,6,1168,33,67,3,60,8,172,26,451,59,731,17,1632,68,183,19,170,8,526,31,818,104,1489,26,3452,123,365,19,365,41,1395,47,1088,144,1469,43,5097,245,740,46,980,106,3087,109,1522,249,1991,49,9130,580,1210,84,2966,228,4622,190,1559,296,1819,62,13616,742,986,101,4188,368,4893,218,1218,354,1381,47,14493,1370,987,107,5511,507,4867,249,939,338,1194,67,16134,6360,1998,335,14390,1568,10487,637,1748,743,1949,104,40321,8221,1647,361,16516,1806,3847,742,916,356,1084,53,35561,8990,1202,323,13632,1782,4769,609,741,378,771,44,33242,8377,720,245,8765,1375,1622,423,376,144,364,39,22453,26887,2029,684,25117,3540,10593,1043,1245
6,9,0,6,9,6,8,0,4,3,113,0,158,9,0,0,3,0,5,0,8,3,40,0,62,0,3,0,3,0,3,0,18,3,41,0,77,3,0,0,0,0,0,0,22,0,27,3,64,8,11,0,10,0,8,4,64,7,155,0,269,6,18,0,18,4,39,10,106,16,152,3,377,28,61,3,33,6,117,9,227,30,444,6,967,48,131,7,101,16,351,7,358,43,469,9,1529,63,249,17,282,42,726,31,454,75,618,14,2575,178,368,25,1105,96,1053,81,432,103,574,11,4032,192,315,39,1259,134,976,66,303,63,401,24,3774,405,324,48,1485,164,737,75,221,60,309,15,3838,1600,614,107,3581,448,1261,173,334,90,459,7,8682,1728,477,90,3222,426,564,124,190,34,215,14,7077,1575,308,48,2462,300,378,98,115,30,108,5,5428,1326,176,57,1408,183,145,52,48,18,54,5,3473,3158,296,64,2600,329,647,116,132
7,10,4,0,3,0,5,0,5,0,36,0,62,0,7,3,0,0,8,0,7,7,129,0,156,4,3,5,4,0,11,0,18,0,162,0,203,4,0,0,0,0,0,0,11,0,69,0,86,3,12,4,0,0,29,0,50,9,556,8,672,7,19,0,5,0,26,5,46,11,258,5,382,9,16,0,6,0,84,3,102,14,427,14,682,15,32,10,26,4,130,4,107,10,353,13,694,38,47,7,65,7,283,6,133,27,295,7,924,62,81,10,171,21,307,10,122,11,203,14,1015,84,48,6,206,22,295,4,75,34,128,5,898,170,58,8,296,26,278,17,60,24,94,11,1041,779,127,27,763,147,581,40,102,37,130,13,2739,1023,110,37,763,165,227,48,53,17,84,12,2528,1102,71,43,644,152,256,25,39,18,57,4,2412,1002,52,33,444,136,108,29,18,11,26,0,1868,2608,132,65,963,321,383,62,41
8,3,3,0,0,0,11,0,0,0,65,0,92,0,0,0,5,0,0,0,5,0,19,3,29,0,3,0,0,0,0,0,7,0,12,0,31,0,0,0,0,0,3,0,12,3,19,0,35,0,0,0,6,0,8,0,23,0,58,0,98,8,8,0,3,0,21,0,57,3,75,0,183,5,16,0,8,0,53,0,75,17,134,0,313,13,36,0,22,5,145,8,105,11,132,3,479,23,77,5,60,15,298,14,152,27,172,9,846,58,145,12,279,26,456,26,165,30,192,4,1399,72,114,5,383,35,526,24,142,25,173,4,1506,197,121,24,497,58,571,36,111,40,167,4,1821,996,319,57,1557,218,1308,102,250,71,340,17,5247,1488,297,63,2084,382,542,111,160,35,277,4,5442,2072,289,74,2157,428,658,86,157,26,248,8,6210,2381,236,110,1764,418,341,83,104,33,168,4,5637,11293,534,211,5600,1268,1807,202,337
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,8,0,5,0,0,0,3,0,3,0,6,0,16,3,3,0,7,5,8,0,0,0,0,0,26,5,4,0,15,4,3,0,0,0,0,0,21,11,0,0,10,0,5,0,0,3,0,0,28,22,7,7,12,4,12,0,3,0,7,0,62,15,3,0,19,0,6,3,0,0,0,0,57,23,0,0,12,0,3,0,0,0,0,0,40,12,0,0,7,0,0,0,0,0,0,0,30,22,0,0,13,0,3,0,0
