STE_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1,28891,34859,14408,21583,25511,9668,5638,7191,1989,149745,41751,41806,26191,53288,45664,18661,9551,12709,3693,253314,79467,36514,224928,90675,80219,39241,52671,55140,10434,669300,4837,2731,3663,6215,10409,5765,3200,5639,500,42959,9905,6818,5854,10717,17713,7319,4819,6620,1037,70817,3763,6697,2389,2602,4350,1959,1442,2071,623,25893,7024,8608,5106,6807,7909,4448,4428,6400,9076,59812,429318,890301,335425,279565,333988,142009,105020,127817,45237,2688687
2,23809,27830,15396,18756,20839,8475,5646,6825,1827,129405,34582,34020,27882,53476,37634,16774,10964,13672,3347,232357,61798,24844,193490,74367,55651,31173,40247,49923,9366,540859,3130,1771,3193,4636,6143,4145,2440,4480,367,30300,6323,4221,4617,8596,9261,4983,3449,4708,815,46974,2598,4824,1987,1987,2264,1245,1145,1542,528,18122,5675,6846,4920,6065,5657,3928,3577,5595,7873,50130,344795,744899,302077,256152,263699,120575,92305,120374,39825,2284690
3,15120,18595,8660,12729,12142,4714,2839,3882,1049,79727,29926,27943,20301,47941,34870,14011,7127,10660,2640,195421,58859,26702,190246,82223,64252,35117,46007,52877,9532,565814,3157,1820,3920,5557,6360,6346,3170,6840,430,37600,5394,3557,4086,8050,8422,5160,3536,5276,623,44104,1817,3118,1441,1705,1704,990,851,1422,339,13376,4276,4815,3833,5339,4323,3265,3189,5424,6209,40684,226642,487483,259837,218784,196948,94185,77265,106712,28419,1696275
4,5593,7643,2910,5891,4671,1549,837,1439,332,30865,8976,8760,5955,13792,8705,3229,2033,2903,761,55105,20296,9289,58394,28957,21571,11178,12157,16172,2999,181014,1321,685,1408,1912,2293,1727,961,2170,165,12645,2089,1170,1373,2922,2914,1469,862,1488,235,14521,592,1094,502,669,585,287,252,496,100,4585,1530,1529,1187,1809,1395,1049,994,1754,1590,12833,77515,168715,82487,79774,65769,29016,22485,35301,8833,569900
5,8955,12618,6988,7576,7734,2883,2371,2594,620,52346,13342,13155,12750,19425,14087,5805,4467,5129,1066,89233,26459,14033,107780,39630,28244,14270,25239,22945,4509,283101,1680,1007,2669,3824,4032,3577,2185,4010,256,23232,2630,1748,2405,4379,4794,2229,1812,2309,284,22593,1329,2267,1251,1208,1322,621,677,968,195,9844,2285,2801,2526,3111,2622,1688,1931,2638,3027,22632,119414,269052,155048,110142,100096,44598,46926,53028,13932,912238
6,1552,1839,797,1347,1189,339,162,341,96,7663,2625,2447,1671,3722,2664,928,374,786,229,15437,7596,2883,19874,9920,6833,3354,4226,5296,993,60978,375,176,444,902,814,710,349,841,50,4666,471,297,352,958,804,385,229,470,53,4017,154,283,132,258,175,103,59,170,42,1380,516,505,438,677,444,378,378,730,515,4582,23777,47869,27301,25320,18659,8758,7163,12191,2796,173841
7,613,728,356,637,469,124,83,149,45,3209,1419,1232,882,2050,1325,369,221,354,119,7980,2716,1609,8000,3672,3124,984,1444,1651,425,23623,155,196,179,424,390,203,118,280,28,1970,207,201,201,385,330,142,105,180,32,1795,62,169,67,117,77,35,37,59,14,636,202,322,226,418,232,142,148,281,340,2314,10593,21370,11439,11699,9131,3166,2680,4046,1416,75547
8,1812,2102,801,1077,1608,394,180,256,140,8375,3300,3082,1692,3048,3358,785,302,589,332,16494,3836,2825,9823,4277,4714,1373,1163,1740,566,30314,273,261,218,410,506,301,77,196,27,2269,437,403,287,512,792,233,123,210,65,3055,182,422,136,157,186,68,45,70,31,1305,290,523,261,322,405,144,114,184,469,2706,37835,72251,17415,18007,25579,6748,3260,5819,3916,190839
9,26,11,15,11,20,5,0,8,0,88,31,8,11,33,28,7,0,6,4,125,81,31,231,57,46,12,23,51,10,548,3,0,3,20,14,5,4,12,0,68,3,3,3,11,12,3,0,5,0,46,5,3,3,6,4,0,0,3,0,24,12,6,16,11,9,7,6,15,8,93,265,271,286,210,172,61,50,107,22,1444
