STE_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1,2011377,2084590,4095964,254597,268147,522742,890982,928708,1819691,27925,28741,56671,34413,35979,70394,6440,6533,12971,9446,9117,18564,2217,2360,4580,3417,3258,6675,12797,13295,26099,129,118,244,987769,1028116,2015882,218543,224752,443289,28053,24770,52823,1488959,1545783,3034744,243120,230270,473394,3743460,3860646,7604104
2,1628210,1701442,3329653,173085,182236,355319,33426,35257,68685,740045,770032,1510077,20790,22247,43045,9993,10544,20535,11336,11206,22541,4378,4706,9083,3898,3855,7755,3897,4067,7964,33,24,57,827795,861945,1689738,183405,188643,372053,19521,17110,36634,1203806,1249930,2453741,176265,167933,344199,3008286,3119307,6127593
3,1159118,1188917,2348035,146666,157768,304435,66258,71130,137386,32634,34852,67487,640427,691009,1331436,8214,8825,17036,10229,10536,20771,4385,4718,9100,7307,7375,14687,4965,5098,10061,66,67,133,774486,833610,1608094,102462,113110,215572,26729,24090,50815,1050344,1128571,2178913,180225,156502,336726,2389693,2473983,4863678
4,480451,495155,975602,51831,55223,107050,8635,8358,16994,9060,9058,18113,5763,5943,11705,176668,189534,366201,2994,2985,5977,913,990,1904,2821,2865,5690,972,927,1899,25,19,42,207857,220673,428524,37977,39304,77281,5138,4546,9684,302797,319736,622536,46994,42157,89151,830240,857054,1687292
5,670528,684875,1355404,78681,82840,161520,9559,9814,19370,8596,9178,17779,8856,8770,17624,2977,3006,5989,293075,310234,603309,1398,1545,2938,2855,2779,5637,913,928,1842,145,157,307,328379,346413,674793,56444,62701,119143,9616,8531,18145,473119,500484,973607,95963,73299,169263,1239604,1258667,2498272
6,146616,151573,298192,15582,17111,32691,7185,6853,14035,6766,6499,13266,4804,5150,9955,799,866,1665,1638,1767,3400,46854,51800,98652,509,513,1025,439,471,914,6,9,20,68997,73922,142923,9491,9872,19362,1747,1487,3232,95823,102390,198214,16811,16080,32890,259247,270045,529294
7,51031,50473,101502,5365,5440,10805,3321,3303,6622,3202,3474,6672,3817,3771,7590,1521,1679,3195,1905,1987,3889,273,275,543,17717,18305,36021,373,408,783,14,10,18,32146,33205,65354,5909,6793,12703,1099,949,2053,44523,46393,90918,13524,10440,23962,109084,107298,216381
8,103525,108698,212227,5421,5566,10984,17188,17901,35086,4518,4590,9105,4235,4349,8587,1282,1256,2537,1430,1362,2794,378,395,773,660,614,1269,46245,47325,93575,18,17,35,75947,77822,153763,14554,15347,29902,1561,1166,2724,97480,99901,197380,9584,8624,18210,210592,217227,427818
9,1132,1132,2267,173,190,360,123,122,249,23,28,53,98,111,207,4,6,9,129,126,249,3,7,12,20,9,31,26,26,51,3,4,6,431,437,869,68,64,130,9,7,14,671,701,1371,588,320,907,2388,2159,4547
