STE_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1,23183,120063,31082,36110,4310,283610,69804,23448,172063,72903,97830,12760,448805,4234,1195,13749,5965,9505,943,35589,6401,1795,17053,14628,53854,2308,96042,13751,1867,32080,14820,31402,14435,108350,386662,99219,928239,405790,783070,85700,2688687
2,30861,99407,27134,25900,3329,248630,62330,30377,146240,66083,72848,9850,387728,4218,1862,14965,6771,8584,825,37223,6180,2081,15320,15099,42075,2094,82845,10778,2072,26024,13286,26365,12382,90909,327635,118114,788119,364458,618129,68250,2284690
3,18962,77901,23071,32751,2832,188988,37719,19081,117733,56860,77110,7878,316379,1688,782,7620,4549,8835,697,24166,2966,1401,10050,11727,43208,1689,71039,4605,1083,13543,9197,27267,9574,65275,155869,70903,490752,277176,647520,54057,1696275
4,6005,27849,7538,9776,827,64888,15065,6942,43507,19272,28280,2859,115922,661,242,2545,1226,2390,228,7289,1123,538,3683,3357,15115,607,24419,1359,310,3507,2136,6235,2364,15908,60571,24338,172880,86504,208185,17422,569900
5,12339,40255,11505,18100,2037,99444,18389,8982,59101,25041,32728,4372,148609,1085,460,4537,2359,4399,464,13303,1655,739,5746,5939,22268,1114,37461,3038,710,8767,5119,14319,5060,37003,89222,39916,279030,142673,328923,32477,912238
6,1610,8641,2031,3851,333,20956,4589,2239,11756,5446,9932,1003,34964,378,131,990,437,962,92,2997,488,136,950,823,4574,151,7125,373,59,710,395,1722,770,4032,20634,7415,46905,23254,69670,5962,173841
7,904,3086,858,1613,195,8179,2278,1029,5232,1807,2502,431,13292,161,58,461,206,549,81,1514,241,78,560,361,1713,95,3045,194,51,502,316,1141,488,2690,9008,3760,21139,11304,27389,2949,75547
8,1934,7812,1620,2020,214,20065,5184,1769,10000,3394,3474,516,24340,534,217,1166,383,645,55,2992,654,175,1200,834,2271,122,5254,673,80,935,387,654,544,3273,42968,12829,70382,25009,35631,4016,190839
9,18,58,12,27,3,136,9,9,43,17,28,10,117,7,0,6,3,21,3,38,0,0,4,3,37,0,47,0,0,3,10,37,18,68,86,64,293,217,667,115,1444
