STE_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1,477,1084,37,30,69,1151,2001,2370,5519,94067,66352,18252,178663,5945,5550,11494,190156,143170,4405,337729
2,403,987,33,34,65,1051,1485,1706,4242,77653,59983,9896,147540,4714,4978,9694,157234,101568,3235,262040
3,377,870,46,42,88,964,1134,1534,3635,72006,50132,11559,133699,5551,5159,10711,144409,82909,2710,230026
4,97,251,17,19,43,294,400,375,1069,23571,19203,2486,45258,1698,1766,3466,48729,30082,774,79584
5,165,361,21,27,43,406,476,696,1579,34903,25561,3412,63869,2451,2670,5123,68997,35837,1207,106035
6,22,68,9,7,17,80,189,138,403,7062,6612,877,14550,575,655,1230,15777,9909,304,25988
7,12,41,6,5,10,50,73,125,253,3506,1395,345,5253,305,199,503,5749,4087,241,10076
8,9,33,4,0,6,34,34,67,130,7659,3101,565,11321,245,226,470,11790,4745,117,16650
9,0,0,0,0,0,0,0,0,4,47,39,4,92,0,3,4,95,38,0,135
