STE_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1,32491,29972,62460,15706,18700,34408,805,389,1189,725,627,1351,2328,2449,4775,903605,684009,1587613,48997,68148,117143,25797,595,26390,13193,1725,14917,10963,3501,14466,10598,6633,17233,44925,47437,92368,1110135,864184,1974324,10155,12206,22361,115,90,205,422,469,891,4104,2313,6411,798,1460,2262,1044,572,1611,16641,17098,33739,125,88,217,254,276,531,967,742,1706,696,1441,2140,510,576,1083,2544,3130,5675,9944,5327,15271,29131,25553,54683,3294,3371,6659,371,412,784,467,165,627,4130,3944,8069,531650,609820,1141467,210742,276902,487646,10044,7925,17966,1895828,1788326,3684158
2,27093,24824,51921,7749,10217,17960,439,163,602,9040,11468,20503,3346,3116,6461,909963,668244,1578210,48017,62108,110123,16024,382,16403,6779,874,7654,15649,6624,22267,8707,5043,13746,35113,37260,72373,1087907,830319,1918225,4937,6082,11016,7,5,8,2703,3341,6040,5009,3129,8140,709,1388,2105,1299,697,1998,14670,14641,29311,31,0,31,640,814,1459,637,517,1162,638,1287,1922,322,407,730,2271,3038,5308,10073,6239,16316,27011,23918,50926,4305,5213,9518,348,450,802,590,289,876,5245,5950,11196,378224,435857,814082,131643,221428,353067,8588,6800,15391,1638622,1524268,3162893
3,13464,13858,27327,19429,21848,41281,1166,892,2062,700,1052,1752,3057,3372,6429,775205,679906,1455104,47306,62700,110004,18169,525,18693,14240,1704,15951,12625,4501,17121,10563,4613,15174,31476,32102,63580,947394,827075,1774469,2150,2569,4720,10,5,19,82,78,155,3168,3132,6302,534,792,1320,741,316,1060,6693,6901,13586,315,249,562,182,301,484,1491,1439,2933,642,1457,2101,659,559,1215,3283,4007,7294,10228,6046,16265,20201,16945,37148,1276,1509,2784,808,625,1437,603,253,858,2685,2387,5078,155538,189155,344696,109205,161191,270387,6656,5649,12301,1241677,1202413,2444090
4,2634,2735,5373,11568,14755,26322,92,37,132,975,1328,2303,1076,1120,2198,291870,244647,536515,14854,21377,36225,3950,123,4076,3026,352,3379,5436,1885,7318,3845,1156,4994,10547,10032,20575,349863,299550,649406,495,485,980,0,0,0,59,102,156,534,572,1105,71,125,198,85,49,137,1239,1330,2569,5,6,10,182,260,440,1124,1341,2471,394,906,1298,305,303,609,2012,2824,4837,3323,2504,5829,6575,6659,13238,306,437,742,269,342,609,161,75,239,736,853,1587,37876,42637,80513,34275,56220,90496,2268,1900,4168,431597,407810,839414
5,11557,11526,23081,22480,15010,37489,184,93,277,30,24,57,2276,1903,4177,430870,380093,810960,27547,32791,60341,7427,285,7717,3262,412,3670,6559,2187,8746,15581,3962,19543,14315,13798,28115,542094,462088,1004178,6805,6590,13392,12,7,24,0,4,5,4749,4336,9083,675,934,1605,501,192,690,12733,12060,24803,23,6,32,6,8,15,1170,915,2090,560,941,1499,907,444,1348,2663,2320,4983,5904,2857,8760,21302,17240,38543,2196,2585,4783,692,296,989,365,126,484,3257,2998,6257,42927,55361,98289,68290,84507,152794,3660,2528,6188,681527,624724,1306249
6,24,14,38,2555,3724,6275,55,57,108,6,5,13,343,407,751,88284,74898,163186,5293,8103,13393,1693,47,1742,1011,120,1139,1247,526,1776,858,359,1218,5221,5564,10785,106595,93822,200418,0,8,8,0,0,0,0,0,0,21,23,40,0,0,7,6,6,13,32,39,66,3,8,11,0,0,0,214,350,569,157,330,486,72,82,154,449,771,1223,967,722,1690,1440,1531,2974,11,8,18,67,105,171,41,20,65,117,132,255,9456,10875,20330,11168,18014,29181,846,718,1563,129624,125097,254722
7,12,5,19,1098,1169,2260,23,14,39,11,0,17,173,194,364,35889,31947,67832,2668,4432,7098,516,36,549,916,208,1124,1271,877,2153,927,388,1313,3882,4235,8115,47383,43507,90891,0,5,9,0,0,0,0,0,0,7,9,18,4,5,6,0,0,4,13,19,35,8,0,8,0,0,0,65,53,119,48,102,150,43,30,72,161,191,350,575,420,997,754,628,1376,3,0,3,42,48,94,36,32,70,87,81,172,1881,2669,4545,3887,5204,9090,534,419,958,54524,52506,107035
8,65,42,110,4013,5020,9032,30,7,33,1028,1253,2280,260,308,565,78859,67868,146731,4144,8337,12476,978,31,1009,1590,186,1782,3476,1743,5220,751,322,1073,5085,4898,9988,100282,90015,190290,18,16,31,0,0,0,0,0,0,17,25,42,0,0,4,3,0,5,37,50,84,0,0,0,641,738,1376,247,301,550,149,447,604,160,143,307,1202,1633,2841,1364,1052,2412,2600,2732,5339,8,6,17,172,239,411,73,40,112,257,279,537,12871,14335,27211,9288,15329,24624,352,256,613,125651,122948,248603
9,0,0,0,21,23,53,12,8,23,0,0,0,0,0,0,678,662,1341,29,68,95,77,10,88,56,14,70,17,9,25,11,10,16,78,75,154,984,881,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,6,0,3,0,0,0,0,0,0,14,20,32,18,18,30,36,37,65,0,0,0,4,9,12,5,0,5,8,9,16,50,72,122,63,103,161,8,12,20,1149,1107,2251
