STE_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
1,146009,89633,61417,38965,13808,2636,485845,2869,23180,29982,28167,24659,19989,5787,973,135609,82972,339674,293164,205704,144878,100827,39354,10465,1217048,37004,105288,124567,127568,107411,73307,31960,9232,616322,88187,191207,179362,181087,170928,110250,52771,15053,988847,12256,12105,11570,12366,12575,8608,2896,690,73071,7474,12201,16806,25179,29965,26542,13046,3983,135200,107921,215503,207743,218634,213477,145396,68715,19730,1197119,2917,7324,8008,7424,8114,8545,5453,1866,49645,63620,88976,78954,67701,66703,66253,58097,39574,529890,302968,907660,888432,744826,626660,453276,223170,84475,4231474
2,119037,66630,43418,26743,9660,1679,399612,3054,27934,35755,33760,27402,19199,5501,838,153446,73593,286908,252047,169191,110193,75645,29217,7587,1004394,32386,100034,111974,102204,82118,59078,26248,7250,521291,65640,157466,142637,142327,127526,77950,35864,10414,759840,9607,9510,8859,7752,7096,4696,1450,320,49285,5043,9566,12633,16092,16120,12601,6200,2086,80339,80293,176541,164133,166175,150744,95247,43515,12813,889455,2063,5573,5923,4472,4452,4695,3251,1332,31767,46143,67196,57629,50328,48436,49516,42852,27310,389417,245636,788519,746495,592767,466767,330124,160253,58814,3389371
3,55949,40999,28789,17867,6158,987,196928,2094,17352,20837,21289,16308,10787,3074,506,92233,45344,163916,154018,115502,74577,51326,20143,4476,629307,26752,65826,79471,84626,70656,45526,18502,4263,395615,85998,157851,150405,144615,128477,82691,34866,8099,792993,21117,11302,8512,7038,6097,4361,1374,215,60015,6859,8748,11846,14329,14081,12031,5559,1441,74893,113974,177895,170755,165979,148655,99082,41800,9750,927894,1755,3277,3780,3868,3872,4135,2874,932,24489,46477,59383,52271,49912,46097,42525,35086,20445,352196,238938,531280,537080,482179,388952,271254,127630,41351,2618666
4,21333,13344,9814,7039,2656,527,76780,545,5324,7058,6766,6450,5150,1510,226,33029,16509,59423,53059,37511,26744,21395,8590,2173,225405,4963,18235,23649,26212,25393,19474,7791,1980,127698,24570,50971,46972,46652,43795,29385,13298,3953,259599,4110,4950,3832,2904,2444,1672,505,128,20557,1620,2624,3695,5093,5162,4717,2330,750,25988,30306,58535,54503,54655,51402,35777,16135,4830,306135,631,1264,1367,1277,1333,1411,1076,385,8750,11170,13454,12538,12920,13504,14141,12405,7402,97544,65413,177013,173516,152689,134648,104384,50163,17517,875345
5,32600,21678,14574,8941,3174,609,109913,925,9436,12163,11356,9002,5406,1596,265,50138,22960,90747,90785,64300,42344,28647,11108,2718,353606,10915,33606,41927,40485,35474,24873,10625,2750,200659,39717,80485,75470,68584,60375,38011,15838,4052,382528,13838,6535,4717,3795,3163,2039,729,143,34947,2694,3982,5856,7753,7650,6076,2947,909,37859,56244,90999,86037,80123,71189,46123,19503,5100,455335,1080,2326,2932,2766,2595,2820,1885,652,17063,20669,31438,29796,27064,24043,20585,16621,10417,180629,114628,285059,296243,247771,199230,137405,64511,22506,1367340
6,5697,3902,3415,2560,965,178,27212,127,1653,2032,2117,2131,1680,475,75,10301,3524,16551,13419,10503,9223,7621,2807,676,64334,1081,4803,5944,7448,7704,6184,2785,745,36691,7124,17492,15718,15621,15345,9691,4152,1041,86188,1775,1844,1261,979,984,565,193,49,7654,519,807,919,1246,1700,1629,705,249,7777,9422,20152,17900,17847,18027,11890,5044,1342,101628,187,431,371,374,418,490,372,115,2757,4052,4889,4136,4380,5188,6021,4971,2290,35939,18690,58671,49504,46579,46118,36444,17427,5413,278846
7,2840,1606,1260,633,156,18,10260,70,980,1101,973,759,345,74,3,4302,1406,8621,6281,3864,2670,1518,433,69,24866,590,2858,3163,3195,2394,1168,355,46,13766,3056,7175,6498,5606,4419,2126,600,101,29580,947,732,549,395,262,130,35,4,3061,260,458,530,594,447,306,110,15,2723,4264,8366,7582,6597,5132,2561,741,120,35361,71,215,187,146,100,99,45,18,876,3633,5147,4218,3817,3154,1924,768,238,22904,10145,29827,25370,20196,15478,8242,2579,515,112338
8,14813,9921,6699,4209,1740,398,52777,298,3277,3866,3463,2880,2222,733,87,16818,7698,25822,20660,14124,9748,7434,3507,958,89954,1951,6143,7652,7076,5523,3719,1777,553,34410,4410,9485,8049,6910,5424,3250,1729,561,39826,1034,709,530,421,368,300,108,41,3512,364,499,725,974,1140,1143,592,200,5631,5808,10705,9305,8305,6922,4698,2427,803,48973,184,396,414,285,283,285,230,94,2175,3395,4283,3255,2421,2067,2051,1663,1039,20167,19885,65066,59967,45601,34121,24615,12071,3938,265266
9,29,22,19,12,6,0,101,0,4,12,15,25,4,0,0,72,15,66,90,72,49,45,14,4,351,13,39,58,56,65,45,20,5,299,54,93,120,130,168,90,24,13,687,25,15,13,15,13,9,0,0,84,3,7,16,12,12,14,7,0,63,83,113,140,152,189,112,32,13,832,0,5,3,6,5,17,4,0,41,93,221,169,143,131,88,64,12,923,205,467,500,459,478,335,133,34,2618
