GCCSA_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
1GSYD,400,7882,800,515,200,104,9897,180,19983,979,355,232,145,21872,1297,14080,2406,2584,809,200,21375,4510,9717,1736,4463,1247,195,21868,6196,3381,676,4848,1591,135,16825,20618,3897,856,7879,1374,191,34822,58953,3402,692,14246,1708,414,79414,88640,1453,355,16418,1693,452,109006,53506,375,137,9613,662,243,64529,28617,192,85,5299,304,111,34615,14768,100,46,2871,164,56,18012,7862,193,39,1808,96,43,10036,4333,52,25,984,48,23,5469,7994,28,15,2296,176,77,10587,5267,4580,936,4381,1149,1000,17311,303135,69328,9787,78559,11460,3385,475656,361,3456,315,344,105,36,4619,117,3134,552,218,101,45,4163,687,24515,1251,1450,514,218,28633,1898,11828,2271,2746,750,181,19682,2505,5607,859,3054,477,103,12608,7190,4780,997,4424,1993,136,19517,30771,5085,1133,9388,1568,277,48223,97979,4020,1037,17166,2220,477,122894,89562,1122,364,13543,1386,336,106312,58839,360,138,8416,672,172,68605,34042,171,104,5121,355,116,39899,17640,68,57,3189,193,54,21205,9944,40,28,1857
1RNSW,361,4025,878,1571,1572,123,8528,649,10638,954,1354,691,168,14449,8195,9911,2377,8018,2593,362,31456,19942,6758,1283,11058,2632,340,42008,13204,2323,362,7542,1691,144,25259,26234,2444,361,8964,1514,196,39716,32945,1030,203,9203,1164,182,44723,20978,208,80,4944,563,96,26866,5200,51,20,1310,223,24,6829,1438,47,14,463,119,15,2100,531,26,5,222,78,3,863,240,86,17,140,47,4,533,123,30,3,69,24,5,248,717,13,0,508,169,32,1448,2188,2373,705,2822,1929,509,10521,132942,39968,7249,58193,15008,2189,255553,261,1758,450,864,1114,54,4512,268,1618,666,654,458,71,3728,3222,13183,1423,4629,1538,337,24327,11837,8115,2047,7397,1880,380,31652,9830,3332,640,6675,1074,200,21743,22504,3125,540,8703,2184,245,37301,39703,2778,393,11602,1524,297,56294,40668,987,199,9163,904,187,52109,13216,124,42,2732,300,49,16465,3905,25,8,888,140,16,4986,1242,29,10,432,111,6,1828,493,24,3,196,73,4,795,225,8,3,89
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,419,3455,419,691,187,62,5241,245,10944,671,710,238,106,12906,1735,7952,1413,4490,786,214,16589,8115,4839,949,7430,1322,208,22865,10966,1859,411,6372,1067,136,20807,37547,3031,527,11370,1433,296,54200,81173,1608,394,16483,1787,440,101880,65082,364,191,10507,701,250,77100,24806,120,79,4623,276,107,30017,10173,52,37,1969,127,45,12402,4765,49,19,986,51,24,5889,2317,98,8,545,50,15,3030,1349,35,5,293,37,10,1726,3885,16,3,1010,146,43,5104,5207,2614,548,4329,983,827,14515,257775,37044,5674,71816,9190,2783,384276,500,1684,238,576,109,35,3142,258,1677,366,445,115,45,2903,1235,14121,892,2833,554,194,19834,3510,5780,1554,4663,839,155,16508,5255,2889,719,4053,651,114,13686,23645,2756,923,8188,1452,232,37196,92384,2826,716,18546,2386,468,117325,111565,1369,303,15182,1372,370,130168,47623,259,137,7263,501,157,55933,22030,94,53,3460,251,60,25960,9976,58,28,1681,116,30,11892,4931,34,28,1020,73,19,6108,2565,15,4,514
2RVIC,196,1963,391,1026,605,64,4239,480,5242,442,973,397,72,7610,5830,4775,840,5806,1392,186,18830,14453,3447,799,7328,1317,185,27534,8786,744,201,4395,764,67,14964,15220,427,101,4117,603,110,20589,10980,143,73,2552,381,79,14199,4327,38,25,912,172,32,5506,882,20,9,252,91,7,1264,192,20,7,83,68,3,372,83,26,4,72,35,4,216,41,47,6,60,21,6,177,22,9,0,37,11,3,84,308,12,4,347,86,15,760,1182,1170,241,1690,1067,328,5680,62972,18082,3135,29647,7023,1164,122024,131,970,168,619,381,42,2304,195,1056,256,561,253,37,2361,2688,6772,674,3460,898,219,14701,9145,3321,821,5673,922,208,20092,7863,1460,435,4562,585,109,15014,18813,1028,301,5580,902,141,26763,21845,362,116,4416,611,118,27463,10555,109,65,1901,268,63,12966,1655,31,15,474,92,19,2277,401,18,3,142,50,7,619,139,5,0,89,38,0,275,65,3,0,63,25,0,157,30,13,5,48
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,204,5580,149,312,143,30,6417,79,5923,291,297,123,58,6768,760,6777,727,2212,755,103,11333,3004,3671,822,4154,1401,136,13182,3699,1120,322,3962,1503,105,10712,13878,1196,335,6704,1134,158,23407,44872,737,377,13610,1511,387,61496,52434,235,309,12404,1121,294,66792,14971,48,87,3751,282,68,19207,5093,33,30,1488,122,18,6794,2154,54,8,611,50,6,2888,937,26,3,332,37,8,1344,430,14,0,164,11,3,627,1102,5,7,437,99,21,1678,2186,1742,289,2005,631,497,7346,145827,27173,3751,52445,8920,1897,240011,162,1323,86,249,76,28,1919,78,2116,133,157,63,25,2553,617,8696,444,1439,408,106,11715,1850,5140,915,2492,904,127,11434,2386,1932,321,2677,628,90,8030,11379,2414,563,5030,2429,139,21943,41763,1977,569,11146,1665,323,57443,74103,638,433,14008,1270,348,90792,29061,99,107,5472,408,96,35244,10080,31,35,2038,166,30,12384,3945,25,12,851,65,12,4917,1774,23,3,426,41,9,2280,853,9,4,214
3RQLD,317,5768,998,945,4941,109,13069,211,5542,719,751,1316,94,8636,2330,7487,1495,5139,2322,249,19026,10136,3590,953,8239,2614,274,25809,9260,1038,289,6613,2048,144,19392,23337,930,290,9748,1864,245,36403,38522,523,382,13373,1852,374,55025,40449,157,237,10881,1388,279,53385,12145,39,40,3137,507,85,15948,3556,34,16,1023,260,31,4922,1428,47,13,486,208,7,2192,580,25,9,239,117,9,985,288,5,3,119,54,4,476,1098,11,3,631,275,19,2034,2693,1745,393,2879,2832,711,11251,146346,26939,5842,64197,22605,2626,268559,334,2222,278,575,3513,59,6972,172,2613,313,437,940,55,4527,1631,9180,877,3369,1716,181,16956,7651,5915,1204,5883,1810,263,22732,9217,1792,449,6255,1212,179,19101,23861,1937,482,9644,2741,275,38932,46273,1346,321,13816,2154,365,64283,51094,430,280,12684,1464,311,66263,20149,62,56,4199,486,98,25060,6293,29,17,1430,236,24,8032,2493,25,14,605,167,7,3308,1045,14,4,273,116,7,1456,498,7,3,142
