GCCSA_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,6,0,249,221,0,0,73,47,4,341,233,157,19,160,384,31,987,9980,2538,197,4053,2154,130,19046,6,144,16,11,24,0,208,9,363,7,11,4,6,398,29,699,50,78,38,4,908,107,394,32,145,42,6,720,163,152,42,193,56,3,615,665,218,46,296,736,16,1971,1912,164,36,728,360,13,3200,3394,94,19,1129,261,16,4914,2754,64,9,718,122,15,3681,1692,8,0,317,58,3,2084,732,3,0,132,24,3,897,285,0,0,67,17,0,373,132,5,0,27,13,0,180,139,4,0,130,85,0,357,224,338,35,259,259,52,1162,12240,2642,294,4244,2098,140,21661
7RNTE,4,0,20,18,0,0,22,35,0,77,68,676,148,97,679,45,1717,2209,5078,1107,1208,2869,133,12612,11,1440,866,24,473,47,2862,0,902,310,10,232,13,1464,13,925,303,45,330,7,1627,31,576,162,72,243,9,1095,28,206,76,71,197,0,574,107,207,55,111,316,5,798,421,81,42,184,219,4,951,754,57,13,297,157,8,1283,586,23,3,254,98,0,968,281,9,0,115,44,3,456,121,0,0,53,28,0,203,56,0,0,28,21,0,108,23,0,0,12,19,0,58,25,0,0,54,91,0,170,99,395,161,224,1026,32,1939,2568,4828,1995,1543,3485,131,14547
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,8,0,233,226,19,3,104,13,0,378,322,497,52,322,114,47,1360,23703,8643,644,9867,2277,187,45320,13,420,15,39,24,0,521,0,468,42,23,7,3,555,34,3243,107,166,39,12,3605,94,1192,170,306,71,9,1839,75,603,71,296,48,11,1097,295,646,112,463,516,3,2031,1109,609,182,905,558,9,3372,6729,646,185,2611,642,13,10831,9707,252,45,2698,356,10,13070,5989,42,16,1529,215,13,7804,2575,14,8,647,83,7,3330,981,11,3,313,35,0,1341,429,10,0,114,14,3,568,588,4,3,219,28,6,842,408,504,66,464,213,117,1769,29035,8655,1027,10793,2848,213,52579
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,3,0,0,3,11,8,5,16,23,0,65,94,119,30,158,114,7,515,0,16,24,5,35,0,84,0,19,6,7,7,0,31,0,28,3,23,9,0,63,15,29,0,25,13,0,78,8,0,0,36,0,0,55,21,14,3,37,10,0,80,38,8,0,28,4,0,83,21,0,0,20,4,0,50,7,0,3,4,4,0,22,4,0,0,5,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,10,0,20,20,0,62,115,139,42,218,118,0,632
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
