GCCSA_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
1GSYD,14206,25515,1977,1904,43602,3862,6299,10163,53764,81222,6945,141924,59541,34240,2858,3813,100448,7305,5109,12417,112865,30872,10644,154381,102619,21491,2957,3694,130758,6056,1907,7964,138722,16339,12709,167770,114272,15954,3333,3100,136660,4904,1100,6003,142660,12500,10882,166035,116339,14428,3264,3047,137071,4607,930,5533,142605,12085,9574,164260,107982,13950,3018,2990,127941,4356,901,5257,133201,13343,8522,155066,103221,14244,2965,2896,123325,4242,886,5130,128455,14962,7982,151396,92208,13861,2991,2470,111525,3843,875,4712,116242,16918,7784,140942,70453,13434,2984,1840,88711,3335,1053,4382,93090,22258,6510,121854,44144,15560,2370,1239,63311,2347,1261,3610,66917,38272,6004,111195,15038,10192,1159,541,26929,308,442,753,27680,50466,5074,83220,3560,4735,418,249,8962,71,174,245,9207,48056,4315,61571,1336,2785,349,278,4753,31,95,125,4876,93350,10711,108937,844918,200383,30639,28057,1103996,45273,21014,66296,1170292,450626,107649,1728563,12873,29858,1707,1453,45891,3031,8340,11367,57260,83990,6731,147981,58599,44781,2297,3446,109117,7027,7239,14264,123383,38225,10678,172284,109020,28227,2471,3712,143424,6453,3090,9542
1RNSW,14484,17721,1502,1338,35045,3790,3438,7233,42276,39675,3963,85917,35032,11758,1655,1584,50037,4775,1671,6449,56484,11340,4043,71873,40430,6998,1487,1333,50251,3292,704,3998,54250,7398,3494,65138,41955,5971,1556,1266,50748,2533,526,3058,53808,6750,3305,63860,49312,6902,1739,1481,59438,2493,509,3000,62440,7919,3623,73986,51738,7555,1928,1579,62794,2547,567,3113,65905,9253,3946,79111,54148,8469,2068,1538,66225,2451,605,3049,69277,11456,4121,84852,53942,9590,2463,1381,67382,2324,686,3008,70388,14055,4339,88785,43422,10204,2708,1118,57443,1942,706,2643,60090,19695,3978,83760,26671,10920,2011,834,40435,1450,854,2306,42738,35700,3915,82356,8998,6666,878,437,16987,133,228,361,17348,46140,3556,67044,3101,3066,341,260,6767,50,105,155,6918,42398,3296,52620,1848,2149,320,317,4632,23,45,75,4710,76285,8443,89440,425087,107977,20647,14474,568188,27806,10635,38444,606633,328062,54039,988729,11178,18572,1184,1060,31995,3353,4215,7572,39564,37615,4655,81831,32351,14877,1326,1518,50068,5159,2319,7477,57540,12762,5143,75450,41647,9292,1325,1216,53483,3338,950,4294
19499,59,32,9,7,96,39,26,65,163,158,69,388,200,87,8,11,312,61,15,79,385,180,132,701,276,68,26,13,385,79,18,93,479,130,176,783,235,51,12,9,308,64,17,79,385,138,185,715,172,41,11,13,236,66,11,76,318,155,200,661,167,49,15,5,242,66,6,73,317,176,216,708,136,42,16,13,203,48,5,56,262,148,213,622,107,27,12,12,155,47,8,51,211,167,227,602,94,29,9,3,135,25,8,32,166,164,161,489,57,29,6,3,96,15,10,23,117,240,111,466,11,14,0,3,28,3,4,9,35,288,71,392,3,3,0,0,9,0,0,0,8,163,55,231,0,0,0,0,4,0,0,0,6,139,50,196,1522,470,117,94,2204,518,127,641,2852,2237,1869,6957,38,20,0,5,64,27,10,33,102,117,67,283,166,88,14,24,285,74,25,97,384,202,159,746,261,82,10,20,375,71,22,91
19799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,4,0,0,8,4,0,0,0,7,0,0,0,7,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,6,0,11,18,0,8,0,22,0,0,0,22,26,3,56,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,5,3,5,0,0,4,0,4,0,0,0
2GMEL,12372,26301,1646,1790,42119,2961,6509,9467,51589,72371,5506,129461,57724,35971,2881,3720,100296,6415,4962,11375,111674,31202,9296,152168,98205,21362,2893,3451,125913,5584,1791,7376,133290,14521,10288,158100,104280,14481,3164,2747,124676,4389,990,5380,130060,10691,8511,149261,104982,13242,3240,2756,124217,4010,789,4797,129018,10779,7409,147200,103431,13205,3021,2775,122437,3914,805,4718,127154,11790,6927,145863,95406,12466,2801,2520,113193,3481,644,4125,117319,12410,6419,136147,85114,11983,3053,2225,102367,3105,695,3798,106168,13776,5799,125744,64377,12403,2847,1589,81222,2580,774,3350,84570,19499,5095,109170,39335,14769,2576,1183,57867,1782,886,2667,60531,33180,4807,98521,12990,9545,1134,520,24195,232,319,546,24743,45868,4165,74778,2960,4278,431,214,7880,64,137,204,8087,45521,3901,57516,1098,2521,305,245,4168,40,52,92,4257,88313,10474,103044,782269,192532,30008,25742,1030553,38552,19354,57904,1088455,409923,88596,1586979,9044,30062,1304,1177,41588,2723,10059,12785,54371,76384,5990,136741,51091,46490,2180,3009,102773,7635,8421,16055,118825,39838,9691,168358,102156,28161,2412,3427,136156,7409,3099,10506
2RVIC,7692,10623,745,838,19902,1586,1663,3249,23157,22237,1917,47311,20041,6021,835,873,27765,2239,647,2885,30652,5455,1871,37980,22447,3385,842,742,27415,1513,287,1802,29220,3432,1745,34403,23286,3029,881,661,27856,1202,247,1449,29303,3380,1533,34211,27013,3502,1047,796,32357,1152,270,1422,33778,4001,1816,39587,29322,4013,1109,898,35340,1166,230,1395,36739,4782,2006,43525,30603,4247,1168,788,36806,1142,250,1396,38203,5375,2029,45604,30457,4732,1520,765,37468,1002,265,1264,38730,6300,2040,47072,24971,5827,1616,586,33001,995,347,1344,34352,9304,1985,45638,15612,6777,1461,440,24292,718,420,1144,25435,17023,2035,44490,5205,4131,620,260,10213,54,120,169,10387,22827,1867,35081,1821,1919,262,166,4167,19,40,64,4236,21283,1764,27279,1204,1257,224,214,2901,11,16,26,2922,38935,4647,46498,239676,59459,12335,8016,319487,12789,4820,17608,337097,164332,27244,528675,5484,10962,624,624,17692,1384,2130,3514,21204,21190,2533,44927,18484,7978,704,877,28044,2640,1101,3741,31783,6309,2828,40922,23311,4687,742,688,29428,1784,446,2230
29499,27,9,0,0,35,26,15,39,79,98,59,235,136,64,11,8,219,49,12,61,288,140,113,535,174,69,5,7,262,52,12,63,321,111,148,585,184,41,16,9,250,43,10,52,302,92,115,508,130,44,9,4,185,43,12,55,237,103,138,479,107,18,11,0,145,37,4,36,189,89,138,414,87,19,5,4,112,22,4,31,142,97,86,330,79,15,3,4,100,23,5,30,126,83,89,297,43,18,0,0,61,12,5,16,82,99,53,227,25,7,5,7,42,12,0,12,53,98,29,178,9,7,0,0,16,0,0,0,18,107,29,153,0,4,0,0,10,0,0,0,10,69,22,100,0,0,0,0,0,0,0,0,0,70,26,94,1001,321,78,40,1443,327,73,396,1842,1254,1040,4135,25,13,0,3,40,16,14,28,63,70,34,177,79,64,3,3,151,34,23,58,200,122,120,448,161,60,7,7,232,41,20,60
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,10,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,33,0,0,0,33,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,9761,17703,1065,1152,29675,3236,4013,7249,36923,32595,3332,72847,34722,16694,1651,1775,54844,4457,2095,6552,61390,12227,4885,78501,49455,9922,1642,1492,62511,3205,841,4044,66554,7364,4972,78896,51068,6945,1604,1300,60908,2317,495,2818,63726,5496,4017,73241,53961,6546,1652,1351,63506,2170,383,2546,66056,5567,3907,75527,52815,6314,1580,1334,62040,2040,305,2341,64383,5916,3623,73917,49113,5851,1559,1247,57763,1789,324,2114,59878,6326,3427,69630,43586,5792,1633,968,51985,1565,300,1865,53852,7205,3079,64132,33784,5992,1688,713,42171,1373,375,1749,43923,10332,2616,56871,21842,6583,1420,575,30420,1000,413,1418,31836,18615,2492,52944,6509,4284,602,232,11623,149,185,333,11957,24769,1977,38700,1434,1781,183,103,3504,37,72,106,3604,22135,1666,27412,502,907,114,118,1642,17,26,35,1676,37877,4472,44027,408538,95311,16368,12370,532590,23351,9821,33167,565761,196410,44465,806646,7393,18919,842,729,27882,3195,6035,9231,37115,34059,3351,74524,32671,21269,1240,1458,56635,5511,3280,8791,65422,14964,5150,85533,49071,12602,1353,1381,64404,3931,1339,5268
3RQLD,14361,18297,1303,1362,35318,3842,3262,7102,42424,30292,4584,77294,35119,10360,1620,1726,48828,4429,1246,5677,54506,8278,5675,68464,43526,7377,1722,1588,54210,3131,659,3791,57996,5711,6015,69727,44651,6322,1733,1330,54033,2510,502,3007,57040,5232,5180,67449,50476,6696,1858,1610,60641,2483,437,2922,63562,6122,5443,75131,52359,7186,1945,1558,63043,2414,438,2856,65897,6867,5729,78496,51183,7274,2064,1486,62004,2319,463,2781,64793,8129,5572,78493,48212,7648,2237,1217,59323,2217,436,2653,61976,9750,5297,77025,37970,8043,2208,1013,49230,1944,509,2455,51688,13776,4496,69956,25320,8446,1826,773,36368,1454,658,2112,38479,25208,4269,67960,8590,5505,695,395,15184,199,226,423,15600,34683,3512,53798,2445,2372,267,199,5283,47,76,129,5408,31562,3028,40000,1245,1349,228,252,3074,18,36,61,3141,50897,7134,61165,415463,96857,19704,14517,546536,27011,8964,35972,582507,236508,65939,884962,9911,19456,1014,889,31278,3837,4849,8683,39957,31530,4965,76455,32497,13910,1143,1314,48863,5704,2031,7728,56595,10179,6414,73187,42551,9226,1421,1221,54422,3983,958,4940
