GCCSA_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
1GSYD,1171441,27712,30631,58338,1229785,832495,115676,2177951,22015,60071,4297,3603,89980,6385,12751,19135,109115,154065,12602,275789,108598,76314,6370,6596,197878,12101,10346,22447,220319,67529,19408,307256,185291,50431,8635,5922,250275,10366,4826,15187,265462,52111,23197,340770,182165,51270,11685,4745,249859,8098,3877,11976,261834,53992,20295,336122,174553,60833,9755,4727,249873,7443,4201,11643,261511,55136,17952,334607,166493,61823,6639,4834,239785,7092,4136,11226,251014,51846,16021,318887,164857,58034,5972,4932,233792,7030,3559,10594,244392,48064,15025,307479,150020,51810,6369,4190,212386,6245,2973,9222,221611,51557,14337,287496,112177,43830,6106,3114,165227,4796,2506,7301,172532,65117,12493,250145,65072,38521,4579,2092,110256,3020,2271,5290,115545,98309,11606,225463,20650,19779,2000,903,43338,360,666,1028,44366,114602,9917,168880,4595,7873,716,430,13608,86,242,325,13938,106425,8900,129256,1709,4198,560,534,7007,48,162,210,7216,231041,28053,266309,1358195,584775,73680,46614,2063271,73074,52513,125582,2188853,1149800,209808,3548459,19238,70151,3723,2765,95879,5012,17045,22058,117941,157676,12753,288366,106612,96782,5243,6130,214768,11475,13940,25413,240180,79745,20817,340739
1RNSW,615759,10966,15168,26138,641894,472692,76661,1191247,21071,44476,3377,2592,71521,6049,7381,13432,84943,74696,7228,166874,56524,31043,3628,2673,93867,7426,3738,11165,105032,28956,7120,141112,63832,22587,4451,2014,92881,4977,2059,7035,99920,24847,6207,130964,60128,26679,4982,1920,93713,3890,2035,5920,99633,25416,5932,130975,70754,34648,4506,2339,112250,3960,2161,6124,118373,27398,6693,152468,79255,37753,4044,2592,123637,4044,2190,6232,129868,26551,7137,163555,86128,38081,4278,2536,131021,4018,1940,5960,136987,28743,7273,172999,86852,37802,5244,2386,132280,3629,1803,5428,137713,35144,7711,180566,66449,33186,5271,1854,106763,2766,1646,4411,111174,50218,7220,168608,37831,26548,3705,1399,69480,1848,1507,3349,72834,84229,7303,164364,12152,12524,1560,755,26982,160,355,516,27497,100430,6901,134827,4048,5159,598,439,10246,55,135,192,10431,90620,6669,107723,2401,3195,555,580,6732,36,71,111,6839,181775,21177,209794,647427,353682,46201,24066,1071376,42853,27020,69874,1141253,779023,104569,2024847,16022,45252,2659,2133,66067,5440,8774,14219,80285,70263,8981,159532,52998,37319,3221,2582,96123,7871,4930,12800,108927,28806,9827,147559
19499,1128,135,124,252,1382,1722,1273,4381,82,73,10,9,177,77,59,131,312,324,119,760,333,188,19,22,562,106,36,143,704,400,210,1314,446,150,49,21,670,117,41,159,828,327,270,1420,365,115,21,16,519,96,36,138,652,310,269,1235,255,89,21,13,369,85,24,111,482,290,278,1053,221,82,25,9,339,87,20,109,448,310,297,1047,188,88,18,20,313,69,17,87,396,275,265,938,166,78,19,11,278,66,12,80,352,316,279,954,141,63,15,9,228,38,17,54,281,366,199,847,73,48,15,9,147,17,17,36,180,487,160,829,12,17,0,4,38,5,4,6,49,459,99,604,10,0,0,0,12,0,0,0,14,265,83,364,0,0,0,0,8,0,0,5,9,245,109,361,2287,1004,227,140,3653,771,295,1062,4716,4391,2632,11736,52,44,3,11,108,51,24,72,184,219,116,516,288,192,18,28,526,112,45,155,679,390,285,1359
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,4,0,8,0,0,0,8,0,0,8,4,0,0,0,7,0,0,0,7,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,7,0,6,3,0,0,0,8,0,0,0,8,14,0,17,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,21,7,31,18,3,13,0,28,0,0,0,28,65,9,107,0,0,0,0,9,3,0,0,6,8,0,13,3,0,4,0,8,0,0,0,8,6,3,9
2GMEL,1172787,26241,38288,64529,1237324,728373,97610,2063309,17688,63387,3519,3530,88118,4979,13780,18769,106883,136043,10170,253090,102694,80904,6297,6408,196307,10867,10267,21133,217445,66148,16259,299850,175469,50572,8188,5474,239700,9641,4444,14078,253780,45147,18288,317212,163880,48587,10625,4204,227295,7187,3505,10685,237985,47318,15443,300745,153145,59469,9355,4330,226306,6363,3650,10018,236321,50717,13660,300696,153911,65312,6835,4493,230553,6281,3639,9926,240475,47064,13007,300548,148296,58131,5813,4344,216590,5655,2958,8610,225203,40854,11772,277829,133906,51530,6573,3840,195841,4899,2372,7276,203113,43418,10971,257503,98977,43512,5941,2741,151169,3781,2032,5816,156984,58025,9768,224771,56150,37489,4849,1968,100460,2280,1663,3947,104401,90149,9516,204063,16967,18115,1978,876,37936,275,499,776,38711,106834,8593,154141,3660,6912,676,402,11649,84,180,268,11912,101261,8269,121443,1394,3627,507,481,6009,67,90,159,6165,215680,27057,248904,1226132,587553,71156,43088,1927929,62371,49083,111453,2039385,1048662,172752,3260798,12286,70513,2861,2451,88115,4492,20805,25299,113407,143832,11779,269019,89965,102045,5088,5379,202473,12664,16870,29533,232004,82377,18980,333362
2RVIC,350707,5324,8019,13343,364053,260462,42540,667057,10681,26022,1710,1520,39933,2644,3720,6364,46303,41893,3561,91754,31683,16849,1922,1468,51919,3572,1626,5196,57117,13814,3288,74215,35810,11747,2569,1112,51240,2293,965,3256,54499,12691,3131,70319,32728,14366,2766,1005,50864,1837,943,2784,53650,14069,2874,70591,37522,19394,2598,1262,60773,1774,1064,2845,63620,14998,3344,81957,43008,22001,2337,1484,68826,1823,1056,2882,71710,14655,3631,89993,47255,22129,2535,1420,73349,1814,903,2716,76063,14243,3692,94001,47448,21469,3268,1330,73523,1595,816,2413,75929,16502,3695,96125,37290,20123,3285,1007,61708,1406,830,2231,63942,24638,3668,92258,21495,16729,2692,782,41693,915,722,1640,43337,42155,3907,89399,6796,7746,1056,484,16082,70,170,242,16320,50501,3701,70520,2323,3109,414,302,6152,27,57,88,6236,45875,3606,55721,1525,1850,359,389,4123,11,26,40,4158,94342,11785,110288,355565,203543,27501,13574,600188,19779,12913,32690,632881,400370,53884,1087138,7595,26099,1430,1295,36415,2241,4469,6711,43122,38861,4981,86964,29195,20852,1853,1528,53435,4031,2375,6405,59838,14265,5430,79530
29499,771,105,79,191,961,1228,1186,3373,42,50,0,5,100,34,39,69,168,215,110,495,247,140,18,12,420,83,43,126,547,290,204,1037,335,146,23,14,505,98,27,127,633,276,220,1129,271,93,22,13,399,75,20,94,491,212,170,869,177,85,15,9,287,57,16,78,363,216,181,757,143,55,18,11,222,53,12,64,283,184,193,661,106,42,9,5,169,40,6,50,215,184,132,527,97,45,9,4,160,37,13,42,200,159,115,475,66,39,0,0,111,29,5,31,143,198,67,406,33,30,7,7,73,18,6,16,89,205,44,347,14,5,5,3,29,0,0,0,26,183,35,247,8,4,0,0,8,0,0,0,8,111,30,156,0,0,0,0,0,0,0,0,0,126,40,170,1533,745,127,79,2481,510,190,698,3179,2556,1535,7267,30,29,0,3,69,22,32,48,117,164,74,357,133,134,6,10,292,51,61,110,397,282,216,899
29799,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,10,0,0,7,4,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,4,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,30,0,0,0,30,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,609709,14614,18553,33171,642881,356436,49270,1048582,15554,43012,2266,2218,63048,5505,8120,13620,76666,60595,6077,143331,61778,39177,3635,2916,107509,7190,4577,11765,119277,28915,8413,156605,86058,25665,4718,2307,118754,5238,2293,7530,126279,23501,8624,158403,79911,25171,5506,1959,112547,3791,1921,5714,118260,22622,7219,148100,81128,29842,4702,2090,117753,3624,1910,5539,123292,23653,6979,153921,82545,30856,3541,2183,119126,3375,1594,4969,124102,20964,6581,151645,79569,27206,3349,2086,112200,3057,1343,4401,116606,19291,6000,141897,71507,24272,3550,1726,101055,2560,1054,3609,104666,21058,5504,131225,53475,20914,3337,1252,78981,2049,947,2999,81980,29467,4788,116229,32161,17618,2654,943,53372,1254,803,2058,55427,47191,4703,107322,8784,8457,998,382,18621,183,274,454,19076,55359,3819,78258,1805,2945,292,184,5224,44,94,136,5361,47840,3445,56643,637,1368,177,233,2417,28,37,66,2479,93491,11922,107895,654900,296517,38717,20487,1010618,37891,24972,62863,1073479,493940,84071,1651496,11328,45446,1810,1499,60083,5236,12170,17403,77485,62530,6562,146583,57451,48599,2926,2468,111448,8936,6823,15760,127208,33380,10154,170742
3RQLD,591187,13116,16712,29830,621013,394782,76921,1092718,22237,44308,2626,2680,71855,6418,6836,13256,85105,56655,8280,150043,59153,27655,3354,2691,92857,7121,3088,10211,103068,23100,9897,136066,70931,23027,4558,2379,100901,4905,2141,7043,107944,22892,10201,141041,66115,25714,4732,2067,98621,3899,1957,5861,104484,24124,9096,137700,74371,31681,4301,2522,112875,3986,2114,6101,118979,24986,9473,153441,80935,33940,3878,2583,121329,4201,2060,6260,127595,22760,9768,160125,82642,32741,4092,2487,121966,4039,1710,5748,127715,22793,9494,160003,78022,30325,4430,2132,114914,3683,1521,5206,120123,26733,9111,155960,58762,26462,4227,1706,91162,2880,1335,4214,95375,37292,7826,140495,36030,21399,3208,1330,61966,1914,1278,3190,65153,61568,7587,134313,11587,10488,1197,663,23941,231,365,600,24534,75405,6538,106480,3241,3980,431,345,8001,71,114,183,8183,65552,5986,79722,1623,2020,360,446,4439,31,56,89,4532,116153,17367,138053,645651,313757,41398,24035,1024829,43376,24578,67957,1092788,580028,120630,1793449,15280,46426,2139,1809,65657,6207,9751,15967,81621,58089,9579,149287,55302,34493,2723,2227,94745,8778,4472,13251,107997,24772,12207,144978
