GCCSA_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
39499,1512,218,163,384,1892,2883,1349,6127,56,65,4,6,132,70,33,98,227,181,114,523,315,147,32,12,503,103,39,146,649,277,189,1118,410,155,31,26,620,115,30,145,762,281,181,1223,253,99,39,4,395,78,8,91,485,237,152,872,222,71,25,11,328,65,17,76,408,238,146,788,184,76,30,5,289,67,10,78,369,244,161,772,221,86,20,9,331,66,17,82,412,245,157,817,201,81,34,10,324,70,22,92,420,363,115,898,221,80,30,5,334,61,26,88,420,630,151,1199,129,83,20,3,234,44,24,71,302,997,145,1445,26,35,10,0,65,6,8,13,80,817,89,993,13,7,0,0,17,0,0,0,21,415,55,495,0,0,0,0,6,0,0,0,8,277,59,346,2248,982,264,99,3592,741,227,970,4563,5208,1716,11485,40,49,5,5,100,54,25,82,180,158,69,408,257,184,19,18,477,111,31,141,621,288,232,1130
39799,0,0,0,0,3,0,24,28,4,5,0,0,8,0,3,3,8,10,0,21,23,6,0,3,41,0,0,0,37,5,4,50,17,3,5,0,29,0,0,0,27,3,7,37,13,0,0,0,16,0,0,0,19,4,3,24,11,6,3,0,24,0,0,0,24,6,10,31,8,0,3,0,20,5,0,5,21,0,4,29,12,4,0,0,15,0,0,0,18,3,13,32,25,0,6,0,37,0,0,0,35,0,11,48,11,4,0,0,19,0,0,0,19,8,4,37,11,4,0,0,21,0,0,0,21,13,6,40,6,0,0,0,7,0,0,0,7,19,6,29,0,3,0,0,3,0,0,0,3,19,8,22,0,0,0,0,3,0,0,0,3,38,12,48,159,47,24,17,237,8,3,7,246,125,80,450,0,3,0,0,5,0,0,0,5,0,0,12,3,0,0,0,3,0,0,0,3,5,0,6
4GADE,327210,6969,10333,17304,344509,225253,21671,591428,6785,23537,1317,1128,32770,2398,4232,6625,39394,38207,2717,80323,29937,24501,2137,1518,58092,3864,2866,6727,64817,18838,3645,87307,43795,15816,2775,1142,63529,2886,1426,4306,67845,13836,3601,85277,39051,15379,3335,970,58733,2213,1114,3334,62064,13457,3114,78633,39688,18490,2727,1001,61915,2090,1087,3172,65090,14029,2986,82106,43302,20415,2265,1095,67077,1944,1017,2966,70036,13758,3043,86830,44594,19725,2150,1062,67527,1881,874,2752,70281,13240,3023,86545,42926,17819,2587,955,64286,1562,669,2234,66519,14968,3022,84508,33221,15516,2394,713,51836,1200,630,1834,53668,19623,2575,75870,19012,13113,1793,531,34458,653,516,1160,35624,33248,2662,71535,4793,5992,663,208,11655,59,123,183,11838,39299,2284,53419,972,2042,202,90,3311,24,50,69,3381,36413,2344,42136,344,981,148,161,1632,17,16,34,1668,83735,8721,94120,348426,193318,24495,10575,576818,20789,14617,35406,612223,352643,43741,1008607,3887,22983,981,635,28489,2064,6589,8654,37139,39382,2860,79384,24467,28255,1725,1171,55623,4666,4109,8780,64405,21148,3981,89531
4RSAU,80295,1643,1930,3572,83869,68399,10360,162625,2941,6355,442,346,10088,797,830,1631,11718,10140,926,22784,8172,3349,524,380,12422,1078,305,1381,13802,3325,867,17999,8958,3294,807,319,13384,687,224,910,14291,3736,890,18921,8375,4045,759,296,13475,542,254,792,14277,3827,791,18899,9690,5209,726,302,15927,576,267,840,16771,3903,943,21610,12153,6060,703,348,19266,623,279,897,20163,4086,1098,25350,12772,6048,822,360,19999,618,259,882,20881,4342,1115,26332,12941,6063,984,316,20301,547,253,806,21104,4925,1067,27105,10606,5274,987,249,17116,391,232,622,17733,7157,1025,25923,6332,4589,740,239,11896,268,188,450,12351,12368,1136,25858,2084,2270,315,109,4784,27,38,66,4848,15293,971,21108,681,938,149,85,1852,6,12,22,1871,13468,964,16309,403,507,96,105,1102,7,16,22,1125,26019,2927,30070,96098,54005,8049,3462,161623,6159,3153,9315,170937,112586,14734,298259,2026,5948,304,285,8560,695,917,1613,10178,9811,1144,21131,7138,4278,488,295,12190,1173,436,1603,13797,3201,1193,18189
49499,311,56,60,113,423,613,273,1306,13,21,0,0,37,22,11,27,66,60,14,145,59,51,6,6,119,33,13,42,155,98,29,283,106,41,14,0,160,32,8,35,196,73,35,308,92,30,11,3,130,26,9,33,161,82,41,286,61,36,7,4,113,24,5,25,140,75,32,253,63,21,11,0,94,10,3,15,110,77,37,225,44,18,13,4,76,21,10,27,102,64,41,213,49,16,3,3,72,21,4,22,93,103,49,246,41,28,6,0,70,11,3,18,83,104,35,224,10,14,5,0,30,3,4,7,34,139,29,206,3,0,0,0,11,0,0,0,11,109,12,135,0,0,0,0,0,0,0,0,0,80,16,92,0,0,5,0,3,0,0,0,3,126,27,160,540,277,74,25,910,196,55,254,1161,1193,409,2766,6,17,0,0,22,14,13,32,55,90,31,170,39,42,6,0,88,41,8,55,144,74,47,262
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,509051,11160,17164,28323,537374,299590,39502,876467,15711,34083,2137,1853,53781,3418,5160,8579,62360,49697,5697,117747,53333,31598,3549,2427,90899,4455,3296,7751,98648,22594,7941,129178,72875,20362,4315,1856,99408,3383,1666,5050,104454,19004,8876,132331,63036,20599,4756,1546,89938,2496,1429,3926,93866,20077,7457,121395,61647,24874,4249,1786,92559,2253,1450,3703,96263,20774,6865,123893,65406,28040,3674,1768,98892,2266,1482,3749,102640,18182,6705,127525,65679,25890,3803,1650,97027,2124,1075,3202,100223,15726,5922,121868,60178,22835,3879,1370,88270,1804,896,2707,90976,16711,5451,113137,46631,20315,3574,1131,71660,1402,711,2110,73768,22386,5004,101150,27887,18077,2782,805,49552,894,655,1548,51101,36474,4455,92026,7880,8863,1042,357,18135,143,228,370,18511,44192,3506,66207,1507,3275,285,147,5213,41,82,123,5340,42820,3294,51452,474,1473,181,171,2293,13,45,63,2356,85288,10896,98541,542264,260274,38227,16868,857631,24690,18177,42858,900495,413909,82050,1396458,8226,35453,1445,1080,46211,3674,9816,13499,59705,55119,5306,120131,43748,40069,2616,2066,88498,6972,5643,12619,101113,24113,8205,133428
5RWAU,114926,2130,2653,4790,119717,72708,19408,211827,6056,6620,645,564,13893,1128,787,1917,15809,12199,2213,30226,14020,3913,897,551,19378,1162,385,1552,20926,5188,3059,29176,17409,4389,1321,544,23668,849,345,1199,24863,6096,3745,34708,15802,5487,1423,534,23247,728,368,1097,24338,6403,3223,33967,17351,7005,1420,580,26365,761,351,1111,27476,6134,3379,36987,19252,7673,1431,608,28968,712,377,1090,30062,5180,3362,38604,19640,6947,1398,554,28534,676,284,955,29490,4751,3169,37414,18881,6741,1528,562,27717,577,206,786,28498,5229,2913,36642,14364,5877,1424,374,22042,431,207,634,22680,7080,2274,32026,8320,4770,1050,302,14442,272,190,469,14913,11061,1872,27846,2692,2333,444,156,5626,52,68,120,5748,12730,1208,19683,831,1075,186,84,2182,12,21,34,2211,11327,1044,14584,427,615,117,104,1269,11,12,21,1290,19821,2561,23671,155057,63457,13287,5525,237324,7380,3608,10981,248307,113215,34017,395540,3770,7313,390,386,11859,1050,1151,2199,14061,13255,2399,29712,11344,4410,679,464,16895,1550,523,2077,18970,4817,2597,26381
59499,715,94,66,160,875,967,1193,3030,28,27,0,0,57,25,10,35,95,75,61,232,218,65,20,4,311,39,18,56,364,144,107,614,339,91,33,9,480,49,14,60,545,140,142,826,252,64,25,11,348,36,15,56,404,173,151,721,196,44,28,5,264,30,13,37,300,136,143,584,188,40,21,10,256,46,14,62,318,129,120,562,184,44,26,7,261,50,3,53,312,110,120,543,166,48,22,7,242,35,5,39,284,165,106,553,132,52,17,0,202,32,8,37,243,341,112,694,83,31,16,4,134,11,15,27,158,424,62,648,22,10,5,0,36,0,4,4,40,350,46,431,0,0,0,0,7,0,0,0,7,153,21,179,0,0,0,0,5,0,0,0,3,73,34,113,1807,509,212,63,2595,351,111,469,3058,2414,1218,6691,10,18,0,3,27,16,10,26,60,54,39,153,116,61,3,12,199,42,13,59,256,130,115,503
59799,29,0,0,0,29,9,19,61,3,0,0,0,3,0,0,0,3,0,0,7,23,0,5,0,30,0,0,0,30,6,3,38,62,0,3,0,67,0,0,0,65,0,14,79,48,0,3,5,61,0,0,0,61,0,11,72,46,4,0,0,48,4,0,4,55,0,12,61,31,0,4,0,37,0,0,0,37,0,3,42,28,0,6,0,29,0,0,0,30,0,6,33,31,0,0,0,33,0,0,0,33,0,3,37,14,0,0,0,15,0,0,0,15,3,5,21,12,0,0,0,11,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,293,12,18,5,328,5,0,5,333,18,65,415,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,14,4,6,23
6GHOB,58995,1522,2105,3620,62618,39154,4566,106333,1383,3743,253,159,5537,462,655,1110,6654,6632,498,13781,5009,3812,369,188,9377,742,432,1174,10556,3344,648,14548,6467,2618,474,175,9739,517,219,734,10479,2433,571,13487,5794,2768,553,131,9240,339,168,507,9745,2264,501,12512,6275,3508,505,147,10437,316,145,459,10893,2292,493,13678,6915,3681,392,181,11176,310,163,477,11647,2215,511,14375,7457,3535,411,184,11593,269,134,410,11999,2166,516,14674,7719,3433,470,186,11812,287,106,391,12208,2562,554,15317,5593,3054,459,130,9239,210,144,354,9589,3937,549,14078,3030,2419,323,89,5862,116,107,224,6082,6303,530,12914,737,1051,112,33,1930,12,32,39,1968,7157,463,9593,168,403,41,23,636,9,4,14,649,6537,458,7646,58,179,28,19,287,0,6,8,295,13596,1394,15290,56610,34216,4390,1654,96873,3576,2318,5900,102769,61448,7673,171884,843,3970,234,128,5175,354,975,1329,6509,6467,585,13566,4125,4209,333,154,8817,712,541,1254,10073,3232,734,14046
6RTAS,65967,1579,1973,3554,69527,54972,7299,131795,2494,4557,365,244,7668,762,804,1565,9230,8908,664,18803,6067,3142,455,256,9922,904,354,1253,11176,3155,582,14914,6768,2692,499,199,10166,568,241,803,10969,2990,492,14447,6282,3151,603,218,10252,513,235,746,11002,3064,540,14601,7352,4231,525,236,12344,564,261,823,13166,3345,635,17145,8810,4897,549,244,14501,576,277,849,15348,3427,692,19469,9604,4771,628,256,15260,552,209,760,16020,3551,682,20256,9556,4747,774,256,15335,536,229,766,16103,4294,737,21134,7083,4234,684,194,12197,432,224,660,12860,6352,725,19935,3983,3361,548,166,8061,279,214,488,8552,10354,825,19723,1133,1470,193,83,2884,18,47,63,2947,11958,770,15671,318,553,51,30,951,0,12,12,964,10088,724,11770,166,258,47,48,516,6,11,10,530,17998,2095,20630,69621,42074,5926,2427,120047,5709,3111,8813,128862,89492,10158,228510,1626,4642,262,213,6744,641,949,1595,8336,8196,908,17447,5468,3872,378,224,9945,1023,502,1522,11464,3272,982,15722
69499,133,35,29,60,194,244,122,561,0,9,0,0,12,16,6,21,33,51,12,96,11,15,4,0,32,14,3,22,52,37,17,105,35,11,6,0,52,13,0,14,62,40,16,123,15,13,5,0,28,8,0,10,40,20,21,83,20,8,0,0,31,12,5,11,42,21,16,77,24,6,4,0,36,6,0,12,48,26,16,86,25,10,0,0,41,8,0,5,48,31,14,84,19,10,4,0,31,3,4,5,34,20,6,65,9,3,0,0,17,9,0,7,23,42,5,69,6,8,3,0,13,4,0,4,17,61,10,87,0,0,0,0,6,0,0,0,6,35,9,44,0,0,0,0,3,0,0,0,3,22,0,27,0,0,0,0,0,0,0,0,0,18,4,23,173,90,23,8,299,92,20,115,416,428,137,972,0,7,0,4,14,6,8,12,23,31,4,62,12,9,0,0,25,19,5,20,40,29,20,91
69799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,4,0,0,0,7,0,0,10,15,0,0,0,18,0,0,0,18,3,0,15,3,0,0,0,5,0,0,0,3,0,0,11,5,0,0,0,7,0,0,0,7,0,0,8,6,0,0,0,7,0,0,0,8,0,3,20,9,0,0,0,7,0,0,0,11,0,0,13,10,0,0,0,10,0,0,0,8,5,0,12,3,0,0,0,3,0,0,0,4,0,0,11,6,0,0,0,6,0,0,0,6,3,0,11,0,0,0,0,4,0,0,0,4,0,3,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,4,5,76,10,0,10,80,18,14,109,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,3,0,0,7
7GDAR,36467,750,729,1477,37943,12770,4591,55301,1442,1838,101,139,3523,218,255,480,4000,3138,891,8023,4873,1283,409,184,6751,274,110,384,7132,1284,1049,9459,6091,1278,535,182,8085,212,78,288,8370,1400,1260,11038,5504,1322,461,154,7439,164,64,228,7671,1356,1000,10023,5407,1369,422,182,7376,156,83,236,7609,1242,1013,9863,5500,1391,327,161,7377,145,42,184,7562,1064,1053,9683,5235,1116,311,143,6809,138,54,186,6995,944,905,8846,4784,1019,319,116,6229,98,31,128,6359,951,849,8157,3630,864,237,92,4833,86,24,111,4942,1219,714,6876,2146,764,190,52,3154,56,24,82,3235,1776,599,5608,619,362,72,31,1086,11,13,23,1107,1843,340,3290,144,143,18,7,306,3,11,9,317,1511,247,2073,33,41,6,6,87,3,0,8,96,1841,330,2263,45396,12788,3406,1453,63043,1570,786,2354,65396,19558,10250,95208,968,2019,103,119,3202,207,344,549,3749,3156,688,7600,4541,1692,284,227,6739,343,158,500,7238,1199,1111,9552
7RNTE,15781,944,485,1432,17207,14099,3306,34608,743,839,94,118,1793,298,146,445,2246,3843,675,6757,2191,792,154,175,3312,433,123,558,3865,2628,725,7220,2999,932,233,165,4324,338,127,465,4794,2344,801,7940,2743,936,235,161,4078,310,90,401,4476,1986,695,7158,2696,1025,211,122,4054,267,86,353,4404,1759,667,6828,2876,888,177,108,4055,223,58,278,4330,1519,681,6535,2830,760,201,104,3893,161,41,200,4090,1162,579,5829,2684,685,197,111,3679,113,40,160,3836,1114,505,5458,2161,482,169,71,2886,69,25,95,2979,1122,428,4523,1238,375,114,43,1769,37,20,51,1830,1159,308,3295,397,149,36,28,608,10,9,16,621,995,216,1834,112,83,22,9,225,8,0,9,232,761,152,1140,32,44,6,12,96,3,0,6,103,932,212,1245,23705,7982,1850,1228,34770,2273,767,3039,37807,21316,6636,65759,506,666,45,84,1305,393,109,502,1811,3695,936,6439,1816,517,84,131,2548,580,129,713,3257,2579,1072,6903
79499,259,34,22,58,320,605,558,1486,7,0,3,0,12,0,3,3,15,13,8,32,66,19,6,3,90,5,3,7,93,27,18,143,75,21,12,4,114,13,5,17,133,49,39,224,48,4,10,6,73,9,0,12,81,49,16,144,33,6,10,0,52,6,0,8,59,46,20,128,17,6,7,0,40,5,0,9,47,43,14,108,27,12,11,0,49,7,0,6,57,38,24,118,29,13,11,3,52,3,0,6,60,73,24,156,41,14,12,0,61,7,10,13,78,117,36,225,22,8,0,0,37,6,4,12,41,138,29,217,3,0,0,3,4,0,0,4,11,133,10,160,0,3,0,0,3,0,0,0,3,55,8,67,0,0,0,0,0,0,0,0,0,23,0,22,379,102,80,20,587,60,33,92,679,803,248,1727,19,0,0,0,17,0,0,0,19,10,4,31,55,10,0,3,75,7,3,10,82,37,66,188
79799,3,0,0,0,3,4,0,11,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,0,13,0,0,0,13,4,3,16,13,0,0,0,14,0,0,0,18,0,0,16,14,0,0,0,20,0,0,0,20,0,0,17,8,0,0,0,8,0,0,0,8,3,0,9,3,0,0,3,6,0,0,0,6,0,0,12,4,0,0,0,5,0,0,0,5,0,0,9,6,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,0,0,0,5,0,0,6,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,3,10,80,0,0,0,86,11,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
8ACTE,122843,1787,2715,4502,127343,55007,7382,189730,2840,7765,540,349,11485,406,1271,1677,13166,9803,972,23937,12970,7811,878,433,22080,631,914,1541,23621,5262,1786,30662,19260,4096,1171,356,24884,514,297,811,25698,3251,1501,30448,16391,4401,1570,298,22654,397,224,618,23277,3190,1175,27644,15664,5064,1247,278,22245,346,233,585,22829,3059,1010,26902,15825,4882,958,284,21952,342,148,488,22443,2519,954,25917,15810,4122,810,302,21043,325,143,465,21506,2232,835,24571,14921,3570,921,239,19640,276,123,398,20038,2562,757,23352,10399,3446,861,159,14868,179,124,300,15174,4518,679,20371,5837,3199,603,122,9766,126,118,243,10007,7768,573,18350,1537,1700,235,47,3518,24,66,89,3613,8522,526,12659,317,620,75,19,1030,9,18,23,1061,7459,471,8985,111,278,30,27,441,3,11,15,457,14564,1467,16488,131870,50948,9893,2911,195620,3573,3686,7263,202878,74707,12718,290305,2015,7980,412,333,10732,378,1957,2336,13069,10445,961,24472,10831,8875,666,534,20910,800,1117,1919,22828,6766,1765,31354
89499,111,10,3,21,129,88,35,249,4,10,0,0,13,4,11,17,34,23,6,59,19,17,0,0,42,9,4,12,51,22,10,83,34,11,3,0,48,8,0,8,55,24,9,82,35,10,4,0,52,0,0,0,49,13,4,71,28,9,0,0,33,3,4,3,42,17,0,57,21,0,0,0,23,3,0,0,26,20,11,53,9,3,0,0,11,6,0,6,13,7,11,30,17,7,0,0,24,7,0,6,30,11,3,51,10,8,0,0,15,3,0,3,20,17,8,35,4,4,0,0,10,0,0,0,6,12,5,24,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,6,4,5,174,81,17,5,274,38,18,55,327,186,61,569,0,3,0,0,10,3,3,7,15,12,6,33,18,23,0,0,44,3,3,5,48,17,13,78
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,1105,11,16,28,1129,482,269,1887,35,13,0,3,54,5,4,4,61,104,4,165,78,8,0,0,93,0,0,0,94,159,8,266,78,19,4,4,107,7,0,7,115,294,11,423,69,25,9,5,107,4,0,8,118,173,7,296,78,35,4,0,112,9,6,7,123,88,16,223,97,26,6,0,136,6,0,6,139,66,20,222,118,38,10,4,169,5,0,5,171,46,7,220,98,32,4,0,139,0,0,5,142,50,5,197,100,21,9,0,124,0,0,4,129,56,11,193,76,14,0,8,93,0,0,0,94,42,7,146,8,4,0,0,20,0,0,0,16,47,3,67,10,0,0,0,10,0,0,0,10,39,0,53,0,0,0,0,0,0,0,0,0,32,6,36,843,231,48,34,1155,34,12,44,1208,1203,101,2505,21,37,3,6,73,3,3,9,82,103,19,208,71,34,10,7,118,0,0,0,118,54,23,196
99499,6,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,22,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,6,3,0,3,8
