GCCSA_CODE_2021,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85over,C16_M_Health_Tot,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85over,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85over,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85over,C16_M_Soc_cult_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Creative_art_85over,C16_M_Creative_art_Tot,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85over,C16_M_Foodhos_PS_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85overer,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85over,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85over,C16_M_FldStu_NS_Tot,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_NatPhy_sci_15_19,C21_M_NatPhy_sci_20_24,C21_M_NatPhy_sci_25_34,C21_M_NatPhy_sci_35_44,C21_M_NatPhy_sci_45_54,C21_M_NatPhy_sci_55_64,C21_M_NatPhy_sci_65_74,C21_M_NatPhy_sci_75_84,C21_M_NatPhy_sci_85over,C21_M_NatPhy_sci_Tot,C21_M_InfTec_15_19,C21_M_InfTec_20_24,C21_M_InfTec_25_34,C21_M_InfTec_35_44,C21_M_InfTec_45_54,C21_M_InfTec_55_64,C21_M_InfTec_65_74,C21_M_InfTec_75_84,C21_M_InfTec_85over,C21_M_InfTec_Tot,C21_M_EngRT_15_19,C21_M_EngRT_20_24,C21_M_EngRT_25_34,C21_M_EngRT_35_44,C21_M_EngRT_45_54,C21_M_EngRT_55_64,C21_M_EngRT_65_74,C21_M_EngRT_75_84,C21_M_EngRT_85over,C21_M_EngRT_Tot,C21_M_ArchBuild_15_19,C21_M_ArchBuild_20_24,C21_M_ArchBuild_25_34,C21_M_ArchBuild_35_44,C21_M_ArchBuild_45_54,C21_M_ArchBuild_55_64,C21_M_ArchBuild_65_74,C21_M_ArchBuild_75_84,C21_M_ArchBuild_85over,C21_M_ArchBuild_Tot,C21_M_AgEnv_RS_15_19,C21_M_AgEnv_RS_20_24,C21_M_AgEnv_RS_25_34,C21_M_AgEnv_RS_35_44,C21_M_AgEnv_RS_45_54,C21_M_AgEnv_RS_55_64,C21_M_AgEnv_RS_65_74,C21_M_AgEnv_RS_75_84,C21_M_AgEnv_RS_85over,C21_M_AgEnv_RS_Tot,C21_M_Health_15_19,C21_M_Health_20_24,C21_M_Health_25_34,C21_M_Health_35_44,C21_M_Health_45_54,C21_M_Health_55_64,C21_M_Health_65_74,C21_M_Health_75_84,C21_M_Health_85over,C21_M_Health_Tot,C21_M_Educ_15_19,C21_M_Educ_20_24,C21_M_Educ_25_34,C21_M_Educ_35_44,C21_M_Educ_45_54,C21_M_Educ_55_64,C21_M_Educ_65_74,C21_M_Educ_75_84,C21_M_Educ_85over,C21_M_Educ_Tot,C21_M_MngtCom_15_19,C21_M_MngtCom_20_24,C21_M_MngtCom_25_34,C21_M_MngtCom_35_44,C21_M_MngtCom_45_54,C21_M_MngtCom_55_64,C21_M_MngtCom_65_74,C21_M_MngtCom_75_84,C21_M_MngtCom_85over,C21_M_MngtCom_Tot,C21_M_Soc_cult_15_19,C21_M_Soc_cult_20_24,C21_M_Soc_cult_25_34,C21_M_Soc_cult_35_44,C21_M_Soc_cult_45_54,C21_M_Soc_cult_55_64,C21_M_Soc_cult_65_74,C21_M_Soc_cult_75_84,C21_M_Soc_cult_85over,C21_M_Soc_cult_Tot,C21_M_Creative_art_15_19,C21_M_Creative_art_20_24,C21_M_Creative_art_25_34,C21_M_Creative_art_35_44,C21_M_Creative_art_45_54,C21_M_Creative_art_55_64,C21_M_Creative_art_65_74,C21_M_Creative_art_75_84,C21_M_Creative_art_85over,C21_M_Creative_art_Tot
39499,0,6,36,21,16,27,12,0,0,116,0,0,13,5,8,26,29,6,0,83,3,45,78,43,40,63,47,3,0,324,3,30,54,23,20,22,29,3,0,193,3,15,33,14,3,5,6,0,0,78,3,13,31,23,20,21,20,3,0,143,0,5,0,0,0,5,0,0,0,5,0,8,3,8,4,8,5,6,0,48,50,118,348,335,298,259,189,52,6,1657,78,314,925,668,647,770,670,136,12,4222,0,4,15,15,7,14,19,0,0,84,0,0,24,19,14,22,5,0,0,87,10,33,133,129,122,216,248,43,0,925,5,5,72,64,56,91,86,19,0,393,0,8,24,23,12,20,12,10,0,103,0,6,31,16,27,20,20,3,0,130,0,0,9,6,6,27,40,3,0,94,6,17,90,52,47,83,69,15,0,383,0,8,57,39,27,31,29,10,0,207,0,9,37,30,0,10,7,0,0,93
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,6,4,5,6,4,8,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,67,840,3669,3525,3141,2798,1648,681,306,16674,22,351,1830,1909,1986,3089,2533,764,215,12689,348,2636,10571,11021,9422,7243,4678,1700,538,48163,416,1745,5411,5090,4640,4196,2902,935,291,25622,219,1003,2520,1815,1230,973,573,201,57,8581,220,1114,2973,2385,1949,1288,851,325,93,11200,61,82,75,78,68,83,89,113,44,693,56,198,814,896,828,670,456,229,99,4253,2623,2854,6160,5604,5802,5186,4330,3400,1980,37937,5439,19443,62693,59217,56228,48839,35454,17319,6644,311269,17,757,2250,2395,2296,1897,1852,898,196,12561,168,1434,4691,5420,2742,1604,748,110,8,16922,556,4064,16049,15546,16014,15945,13448,7122,2256,90996,547,2073,7102,5149,4757,4160,3184,1901,617,29487,97,447,1548,1618,1616,1356,841,317,93,7935,79,1197,4770,4249,3645,3201,2265,1031,305,20748,29,394,2401,2197,2116,2473,3271,1473,265,14615,445,2905,11977,13840,11591,8886,6210,2546,665,59078,552,1994,6591,6302,5409,4633,3906,1576,337,31302,352,1325,3146,2572,1569,1108,774,298,70,11223
4RSAU,13,94,325,433,547,638,336,118,43,2544,0,78,448,439,456,806,718,178,43,3171,67,293,938,1205,1356,1367,1003,311,87,6621,58,196,659,628,688,788,567,182,40,3809,27,64,151,134,144,167,134,51,15,888,76,256,686,688,600,505,337,125,29,3295,7,7,27,16,26,34,40,33,23,216,18,48,131,145,218,167,164,71,28,990,1289,1075,2408,2436,2799,2749,2586,1721,786,17842,2091,4676,12971,13372,14898,15345,12317,5636,1850,83157,3,38,178,275,272,274,366,139,19,1572,19,84,279,284,184,164,111,18,0,1147,258,1205,4202,4082,4739,5384,4921,2359,531,27692,139,431,1593,1157,1139,1381,1179,637,142,7795,133,377,1034,1327,1407,1131,793,273,61,6548,19,110,426,454,532,659,541,188,48,2981,0,65,524,458,496,621,982,392,52,3588,52,281,1036,1327,1474,1520,1442,546,92,7775,83,234,749,756,755,904,818,329,54,4692,32,117,209,184,182,196,161,66,18,1167
49499,0,3,6,0,3,5,0,0,0,21,0,0,6,8,5,3,5,0,0,20,0,11,23,7,10,11,9,0,4,68,0,6,21,5,5,3,7,0,0,46,0,3,3,7,5,0,6,0,0,21,0,5,15,6,0,4,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,16,19,39,73,89,100,63,35,8,5,417,24,85,236,170,186,152,114,21,11,999,0,4,4,0,3,11,4,0,0,23,0,0,7,4,0,0,0,0,0,12,0,7,37,37,24,45,39,6,0,205,0,3,12,7,12,11,7,0,0,60,0,6,12,4,0,5,4,0,0,32,0,0,6,4,6,3,7,0,0,29,0,0,0,3,3,4,0,0,0,11,0,5,18,11,20,15,13,4,0,78,0,0,14,7,10,9,10,0,0,53,0,0,9,3,4,8,0,0,0,27
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,95,1164,5280,4965,4393,3221,1860,833,286,22102,74,388,2150,2607,2977,3503,2287,1020,276,15287,723,4156,16839,16111,14179,9755,6194,2182,577,70727,650,2447,7257,6344,5395,4602,2959,1024,272,30951,443,1721,3665,2466,1577,1202,671,261,77,12086,257,1290,4995,3779,3104,1977,1182,480,121,17184,143,160,162,142,132,125,140,130,46,1181,58,313,1216,1271,1297,882,526,293,115,5963,4441,5826,15216,12217,10874,8512,6735,5142,2654,71608,9470,34286,114013,102081,91570,71404,47589,22847,7357,500627,37,1626,4058,4201,3951,3327,2563,1156,221,21139,376,1949,5555,7879,4337,2192,843,163,7,23298,1651,7729,33183,35003,30981,28436,21622,9917,2548,171068,722,2688,10683,9594,8213,7199,5468,2803,845,48209,119,550,1796,2230,2068,1681,1129,588,161,10328,172,1576,6500,6100,5262,4027,2549,1257,352,27792,154,532,2771,2933,3060,3480,3170,1532,390,18020,1416,5074,15810,20363,17088,12492,8499,3574,764,85078,1002,3157,8192,7761,6875,5342,4185,1731,356,38611,691,2307,4253,3402,2004,1307,995,346,84,15386
5RWAU,28,96,708,869,940,815,379,132,37,4008,11,84,553,762,899,1099,629,202,36,4277,144,305,1485,1918,1834,1511,979,268,67,8508,138,244,857,919,875,787,522,144,45,4530,48,132,327,289,237,234,166,47,12,1496,59,260,947,1101,988,611,361,119,29,4473,24,30,33,38,30,38,55,37,13,291,14,53,258,321,350,265,117,68,15,1461,2261,2048,6216,5716,5556,4641,3156,1838,717,32145,3759,7684,26360,26205,25270,21433,13306,5488,1552,131060,8,122,440,564,515,424,402,153,26,2653,86,218,476,471,274,197,111,24,0,1870,549,2160,8471,8790,8294,7714,5452,2106,443,43972,148,703,2640,2392,2044,2144,1610,670,159,12516,172,378,950,1367,1419,1268,900,389,91,6941,38,141,723,878,941,937,575,233,55,4518,31,89,519,767,952,1022,958,321,59,4721,261,450,1433,1975,2029,1783,1278,493,92,9794,149,329,913,998,934,912,734,260,57,5284,74,159,367,367,260,215,218,89,14,1755
59499,0,0,15,4,11,14,4,0,0,54,0,4,6,6,0,17,3,0,0,36,6,5,30,24,16,21,20,0,0,122,4,8,28,9,13,7,5,0,0,79,0,8,12,0,3,3,9,0,0,38,0,3,21,21,13,8,4,0,0,63,0,0,0,0,0,0,0,0,0,5,0,3,4,8,6,0,4,3,0,33,25,69,228,223,249,133,71,13,0,1020,34,157,591,447,459,370,234,33,4,2328,0,0,8,3,8,3,9,0,0,34,0,0,10,6,3,0,0,0,0,29,0,21,112,82,81,85,71,19,0,470,0,0,40,37,28,16,23,0,0,154,0,4,9,10,4,6,8,0,0,45,0,0,14,10,8,4,7,0,0,48,0,0,9,8,4,6,3,5,0,36,6,13,32,32,25,25,23,0,0,145,4,9,26,22,9,11,7,0,0,91,0,10,10,8,9,0,4,0,0,31
59799,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,8,10,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,30,17,21,6,0,0,0,79,0,11,100,94,78,27,4,3,0,317,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,18,46,27,15,5,0,0,116,0,0,7,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,4
6GHOB,9,89,480,496,497,484,279,138,58,2521,3,31,306,368,343,535,441,162,46,2235,51,374,1394,1330,1389,1196,782,304,105,6923,35,293,846,850,844,858,596,170,56,4554,19,114,378,314,258,210,169,59,17,1526,43,190,563,526,393,276,141,60,19,2201,11,24,23,14,20,20,27,18,5,159,13,39,119,173,153,142,85,47,23,787,546,565,1190,1059,1147,1149,1010,734,290,7693,900,3139,9946,9431,9620,9248,6544,3239,1129,53198,5,139,574,536,568,476,413,190,53,2952,4,298,1567,987,448,281,112,24,0,3728,66,478,2517,2094,2189,2361,2028,1186,331,13259,71,395,1487,1176,1078,1102,733,426,112,6593,3,84,313,384,373,328,220,86,25,1820,7,148,806,615,576,553,428,165,56,3360,0,42,359,446,418,501,592,256,65,2685,46,523,3991,2208,1612,1382,1031,431,99,11335,36,294,1259,1046,1059,912,817,282,54,5757,14,174,523,432,343,247,193,80,23,2031
6RTAS,5,96,358,437,519,624,323,134,43,2538,4,45,284,394,475,675,547,182,47,2640,56,273,870,1052,1148,1103,756,232,61,5549,36,203,415,525,654,677,533,176,33,3249,16,100,216,243,177,218,205,69,15,1264,83,231,537,603,525,434,296,126,17,2844,10,16,13,18,13,43,41,25,14,198,10,29,111,119,192,172,132,47,16,828,1012,713,1269,1344,1870,1991,2017,1260,473,11937,1585,3778,9344,10030,11902,12466,9542,4430,1249,64327,0,43,208,263,293,346,323,166,31,1670,21,181,691,498,289,252,145,21,0,2100,118,821,3278,3010,3527,4241,3518,1683,389,20583,90,556,1719,1198,1375,1597,1196,587,134,8461,54,221,673,805,825,720,458,195,45,3997,14,92,570,555,620,663,520,209,48,3282,0,47,320,480,493,645,764,335,61,3144,44,334,1967,1418,1402,1339,1089,400,83,8078,34,236,710,712,769,807,759,256,51,4340,21,111,331,305,248,248,261,109,14,1647
69499,0,0,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,3,6,4,3,3,0,0,0,15,0,0,3,3,4,6,4,0,0,15,0,0,4,4,4,0,0,0,0,12,0,4,5,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,17,36,27,23,13,4,3,0,131,12,39,79,60,50,37,28,9,0,307,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,4,3,0,0,14,0,4,11,11,12,21,7,6,0,66,0,0,8,3,0,8,0,0,0,20,0,0,0,0,4,5,0,0,0,11,0,0,3,3,3,4,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,4,4,0,3,0,0,0,0,14,0,0,5,5,7,4,5,0,0,16,0,0,3,7,7,0,0,0,0,16
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,17,7,6,5,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,6,76,465,385,305,218,85,21,4,1563,4,11,159,235,232,270,154,39,4,1103,41,251,1131,979,867,524,221,42,4,4066,38,165,617,577,493,366,182,49,8,2496,14,49,167,145,89,72,43,9,5,591,32,97,424,305,241,126,51,14,0,1285,6,13,22,10,12,13,12,0,0,99,12,42,173,163,129,72,32,9,0,631,575,869,2491,1930,1665,1180,631,202,61,9600,921,2780,10855,8885,7537,5282,2596,754,165,39774,0,42,177,195,174,131,107,27,9,848,31,210,593,432,215,109,45,0,0,1633,170,598,2415,2115,1960,1606,949,336,58,10210,69,144,670,619,514,458,263,124,22,2876,23,56,175,231,223,170,99,26,0,1010,12,85,538,522,359,260,128,34,11,1950,0,32,214,232,228,251,199,81,9,1240,60,271,1832,1301,979,607,337,97,7,5493,72,184,763,785,612,411,263,86,16,3194,5,51,159,162,112,82,43,13,0,628
7RNTE,5,20,206,187,176,107,48,4,4,755,3,14,142,147,150,171,88,27,0,737,8,51,312,292,264,223,69,8,0,1218,9,65,333,332,291,220,62,19,0,1329,14,27,67,65,49,43,16,3,0,282,25,67,168,112,123,70,28,5,0,593,6,5,8,8,6,11,6,0,0,45,6,18,76,69,63,47,14,5,0,297,860,922,1788,1300,1201,853,437,150,29,7542,1005,1620,4619,3789,3631,2770,1228,337,61,19058,0,4,49,65,39,49,36,12,0,257,3,15,99,91,35,31,5,0,0,288,42,201,860,725,678,621,336,95,11,3562,15,85,345,321,254,222,112,31,5,1382,28,81,169,184,166,117,41,13,0,787,3,37,234,257,170,149,52,11,0,906,0,26,143,135,135,159,98,28,0,724,23,41,434,353,261,207,115,12,0,1452,12,73,369,374,296,217,113,22,3,1478,5,25,84,82,39,44,23,11,0,316
79499,0,0,5,0,0,6,0,0,0,9,0,0,6,0,6,9,9,0,0,21,0,4,14,11,11,7,4,0,0,51,0,7,3,8,10,6,6,0,0,33,0,5,9,0,0,0,0,0,0,6,0,0,3,0,0,6,0,0,0,15,4,7,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,6,4,37,101,87,108,69,45,12,0,453,13,68,180,152,182,163,113,20,0,891,0,6,3,4,3,5,0,0,0,20,0,0,0,7,0,3,0,0,0,12,0,6,43,29,17,33,39,10,0,167,0,0,17,15,8,9,8,0,0,62,4,0,3,3,0,6,4,0,0,21,0,0,7,5,4,6,4,0,0,27,0,0,4,4,0,3,10,0,0,20,0,3,16,18,9,10,11,0,0,71,0,0,12,8,5,0,10,0,0,36,0,0,9,0,3,0,3,0,0,16
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,4,0,0,0,12,0,4,17,20,11,4,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,9,181,1131,928,734,608,289,144,60,4092,9,106,629,722,586,628,466,240,68,3460,91,1110,4278,4192,3464,2399,1339,414,141,17427,102,1025,4167,3590,2990,2696,2147,733,229,17682,57,385,1151,858,574,383,185,59,14,3665,66,272,946,731,480,274,154,65,19,3017,21,39,20,11,9,20,15,17,8,163,15,82,325,395,352,255,191,111,43,1779,667,1103,2557,2024,1701,1271,1035,765,392,11521,1292,7012,25558,23430,19259,15145,10208,4534,1632,108068,10,471,1623,1408,1305,1248,1133,640,172,8002,77,1143,4255,4545,2656,1702,673,115,3,15170,67,765,4334,3971,3442,3004,2398,1292,479,19757,108,661,2290,1744,1430,1127,805,536,168,8869,10,99,511,517,486,440,296,174,54,2586,15,294,1530,1273,898,710,479,222,77,5491,5,92,798,880,768,642,605,370,90,4261,95,1027,5665,5627,4432,3020,1887,730,169,22651,105,1307,4912,4438,3760,2855,2529,1215,297,21416,69,436,1303,1193,724,418,281,98,19,4541
89499,0,0,3,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,12,0,4,0,6,5,4,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,3,10,20,20,16,3,0,0,84,7,16,34,45,29,37,15,0,0,187,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,5,0,0,0,8,0,0,6,0,4,5,0,0,0,18,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,11,0,0,5,4,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,7,5,9,5,4,0,27,0,0,4,15,10,0,4,0,0,38,0,4,12,26,19,10,9,3,0,87,0,8,20,16,9,14,3,4,3,69,0,4,0,0,3,0,5,0,0,10,0,0,7,14,7,11,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,3,0,0,0,19,19,59,140,96,85,70,45,25,3,537,31,89,272,274,264,240,143,55,16,1378,0,0,4,3,5,7,7,6,0,32,0,0,0,3,0,3,3,0,0,22,3,12,46,41,61,77,61,13,4,319,3,8,15,17,28,29,16,8,5,141,0,0,8,4,9,13,0,4,0,39,0,0,4,4,7,0,6,0,4,22,0,0,4,10,6,8,6,0,0,35,0,3,12,17,14,18,13,5,0,82,0,5,8,29,11,5,14,3,0,69,0,0,5,4,3,5,4,0,0,18
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
