GCCSA_CODE_2021,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Not_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Not_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Not_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Not_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75over_Em_FT,C11_F_75over_Em_PT,C11_F_75over_Em_AFW,C11_F_75over_Em_Hrs_NS,C11_F_75over_Em_Tot,C11_F_75over_Unem_Lo_ft_wo,C11_F_75over_Unem_Lo_pt_wor,C11_F_75over_Unemp_Tot,C11_F_75over_Tot_lab_for,C11_F_75over_N_lab_forc,C11_F_75over_LF_NS,C11_F_75over_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_Tot_Tot_labo_for,C11_F_Tot_Not_LF,C11_F_Tot_LF_NS,C11_F_Tot_Tot,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Not_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Not_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Not_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Not_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Not_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Not_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Not_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Not_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Not_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Not_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot
39499,60,47,12,0,119,21,13,35,150,356,48,557,29,40,5,0,73,23,5,30,104,501,54,651,11,15,0,0,21,0,4,4,28,332,23,390,0,3,0,0,3,0,0,0,3,146,17,165,0,0,0,0,0,0,0,0,0,98,21,119,710,529,117,33,1391,275,119,398,1792,2553,538,4880,12,26,0,5,50,24,20,38,92,74,31,200,133,108,8,7,254,42,13,55,309,149,118,573,171,105,15,10,300,43,16,57,351,145,133,631,81,61,5,5,149,25,4,31,183,116,76,373,32,31,6,5,72,19,11,31,107,97,59,256,29,32,6,5,74,24,5,26,101,93,63,256,54,31,9,5,94,26,11,35,121,110,63,297,38,50,13,3,106,20,7,30,138,176,76,390,60,54,18,0,133,30,9,36,170,320,97,592,35,40,8,9,85,15,10,27,110,440,87,637,7,14,3,0,20,0,5,6
39799,3,0,0,0,6,0,0,0,6,0,6,11,3,4,0,0,6,0,0,0,6,9,5,22,0,0,0,0,0,0,0,0,0,8,4,15,0,0,0,0,0,0,0,0,0,11,3,20,0,0,0,0,0,0,0,0,0,25,3,33,41,28,17,3,80,5,0,5,87,67,29,188,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,5,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,3,0,4,4,4,4,0,6,0,0,0,11,3,0,10,0,0,0,0,4,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0
4GADE,12351,11176,1228,300,25049,347,371,712,25764,12426,1223,39409,6057,8052,863,246,15217,120,222,342,15566,20046,1302,36912,1267,2824,271,77,4436,16,43,50,4489,22210,1176,27878,219,757,81,36,1098,5,13,18,1119,20177,1285,22583,74,322,63,82,541,5,6,6,554,49883,5439,55871,124650,131043,13914,4451,274061,7259,8697,15954,290011,208141,21358,519512,1203,13560,537,330,15629,762,3368,4133,19761,17693,1434,38889,10027,16030,995,516,27566,1606,2037,3645,31213,10894,1931,44038,17126,10878,1711,492,30208,1404,1146,2552,32761,9456,2106,44322,14851,13405,2770,416,31436,1102,933,2038,33473,10361,2078,45915,12229,14645,1698,336,28914,1018,1051,2069,30978,9126,1752,41854,13878,15578,921,351,30725,885,889,1772,32499,8263,1660,42421,16312,15500,836,370,33016,953,859,1811,34828,8080,1794,44699,16101,14129,1013,329,31569,786,688,1475,33048,9096,1800,43940,13303,12853,1119,262,27536,591,577,1166,28703,12484,1914,43099,7427,9426,860,214,17927,300,445,743,18673,18541,1733,38953,2090,4398,409,119,7013,22,78,103
4RSAU,3417,3752,455,98,7722,119,116,238,7965,4226,453,12641,1777,2756,338,90,4969,65,72,134,5105,7112,520,12745,496,1108,132,60,1798,10,15,23,1816,8139,457,10415,169,388,72,35,668,6,5,10,675,6978,469,8128,80,182,42,46,341,5,10,10,357,14817,1763,16937,30244,38057,4022,1379,73701,2151,1880,4032,77732,64116,6890,148738,562,3482,167,127,4341,242,489,734,5070,4582,546,10202,2438,2731,276,115,5564,400,235,633,6199,1847,586,8629,2931,2508,457,108,5999,255,198,451,6446,2387,579,9414,2303,3510,522,108,6442,192,207,402,6853,2527,595,9976,2349,3759,313,83,6509,230,191,423,6933,2286,555,9762,3369,4219,276,114,7984,246,205,446,8430,2053,609,11095,4124,4625,274,113,9134,254,192,443,9579,2310,745,12640,4222,4551,359,138,9264,254,179,434,9698,2774,829,13298,3623,4542,440,123,8727,191,177,367,9095,4032,924,14048,2179,3273,388,104,5937,116,125,240,6179,6455,858,13487,757,1486,193,63,2507,10,26,37
49499,15,3,0,0,19,0,3,9,25,53,7,81,0,4,0,0,8,0,0,0,8,66,6,82,0,0,0,0,0,0,0,0,0,48,8,55,0,0,0,0,0,0,0,0,0,26,6,34,0,0,0,0,0,0,0,0,0,69,19,86,161,127,22,6,321,62,34,96,411,593,127,1138,0,9,0,0,12,4,15,17,31,34,14,75,18,20,0,0,37,10,3,16,50,37,19,102,36,16,4,0,55,5,3,13,67,29,19,115,13,7,0,0,30,6,4,9,41,38,16,90,7,13,0,0,22,4,5,16,36,31,18,80,4,7,0,0,16,6,3,5,21,23,16,63,11,14,3,0,30,3,0,3,35,25,37,100,16,11,5,0,27,3,0,7,35,48,13,96,9,9,0,0,24,5,6,13,33,40,11,84,7,5,0,0,15,3,0,3,19,50,15,85,0,4,0,0,9,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,16241,15015,1744,507,33503,377,469,846,34355,15356,2206,51918,8176,11121,1270,312,20884,188,309,494,21376,23055,2112,46544,1836,4148,432,131,6546,21,96,115,6660,24987,1687,33333,306,1218,100,59,1692,10,19,28,1714,23414,1712,26848,100,445,74,77,698,9,22,24,719,50330,6700,57753,189642,178860,19546,6569,394621,9137,11399,20534,415148,256094,37611,708854,2734,20417,775,550,24475,1411,4956,6364,30839,25351,2539,58736,18958,22206,1363,898,43431,2443,2793,5241,48669,12437,3974,65082,31793,16553,2461,822,51621,2312,2016,4327,55951,14380,5121,75447,26461,20277,3684,701,51123,1990,2007,3999,55125,18075,4843,78040,20022,22073,2360,561,45013,1703,1988,3688,48702,16471,3701,68877,21787,23469,1386,610,47253,1732,1931,3664,50915,13756,3593,68258,24771,22430,1291,630,49125,1775,1470,3250,52373,11923,3418,67714,23363,19482,1428,538,44816,1498,1164,2657,47469,12193,3254,62922,18204,17105,1483,446,37236,1038,982,2027,39262,15644,3158,58060,10024,13165,1191,291,24672,576,721,1301,25969,22920,2869,51764,2976,6325,574,160,10042,63,186,247
5RWAU,4557,4179,618,156,9515,108,124,236,9746,4521,817,15089,2139,2819,438,117,5508,54,81,133,5646,6557,748,12947,641,1096,151,67,1954,10,14,23,1974,6766,513,9260,189,432,66,33,724,4,4,5,729,5847,469,7046,98,196,32,45,372,0,3,3,381,11095,1436,12906,49011,44600,5894,2038,101528,2666,2315,4977,106506,67590,13160,187256,1308,4290,200,168,5966,372,575,949,6915,6063,1105,14084,4371,2768,325,181,7644,521,275,792,8431,2817,1195,12443,5653,3228,643,167,9691,391,325,719,10415,4110,1653,16176,4882,4944,848,170,10842,353,409,758,11598,4762,1655,18014,4494,5472,552,172,10688,349,335,684,11372,3890,1441,16704,5521,5931,383,186,12027,409,335,747,12773,3169,1432,17378,6384,5758,457,222,12818,391,271,662,13475,3051,1558,18083,6257,5146,573,214,12192,380,231,607,12803,3438,1542,17784,5231,4880,662,185,10956,282,250,528,11487,4474,1533,17496,2908,3713,470,117,7211,141,193,336,7543,6448,1331,15322,923,1715,226,66,2928,10,45,56
59499,44,36,10,3,87,7,0,7,102,198,38,333,21,23,11,3,55,0,3,0,57,201,19,283,6,5,0,0,9,0,0,0,7,146,12,165,0,0,0,0,0,0,0,0,0,49,3,55,0,0,0,0,0,0,0,0,0,26,9,37,569,297,84,24,972,128,48,185,1154,1172,391,2712,4,13,0,3,24,3,3,10,30,19,22,65,62,23,0,4,97,12,7,19,120,66,62,245,85,37,12,0,135,21,10,29,158,72,76,310,52,24,8,0,86,11,3,10,98,54,70,223,25,17,5,5,49,10,0,9,59,45,45,156,25,4,9,3,47,3,4,9,54,45,50,149,18,18,3,3,43,10,0,11,55,35,49,141,27,18,0,0,51,14,7,18,63,75,48,186,38,24,6,0,65,7,6,11,80,94,43,219,20,14,8,0,43,9,5,14,55,133,30,221,5,4,0,0,10,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,0,0,0,18,0,0,0,18,8,4,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
6GHOB,2052,2154,251,68,4524,61,69,130,4655,2381,259,7286,962,1431,157,37,2585,28,45,71,2654,3689,235,6582,186,495,50,17,742,0,13,11,759,3985,231,4966,36,162,18,10,224,0,0,0,223,3564,246,4028,14,60,13,7,97,0,0,0,97,8162,870,9131,21094,23338,2544,710,47681,1178,1288,2466,50149,35528,3811,89488,279,2362,132,65,2847,117,478,596,3441,2918,324,6684,1764,2427,205,63,4457,204,263,465,4919,1670,370,6953,2572,1922,310,72,4875,181,184,366,5238,1604,367,7209,2249,2369,462,61,5143,126,139,257,5403,1561,366,7329,1988,2654,300,48,4988,97,129,231,5220,1376,327,6923,2541,2860,205,45,5657,102,117,216,5867,1254,356,7483,2820,2675,168,58,5715,103,98,201,5923,1361,342,7624,2917,2477,227,59,5675,91,96,184,5862,1448,387,7691,2444,2430,231,63,5161,67,107,180,5337,2301,439,8083,1198,1774,181,32,3193,38,86,120,3312,3575,387,7274,293,776,65,22,1151,3,25,24
6RTAS,2346,2880,354,89,5669,125,113,236,5904,3822,338,10067,1105,1944,275,58,3380,52,91,144,3529,5955,388,9868,267,681,75,37,1059,4,13,22,1081,6258,390,7724,72,219,18,11,320,0,3,3,322,5240,360,5922,25,68,13,19,125,0,3,5,129,10414,1207,11752,23141,29155,3156,960,56411,1918,1889,3806,60218,51805,4990,117009,502,2795,150,111,3559,232,490,725,4281,3677,435,8399,1985,2428,203,94,4704,324,250,574,5278,1848,454,7579,2191,2030,318,66,4597,169,179,352,4953,1950,457,7360,1857,2602,403,57,4921,140,176,317,5244,2027,456,7723,1821,2968,273,69,5133,149,154,302,5437,1950,464,7852,2515,3386,215,85,6204,192,184,373,6575,1840,495,8910,3271,3577,266,121,7232,213,171,391,7622,2038,553,10213,3285,3425,307,94,7107,221,162,388,7490,2433,641,10561,2760,3356,402,96,6617,154,132,289,6905,3588,708,11199,1454,2360,283,72,4165,92,138,224,4394,5353,725,10470,438,990,122,43,1589,13,20,29
69499,3,3,0,0,3,4,0,5,9,15,5,31,5,0,3,0,7,0,0,0,7,33,4,40,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,9,4,13,61,42,10,0,118,31,16,42,160,221,37,410,0,3,0,0,6,0,3,6,15,16,0,30,0,3,0,0,9,3,5,10,12,15,8,33,6,9,0,0,18,3,0,8,26,11,6,42,8,0,0,0,9,5,0,9,14,7,3,32,10,4,0,0,18,5,0,5,18,11,0,34,4,8,0,0,10,0,0,0,12,11,5,25,5,0,0,0,10,0,0,0,11,12,10,31,9,0,0,0,10,0,0,6,17,13,6,32,0,3,0,0,10,0,0,3,8,15,0,26,0,3,0,0,5,0,4,4,6,18,6,28,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,19,3,0,3,17,12,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
7GDAR,1471,562,114,45,2199,22,14,38,2237,704,307,3245,778,419,81,15,1300,13,11,22,1314,967,232,2519,205,166,19,18,403,0,8,10,411,929,134,1468,32,55,3,4,95,0,4,4,94,734,99,931,6,18,0,6,32,0,0,0,32,963,149,1151,18697,8341,1613,571,29226,586,449,1040,30259,10623,4373,45260,394,1075,42,53,1566,88,178,268,1831,1419,310,3559,1874,951,122,85,3035,130,80,212,3241,619,495,4352,3055,1035,231,88,4411,117,100,214,4624,1020,738,6388,2815,1213,325,87,4438,91,85,178,4620,1131,676,6426,2373,1151,206,48,3783,100,90,187,3966,929,506,5402,2456,1016,132,51,3651,79,55,135,3789,666,466,4913,2476,880,120,70,3545,87,43,132,3674,578,449,4693,2208,679,143,57,3086,69,39,111,3200,551,408,4163,1721,646,129,35,2537,49,18,70,2607,720,403,3730,951,457,80,30,1515,28,33,56,1570,985,324,2877,346,250,44,14,656,8,13,16
7RNTE,924,301,91,27,1337,27,11,37,1382,634,175,2194,442,211,49,20,725,3,6,16,739,619,125,1488,116,64,12,15,213,0,7,7,214,513,94,828,37,32,9,4,83,0,0,0,84,385,70,529,12,21,4,6,52,0,0,0,48,523,131,707,9885,4743,938,561,16133,909,433,1340,17470,11914,3074,32457,223,323,20,39,603,174,54,230,829,1748,443,3025,777,282,42,71,1173,240,60,296,1465,1409,482,3353,1313,385,114,53,1869,190,60,248,2117,1337,597,4055,1167,544,118,64,1897,168,84,253,2146,1274,518,3934,981,513,101,56,1645,131,54,185,1833,1010,413,3258,1001,475,56,42,1570,139,50,189,1757,889,383,3031,1189,433,70,48,1730,104,42,149,1881,812,428,3124,1142,352,66,53,1612,109,31,147,1752,750,381,2884,959,310,69,31,1361,44,18,63,1420,695,339,2457,595,232,51,19,896,23,23,49,944,711,261,1912,206,131,22,18,376,11,7,18
79499,14,3,5,0,24,0,3,3,27,65,22,115,9,0,0,0,11,0,0,0,8,65,11,90,0,0,0,0,0,0,0,0,0,55,6,66,0,0,0,0,0,0,0,0,0,14,3,19,0,0,0,0,0,0,0,0,0,6,0,11,159,49,35,13,254,20,18,38,294,390,94,778,9,0,0,0,8,0,0,0,9,4,0,13,25,9,0,0,27,4,0,4,35,21,34,87,31,13,11,0,47,0,0,0,52,30,49,129,17,7,8,0,35,5,0,5,36,25,42,105,9,9,0,0,16,3,0,3,21,31,31,83,10,8,3,0,21,0,0,5,25,28,37,92,12,6,0,0,19,0,0,5,24,41,36,95,12,8,0,0,24,0,0,0,25,45,39,106,16,12,0,0,29,3,0,9,32,47,21,104,10,3,7,0,17,0,0,0,18,69,20,108,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,11,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4394,2370,465,81,7310,56,58,110,7418,2795,304,10516,2159,1864,304,64,4387,27,59,85,4477,4659,267,9398,460,815,116,21,1404,0,21,30,1434,4803,251,6482,71,248,20,11,350,3,6,12,355,4145,253,4753,24,95,7,16,142,0,0,0,142,8558,942,9638,54799,33102,6028,1240,95170,1324,1967,3294,98460,43705,5897,148067,801,4556,203,182,5734,132,996,1124,6861,4778,483,12122,4920,4839,400,255,10416,302,555,855,11268,3394,859,15525,8885,2936,738,144,12701,281,229,507,13208,2334,976,16513,7691,3985,1365,151,13188,281,227,509,13694,2512,919,17129,6510,4347,859,120,11838,238,182,420,12256,2167,722,15147,6949,3995,436,100,11478,191,172,364,11844,1792,641,14276,7098,3368,318,117,10902,165,124,288,11191,1578,614,13381,6612,2787,380,90,9869,151,115,268,10138,1881,559,12578,4734,2357,369,71,7532,110,131,249,7779,3180,582,11540,2313,1881,269,49,4516,54,77,130,4646,4815,557,10018,667,1044,114,25,1860,11,43,56
89499,0,3,0,0,5,0,0,0,9,11,0,17,0,0,0,0,4,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,4,3,78,44,9,0,134,13,12,28,163,94,18,271,0,6,0,0,6,0,3,3,3,6,8,16,6,8,0,0,22,5,0,4,28,9,9,40,17,0,0,0,18,4,0,4,20,0,0,22,10,0,0,0,9,0,0,0,9,5,0,18,11,6,3,0,16,0,0,0,11,4,5,30,7,0,0,0,7,0,0,0,7,3,0,11,3,3,0,0,7,0,0,0,7,8,0,15,0,6,0,0,11,0,0,0,9,0,3,17,8,0,0,0,11,0,0,0,11,10,0,21,3,3,0,0,5,0,0,0,5,10,0,12,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,29,12,0,0,40,0,0,0,39,40,3,88,15,6,0,0,20,0,0,0,21,19,3,41,5,0,0,0,4,0,0,0,4,27,0,26,0,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,20,0,17,291,136,24,9,457,15,11,23,478,278,48,805,3,22,0,6,38,6,0,0,46,47,13,107,26,13,4,0,44,0,0,0,44,13,5,65,44,15,3,0,67,0,0,0,65,16,12,96,43,38,14,0,94,0,0,0,98,27,17,142,54,35,9,4,96,0,0,0,99,33,5,135,63,44,5,3,110,5,0,8,114,22,13,148,72,36,5,5,117,3,0,3,121,23,14,163,69,38,4,9,117,0,0,0,116,22,28,171,66,35,8,6,115,0,3,3,122,34,30,178,39,32,4,0,80,0,0,0,84,59,22,159,27,26,0,5,59,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,18,0,0,0,18,0,0,16,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
