GCCSA_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
1GSYD,64656,850794,109,18,11,4,3,143,2348,179,64,7,10,2615,21233,7702,4207,795,186,34119,31751,22937,22465,6442,2479,86079,7399,7632,11356,5745,3535,35670,612,309,258,129,76,1387,63451,38780,38360,13125,6295,160012,1488,92,36,7,4,1629,34792,3819,832,105,21,39562,110250,55374,29070,5912,1508,202124,22647,15828,14436,4450,1935,59298,1322,1077,1479,873,653,5402,1614,705,398,171,79,2964,172111,76897,46258,11514,4205,310981,57,6,0,0,3,71,476,55,19,0,0,557,1050,458,218,56,14,1796,385,275,269,75,50,1055,77,61,89,53,46,328,25,7,10,3,3,45,2074,862,599,193,116,3851,915,439,327,150,109,1938,510342,300018,310208,131631,75380,1327581
1RNSW,28935,656654,33,11,0,5,0,44,956,93,18,7,0,1074,14354,2927,1088,219,47,18634,13486,5812,3599,1013,365,24278,1480,827,920,507,283,4022,369,116,56,18,12,574,30681,9790,5678,1767,712,48631,75,6,8,0,3,89,1820,177,30,7,0,2036,10952,2937,1099,267,73,15322,4520,1501,962,255,99,7331,459,204,242,136,105,1148,223,51,35,8,7,319,18042,4876,2360,680,289,26249,207,24,12,3,3,245,809,49,19,7,0,882,1251,193,76,14,6,1539,544,186,121,45,16,906,232,98,127,87,56,597,97,15,9,0,10,121,3130,558,354,164,92,4300,930,307,259,119,63,1688,363212,145437,136903,61883,30099,737521
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,51400,967008,62,6,3,0,0,81,2428,212,61,15,7,2717,40117,12108,5117,871,236,58443,36438,23687,19414,4417,1467,85422,7290,6562,8962,4107,1874,28793,764,325,222,92,49,1453,87096,42911,33774,9496,3636,176917,356,22,14,3,0,390,15381,1204,195,17,6,16800,53687,14292,4873,782,190,73822,10455,5976,4353,1043,448,22278,626,551,785,352,194,2506,619,192,94,31,18,954,81129,22224,10310,2228,854,116746,22,0,0,0,0,27,302,13,4,0,0,328,710,165,60,19,5,961,221,146,126,31,7,526,52,38,48,29,17,181,17,8,5,0,5,39,1329,379,244,75,32,2058,426,197,155,64,25,873,507971,285060,299838,114786,55950,1263599
2RVIC,14245,391345,32,6,0,0,0,37,585,63,7,0,0,660,5843,1188,418,81,30,7554,3362,1237,735,173,57,5560,515,280,320,190,80,1388,168,30,10,3,10,220,10507,2808,1498,442,163,15412,14,0,0,0,0,14,269,33,7,0,0,307,1552,368,118,22,4,2058,489,174,110,35,12,823,56,34,24,10,13,138,48,12,0,0,0,64,2425,612,264,72,27,3402,84,12,0,0,0,103,309,18,3,0,3,334,542,57,28,13,4,639,242,76,57,29,5,406,78,53,71,37,24,263,36,5,4,4,0,46,1290,223,169,78,33,1800,340,100,80,35,14,575,208463,79687,75690,34194,14495,412530
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,30899,537056,29,5,7,0,3,43,663,55,11,0,0,729,9706,2116,758,166,45,12789,17947,10758,6320,1822,755,37604,1648,1399,1361,568,334,5300,316,127,95,31,27,594,30306,14451,8545,2592,1165,57058,145,11,5,3,0,164,6337,417,76,10,4,6848,25775,6859,2411,347,76,35464,7836,3295,1977,414,136,13658,585,311,361,151,108,1520,324,99,31,12,0,471,41009,10983,4859,943,329,58123,90,8,4,0,0,103,310,15,0,0,0,328,284,62,33,4,0,381,73,47,17,10,0,146,33,25,32,15,7,120,39,4,0,0,0,46,835,161,89,32,12,1128,376,134,105,47,29,691,275026,144633,143168,58807,32433,654061
3RQLD,28871,561885,40,10,4,0,3,57,940,85,21,3,7,1055,15041,3387,1229,262,97,20021,16801,8392,5014,1336,459,32003,1927,1221,1319,680,313,5452,440,125,77,24,18,686,35190,13217,7665,2303,896,59275,114,14,9,6,0,143,3464,273,47,9,8,3798,20389,5130,1690,333,118,27665,8121,2768,1565,456,152,13063,526,290,279,160,119,1369,340,84,28,18,10,486,32959,8554,3614,981,410,46515,434,44,26,23,8,536,1195,65,33,11,4,1302,672,141,44,21,11,888,409,115,85,28,12,649,234,87,68,57,32,479,120,14,6,5,8,155,3061,465,254,144,74,4007,1309,372,264,115,78,2133,323502,136434,128249,55303,30324,673819
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,12062,305674,32,4,4,0,6,35,731,58,26,7,0,819,10672,2481,967,180,50,14341,11981,6221,4186,1080,440,23907,1186,837,1166,581,333,4105,240,78,47,21,10,392,24832,9679,6394,1868,836,43604,55,6,0,0,0,53,1368,125,22,3,0,1524,8082,2640,1191,202,38,12155,1713,729,475,125,35,3073,86,55,58,31,18,252,82,23,7,5,0,131,11384,3573,1756,372,95,17183,35,4,0,0,0,38,115,8,0,0,0,119,105,29,7,0,0,148,60,32,24,5,5,127,17,9,20,15,4,67,7,3,0,0,0,7,345,81,53,20,13,505,288,114,105,36,14,560,165919,81010,78737,28852,13016,367534
4RSAU,3417,95902,6,0,6,0,0,8,115,6,0,0,0,124,1197,151,55,17,0,1423,1788,747,399,162,70,3177,183,102,116,82,71,556,61,18,8,12,0,101,3349,1031,588,267,157,5386,4,0,0,0,0,4,43,5,0,0,0,51,333,67,20,4,0,436,151,41,34,5,0,225,20,9,8,3,3,44,7,4,0,0,0,14,558,116,62,21,4,765,38,0,3,5,4,51,124,7,0,6,0,134,98,22,8,0,0,125,107,29,19,5,0,168,50,13,16,15,6,101,13,5,0,0,0,16,428,77,51,27,10,601,205,43,39,14,7,310,56978,18192,16474,7721,3598,102966
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,21111,475733,30,4,0,0,0,37,918,61,17,9,0,1010,10524,2148,758,115,30,13585,18198,8622,5632,1362,431,34242,2036,1483,1706,710,333,6259,328,84,40,22,19,491,32036,12402,8163,2216,814,55625,106,4,0,0,0,109,3270,289,48,3,0,3610,10492,2668,966,133,19,14271,3378,1252,751,184,34,5596,216,120,128,52,38,560,124,29,22,4,0,185,17578,4367,1916,383,95,24327,49,3,4,0,3,63,234,7,3,3,0,245,298,33,15,3,0,343,95,25,15,5,0,147,56,19,18,11,12,119,25,0,0,0,0,23,757,89,55,28,17,941,214,75,54,23,14,382,237042,122207,126560,49154,22051,557005
