GCCSA_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,11,99,53,126,284,31,478,189,437,1132,293,1453,320,829,2898,217,1201,263,724,2405,162,1256,249,495,2160,394,3325,634,1172,5524,733,4120,881,1085,6817,313,1164,385,430,2285,56,182,94,73,408,17,75,30,12,136,4,20,8,6,42,0,10,4,8,22,0,0,4,0,9,15,44,15,13,90,58,382,97,216,758,2310,13812,3229,5622,24968,12,74,19,62,165,4,90,37,194,319,96,704,243,508,1549,203,822,248,606,1880,113,687,197,528,1522,306,2463,522,1023,4317,911,5413,1253,1819,9400,685,2526,917,973,5092,120,420,181,171,895,31,96,65,40,238,15,42,10,22,94,3,28,9,11,47,5,0,11,4,16,5,14,8,11,25,44,335,106,232,721,2562,13711,3816,6197,26277,12,26,13,41,87,5,50,7,57,110,50,499,155,506,1204,118,583,160,506,1368,87,513,134,523,1257,240,1655,331,985,3219,726,4767,1036,2128,8648,960,4123,1211,1813,8113
4RSAU,19,156,19,81,277,10,201,51,117,380,106,840,137,290,1377,164,1293,180,371,2018,80,635,101,137,954,137,768,117,142,1165,67,276,44,49,433,13,43,9,8,75,0,16,5,4,22,3,0,0,3,5,0,0,0,0,0,0,0,0,7,7,0,0,0,0,5,3,6,0,6,16,24,142,21,69,252,631,4386,683,1280,6983,9,71,15,43,137,17,138,14,77,246,61,410,96,189,753,119,883,165,351,1518,73,621,124,222,1039,163,1119,187,274,1749,189,731,112,148,1175,49,135,22,26,232,3,7,0,0,18,0,0,0,4,5,0,3,0,4,10,0,0,0,0,6,0,0,0,0,0,0,3,0,0,8,16,115,19,72,224,704,4239,749,1411,7103,5,59,4,32,100,8,121,13,55,197,32,347,59,170,602,88,633,78,324,1131,72,485,86,254,896,154,1081,168,401,1808,189,989,193,287,1658,82,333,53,85,550
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,13,135,45,117,315,38,699,111,248,1095,236,1089,181,444,1951,171,893,205,636,1903,113,709,179,408,1407,197,1799,321,750,3072,609,4696,843,1549,7690,781,4159,944,1423,7299,178,763,248,310,1501,46,204,73,75,396,18,80,36,37,168,7,46,24,20,94,6,24,4,8,41,11,84,29,36,159,68,471,96,237,868,2488,15844,3339,6292,27967,11,54,10,60,136,10,67,32,67,182,100,778,161,379,1410,175,855,183,391,1599,98,449,132,390,1069,144,980,197,459,1780,423,3715,698,1281,6108,1187,6382,1556,2366,11483,538,1897,681,817,3928,139,426,182,197,942,35,165,86,69,355,24,72,39,30,171,16,41,27,17,97,28,72,26,25,147,59,364,109,250,774,2984,16298,4108,6799,30183,0,55,9,62,128,4,44,17,58,120,24,404,90,332,853,123,831,193,407,1554,118,631,131,357,1237,250,1648,307,873,3078,724,5124,899,2104,8848,1382,6860,1573,2776,12585
5RWAU,36,685,40,221,976,38,493,47,138,715,110,906,105,275,1396,110,810,105,278,1306,65,536,76,155,833,116,980,100,240,1436,156,1061,138,239,1599,71,406,63,117,662,6,79,6,33,122,4,36,7,8,54,0,14,0,9,24,0,7,0,0,7,0,0,0,5,6,3,50,6,14,76,27,282,18,108,430,741,6337,713,1837,9636,33,390,30,156,615,18,171,9,88,288,70,702,67,239,1073,107,731,70,207,1105,76,450,69,179,774,114,824,117,273,1334,216,1454,225,400,2292,216,1041,182,291,1725,38,153,30,60,275,8,43,4,17,76,3,20,0,5,32,0,15,0,5,18,0,3,0,0,5,0,13,5,9,19,28,273,25,122,453,927,6290,838,2034,10089,26,334,32,139,536,26,204,13,116,365,62,443,62,220,794,61,559,71,231,921,65,424,64,155,706,137,810,120,311,1376,247,1415,199,481,2341,246,1149,209,383,1986
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,29,12,28,64,9,160,35,65,266,54,438,53,161,705,55,325,47,110,544,34,263,40,77,407,68,698,91,128,986,118,731,150,125,1126,61,207,63,50,376,0,38,6,9,53,4,12,4,8,20,0,0,4,0,7,0,3,0,0,3,0,0,0,0,0,0,6,0,3,15,12,85,10,31,126,402,2997,507,799,4712,0,23,0,9,34,0,42,16,26,79,30,253,57,73,402,52,314,47,136,551,51,269,50,136,505,80,664,106,193,1039,151,930,157,242,1484,109,384,98,94,685,24,52,18,19,114,3,18,3,3,30,0,0,0,4,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,12,69,19,22,123,513,3020,577,952,5070,3,12,0,0,16,0,18,3,10,37,17,156,40,53,266,42,211,40,114,409,25,175,35,104,344,52,317,55,147,576,101,587,94,256,1033,170,907,183,300,1563
6RTAS,10,60,14,29,117,8,260,32,77,374,77,582,77,216,946,104,840,125,247,1317,66,585,99,141,887,120,809,121,167,1208,104,407,69,61,639,18,43,9,8,79,0,12,0,4,13,0,7,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,3,3,22,16,88,19,42,156,514,3711,571,989,5783,0,29,3,16,54,0,41,11,33,94,37,352,62,111,564,77,546,100,239,961,96,597,78,208,971,167,1050,178,269,1662,156,730,146,186,1218,43,128,29,33,223,7,11,4,7,31,3,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,8,82,11,37,140,600,3577,619,1153,5940,0,24,0,14,35,0,19,0,15,39,14,248,38,96,401,44,323,58,137,558,39,403,38,192,679,126,906,135,359,1520,209,1028,209,370,1818,128,507,103,162,900
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,10,63,12,54,136,20,151,7,19,198,29,168,13,35,240,18,94,10,26,143,13,68,4,18,103,19,58,15,39,131,19,154,35,76,283,39,249,51,91,428,30,173,32,66,298,12,68,11,26,124,4,29,3,9,48,0,9,3,0,23,0,3,0,0,3,0,4,0,5,12,11,49,15,28,94,227,1343,216,492,2270,0,10,3,25,39,10,83,12,24,124,40,188,25,44,294,21,88,14,40,161,16,39,0,14,71,4,61,3,22,85,7,87,9,34,139,37,234,81,122,464,34,223,40,122,420,16,123,28,53,222,7,41,3,14,70,0,17,3,4,28,0,4,0,3,14,0,5,3,6,12,11,67,8,26,112,208,1272,229,556,2272,0,10,0,15,23,4,22,6,22,56,16,162,19,57,257,21,126,13,31,198,9,72,6,31,118,15,124,21,41,196,18,273,28,73,390,58,419,70,149,689
7RNTE,82,966,39,279,1372,31,194,7,57,289,38,295,14,90,433,19,144,9,44,223,7,53,5,18,87,7,71,6,20,107,5,71,8,29,109,11,70,11,19,115,7,47,4,11,60,0,11,4,6,18,0,5,0,0,7,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,194,4,65,276,218,2135,112,630,3092,59,692,33,290,1072,25,222,18,76,341,39,292,23,78,436,16,162,14,42,236,17,55,4,20,88,10,46,7,24,85,7,60,7,12,82,11,114,9,31,164,15,66,9,20,109,3,27,0,3,43,0,6,0,5,7,0,3,0,0,3,0,0,0,0,3,0,0,0,0,7,16,221,16,84,333,212,1962,133,693,3000,62,631,29,307,1026,27,287,18,152,475,31,346,22,134,535,28,210,11,95,338,10,85,3,31,124,20,106,5,33,166,5,80,5,24,121,11,118,17,32,172
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,8,53,30,58,156,42,399,67,92,597,95,555,54,94,791,62,234,55,115,461,33,109,22,37,200,22,150,53,68,295,35,272,101,145,563,119,802,259,403,1586,77,357,131,143,710,30,88,31,44,196,6,28,14,15,67,0,8,6,10,21,0,11,0,0,14,0,7,0,0,19,22,119,34,51,219,554,3193,870,1265,5881,0,39,11,21,75,13,147,37,66,261,102,577,93,132,907,64,219,67,104,448,19,108,29,70,231,33,135,52,96,316,44,314,90,133,568,104,912,266,434,1713,99,439,168,228,935,39,111,62,47,263,11,34,16,19,78,3,14,8,10,32,3,10,8,0,18,8,14,7,9,27,19,81,26,61,183,552,3141,933,1420,6061,6,33,9,24,72,10,78,24,36,153,96,487,75,185,834,63,206,42,95,405,42,99,32,83,256,51,167,30,112,361,48,210,58,109,427,82,610,141,300,1129
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,9,0,6,15,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,14,3,27,5,15,46,0,4,0,6,13,0,5,0,0,3,0,6,4,0,3,0,3,3,3,13,0,3,0,0,6,0,0,0,0,4,0,6,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,9,5,33,13,23,65,0,4,0,8,14,0,0,0,0,4,0,4,0,0,3,0,4,0,4,11,0,0,0,3,6,0,6,0,0,7,6,6,0,5,23,0,5,0,0,5
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
