GCCSA_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
1GSYD,47,359,206,442,1054,70,860,474,1000,2410,657,2961,811,1295,5729,637,2840,720,1971,6164,385,1880,447,1013,3724,601,3986,910,1991,7491,1421,8575,2038,3824,15855,1806,9135,2568,4104,17616,841,3746,1354,1930,7871,330,1547,646,762,3287,151,682,327,335,1497,81,356,173,137,752,38,168,94,86,388,112,365,199,149,823,287,1240,421,918,2869,7469,38715,11387,19954,77524,15,151,41,162,374,16,219,98,197,526,225,1821,602,1368,4016,474,1884,630,1274,4258,313,1219,378,1396,3310,445,1768,546,1302,4059,716,4532,1253,2989,9491,1974,11104,2958,6014,22045,1630,7007,2435,4080,15156,848,3548,1382,2023,7801,423,1777,727,941,3875,184,764,396,461,1799,104,400,197,218,920,220,693,438,302,1663,222,1071,419,945,2663,7821,37972,12491,23663,81942,17,90,43,139,287,19,114,28,164,328,104,1161,390,1159,2814,358,1568,461,1270,3662,231,1008,321,1111,2676,374,1599,477,1451,3897,529,3354,916,2365,7156,1782,11261,2889,6886,22818
1RNSW,43,394,110,309,859,82,844,242,558,1731,538,4025,576,1359,6502,783,5772,851,2137,9545,566,4088,633,1136,6420,1019,7047,1132,1878,11079,1317,7086,1283,1751,11433,802,3208,668,843,5524,136,548,129,167,978,35,128,37,48,245,7,39,9,5,63,7,16,9,13,42,0,13,0,4,19,17,119,27,42,200,142,953,149,428,1663,5490,34289,5842,10676,56303,24,179,32,125,356,19,240,46,156,456,186,1959,391,1129,3670,510,3241,498,1462,5711,373,2663,437,1301,4780,698,5553,826,1929,9012,1439,9238,1630,3104,15410,1609,7300,1636,2347,12895,415,1628,414,579,3035,102,367,108,138,711,21,110,21,44,196,11,39,16,22,84,5,16,3,3,37,6,41,8,29,87,113,869,127,515,1622,5532,33443,6195,12899,58058,19,128,12,101,260,6,106,18,97,231,102,961,196,677,1931,266,1855,230,1124,3476,247,1772,252,1027,3294,485,3743,542,1725,6501,976,7200,1113,3018,12314,1776,10174,1734,4003,17692
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,28,239,139,274,673,57,657,252,529,1495,468,2641,589,767,4471,465,2003,589,1361,4413,339,1841,524,1009,3716,833,5236,1354,2498,9930,1833,9436,2468,3944,17688,1097,4597,1731,2033,9457,276,1094,558,517,2445,91,338,223,189,844,50,186,129,89,460,31,97,49,45,223,14,51,25,25,118,58,223,84,107,478,258,1121,375,649,2395,5905,29769,9088,14043,58808,23,157,47,127,358,15,163,50,123,357,213,1813,518,864,3411,383,1352,446,840,3026,232,876,320,1002,2431,453,2690,875,1757,5770,1756,10133,2894,5188,19971,2087,8794,3210,4499,18592,643,2324,1168,1201,5332,253,822,470,437,1969,108,391,208,164,876,83,227,141,76,523,37,104,74,41,258,93,256,147,134,635,230,982,372,759,2343,6607,31082,10940,17217,65848,29,146,35,134,346,16,146,32,165,358,153,1389,429,957,2932,310,1169,366,781,2626,140,560,187,676,1559,273,1280,413,1182,3154,996,6140,1814,4038,12988,3068,14488,4447,7758,29764
2RVIC,20,181,57,127,386,39,460,117,268,886,336,2468,394,714,3909,583,4072,677,1381,6709,342,2487,418,628,3873,569,3408,618,684,5280,460,1775,370,364,2968,125,488,119,107,846,24,83,11,15,135,0,14,3,3,28,0,6,7,4,18,0,3,3,0,3,0,0,0,0,0,8,47,7,24,90,68,468,75,176,792,2584,15962,2882,4497,25924,13,71,18,79,179,12,137,23,72,248,150,1376,276,535,2340,336,2056,446,895,3726,250,1837,405,888,3383,564,4130,777,1268,6738,833,4000,870,1100,6801,417,1367,397,388,2569,54,140,41,55,285,14,48,10,10,81,5,12,6,3,35,0,5,0,4,16,5,4,3,0,13,3,12,5,9,22,64,380,72,186,710,2719,15567,3352,5488,27131,15,90,17,66,186,16,95,17,63,193,97,997,171,528,1795,222,1237,210,582,2250,181,1064,187,726,2157,378,2789,440,1314,4920,773,4635,851,1865,8122,938,3753,872,1274,6832
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,31,293,126,346,797,108,1138,236,411,1886,398,1785,268,708,3168,214,1235,264,740,2456,126,885,209,484,1706,304,2872,454,1111,4739,1145,8594,1296,2516,13553,1206,6555,1517,2193,11463,268,1180,320,401,2165,75,338,106,118,633,36,107,44,52,236,31,47,31,20,125,9,12,14,3,35,27,87,34,43,197,102,651,137,359,1254,4083,25778,5047,9521,44426,10,93,32,91,229,16,119,46,107,293,145,1197,299,559,2197,268,1335,260,653,2521,116,722,162,528,1529,322,2347,414,1114,4198,1150,7752,1333,2918,13149,1827,9410,2216,3706,17157,584,2450,767,1044,4842,162,653,308,308,1429,69,240,81,144,536,32,98,44,44,220,15,53,28,15,111,18,58,25,24,124,88,627,145,346,1208,4825,27149,6166,11597,49737,13,113,39,128,296,13,135,26,142,312,118,962,228,732,2040,228,1207,228,699,2369,130,637,103,455,1329,273,1633,259,848,3012,988,6986,1229,2962,12168,2512,12524,2695,5105,22845
3RQLD,67,847,120,506,1541,109,1422,200,419,2147,468,2518,286,896,4175,328,2983,445,1168,4924,250,2403,301,794,3752,626,5608,719,1465,8422,1130,7725,1232,2125,12217,1184,5895,1154,1902,10128,280,1265,307,432,2283,73,311,97,124,601,29,104,21,49,206,5,43,21,17,88,3,23,11,5,40,15,98,22,33,165,105,878,124,400,1514,4679,32135,5055,10335,52199,33,375,53,198,655,33,351,44,170,597,221,1905,277,781,3187,337,2682,362,1032,4404,266,2112,275,925,3582,615,5344,745,1796,8507,1317,8957,1516,3025,14822,1631,7862,1786,2874,14147,587,2124,625,1003,4336,149,627,208,292,1274,54,217,59,95,423,26,68,29,26,150,12,40,11,14,75,16,44,16,28,105,116,738,124,361,1333,5404,33448,6131,12628,57600,32,370,47,196,646,29,313,38,248,634,165,1667,261,963,3055,302,2186,220,1014,3727,230,1506,211,734,2675,481,3890,534,1584,6483,1167,7081,1130,2821,12198,1723,8675,1714,3472,15581
