GCCSA_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
39499,13,56,63,47,49,57,31,3,3,326,3,0,4,0,0,0,0,0,0,8,0,3,11,15,11,15,9,3,0,71,135,203,372,346,321,347,192,71,12,2006,197,636,1447,1010,1018,1424,708,163,27,6637,0,22,44,17,12,14,16,0,4,128,3,6,18,14,20,17,6,0,0,87,5,46,183,116,147,223,219,48,0,992,4,25,90,57,53,87,87,15,0,417,5,17,40,30,30,24,15,0,0,154,14,37,129,53,76,137,84,10,0,544,0,13,42,28,38,85,63,11,0,287,15,99,216,115,117,167,102,20,0,853,10,84,175,72,85,119,60,6,0,614,5,48,96,21,17,15,21,4,0,222,12,44,74,52,43,61,50,7,0,340,0,4,3,3,0,5,0,0,0,13,3,7,7,10,7,18,10,6,0,71,78,238,574,469,451,463,304,93,16,2693,157,685,1708,1063,1080,1425,1046,211,24,7404
39799,0,0,5,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,15,11,23,17,11,9,3,93,10,32,49,35,63,37,24,18,6,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,5,0,3,0,0,5,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,4,4,25,0,7,7,11,8,14,10,10,4,74
4GADE,1074,3713,7283,6219,4285,2873,1457,588,187,27686,76,147,121,127,134,108,77,55,22,854,74,393,1502,1559,1309,996,488,299,102,6725,6826,5713,10134,10084,10747,9756,9563,11062,7499,81385,12013,40134,113384,108908,100359,81186,45110,27674,12959,541731,35,1439,4695,4534,3610,2936,1916,703,212,20085,227,1076,5180,4760,2715,1588,501,68,10,16120,636,4727,16506,16338,18054,15661,12532,6828,2461,93741,544,2663,6992,5167,5280,4580,3256,1914,626,31036,164,795,2451,2316,2059,1454,740,282,100,10367,359,4178,16102,13913,13581,12798,6661,2874,1226,71694,98,1510,7680,8063,7919,10247,7732,2453,900,46601,1085,7179,27302,26911,21721,15058,8573,3072,1192,112097,1218,5839,17584,16827,15248,12543,7099,1975,576,78898,425,2196,5724,4278,2972,2048,1267,502,191,19599,1061,3525,8269,6286,5346,3342,2328,803,279,31227,127,185,173,173,231,209,291,292,130,1809,91,371,1618,1820,1473,1117,742,357,182,7767,5095,5321,11451,10149,10675,10064,9385,8209,5884,76229,11158,41002,131718,121542,110896,93647,63014,30330,13969,617267
4RSAU,320,898,1983,1836,1253,960,483,175,29,7946,13,17,40,46,40,27,20,20,9,231,21,51,208,287,271,230,140,61,32,1306,2293,1435,2910,3568,3906,3971,4053,4024,1901,28055,3942,8479,22792,25731,26319,23574,14806,8182,3027,136839,4,87,468,497,441,441,377,92,27,2432,47,113,310,298,218,184,103,20,5,1304,282,1616,4519,4588,5414,5501,4475,2114,579,29090,117,547,1367,1101,1312,1471,1214,582,144,7862,183,531,1574,1951,1661,1152,692,227,98,8058,79,672,2264,2311,3254,3973,2126,821,268,15763,41,468,2112,2151,2039,2818,2327,658,185,12792,273,1205,3807,4275,4018,3335,1980,634,209,19723,323,1013,2891,3014,3466,3114,1654,382,78,15932,49,190,493,455,363,392,251,101,41,2342,330,883,2098,1871,1514,1117,815,261,61,8951,22,27,63,53,67,71,98,90,54,538,25,77,202,257,342,233,237,101,46,1513,2469,1841,3945,4026,4917,5123,5026,3688,2221,33256,4256,9255,26119,26845,29031,28917,21360,9767,4007,159556
49499,4,9,28,11,11,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,12,23,38,94,88,109,78,54,61,55,603,39,136,399,277,280,243,123,68,68,1634,0,5,10,3,6,0,0,0,0,29,0,0,0,3,0,0,0,0,0,10,3,18,57,29,27,42,37,10,5,227,0,0,20,15,12,12,10,4,0,82,0,4,11,5,7,3,9,0,0,43,0,3,25,14,22,23,6,0,0,89,0,0,6,8,6,11,7,0,0,50,0,16,59,15,20,32,17,0,4,165,0,16,40,19,32,18,13,0,0,128,0,6,12,7,6,0,10,0,0,46,3,9,24,8,9,6,4,0,0,64,0,0,0,0,0,4,0,0,0,8,0,3,4,4,3,0,0,0,0,19,37,55,115,123,150,91,48,15,0,628,48,131,389,261,314,249,156,29,11,1599
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5GPER,1418,5513,10780,9420,6470,4137,1996,740,213,40687,146,190,152,145,157,150,117,63,42,1156,88,520,1696,1898,1659,1162,616,311,120,8072,10846,10931,21805,19790,17494,15657,12926,13016,7668,130127,20790,66121,180306,170040,149077,111280,60980,33550,13500,805651,98,3285,8968,7980,6387,4370,2595,790,256,34739,486,1866,7921,7443,4119,1951,587,83,11,24477,1432,10669,37194,34797,32610,26605,17707,8315,2239,171576,750,4298,13737,10123,9366,7160,4933,2768,696,53831,188,976,3572,3554,2764,1811,1095,474,132,14572,703,6300,23630,19666,18072,14519,8337,3906,1258,96376,415,2673,12259,14485,15318,14260,8111,3339,929,71798,2161,11509,45123,42110,34037,21968,12862,4907,1575,176250,1759,7789,24839,22340,18348,14419,7715,2314,600,100118,949,4087,9540,6493,4106,2657,1647,687,230,30386,1479,5113,14401,10312,8325,5035,3102,1055,359,49184,268,292,333,287,268,301,371,330,116,2557,120,695,2460,2412,2260,1524,858,470,169,10959,8488,10635,26983,21351,19310,16106,13861,12113,8543,137384,19302,70187,230954,203352,175297,132690,83776,41541,17112,974197
5RWAU,393,1224,2871,2858,1795,1058,503,160,34,10897,48,37,44,45,37,37,29,10,3,287,34,87,335,467,420,284,164,47,17,1869,3931,4150,9470,9338,8455,6190,4100,3319,1428,50379,7086,15805,44180,46168,41559,30439,15205,7175,2311,209928,25,228,1147,1305,864,649,382,111,28,4720,100,236,597,574,369,227,102,26,0,2231,586,3060,10764,10089,9547,7801,4652,1722,416,48631,240,925,2987,2483,2465,2254,1366,601,128,13451,249,616,1877,2237,1928,1471,828,347,80,9632,198,773,3756,3907,4057,4256,2364,978,250,20541,98,651,3268,4233,4308,4111,2108,728,156,19657,624,1818,6306,6424,5654,4120,2311,715,180,28157,483,1112,3777,3963,3620,3186,1528,354,84,18103,146,340,1042,953,753,612,422,148,40,4446,348,1073,3185,2802,2292,1390,834,231,71,12229,64,64,91,67,67,85,105,94,30,661,27,98,436,520,579,404,197,90,19,2377,4158,3562,10134,9275,9455,8231,6035,3922,1882,56653,7343,14556,49366,48830,45938,38800,23238,10052,3364,241489
59499,0,20,61,25,38,24,7,0,0,183,0,0,5,0,0,0,0,0,0,5,0,4,10,6,10,7,7,0,0,40,61,107,320,290,254,203,81,37,10,1360,91,378,1159,811,716,763,321,56,12,4307,0,9,26,17,10,7,5,0,0,74,0,4,15,5,5,12,5,0,0,44,3,32,159,91,115,106,71,7,3,595,5,13,64,45,22,38,15,3,0,204,0,10,22,16,10,14,9,0,0,86,3,10,66,25,29,43,27,3,0,209,0,7,25,20,15,43,21,5,6,143,8,33,103,55,43,69,42,5,0,356,8,20,76,23,33,39,20,0,0,215,0,14,40,5,7,10,5,0,0,90,0,11,43,35,26,27,10,4,0,161,0,0,3,0,0,0,4,0,0,8,0,6,7,13,13,4,4,3,0,45,47,135,379,319,355,208,129,25,4,1606,64,307,1027,670,678,635,368,57,8,3823
59799,0,0,8,8,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,8,0,3,27,17,5,5,5,0,0,67,0,25,107,75,55,23,8,0,0,300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,45,51,41,17,0,0,0,159,0,0,15,0,3,0,0,0,0,20,0,0,4,5,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,0,0,0,13,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,8,8,10,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,30,17,21,6,0,0,0,81,0,14,106,98,83,31,4,3,0,341
6GHOB,206,715,1337,1146,784,513,274,77,29,5083,4,21,16,12,11,8,13,7,7,100,9,90,235,264,233,205,108,46,27,1218,1259,1038,1711,1762,1948,2018,2024,1903,1047,14716,2219,6747,17567,18182,18314,15263,8806,5176,2106,94379,5,249,931,985,833,652,421,142,60,4280,28,280,890,640,405,242,103,19,4,2615,72,622,2027,2182,2509,2523,1954,1079,361,13330,62,470,1420,1083,1168,1131,677,373,134,6523,31,118,434,567,542,407,154,69,24,2345,39,521,2029,1908,2125,2134,1319,625,244,10945,12,159,1204,1476,1490,2101,1420,637,209,8714,208,1143,3946,3634,3344,2648,1514,595,276,17298,133,983,2938,2921,2830,2575,1467,416,129,14385,40,270,899,767,631,485,358,139,48,3651,142,644,1498,1220,998,627,361,128,44,5672,22,36,31,29,23,41,69,44,23,327,18,75,252,323,283,263,151,72,33,1464,1106,1020,2129,1964,2150,2258,2091,1705,865,15276,1919,6582,20621,19706,19324,18101,12070,6042,2450,106815
6RTAS,332,929,1667,1596,1100,833,396,127,25,7001,17,11,7,9,22,18,17,10,10,123,14,43,186,225,262,255,128,55,10,1186,1740,907,1656,2285,2609,2924,3223,3001,1398,19753,3166,6855,17417,20648,22228,19591,12051,6461,2338,110756,5,70,333,453,455,456,371,110,29,2295,39,174,454,387,319,239,103,24,0,1733,182,1102,2862,3225,3935,4174,3133,1467,399,20479,104,629,1429,1106,1455,1619,1057,540,109,8051,90,356,918,1055,1011,702,396,175,42,4741,71,589,1889,1842,2432,2864,1723,704,227,12344,28,229,1348,1812,1963,2384,1818,828,210,10614,228,1080,3093,3326,3379,2909,1709,506,175,16401,215,937,2178,2507,2992,2737,1404,352,83,13406,30,224,550,609,556,558,440,161,42,3168,296,813,1780,1612,1296,966,662,210,44,7692,21,31,27,25,36,80,98,66,32,416,15,45,193,222,322,304,201,84,24,1420,1917,1301,2399,2610,3497,3818,4176,2843,1269,23832,3220,7571,19476,20793,23650,23807,17296,8069,2687,126583
69499,0,4,6,3,4,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,0,0,0,0,11,13,17,41,33,21,24,15,9,0,167,19,39,148,102,88,92,47,10,0,541,0,0,3,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,16,8,7,10,8,0,0,60,0,0,0,11,3,7,3,0,0,22,0,0,3,0,4,0,0,0,0,16,0,4,10,9,11,12,0,0,0,44,0,0,4,4,4,8,6,0,0,18,0,6,12,16,5,8,3,0,0,46,0,6,9,7,12,12,6,0,0,45,0,0,7,5,4,4,3,0,0,24,0,3,10,4,6,3,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,10,20,45,34,38,20,14,8,0,190,17,49,132,94,84,81,55,12,0,517
69799,0,3,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,3,3,4,3,0,0,11,0,8,20,16,15,15,7,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,4,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,18,7,4,4,4,0,0,46
7GDAR,103,423,884,694,440,204,70,20,5,2837,10,6,10,15,12,6,3,3,0,75,12,62,213,228,132,111,31,9,4,800,1416,1456,3252,2864,2384,1727,887,459,134,14575,2035,5001,14988,13615,11285,7671,2993,979,222,58796,0,99,386,445,342,229,105,22,9,1635,30,150,513,470,213,130,39,3,0,1543,138,873,3555,2816,2510,1671,800,253,42,12652,37,225,1237,829,656,504,271,101,20,3891,26,80,342,391,279,184,70,12,6,1395,19,373,2030,1439,1078,843,352,111,25,6272,14,125,981,1096,1014,885,456,109,16,4699,156,792,3420,2827,2195,1259,495,98,17,11259,98,505,2071,1768,1450,1078,405,101,14,7501,30,120,496,371,220,154,78,14,7,1488,109,370,1120,734,544,247,103,33,7,3261,21,26,49,26,22,24,14,7,0,180,19,56,262,259,220,112,58,11,0,995,1063,1463,4126,3107,2682,2050,1096,405,148,16142,1756,5240,20607,16580,13428,9369,4339,1286,314,72909
7RNTE,71,199,400,300,231,110,22,6,3,1343,3,3,24,16,5,11,0,0,0,68,4,22,103,118,90,37,12,0,0,392,1185,1112,2242,1995,1477,1032,545,212,82,9876,1514,2696,7970,7413,6303,4287,1417,374,105,32082,4,21,127,119,89,70,35,4,0,470,10,18,111,71,49,44,11,0,0,316,39,277,942,778,846,675,298,69,20,3939,11,75,353,292,258,216,107,32,9,1357,42,137,312,286,234,115,33,11,0,1170,12,128,820,718,679,546,177,54,16,3154,8,62,586,569,621,604,238,60,3,2738,31,195,963,821,776,566,164,30,7,3556,36,194,965,813,775,571,142,33,4,3545,24,51,181,150,109,93,31,9,0,655,79,170,410,263,254,138,51,12,3,1374,3,8,15,14,17,14,10,0,0,96,13,25,117,110,112,62,21,5,0,458,1593,1656,3344,2468,2305,1609,802,263,72,14103,1913,3022,9252,7481,7118,5306,2128,588,132,36936
79499,0,10,20,4,8,0,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,15,5,18,61,48,53,67,35,0,0,293,10,96,268,164,173,252,121,5,0,1089,0,6,3,4,3,0,3,0,0,26,0,0,0,0,0,6,0,0,0,9,0,4,28,22,40,44,35,5,0,181,0,4,15,10,9,13,9,0,0,68,4,3,6,7,9,8,4,0,0,36,0,3,26,16,15,28,7,0,0,97,0,0,22,3,9,24,12,0,0,66,0,11,22,25,26,25,15,0,0,126,0,13,23,20,17,13,10,0,0,96,0,9,12,3,4,0,4,0,0,32,0,3,16,13,0,14,5,0,0,53,10,5,0,0,0,0,0,0,0,21,0,0,0,0,0,3,4,0,0,13,3,73,196,160,192,114,70,10,0,825,19,142,376,290,323,281,179,25,0,1635
79799,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,13,0,12,23,17,13,5,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,16,0,4,24,21,8,4,0,3,0,62
8ACTE,244,947,1849,1545,908,509,270,127,20,6429,22,53,26,21,12,15,10,8,3,171,23,201,684,749,677,470,230,122,45,3202,1920,2258,3460,2831,2469,2046,1714,1628,1108,19433,3163,14646,45265,40076,34897,26626,13429,6443,2621,187168,34,1000,2837,2552,2358,1897,1332,468,184,12666,135,840,3919,4079,2747,1601,470,49,5,13840,63,1017,4135,3952,3616,3070,2259,1140,420,19665,81,700,2318,1791,1459,1143,825,446,138,8908,18,230,819,868,705,515,289,138,36,3618,48,887,4423,3610,3020,2744,1499,791,272,17301,38,512,2788,2986,2532,2705,2141,944,234,14883,254,2912,10619,10209,8188,5521,3125,975,364,42157,292,2863,11023,9341,7505,6222,4192,1338,378,43149,116,866,2783,2153,1481,890,460,172,69,8981,221,838,2215,1675,1119,663,384,142,45,7313,45,64,34,28,25,37,46,40,21,344,30,153,759,886,746,506,346,179,76,3681,1345,2076,4692,3672,3162,2621,2161,1742,1321,22794,2738,14963,53359,47797,38664,30126,19528,8581,3556,219309
89499,0,3,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,8,11,14,11,14,9,0,0,0,75,12,50,119,79,64,45,14,0,3,384,0,0,4,0,0,4,0,0,0,7,0,0,0,6,0,0,0,0,0,6,0,3,13,4,4,8,0,0,0,35,0,0,0,0,0,0,0,0,0,9,0,4,3,0,5,0,0,0,0,10,0,0,6,3,3,0,0,0,0,22,0,0,0,0,4,12,0,0,0,18,5,6,9,9,4,6,0,0,0,38,0,9,12,13,9,4,4,0,0,55,0,0,3,9,0,0,0,0,0,13,0,0,3,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,12,13,11,28,21,19,10,0,0,115,19,40,70,71,53,62,17,0,0,337
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,6,13,10,0,0,0,0,0,35,0,0,0,0,0,6,0,0,0,4,0,0,6,4,9,0,0,0,0,13,60,150,468,161,72,54,18,8,4,987,70,200,619,339,254,155,34,13,4,1686,0,0,14,14,8,7,0,4,0,55,0,0,12,7,8,0,0,0,0,27,8,13,42,61,82,73,42,15,3,335,0,5,13,23,33,42,14,9,0,129,0,4,7,15,10,13,0,0,0,58,0,4,13,23,15,32,17,3,4,118,0,3,28,39,31,22,20,8,3,150,4,11,58,82,70,55,29,9,0,319,9,3,46,40,27,23,15,0,3,163,0,4,6,10,5,3,3,0,0,35,0,9,27,31,19,20,4,0,0,111,0,0,0,0,0,3,0,0,0,7,0,4,3,5,8,4,0,0,0,27,44,69,169,128,140,118,79,41,11,803,65,129,437,476,459,418,233,95,25,2337
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,8,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,6,0,4,7,3,4,0,0,29
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
