GCCSA_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
6GHOB,82402,89488,171884,87328,94930,182260,99180,106333,205506,35515,21094,56610,35031,21148,56177,40042,25104,65150,10883,23338,34216,12094,25093,37187,16710,29853,46560,2796,3251,6047,2378,3145,5521,2976,4035,7007,3429,2466,5900,3931,2856,6785,4199,3620,7818,52620,50149,102769,53432,52241,105671,63929,62618,126541,25920,35528,61448,28824,37325,66157,30854,39154,70007,6.5,4.9,5.7,7.4,5.5,6.4,6.6,5.8,6.2,63.9,56,59.8,61.2,55,58,64.5,58.9,61.6,59.7,53.3,56.4,56.7,52,54.3,60.2,55.5,57.8,3172,2885,6064,4129,4525,8652,8427,9669,18092,1253,2225,3472,1547,2828,4375,2059,3892,5943,9759,12951,22706,10970,14764,25733,15893,19986,35878,5460,6811,12273,6183,8192,14373,7252,9511,16764,18797,8621,27420,19696,10091,29783,21215,12319,33534,875,1750,2623,927,1678,2596,1079,1799,2874,725,1520,2239,1240,2269,3509,1228,1999,3223,20391,11893,32285,21857,14032,35891,23522,16113,39634,82186,87695,169887,83024,88506,171526,95678,101400,197079,14651,15717,30374,14645,15816,30462,17404,18059,35467,55314,59098,114415,57167,60776,117938,63178,67239,130420,35247,38270,73523,36842,40154,76995,44273,46934,91209
6RTAS,111497,117009,228510,115391,121199,236588,126364,131795,258158,46480,23141,69621,43224,22243,65466,48194,26344,74535,12914,29155,42074,13911,30406,44315,17091,34815,51911,4247,4113,8358,3658,3958,7617,4425,4812,9229,5007,3806,8813,5501,3980,9481,4542,3554,8099,68646,60218,128862,66299,60587,126881,74250,69527,143777,37683,51805,89492,41123,52428,93557,44391,54972,99363,7.3,6.3,6.8,8.3,6.6,7.5,6.1,5.1,5.6,61.6,51.5,56.4,57.5,50,53.6,58.8,52.8,55.7,57.1,48.2,52.5,52.7,46.7,49.6,55.2,50.1,52.6,1765,1687,3444,2275,2458,4726,4380,4701,9083,868,1609,2480,1096,2044,3141,1443,2896,4337,7162,11550,18711,7900,13211,21115,10974,17389,28363,5947,8314,14260,6851,10201,17053,8053,11814,19863,28978,12788,41772,30134,14213,44344,33414,19051,52470,1168,2537,3709,1359,2693,4049,1624,3126,4751,931,2077,3015,1790,3313,5103,1665,2886,4545,31080,17407,48491,33283,20220,53499,36697,25064,61763,114235,117589,231817,110213,113515,223728,122399,125749,248149,17572,19216,36788,17186,18609,35797,18843,20139,38978,78333,79547,157882,78938,79825,158762,83330,84263,167590,45007,49225,94237,43479,47242,90715,51119,55077,106199
69499,563,410,972,482,351,836,689,561,1248,116,61,173,86,46,136,101,53,149,45,42,90,49,41,89,53,69,126,16,16,36,15,10,18,22,12,33,70,42,115,59,39,97,81,60,139,255,160,416,207,138,341,249,194,445,208,221,428,161,169,324,242,244,485,27.4,27.5,0,28,27.4,0,31.2,31.3,0,44.8,38.9,0,42.9,38.2,0,36.3,35,0,32.5,28.2,0,30.9,27.8,0,25,24.1,0,17,12,29,11,18,29,12,19,31,0,5,8,0,10,11,3,10,20,39,48,93,34,42,72,24,61,84,20,40,61,21,37,58,27,28,52,100,34,130,92,29,121,109,69,180,11,9,13,8,6,14,9,26,34,11,7,15,6,10,15,10,4,7,119,47,167,109,41,150,135,94,221,119,81,195,110,65,178,178,106,280,358,328,692,282,261,539,362,374,736,61,39,100,88,42,131,102,76,176,391,352,750,285,264,544,416,383,801
69799,84,32,109,52,20,72,13,0,19,53,5,62,37,3,39,10,0,12,7,6,5,3,4,3,0,0,0,7,5,13,3,5,5,0,0,0,4,3,10,0,4,4,0,0,0,64,17,80,39,10,53,10,0,12,3,12,18,5,6,13,0,0,4,6.2,11.1,7.2,0,16.7,3.8,0,0,0,80.2,58.1,74.1,80,60,74.3,73.3,50,70.6,75.3,51.6,68.8,80,50,71.4,73.3,50,70.6,5,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,7,3,8,7,0,0,3,6,4,12,3,0,7,6,0,6,29,3,31,21,4,23,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,31,21,4,23,5,0,5,48,17,66,32,13,46,8,0,9,26,11,39,14,5,17,3,0,3,27,15,40,20,10,30,3,0,8,42,17,58,21,8,35,6,0,5
7GDAR,49945,45260,95208,57822,51479,109301,56309,55301,111611,26702,18697,45396,31137,20767,51905,28961,22136,51101,4442,8341,12788,5325,9484,14812,6841,11686,18528,2677,2184,4862,2424,2217,4641,2358,2645,5004,1316,1040,2354,1881,1584,3466,1655,1477,3131,35137,30259,65396,40766,34058,74821,39816,37943,77762,8937,10623,19558,9749,12101,21857,11155,12770,23923,3.7,3.4,3.6,4.6,4.7,4.6,4.2,3.9,4,70.3,66.9,68.7,70.5,66.2,68.5,70.7,68.6,69.7,67.7,64.6,66.2,67.2,63.1,65.3,67.8,65.9,66.9,1477,1524,3001,2190,2453,4648,3547,4197,7745,656,1260,1909,777,1649,2427,937,2150,3085,4550,6934,11486,6173,9022,15191,7221,10956,18186,3296,3888,7183,4250,4902,9148,4566,5332,9898,12011,4954,16971,14934,6070,21001,13543,6746,20299,561,938,1499,600,827,1431,740,998,1741,424,618,1038,822,1094,1917,747,876,1624,12991,6513,19506,16354,7996,24348,15036,8622,23662,41280,39192,80476,45103,41823,86926,49380,49197,98576,12338,12137,24471,15030,14341,29368,12981,13295,26284,22971,21801,44771,24723,23063,47785,27925,27202,55125,26795,25846,52643,32309,30045,62359,30389,31553,61951
7RNTE,33299,32457,65759,33986,33720,67701,34338,34608,68943,13818,9885,23705,12174,9609,21787,12122,10010,22130,3242,4743,7982,2548,4027,6582,2752,4436,7199,1576,1498,3079,1159,1230,2387,1184,1333,2518,1697,1340,3039,2315,1826,4142,1664,1432,3095,20335,17470,37807,18200,16694,34896,17732,17207,34941,9403,11914,21316,10834,12408,23238,12767,14099,26866,8.4,7.7,8,12.7,10.9,11.9,9.4,8.3,8.9,61.1,53.8,57.5,53.6,49.5,51.5,51.7,49.7,50.7,56,49.7,52.9,46.7,44.1,45.4,46.8,45.6,46.2,565,703,1266,650,953,1607,1013,1423,2434,312,671,978,323,730,1054,305,850,1156,1961,3301,5265,2044,3460,5507,2379,4037,6420,1507,1844,3350,1611,1965,3576,1679,2029,3708,6260,2551,8808,5649,2605,8256,5885,3060,8945,553,766,1317,561,745,1307,555,724,1281,320,390,712,547,615,1158,479,577,1055,7130,3708,10833,6755,3972,10725,6911,4369,11276,33749,33327,67077,32321,32201,64522,32754,32828,65580,7040,7033,14075,6041,6205,12249,6585,7159,13744,23243,23055,46298,23050,23183,46227,22789,23023,45822,13944,13936,27883,12567,12672,25240,13320,14044,27360
79499,948,778,1727,1238,1042,2286,1567,1486,3052,217,159,379,254,145,401,132,121,252,57,49,102,36,60,96,60,73,132,56,44,104,30,39,72,50,63,115,55,38,92,47,29,77,70,58,127,386,294,679,371,282,649,312,320,633,410,390,803,462,426,886,645,605,1251,14.4,13.4,0,12.7,11.4,0,22.5,18.6,0,40.9,37.4,0,29.8,26.9,0,19.8,21.5,0,35,32.4,0,26,23.8,0,15.4,17.5,0,17,23,45,14,29,54,32,50,84,18,14,30,8,23,36,20,34,60,75,132,204,65,119,183,91,166,259,48,68,109,55,72,124,63,85,157,248,88,336,253,69,320,231,92,324,15,15,28,12,14,28,16,14,30,12,8,17,17,30,48,19,23,39,271,105,381,278,117,393,261,125,389,211,137,345,369,271,642,541,431,972,651,600,1251,591,591,1187,721,747,1469,110,64,171,234,161,394,289,235,525,709,644,1352,664,653,1325,779,786,1563
79799,91,16,105,58,14,70,83,11,94,58,11,65,14,5,16,40,6,46,0,0,5,0,0,0,0,0,6,12,0,12,8,0,8,12,0,12,0,0,0,0,0,0,4,0,4,73,11,86,24,3,30,58,3,63,10,3,11,26,0,28,6,4,8,1.4,10,2.4,0,20,3.6,3.6,0,3.3,80.2,58.8,76.9,39,41.7,39.4,65.9,45.5,63.5,79.1,52.9,75,39,33.3,38,63.5,45.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,5,15,6,0,7,8,0,11,5,0,5,6,0,6,25,3,26,17,0,18,16,6,23,3,0,0,0,0,0,6,0,3,0,0,0,3,0,3,6,0,6,28,7,32,19,0,20,25,4,32,57,12,68,41,11,55,42,10,53,18,0,22,3,0,3,15,0,18,36,10,43,37,7,44,21,3,29,40,4,45,7,0,12,35,5,37
8ACTE,142236,148067,290305,156933,165484,322413,181261,189730,370996,77069,54799,131870,79559,57370,136935,92981,70490,163473,17847,33102,50948,20408,36591,56998,26891,44406,71301,5531,7267,12804,4645,6841,11484,5678,7944,13620,3969,3294,7263,5372,4798,10168,5404,4502,9905,104414,98460,202878,109986,105598,215585,130954,127343,258296,31003,43705,74707,37822,50601,88427,42349,55007,97350,3.8,3.3,3.6,4.9,4.5,4.7,4.1,3.5,3.8,73.4,66.5,69.9,70.1,63.8,66.9,72.2,67.1,69.6,70.6,64.3,67.4,66.7,60.9,63.7,69.3,64.7,67,14671,11011,25690,18762,16019,34785,27454,25288,52739,4448,6695,11143,5279,8126,13404,6467,10337,16812,28451,33382,61828,32302,39301,71606,40549,49327,89879,11483,14563,26046,13268,16456,29723,15251,19121,34370,21331,10307,31634,22668,12509,35172,25164,14593,39764,1180,1924,3105,1180,1805,2986,1471,2031,3499,1367,2925,4293,1758,3639,5396,2008,3617,5621,23875,15151,39033,25606,17955,43558,28645,20247,48890,135831,140652,276480,144452,150034,294483,171875,178295,350169,30127,30834,60962,32905,33947,66857,40239,40760,81001,85383,89791,175177,88331,93519,181844,103478,108677,212157,70044,71829,141877,81846,83887,165732,97304,99696,196993
89499,301,271,569,295,208,506,315,249,560,96,78,174,65,62,126,61,49,108,31,44,81,23,35,59,25,54,83,11,9,19,10,6,18,9,6,19,24,28,55,23,12,39,29,21,48,167,163,327,127,116,247,135,129,264,92,94,186,87,65,153,89,88,169,15.7,18.6,0,19.8,13,0,22.6,14.7,0,55.1,59.4,0,44.6,54.2,0,42.5,51.8,0,46.5,48.3,0,35.7,47.2,0,32.9,44.2,0,28,19,46,15,19,40,10,21,36,0,8,15,3,8,11,0,7,10,53,72,121,28,54,76,21,50,69,20,24,39,16,17,32,16,22,36,40,30,62,35,17,52,46,18,68,0,6,5,4,3,8,8,3,10,3,6,14,5,0,5,0,4,6,46,36,81,42,24,64,57,26,78,68,44,113,60,42,97,78,45,120,215,238,445,166,155,317,153,189,348,34,15,50,34,28,64,46,23,68,236,250,480,178,157,337,182,207,383
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,1708,805,2505,2014,1702,3720,2068,1887,3953,556,291,843,879,518,1396,810,534,1347,95,136,231,206,359,566,246,473,719,54,31,81,94,92,189,87,92,178,30,23,44,24,28,51,24,28,53,726,478,1208,1198,1002,2206,1163,1129,2297,917,278,1203,583,497,1085,599,482,1086,3.8,4.2,4,2.1,2.9,2.5,2.1,2.5,2.3,42.8,59.5,48.1,59.6,58.8,59.2,56.4,59.9,58.1,41.1,57,46.2,58.4,57.1,57.8,55.2,58.5,56.7,22,13,30,35,38,78,37,71,101,4,21,31,20,34,55,13,52,71,77,80,157,130,183,324,132,214,348,69,57,127,105,168,270,117,180,299,194,84,280,451,148,604,502,184,685,11,19,36,28,27,59,35,53,84,5,12,12,37,58,99,17,44,59,213,118,327,520,239,759,556,276,834,936,817,1754,1600,1576,3171,1593,1593,3184,204,156,360,295,258,551,322,331,650,649,588,1237,1207,1194,2405,1131,1132,2265,417,324,738,574,538,1111,670,701,1369
99499,5,16,24,23,26,45,6,4,11,9,12,22,0,6,6,3,6,5,0,0,0,0,0,0,4,0,4,0,3,3,0,0,4,0,0,0,0,0,0,3,3,5,0,0,4,9,18,22,11,12,17,5,4,8,0,0,0,4,15,22,0,0,0,0,0,0,33.3,30,0,16.7,33.3,0,87.5,94.1,0,45,35.7,0,66.7,100,0,87.5,94.1,0,30,25,0,55.6,66.7,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,12,0,11,13,0,0,3,0,0,0,0,3,9,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,3,0,0,6,0,0,0,13,9,17,0,0,0,9,15,22,4,22,28,5,6,4,0,0,0,9,6,16,0,0,0,9,19,26,10,22,31,5,6,4
99799,0,0,0,9,0,4,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0
