GCCSA_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
1GSYD,3941,2284,2227,2435,155,20937,38,7,24,61,98,942,9245,10497,9096,10523,10557,315,51398,21,9,15,110,161,1073,5869,6119,4627,4699,3437,510,26655,94,29,82,353,840,5535,13463,9333,4134,5267,8065,483,47670,111,160,712,2100,2271,6965,9411,3972,2058,1828,2624,379,32593,106,78,275,789,898,2510,3236,1234,553,455,422,400,10957,31,12,14,99,137,735,1929,1332,715,691,435,458,6594,14291,3750,4078,15242,35039,34293,29031,8648,4229,4134,4576,3344,160658,178,28,43,204,450,398,383,185,96,138,112,14679,16906,14958,4133,5306,19287,40366,55381,83640,58146,43274,59084,75551,21325,480444,65,14,13,42,56,375,3749,10059,14193,34599,84359,5046,152564,21,18,33,130,219,1598,6278,5124,4401,5688,6653,1102,31271,56,13,20,72,132,1143,12205,16333,19449,32641,52177,3955,138199,32,15,22,74,140,1107,7452,8505,8889,13563,17364,2223,59380,126,36,75,377,887,7306,23290,19700,9236,14889,28584,3335,107839,96,70,390,1512,1794,6214,10961,5578,3556,4202,4488,1515
1RNSW,2435,1275,1100,976,198,16005,105,39,57,272,343,2053,12518,9204,6648,5980,4091,375,41676,25,14,12,90,130,652,2301,1881,1361,1459,1033,280,9242,89,50,127,463,718,4713,8485,4483,1768,1909,2298,431,25546,100,191,607,2061,2877,7234,6489,2077,1016,795,910,351,24714,52,41,95,316,411,1076,1324,555,224,233,226,196,4746,38,20,11,54,82,248,650,401,275,325,259,268,2625,4982,2273,2287,11304,36625,35628,25796,5488,2495,2235,1905,3707,134724,129,28,39,211,572,427,388,106,50,95,51,12775,14871,5836,2808,3344,15421,42722,56328,70776,38650,25045,27240,21843,19124,329142,113,30,42,87,121,560,4225,8664,9756,18675,22500,4359,69120,19,5,25,104,189,1215,4235,2775,2008,2102,1520,728,14911,64,20,45,164,240,1682,15211,16123,15781,20223,15605,3922,89077,21,9,12,43,80,482,3234,3477,3474,4634,3474,1033,19975,55,20,48,172,403,3515,11326,7029,3349,4087,4652,1612,36269,39,21,146,544,776,2763,4467,1798,1032,943,734,904
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,3685,2025,1766,1748,190,22776,44,19,36,149,217,1931,15731,14087,10852,10935,8917,505,63412,14,12,23,109,176,876,3178,2564,1969,2187,1907,519,13531,126,40,95,504,1128,7040,14235,7934,3102,3877,5851,586,44522,148,298,1114,2765,3006,8074,8408,3046,1527,1399,1910,463,32149,72,59,189,424,467,1259,1420,579,268,252,272,302,5550,38,18,9,48,76,257,612,476,323,413,386,399,3043,12595,3419,3474,13670,33619,33553,24749,6388,3271,3105,3303,3707,144870,184,53,44,192,482,413,381,159,103,120,100,14114,16350,13353,4018,5062,18407,40050,58019,83845,57366,44302,56531,56947,21557,459470,124,23,21,94,129,704,6626,14404,17450,35508,64729,5568,145387,43,21,71,276,489,2660,7928,5029,3808,4301,4139,1113,29887,101,32,65,183,321,2574,23949,26407,28857,40682,48513,5619,177319,41,8,26,85,137,944,4923,5247,5402,8029,9431,1647,35921,182,61,173,779,1582,11693,29639,19833,8404,12544,20088,3459,108427,145,124,646,1991,2374,7237,9920,4256,2593,2717,2649,1574
2RVIC,1504,778,613,515,136,9735,46,20,26,154,229,1382,8084,5937,4040,3568,2346,326,26163,19,10,23,66,91,454,1521,1094,792,720,507,170,5470,48,19,61,270,521,2896,4935,2566,864,984,1152,301,14625,47,121,376,1344,1752,4498,3736,1057,498,386,429,254,14497,25,26,55,225,260,748,780,325,124,106,119,151,2948,21,15,11,43,68,195,421,267,191,194,138,177,1729,2804,1248,1288,6431,19524,19928,12612,2393,1079,952,978,2383,71624,90,33,18,116,385,252,238,70,42,46,35,6979,8298,3242,1573,1934,9103,23419,33067,40090,22385,14294,14644,11077,11243,186074,62,21,25,67,74,382,2464,4684,5172,9097,9678,2340,34059,10,5,20,72,103,756,2530,1577,1190,1090,692,490,8534,29,15,34,90,165,1212,10916,10963,9865,11663,8350,2565,55866,10,0,12,32,56,365,2261,2037,1846,2217,1592,591,11009,44,15,34,165,297,2525,7314,3993,1686,2090,2379,1054,21599,16,18,94,314,451,1691,2427,933,527,433,316,484
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1767,992,892,798,67,11119,16,17,16,71,136,1065,9063,7845,5811,5781,4194,222,34243,14,7,14,69,124,707,3074,2411,1781,1836,1305,268,11614,60,27,65,279,516,4040,8340,4670,1751,2016,2841,263,24850,59,100,446,1264,1586,4242,4114,1378,677,601,727,164,15362,49,36,96,299,343,1032,1189,480,203,203,177,144,4247,14,9,14,35,55,235,634,455,307,320,240,207,2522,4179,1497,1720,7049,19614,21303,14520,3208,1505,1414,1433,1599,79035,63,14,21,67,237,211,157,61,42,51,49,9614,10581,4528,1753,2435,9404,23054,35249,49984,33859,24317,29087,26458,12897,253022,41,10,13,42,58,323,3432,8178,10003,20229,31536,3185,77049,11,7,16,88,143,946,3246,2113,1701,2019,1838,444,12584,31,9,8,68,137,1075,10747,12349,13004,18949,20889,2476,79746,17,4,11,30,66,537,3624,3773,3679,5298,5294,960,23297,56,16,54,220,528,4565,13781,8929,3701,5273,8472,1567,47169,33,31,164,637,793,2782,4308,1747,983,1144,1037,653
3RQLD,2073,1108,984,913,184,13924,68,36,37,221,304,1873,11877,8899,5973,5589,3655,420,38950,16,15,24,73,142,689,2715,2036,1469,1476,1021,337,10007,99,38,84,422,761,4754,8501,4417,1505,1824,2275,425,25109,95,191,554,1846,2471,6275,5235,1509,681,623,702,308,20493,50,37,94,314,388,1086,1271,591,198,261,266,252,4803,33,18,10,61,87,306,678,487,341,410,368,374,3172,4827,2093,2291,10296,29605,28173,18788,4083,1820,1698,1774,2947,108405,103,30,34,147,425,357,317,103,55,82,49,16129,17822,5602,2578,3212,13940,35063,47245,61434,36633,23630,25828,20898,21989,298055,103,31,48,108,118,612,4308,8675,9732,17331,18543,4201,63802,16,13,31,100,174,1086,3716,2257,1633,1778,1392,632,12833,49,21,39,120,184,1530,13644,14166,13506,16436,12606,3347,75648,20,7,19,49,81,509,3178,3227,3043,3927,2992,1035,18079,53,32,55,204,439,3945,11943,6975,3070,3811,4459,1625,36623,40,29,156,565,754,2700,4011,1555,845,786,717,767
