GCCSA_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
49499,0,11,3,0,3,0,0,0,0,14,0,6,14,5,19,14,3,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,6,4,4,0,3,0,0,24,0,0,0,0,5,5,9,5,0,25,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,6,13,4,16,17,27,28,7,4,116,12,14,22,20,13,14,3,0,0,100,0,0,0,0,4,0,0,0,0,4,53,108,136,118,147,172,130,47,16,923,5,4,12,3,0,0,0,0,0,24,11,3,11,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,12,0,4,4,0,9,0,0,0,0,16,3,12,5,3,5,5,0,0,0,34,105,194,258,156,143,135,85,6,6,1080
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1297,815,720,682,596,562,376,173,71,5291,829,501,449,738,863,834,787,483,231,5727,736,339,457,496,277,175,90,47,11,2631,1601,1366,1554,1702,2030,1828,1283,718,358,12440,4975,3221,3285,3114,2797,2268,1316,535,135,21659,4125,2863,3080,3739,5484,6296,5550,3324,1364,35831,285,253,224,288,466,534,596,419,144,3197,946,589,648,603,557,472,397,256,101,4568,4732,3658,3150,4122,5503,6604,6428,3862,1685,39752,14652,9515,10583,10027,8667,6621,3917,1577,472,66030,469,321,338,386,418,372,238,144,43,2725,166178,109842,109024,124553,141638,127279,103440,60037,24200,966198,8486,4279,11296,7248,2889,1496,700,230,64,36688,13994,7776,10192,7551,4338,2186,972,320,66,47402,816,557,494,578,738,804,657,337,219,5188,60,43,29,33,29,13,9,0,0,218,2345,1791,4870,1313,460,415,200,77,13,11487,968,921,1489,1448,1482,1039,591,234,88,8253,3376,2754,6386,2791,1973,1469,804,305,101,19958,140321,99155,126776,94175,76074,54184,28619,10993,4102,634404
5RWAU,400,220,172,191,193,158,102,42,15,1491,340,157,201,272,353,361,291,149,52,2180,23,7,27,19,5,11,0,0,0,93,741,411,466,462,660,609,419,195,83,4045,1174,575,587,629,612,486,283,107,30,4488,916,465,571,800,1465,1982,1569,809,267,8846,94,53,86,107,208,277,213,106,31,1177,563,244,295,322,326,287,281,159,61,2538,1837,1004,1119,1673,2519,3377,2940,1652,657,16781,4260,2187,2322,2453,2392,2061,1234,461,123,17483,104,87,77,98,116,110,50,25,4,674,45779,23830,27001,33092,40873,40261,31062,15727,5569,263207,451,102,658,479,195,82,34,10,3,2016,835,338,688,558,361,233,131,53,4,3195,21,17,32,24,33,42,34,3,5,220,229,162,179,119,101,61,32,12,0,894,100,30,187,70,16,10,0,0,0,410,243,146,251,329,351,236,127,45,7,1736,574,334,622,516,463,309,159,52,8,3047,45467,24113,30261,25778,22553,17942,9335,3242,967,179650
59499,0,15,3,3,3,0,0,0,0,23,3,0,0,0,5,6,0,4,0,22,4,0,0,0,0,0,0,0,0,3,0,6,5,3,0,5,4,0,0,32,11,3,10,0,5,8,3,0,0,45,0,4,9,16,7,35,25,4,0,100,0,6,0,0,0,4,0,0,0,12,0,6,0,0,5,0,0,0,0,14,13,0,15,15,20,32,37,9,3,147,6,18,39,15,19,23,19,0,0,142,0,0,0,0,0,4,0,0,0,5,124,168,305,247,303,456,355,56,14,2028,5,4,20,0,0,4,4,0,0,37,5,5,15,10,4,0,0,0,0,45,4,0,0,0,0,4,4,0,0,17,0,0,0,0,5,0,0,0,0,6,0,0,4,0,0,0,0,0,0,4,0,6,5,3,0,4,0,0,0,23,0,6,13,3,3,4,0,0,0,27,176,275,526,298,264,256,130,25,3,1944
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,10,0,0,7,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,47,47,45,23,7,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,14,48,41,27,12,0,0,0,144
6GHOB,166,66,64,70,63,89,65,29,7,621,65,25,30,67,76,103,83,103,57,603,42,22,23,13,17,9,5,0,0,136,106,80,55,81,95,154,115,74,43,824,464,279,235,293,268,256,149,54,15,2017,391,223,292,310,403,554,617,410,191,3393,48,39,38,43,82,97,78,60,21,508,42,44,42,39,52,68,43,30,21,385,418,403,325,474,765,1085,1107,734,338,5650,944,497,542,568,578,531,350,144,58,4226,25,30,17,30,49,73,54,29,16,318,14613,9956,8958,11653,15426,17154,14646,8876,3839,105121,310,295,441,269,152,88,37,22,3,1623,439,295,360,246,113,58,28,14,0,1549,21,7,18,17,25,23,27,0,6,135,12,0,3,3,0,0,0,0,0,22,68,56,176,48,14,13,0,0,0,380,36,114,142,140,130,101,47,15,11,747,114,172,322,196,154,114,56,20,12,1154,21144,14039,15195,12374,10703,8812,5118,1841,778,90008
6RTAS,259,105,110,109,102,115,91,41,18,939,73,39,35,79,102,134,148,83,31,728,13,9,14,16,13,0,0,0,0,65,165,113,98,126,166,252,226,144,74,1376,757,484,364,399,441,427,294,121,13,3301,612,414,378,478,893,1316,1423,871,377,6758,101,77,68,91,136,212,183,102,46,1016,76,54,57,56,72,118,98,54,15,610,1097,840,614,1100,1901,2775,2906,1691,744,13666,1952,1115,950,1012,1202,1077,789,349,99,8544,41,41,25,28,45,62,60,41,11,353,19311,13347,10859,14789,22278,26000,23519,12997,4949,148050,189,122,248,141,113,61,33,9,5,922,310,171,181,147,83,40,16,4,0,949,15,4,7,15,16,29,17,10,0,110,18,9,6,4,8,6,0,0,0,52,19,8,50,9,9,0,4,0,0,104,128,123,162,185,212,141,88,32,7,1068,162,143,209,201,227,149,95,34,11,1220,25010,15923,14740,13349,13269,11605,7495,2541,686,104622
69499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,10,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,3,0,0,22,11,4,0,3,0,0,4,0,0,28,0,0,0,0,0,0,0,0,0,0,21,42,44,44,51,47,39,9,4,303,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,46,77,83,62,38,39,27,4,0,370
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,4,8,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,12,0,0,0,0,32
7GDAR,72,43,42,39,54,27,14,3,0,308,210,97,118,139,147,136,99,43,16,996,40,7,26,23,12,5,0,0,0,108,118,84,103,120,112,80,50,24,0,693,408,206,257,263,191,113,57,21,6,1515,152,98,197,211,305,389,285,82,13,1739,47,19,22,42,47,28,18,16,4,235,98,49,52,65,43,29,26,7,5,376,720,468,486,620,746,761,423,147,44,4416,757,433,532,499,383,285,129,26,13,3068,7,10,7,9,15,10,8,3,0,70,11845,6992,9782,9763,9295,7365,4335,1565,401,61345,595,341,1148,574,171,116,34,18,5,3003,459,270,568,367,184,103,50,10,0,2021,3,8,15,7,15,20,7,0,0,79,24,19,11,12,10,10,6,0,0,91,100,43,204,57,10,12,10,4,0,441,37,51,89,78,93,64,23,17,8,465,165,116,312,148,111,89,37,22,8,999,10392,6478,9900,6925,5668,3844,1721,431,98,45458
7RNTE,85,45,43,39,32,27,11,3,0,298,1341,798,748,664,622,455,237,100,24,4984,26,0,8,15,3,5,0,0,0,55,540,352,308,185,243,138,68,22,6,1861,359,165,185,189,182,126,36,15,8,1265,76,32,56,78,164,185,140,42,8,768,3,9,14,7,34,20,12,7,0,100,62,25,35,42,39,26,15,3,0,241,2249,1447,1338,1125,1063,768,324,109,30,8441,573,301,349,320,242,188,72,27,4,2092,13,0,9,10,16,14,0,0,0,69,11617,6852,7260,6354,6394,4952,2359,807,182,46780,123,26,221,112,41,12,4,0,0,549,75,23,85,56,32,15,3,0,0,289,8,3,7,3,3,4,0,0,0,38,924,584,518,375,316,170,85,34,6,3010,49,4,88,38,3,0,0,0,0,189,33,24,39,52,37,37,13,0,5,226,999,613,646,464,357,204,103,36,9,3432,5457,3238,4296,3085,2801,1967,800,192,46,21864
79499,0,6,0,0,0,0,0,0,0,7,0,0,6,0,5,9,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,13,7,0,5,5,7,4,4,0,0,22,0,0,0,0,3,15,16,0,0,44,3,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,3,7,10,13,35,29,21,0,0,119,0,0,3,5,9,9,5,0,0,35,0,0,0,0,3,0,0,0,0,3,54,58,114,151,204,226,153,16,0,965,0,0,5,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,13,0,0,4,0,4,6,0,0,0,13,88,81,157,113,100,113,65,11,0,719
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,14
8ACTE,188,121,125,114,89,53,41,22,5,773,239,173,201,270,347,360,337,213,116,2251,199,45,134,138,53,44,10,7,0,628,444,312,383,352,335,232,132,74,41,2307,978,606,688,609,492,377,195,58,13,4019,736,585,677,846,1123,1233,1133,662,357,7352,121,70,60,87,83,90,82,52,18,664,170,81,142,117,64,62,27,21,8,686,1225,829,981,1240,1470,1471,1294,714,372,9597,1895,1204,1370,1370,1158,1029,618,206,76,8929,47,31,39,48,56,81,65,33,18,419,32242,21118,22243,24718,25847,22151,17832,9818,4152,180121,2464,896,2670,2389,822,564,269,106,28,10208,2926,1270,2211,1834,860,436,235,64,17,9864,116,69,114,87,69,75,72,35,9,643,14,13,8,11,11,7,6,0,0,65,505,217,790,337,146,66,57,15,8,2140,123,181,299,302,258,180,104,37,13,1500,647,416,1096,648,412,249,160,58,14,3700,28977,25593,29215,21660,16808,12918,7541,2534,879,146125
89499,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,8,0,0,7,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,26,29,27,26,27,11,5,3,174,0,3,0,0,0,0,0,0,0,3,4,3,3,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,6,0,0,0,8,4,48,50,31,19,21,6,0,0,192
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,5,6,0,0,19,9,3,3,5,0,0,0,0,0,18,7,0,3,5,11,12,10,5,0,61,0,0,0,0,0,0,0,0,0,6,6,0,4,7,8,13,4,9,0,54,34,12,10,33,28,23,36,14,0,196,19,11,10,18,12,13,0,6,0,85,0,0,0,0,3,0,0,0,0,3,280,99,119,233,263,268,200,98,38,1601,3,0,0,4,4,0,0,0,0,11,186,95,114,84,96,95,63,27,3,763,0,0,0,0,0,0,3,0,0,4,3,4,3,3,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,17,3,8,10,7,5,6,3,0,0,47,230,101,129,144,147,125,61,19,4,959
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,3,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,22
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
