GCCSA_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1085,3389,5264,2012,745,857,659,15839,260,367,328,268,156,287,583,570,211,99,221,980,4330,4209,6942,9266,9181,7767,16320,39955,45003,14454,5055,6535,5722,170400,51,57,245,192,114,253,659,978,456,171,165,343,3683,86,70,190,130,59,109,196,313,128,41,38,111,1476,461,368,1010,529,230,364,732,748,247,51,52,271,5077,179,392,2419,838,362,577,1038,907,193,56,62,292,7307,167,366,2875,1390,646,1009,1884,1703,363,82,62,350,10912,91,105,744,1003,518,1044,2656,2533,550,111,102,231,9682,73,110,592,1178,648,1191,2954,3486,730,172,131,287,11559,63,68,372,521,604,1220,3620,4533,1085,231,191,275,12774,54,53,316,525,488,1240,4103,6394,1776,374,283,335,15942,55,26,174,340,277,824,3281,6410,1889,377,299,264,14199,41,30,199,324,342,989,4145,10013,3869,915,620,345,21830,29,21,150,222,219,597,2604,8414,4365,1311,836,299,19076,21,11,89,103,102,215,919,3860,2789,837
5RWAU,532,861,645,161,74,219,383,4943,210,148,228,153,81,125,111,62,27,17,72,453,1690,6214,3430,7860,6891,4118,6506,8057,4726,1270,618,2377,4275,56349,40,22,78,61,38,59,108,83,17,10,12,87,615,39,38,80,70,24,39,51,39,14,6,12,55,461,244,127,374,283,125,140,124,85,11,4,15,104,1646,142,180,796,415,171,226,240,126,11,5,13,108,2422,242,230,1011,699,324,423,435,190,21,8,28,173,3783,150,92,375,537,326,540,669,305,39,9,28,124,3191,192,128,455,688,358,647,872,436,59,11,39,167,4055,187,99,356,457,367,615,882,530,78,13,39,206,3821,181,106,393,399,385,626,1083,808,129,32,54,208,4417,158,82,292,391,311,542,1029,817,150,33,70,194,4076,285,126,427,526,470,831,1535,1520,350,115,141,414,6735,583,110,387,458,367,609,1062,1364,452,146,229,418,6193,184,48,183,206,176,268,491,815,310,103
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,220,334,240,94,23,22,43,1350,37,116,77,78,47,50,60,25,3,3,9,121,630,614,1950,2305,2917,1980,3917,4629,2369,601,177,206,660,22342,8,8,31,46,31,62,66,46,23,11,10,41,386,25,16,42,32,17,30,25,18,13,0,6,12,246,148,84,195,145,84,123,106,26,14,6,0,44,976,29,223,458,308,145,180,135,42,8,4,3,61,1599,35,257,568,495,272,406,296,97,16,7,7,59,2509,30,28,217,380,263,460,469,145,20,13,10,54,2090,28,44,188,399,261,514,580,193,26,12,8,37,2288,14,31,95,254,265,537,746,247,33,3,7,36,2261,8,13,83,188,244,532,850,341,67,13,7,31,2383,9,9,52,134,129,423,710,380,51,17,11,33,1956,21,9,43,103,121,385,825,625,141,29,12,42,2350,8,0,27,54,39,169,471,479,162,32,12,22,1476,3,0,11,9,25,49,173,258,78,17
6RTAS,296,247,76,12,3,5,72,1456,49,144,130,127,69,76,31,14,6,0,8,216,872,1415,2510,4261,6120,3507,4621,2758,648,130,39,147,1061,27209,14,18,44,61,51,52,48,29,3,0,4,38,351,30,20,50,62,29,25,24,15,3,0,3,22,282,192,143,345,342,160,155,66,9,3,3,3,72,1492,53,220,545,631,261,224,106,20,4,0,12,72,2139,113,304,840,947,527,553,213,48,13,0,7,110,3681,54,52,338,760,548,657,320,48,9,5,5,83,2876,55,76,307,769,631,848,448,67,11,3,3,67,3296,47,42,242,520,507,762,471,84,5,3,7,77,2771,53,20,187,384,462,828,580,114,17,5,6,61,2718,41,20,107,219,313,563,556,115,21,8,3,47,2011,44,15,92,221,266,578,645,201,16,7,12,68,2153,50,16,62,97,128,296,378,165,26,5,9,40,1266,12,0,25,31,46,81,142,78,14,5
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,105,166,336,337,209,199,89,1747,55,21,18,24,7,15,35,41,33,16,18,89,381,977,442,724,942,954,1028,1881,3280,2759,1392,1217,724,16311,17,10,13,13,3,0,11,26,7,14,12,30,160,7,4,10,6,0,0,3,11,14,0,3,8,76,67,61,36,13,9,8,9,16,10,5,3,14,253,154,156,72,27,14,26,20,33,11,5,4,18,541,126,121,109,50,18,21,55,36,26,12,4,28,605,22,35,89,56,29,34,51,80,28,18,11,32,490,39,24,109,74,24,44,96,112,72,26,18,26,661,19,19,47,48,34,72,145,204,109,42,32,30,810,13,14,43,50,46,90,219,317,208,91,55,41,1191,3,9,24,25,48,112,186,362,235,124,84,46,1254,8,11,22,30,49,232,265,674,570,268,191,82,2393,8,0,22,16,32,217,228,636,750,411,297,118,2744,3,0,6,14,21,148,113,300,432,265
