GCCSA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
1GSYD,139,7495,21564,19620,17033,14199,9725,4529,1112,95417,480,11818,38637,53318,24961,12079,4127,704,53,146184,1084,12387,64764,64217,58347,60101,42446,23421,7392,334155,1514,11155,32639,28480,25326,18424,11430,6014,1860,136838,267,1865,6535,6344,5802,4815,2654,1180,332,29799,1300,15880,64446,49540,40598,35032,23819,11382,4049,246062,464,7331,38341,34773,32878,30122,27704,12134,3408,187160,2609,35235,167315,181113,134656,91096,53623,20621,5638,691910,1853,21513,81860,76693,65998,49198,30853,11535,2689,342203,1522,13706,42816,32813,20822,12425,6764,2749,867,134485,2340,9642,28438,26966,20316,12457,7227,3218,754,111361,265,678,816,510,470,611,563,420,395,4711,376,2343,8630,10079,8846,6343,4133,1930,743,43425,14845,22968,62938,53760,40178,33539,28952,26065,21089,304325,29067,174010,659742,638236,496236,380433,254013,125906,50387,2808034
1RNSW,35,1395,5121,5232,5309,4986,4749,2018,411,29254,194,1497,5503,5841,3983,3391,2115,481,43,23054,1329,8637,33836,32386,35219,41231,36049,18598,4986,212268,1051,5932,16351,14954,14675,15136,11675,5564,1578,86925,640,2492,7602,8395,9092,8161,5444,2400,539,44755,1026,7489,30415,27278,26559,29613,21968,9148,2708,156206,392,3950,19358,21922,21720,23071,24022,9420,2371,126221,1839,9896,38847,45108,46045,42125,29997,11710,2824,228399,1528,9143,29322,30972,31721,29020,19419,6213,1240,158578,594,3325,9477,8936,6969,5620,4190,1749,457,41299,1899,6638,17474,15567,13498,9768,6516,2707,618,74686,166,316,343,189,179,193,194,127,80,1806,217,808,2569,3152,3610,3214,2417,1085,353,17425,13465,13278,29960,28792,28724,29549,29836,25877,15848,215324,24381,74791,246180,248741,247304,245062,198584,97093,34057,1416203
19499,0,3,46,24,17,17,6,5,0,120,0,13,37,27,13,17,11,0,0,119,0,22,130,93,81,129,107,25,3,602,0,16,75,36,38,49,32,4,0,256,4,8,27,17,24,24,13,9,0,126,4,13,97,71,83,66,43,12,0,395,0,7,39,27,40,48,41,10,0,217,5,40,170,141,131,132,74,23,0,714,3,29,144,95,92,114,66,4,0,551,9,32,88,49,26,26,17,3,0,245,7,28,82,49,48,38,25,0,0,265,0,0,3,0,0,0,0,0,0,8,0,3,17,19,11,19,13,0,0,80,184,279,780,809,676,484,226,71,21,3539,221,494,1736,1449,1281,1165,680,173,28,7237
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,149,10690,24130,21096,17143,12776,8499,3765,890,99145,352,8732,39619,49378,22219,10747,3958,559,50,135619,1407,14004,67306,64306,56947,53272,38263,20995,6733,323231,1488,10852,38691,29335,23466,16270,9744,5213,1544,136602,378,2319,7771,7486,6215,4399,2187,887,257,31896,994,16944,72671,54585,41698,33106,22269,10286,3777,256326,447,7099,39588,36994,34227,31952,28009,12690,3091,194097,1481,28249,135021,148146,108203,68445,37821,14192,4183,545742,2151,20313,79100,73745,62855,46117,28698,10079,2243,325299,1443,14091,43192,31190,18031,10037,5423,2373,746,126521,1915,10012,33117,29996,19668,12493,7057,3160,820,118230,230,656,734,499,339,332,360,197,76,3418,250,2878,10177,12215,9917,6535,4144,1815,620,48545,13212,20112,55753,45716,35746,28904,25699,23034,16237,264416,25901,166952,646864,604695,456686,335381,222124,109242,41262,2609096
2RVIC,16,1050,2873,3189,3110,2580,2295,854,162,16133,90,785,3069,3452,2110,1685,1048,211,17,12464,729,4797,17292,16344,18333,20247,17890,8523,2161,106315,634,3249,11805,9382,8115,7731,5569,2575,747,49797,449,1715,5322,6260,6178,5552,3224,1281,325,30303,521,4661,19439,16583,15408,17173,13019,5247,1565,93604,194,2302,11901,12850,12200,12973,14984,6742,1314,75456,516,3971,18347,23368,21723,18053,12114,4066,915,103084,869,4976,17216,17323,18476,17249,11810,3287,543,91753,367,1920,5429,5223,3830,2920,2321,821,244,23079,808,3303,10637,9089,7298,5533,3660,1536,323,42191,52,136,250,134,115,102,88,41,14,934,73,412,1687,2314,2442,2069,1552,652,226,11431,7209,6396,14920,14829,15642,16721,18006,15092,8978,117792,12519,39654,140190,140350,134980,130592,107587,50925,17533,774334
29499,0,3,25,12,25,7,5,0,0,78,0,7,36,30,17,10,0,0,0,93,3,23,109,79,80,61,49,22,0,409,6,15,41,40,34,26,21,0,0,177,0,8,26,16,23,9,6,0,0,86,0,24,94,58,41,44,22,0,0,280,0,4,30,28,27,36,19,9,0,151,3,32,136,109,73,69,38,0,0,467,6,30,132,75,61,66,27,5,0,400,0,15,50,45,16,18,9,0,0,153,6,19,59,57,25,25,14,7,0,205,0,4,0,4,0,0,0,0,0,11,5,6,23,11,11,12,4,0,0,72,177,219,709,887,664,409,201,39,15,3334,211,400,1458,1448,1099,779,411,85,18,5907
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,15,4,0,0,40
3GBRI,312,3512,8878,9056,7216,5001,3595,1458,320,39341,479,3367,11729,14814,8918,4328,1527,274,17,45447,2547,8862,34768,36006,32478,29959,22364,11281,2987,181260,1294,4484,16108,14611,12338,9571,6927,3478,878,69690,353,1296,3763,4315,3886,2822,1548,693,155,18843,1941,9773,34963,29763,25280,20336,12820,5877,1717,142480,411,3317,16035,19928,20518,16877,13789,6020,1302,98192,5189,17285,59862,68252,55936,36393,19790,6580,1496,270772,3752,13612,38290,37355,32236,22918,14216,4703,873,167947,1488,7336,15992,11761,7589,4269,2372,1005,332,52141,3172,7807,17330,14125,10793,6486,3828,1536,310,65387,515,498,485,265,188,157,183,109,59,2456,444,1123,3385,4292,3886,2681,1705,751,279,18537,8442,11708,27426,23444,19296,15216,13543,11479,7923,138480,30334,93979,289009,287970,240561,177025,118202,55239,18647,1310969
3RQLD,224,1677,4666,4898,4557,3712,3042,1328,255,24359,294,1382,4543,5169,3639,2421,1405,294,28,19184,2863,9378,33738,34042,34793,36066,29306,14374,3308,197857,1106,3859,15121,15148,15046,13906,10783,4860,1111,80942,682,2081,5153,6318,6516,5279,2898,1253,252,30425,1444,8256,30471,27244,25941,24642,15955,6692,1883,142527,446,3492,15284,21133,22147,19843,16414,6658,1357,106771,5269,11688,39136,45553,42926,33993,21040,7486,1548,208643,3438,9819,26865,28246,28560,24063,14671,4565,715,140944,921,3409,8509,7495,5573,3887,2788,1208,322,34120,3476,7962,18485,16509,14679,10035,6349,2431,444,80384,470,313,303,202,169,191,176,97,30,1955,507,900,2696,3340,3545,2930,1931,962,267,17074,13188,15263,35182,32112,32086,29267,24997,19937,11151,213195,34329,79477,240161,247414,240162,210236,151773,72154,22678,1298385
