GCCSA_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
49499,1777,1291,3067,1738,1127,2862,1873,1506,3377,69,68,134,46,42,89,77,56,140,84,83,164,57,68,125,128,139,262,76,67,145,94,75,170,74,112,186,149,133,283,165,102,262,108,95,206,350,236,589,350,206,556,320,305,627,308,172,476,280,143,423,289,245,534,266,188,460,285,194,477,299,178,478,264,165,428,237,166,403,311,197,513,140,87,225,174,101,270,214,141,359,38,44,84,40,20,59,40,26,64,36,43,71,10,13,25,7,10,11,0,0,0,0,0,0,0,0,0,85,73,153,131,112,248,199,180,376,0,0,0,3,0,3,0,0,0,3,5,7,4,0,4,7,3,6,91,77,163,137,112,248,203,180,384,1170,832,1999,1138,752,1886,1248,1010,2262,382,287,667,364,238,603,282,249,530,1284,940,2226,1162,772,1934,1230,1034,2261,185,151,336,194,152,347,148,167,314,1274,924,2197,1157,790,1943,1267,1065,2335
49799,4,0,4,6,0,8,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,39,14,5,21,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,8,0,8,3,0,3,0,0,0,3,0,3,0,0,0,8,0,8,0,0,0,5,0,6,0,0,0
5GPER,858304,870565,1728868,963540,980320,1943861,1045169,1071480,2116647,59082,55737,114820,65037,61673,126714,66701,62896,129598,111624,105967,217587,125109,118503,243613,139523,132116,271642,60289,57461,117747,61397,58736,120131,63138,60176,123315,66020,63159,129178,68350,65082,133428,67284,65344,132631,128471,125254,253731,153195,153485,306682,149264,154640,303907,124363,127057,251416,135474,137136,272611,151848,155066,306917,115467,119536,235005,128061,130636,258692,135822,138742,274565,94719,98458,193178,103145,109822,212967,117039,123146,240188,57480,60176,117660,73986,78381,152366,90651,99302,189951,31094,39194,70292,37102,44901,82006,48100,55001,103099,9692,18558,28249,12676,21971,34648,15791,25048,40831,8926,9597,18518,10024,13843,23869,2777,2614,5399,12850,13069,25917,14973,14847,29825,20222,19845,40061,348,319,667,394,336,730,528,440,970,264,253,518,335,333,667,550,500,1054,13462,13643,27104,15703,15517,31216,21295,20787,42083,510286,522762,1033044,553137,560147,1113293,625249,633260,1258510,293942,301435,595377,345028,357513,702540,366641,394410,761054,665444,680255,1345695,709051,719770,1428826,775235,790789,1566027,139694,148503,288199,188964,201997,390965,209358,232845,442202,679376,704230,1383616,750316,770917,1521231,864391,892353,1756740
5RWAU,263211,239384,502593,270941,253227,524170,272586,262218,534804,18645,17532,36179,18035,16819,34855,16402,15458,31859,36278,34595,70871,36347,34760,71103,36983,34933,71916,16052,14169,30226,15631,14084,29712,15418,14251,29670,15799,13384,29176,13934,12443,26381,13513,12084,25595,36430,32247,68674,36862,34194,71056,33781,33035,66822,39840,35742,75594,37316,34082,71401,35786,35076,70860,39582,34473,74053,39332,35865,75202,36989,35283,72266,31841,28035,59876,35233,32815,68052,36850,35206,72050,17964,16306,34265,24384,22271,46658,29161,27493,56655,8544,9179,17725,10701,11299,21993,13867,14003,27867,2222,3726,5951,3155,4598,7749,3843,5399,9237,3134,2792,5926,3466,3452,6917,1198,785,1988,19975,20730,40711,21139,21397,42533,21745,21726,43471,346,280,624,365,327,691,343,301,643,363,401,768,473,476,947,502,489,992,20691,21411,42102,21975,22199,44170,22598,22510,45110,192785,181217,374002,193395,182466,375860,196061,189302,385366,45602,41123,86725,47572,45924,93498,46121,48887,95015,218665,205942,424608,219405,208686,428090,218211,214225,432431,18322,17798,36115,21777,21954,43734,22253,24032,46286,213918,203473,417392,219598,209986,429589,223022,219657,442673
59499,4282,3010,7294,3535,2417,5950,4639,3416,8055,126,132,259,81,79,163,149,153,300,183,163,343,119,117,236,244,230,473,121,106,232,87,65,153,118,147,261,335,278,614,257,245,503,295,256,562,916,631,1544,773,536,1310,822,692,1512,731,414,1146,604,304,910,926,613,1543,680,415,1091,639,324,961,842,468,1313,722,613,1339,535,437,978,667,477,1144,387,220,608,376,254,636,444,316,758,67,33,93,57,38,95,118,38,155,6,12,16,9,12,22,14,16,30,0,0,0,0,0,0,0,0,0,243,184,429,323,238,562,786,677,1464,6,7,13,7,3,15,11,0,11,10,0,18,10,3,11,13,5,19,261,195,457,342,244,587,819,683,1495,2433,1803,4238,2137,1377,3512,2708,2061,4775,1323,958,2285,851,636,1484,775,656,1431,3048,2285,5334,2255,1559,3820,2185,1896,4079,381,320,703,308,274,586,243,244,486,2641,2011,4654,2135,1447,3580,2120,1823,3943
59799,377,34,415,405,27,431,455,58,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,3,6,33,8,38,16,0,23,25,11,31,139,9,152,124,6,124,99,14,116,102,5,105,119,3,123,157,11,170,69,6,69,95,6,104,103,9,109,31,0,30,40,4,44,55,3,62,4,4,6,7,0,7,14,4,18,3,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,431,31,459,358,105,464,143,16,164,5,0,5,5,0,5,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,0,11,7,3,9,212,22,235,182,13,191,131,24,151,108,7,113,162,6,167,132,14,148,284,23,311,289,18,307,206,29,232,35,5,36,48,3,56,60,4,66,260,26,287,249,17,270,189,29,216
6GHOB,102882,108775,211657,107929,114421,222356,120521,126562,247086,6948,6622,13565,6660,6337,12998,6632,6216,12856,13532,12669,26201,13938,13163,27092,14715,14013,28727,7017,6767,13781,6881,6684,13566,6871,6453,13323,7326,7223,14548,7087,6953,14046,7479,7341,14817,12696,13305,25998,13944,14539,28483,19920,19834,39761,13439,14614,28053,13174,14410,27581,15407,16250,31656,14410,15587,29993,14284,15315,29599,14213,15439,29653,13120,13871,26989,14080,15355,29439,14272,15666,29934,8236,8997,17232,10584,11603,22182,12337,13805,26145,4644,6091,10735,5393,6699,12094,6566,8028,14594,1516,3040,4551,1906,3369,5274,2116,3516,5631,482,612,1092,684,918,1603,332,172,502,2977,3134,6112,3811,3900,7714,5026,5167,10188,240,256,498,236,217,452,252,251,507,145,146,290,179,192,366,251,273,525,3358,3535,6896,4225,4309,8535,5530,5690,11216,84240,89524,173768,86309,91179,177486,92113,97107,189218,13658,14300,27953,14735,15936,30666,22909,23785,46696,91733,97624,189353,93338,99044,192377,98971,105054,204029,6541,7078,13617,7983,9012,16992,15677,16015,31693,92218,98586,190808,95077,101546,196627,101674,108437,210112
6RTAS,139097,143409,282508,140980,145647,286626,152471,156617,309087,9048,8529,17570,7851,7576,15432,7871,7515,15385,18552,17873,36429,17730,16872,34602,18231,17308,35543,9777,9021,18803,9048,8399,17447,8613,8039,16655,7533,7383,14914,8140,7579,15722,8257,7822,16081,13897,15159,29051,14259,15079,29342,18305,18362,36669,17561,19055,36615,15333,16766,32092,16385,17708,34094,20320,21073,41388,19526,20773,40302,18985,20349,39338,19723,19935,39661,20927,21669,42593,21995,23258,45251,13804,13646,27444,17444,17661,35105,20225,20461,40695,6880,8051,14937,8277,9223,17502,10656,11369,22020,1998,3700,5692,2443,4048,6490,2948,4415,7361,513,556,1071,664,658,1314,323,207,529,5681,5872,11549,6735,7063,13801,8464,8946,17406,328,346,676,346,321,664,341,377,717,197,228,424,240,281,518,341,360,698,6205,6442,12648,7318,7661,14983,9138,9682,18821,117687,121911,239599,114815,118477,233298,123305,127308,250612,14536,14950,29486,14849,15561,30414,19099,19706,38805,129711,134091,263803,126587,130705,257298,135155,139698,274855,3970,4478,8451,4867,5354,10225,8359,8567,16917,127102,131681,258785,126061,130448,256505,135538,140507,276048
69499,612,460,1075,518,393,911,758,616,1377,25,20,42,21,15,39,21,19,42,31,30,57,19,25,35,50,36,92,45,56,96,31,30,62,43,48,95,54,47,105,61,33,91,71,53,119,133,72,207,121,64,182,135,92,228,105,56,164,93,56,145,99,97,198,88,64,153,78,63,138,130,78,203,90,74,157,53,56,110,104,98,199,42,33,73,45,43,85,90,72,163,8,12,20,7,8,15,18,13,31,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,58,17,73,33,21,51,86,55,143,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,3,5,56,15,76,32,21,54,93,64,150,473,351,820,381,282,658,551,428,973,97,83,184,70,67,142,76,82,161,474,387,856,375,303,678,525,459,978,43,42,78,30,32,65,33,41,74,446,373,817,364,299,665,521,463,985
69799,84,34,115,52,19,75,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,10,6,5,7,0,0,0,15,7,21,18,3,21,4,0,4,16,10,21,11,0,11,7,0,4,19,0,24,10,0,15,7,0,7,13,5,20,7,8,9,0,0,0,5,3,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,26,31,11,42,8,0,13,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,0,0,0,0,0,0,52,32,83,31,18,51,9,0,6,23,4,22,17,0,22,0,0,6,68,31,98,36,23,58,12,0,11,3,0,7,13,0,13,0,0,0,66,34,92,38,17,55,9,0,6
7GDAR,62898,57684,120586,71889,64941,136831,70739,69161,139902,4618,4286,8906,5133,5017,10155,4900,4653,9555,8334,8142,16476,8929,8442,17373,9532,9209,18738,4335,3692,8023,4040,3559,7600,3914,3735,7651,5298,4167,9459,5204,4352,9552,4903,4144,9046,10803,10256,21055,14051,12811,26862,12750,13199,25950,9968,9576,19544,11472,10312,21785,10821,11286,22108,8748,8254,17003,10093,8859,18952,9359,9043,18400,6723,5763,12486,7438,6608,14044,7494,7139,14637,2968,2402,5364,4024,3389,7411,4858,4513,9374,945,889,1835,1242,1224,2467,1830,1776,3608,167,261,426,269,358,630,370,465,833,1214,1287,2503,3048,1791,4841,2077,552,2629,4897,4879,9774,5448,5081,10533,6323,6315,12638,259,225,481,274,230,509,273,227,499,417,431,844,465,459,922,703,697,1400,5571,5529,11101,6191,5774,11959,7299,7243,14539,42406,38933,81344,45392,40447,85838,45999,43262,89266,13109,13026,26133,17484,17495,34977,18462,20422,38891,45317,42303,87622,48747,44198,92940,47425,45853,93277,9246,9752,18999,13637,14077,27713,15635,17339,32976,48947,46129,95070,53998,49723,103723,54925,53895,108818
7RNTE,45508,43871,89372,45291,44156,89446,44877,44220,89103,4184,3968,8155,3823,3570,7397,3457,3048,6503,8022,7442,15466,7482,6866,14344,7089,6568,13655,3505,3253,6757,3420,3025,6439,3375,3057,6424,3605,3619,7220,3548,3353,6903,3326,3225,6550,7524,7571,15100,7698,7990,15686,7872,8392,16263,6633,6728,13363,6144,6286,12430,6512,6607,13120,5741,5539,11286,5877,6005,11888,5358,5597,10954,4139,3680,7821,4440,4368,8806,4487,4514,8995,1618,1354,2973,2117,1854,3970,2507,2299,4809,453,529,982,627,640,1267,780,722,1499,87,176,267,119,191,309,123,198,326,1662,1882,3552,1982,2086,4067,348,217,562,21946,22723,44665,22062,22537,44597,22036,22633,44669,105,82,186,112,112,222,95,82,179,329,353,689,369,393,764,217,227,445,22381,23156,45539,22549,23040,45588,22342,22948,45289,38238,37211,75448,35527,34765,70297,35160,34987,70155,4259,4295,8559,4911,5059,9974,5595,5739,11338,22788,21101,43893,19716,18591,38305,19445,18864,38314,18113,19354,37466,19154,20191,39349,20329,21465,41795,39530,39023,78552,37388,37093,74477,36964,37477,74436
79499,1020,852,1870,1334,1155,2485,1826,1675,3500,29,36,59,44,39,79,89,69,164,39,43,84,48,75,125,166,122,285,14,23,32,21,13,31,30,64,95,65,74,143,103,87,188,84,99,183,201,166,365,220,240,460,292,364,661,142,89,231,216,179,393,305,268,573,130,137,274,256,204,458,311,280,591,241,201,441,228,214,438,300,279,579,139,80,223,172,104,281,205,114,318,15,9,24,24,11,33,33,17,49,0,0,4,0,0,0,6,4,7,0,0,0,0,0,0,0,0,0,80,55,130,381,298,684,637,606,1247,0,0,4,3,3,6,14,8,18,4,0,4,7,3,10,8,3,7,80,53,130,391,305,701,658,617,1276,637,529,1171,752,633,1383,1102,1001,2106,229,225,454,193,209,401,243,250,492,760,667,1426,721,641,1367,861,745,1605,113,91,196,235,218,454,253,298,551,754,620,1377,945,808,1756,1180,1078,2256
79799,91,16,105,58,12,73,83,15,99,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,0,4,0,0,0,4,0,4,15,0,16,4,0,4,6,3,6,29,8,38,22,6,26,16,4,23,19,0,17,17,0,19,22,0,22,17,0,13,9,0,11,18,3,19,11,4,11,4,0,4,17,0,17,4,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,84,30,107,64,17,75,12,7,17,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,9,59,8,68,8,5,16,45,8,56,26,6,29,48,6,50,23,0,22,66,14,77,17,8,28,53,5,63,11,0,19,38,0,41,10,0,11,64,15,81,12,5,16,48,8,61
8ACTE,176418,180171,356591,195430,201426,396853,224022,229869,453890,12373,11442,23814,13892,12893,26785,13746,12907,26660,21806,20659,42470,24609,23050,47659,29005,27230,56236,12328,11607,23937,12350,12122,24472,13386,12899,26286,15600,15068,30662,15824,15525,31354,17042,17132,34174,28917,29177,58092,32373,33639,66008,38637,38992,77634,26088,26733,52819,28875,29423,58299,34275,35006,69285,23237,24687,47930,24960,25958,50916,27785,28342,56126,18805,19912,38722,19864,21563,41426,21866,23462,45328,10412,11241,21644,13928,15499,29427,16625,19022,35639,5194,6469,11663,6438,7915,14357,8781,10556,19340,1655,3172,4825,2319,3836,6157,2868,4315,7180,1740,1914,3659,2095,2779,4872,553,597,1151,2464,2364,4830,3074,3035,6111,4265,4121,8383,98,86,190,90,96,179,120,107,229,74,58,139,92,89,182,137,159,298,2639,2514,5155,3253,3220,6473,4519,4391,8908,126211,128411,254626,133813,135884,269689,152375,154157,306525,41723,44438,86163,50553,54483,105034,62957,67579,130535,137353,140211,277564,142856,145780,288636,160228,163226,323454,31015,33562,64576,41446,45143,86585,53983,57592,111578,154551,158714,313264,165442,170134,335578,191965,197631,389596
89499,323,306,631,313,232,541,336,273,605,15,17,28,6,3,11,18,9,19,15,17,28,10,15,24,13,13,25,33,27,59,15,16,33,23,37,58,37,44,83,36,40,78,44,40,82,80,75,153,64,42,105,60,53,108,62,45,113,71,36,109,62,33,104,42,39,76,49,25,71,53,30,77,36,24,63,43,35,77,38,35,78,12,5,18,17,7,29,21,10,34,0,0,4,3,7,5,6,8,10,4,0,3,0,6,6,0,0,4,0,0,0,0,0,0,0,0,0,14,11,25,19,12,29,20,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,30,20,12,27,26,20,44,219,212,432,210,138,349,201,176,384,76,82,158,62,65,126,56,62,121,246,235,474,191,158,354,201,196,400,43,57,97,45,42,83,35,43,81,239,249,484,208,165,371,219,199,417
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,1958,1045,3002,2433,2089,4523,2511,2263,4778,78,60,140,136,122,262,132,109,243,179,175,358,282,264,546,313,268,587,112,52,165,105,107,208,88,103,189,199,68,266,134,65,196,108,108,218,580,139,721,327,239,570,335,240,577,274,172,444,348,288,633,328,310,638,239,179,418,376,331,709,347,316,665,212,127,337,358,344,702,378,382,765,82,44,119,256,208,462,318,267,587,11,22,35,96,93,184,120,135,257,5,0,4,21,26,54,36,34,62,18,17,38,56,56,115,15,10,23,117,115,233,101,111,212,97,116,212,4,0,6,8,7,10,5,4,0,0,0,3,0,3,3,3,0,6,119,124,244,111,119,231,100,120,219,775,678,1450,1296,1202,2500,1356,1322,2673,962,295,1258,820,634,1452,774,607,1382,520,400,917,877,815,1689,969,980,1948,641,585,1219,1053,1061,2118,979,966,1944,985,823,1804,1690,1574,3264,1720,1703,3421
99499,5,19,30,21,29,54,6,4,11,0,0,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,0,7,8,8,8,0,0,0,0,7,8,0,0,0,4,0,4,0,0,5,3,4,7,0,0,0,0,3,8,3,3,5,0,0,0,0,0,3,3,3,10,3,0,3,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,12,24,12,15,24,10,4,12,3,5,8,11,13,23,0,0,0,9,19,26,16,22,40,5,0,5,0,0,3,4,6,12,3,3,5,8,19,23,15,19,39,10,4,12
99799,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0
