GCCSA_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
1GSYD,320,19,161,236,423,3950,20595,24582,12870,23926,16279,1255,104617,96,3,365,1130,1401,4313,3376,1424,687,1054,577,247,14685,143,12,135,520,922,7408,14143,7838,3997,6719,2112,683,44632,46,11,63,178,226,1142,2145,1554,804,1343,720,403,8636,229,73,399,1811,4317,11206,11566,2299,6642,2410,1070,1334,43349,160,251,1753,4095,3150,5333,3581,1072,971,811,430,586,22195,61,33,171,432,426,989,844,197,323,162,96,335,4067,37,0,40,92,87,358,666,517,301,537,387,339,3351,5990,603,8241,40824,15499,22863,10415,2737,1510,1614,1354,4224,115872,162,13,228,996,358,499,264,69,62,34,36,21587,24307,7237,1015,11564,50322,26804,58055,67592,42282,28164,38621,23058,30993,385717,363,102,233,261,437,3570,17669,20648,15141,26660,24373,10290,119742,70,31,213,692,804,3397,4529,2339,1374,1887,1142,1708,18181,266,166,341,696,1248,10989,33692,24829,19030,31544,12765,10287,145843,93,32,84,201,312,1754,4864,4280,3202,5108,3213,2057,25193,413,268,918,3244,6256
1RNSW,501,22,484,738,918,4833,14988,11505,4865,7228,2760,916,49762,87,5,339,1084,1188,3713,2602,877,311,436,212,244,11097,185,20,293,871,1299,8055,12404,5269,2312,2943,655,649,34968,51,7,85,247,278,1186,1833,1117,487,682,231,313,6515,148,40,358,1466,3037,7049,6827,1190,2658,688,201,994,24666,85,109,1050,4483,3329,4831,2478,619,403,245,117,512,18252,47,24,149,557,395,882,745,156,292,89,31,247,3614,50,0,63,132,133,402,589,308,173,229,91,255,2422,1865,310,5937,46856,18045,24399,7874,1479,703,572,468,4245,112761,85,13,172,1086,336,489,178,40,29,24,15,16791,19253,3100,552,8929,57525,28951,55837,50523,22557,12224,13138,4786,25178,283304,248,72,231,398,508,2889,11373,10379,6714,9629,4997,6051,53505,22,13,116,407,502,2558,3037,1254,552,658,246,960,10324,159,94,284,692,1204,10068,26060,15059,8508,10250,2531,6466,81387,35,18,56,160,237,1469,3698,2507,1466,1806,605,1222,13271,138,96,338,1075,2536
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,344,14,154,266,448,4110,21859,25668,12403,18713,10005,1474,95456,111,14,396,1317,1403,4242,3372,1249,568,830,469,261,14230,158,8,175,543,1107,8243,15896,8125,3665,5601,1487,832,45823,42,3,79,199,219,1164,2324,1712,821,1110,515,403,8584,260,69,402,1634,4253,10753,10683,2073,5170,1731,719,1402,39137,146,311,1737,4270,3143,5587,3272,923,849,620,364,656,21874,67,36,180,480,473,1020,811,216,353,129,60,390,4209,26,0,47,81,100,404,756,638,288,453,252,350,3395,4858,543,7545,41961,16152,22334,8533,2100,1173,1148,1011,4354,111710,164,24,243,1102,400,572,242,63,62,30,35,19509,22434,6183,1009,10936,51857,27689,58430,67734,42775,25345,30353,14920,29623,366858,320,85,236,310,432,3322,16290,17788,12336,19285,15414,9334,95148,67,20,216,718,833,3509,4655,2197,1257,1558,784,1612,17424,263,131,349,852,1481,12560,39504,26394,18265,26990,9431,11000,147213,65,35,81,216,328,1880,5304,4140,2798,3953,1959,2175,22931,388,261,771,2584,5530
2RVIC,247,9,282,488,669,3000,9456,6968,2401,3040,1060,643,28260,50,7,226,754,747,2341,1595,515,140,196,94,161,6815,121,14,206,539,909,5261,7934,3196,1175,1449,311,481,21581,27,4,44,145,190,784,1195,616,245,278,71,163,3762,90,20,231,812,1863,4060,3356,545,1112,287,87,590,13060,54,66,653,2578,1913,2785,1348,262,169,137,55,298,10307,25,11,89,306,267,522,370,61,101,46,11,159,1968,25,0,40,96,83,303,445,223,89,127,48,184,1651,1014,163,3065,22533,8784,11444,3341,635,272,250,229,2305,54034,76,0,121,601,208,270,108,21,22,5,3,8805,10240,1727,289,4964,28849,15620,30761,29141,13042,5717,5817,1966,13789,151677,126,40,159,273,363,1719,6360,5376,3268,3654,1733,3192,26275,18,10,74,258,313,1480,1682,625,298,244,81,569,5655,106,67,217,445,858,6926,17100,8562,4208,4484,1064,4026,48063,19,12,36,88,160,1009,2285,1346,663,751,190,717,7271,86,67,214,746,1704
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,180,10,93,187,306,2397,13858,15416,7179,10740,4933,732,56029,52,7,200,617,765,2366,1788,728,303,359,179,125,7501,77,14,76,276,573,4753,9782,5054,2312,3087,786,442,27229,27,0,32,125,145,707,1486,1129,567,751,288,238,5498,106,24,179,780,2118,6063,6568,1180,3091,848,314,720,21985,61,108,755,2347,1714,2900,1659,381,361,251,111,274,10923,27,13,86,234,273,611,530,133,202,62,31,177,2376,22,0,21,59,45,225,432,337,168,254,103,168,1838,1666,239,3295,20779,9252,12548,4421,950,489,427,390,1881,56339,65,8,74,454,188,252,122,22,21,15,14,11786,13023,2281,419,4813,25854,15381,32821,40632,25327,14702,16788,7149,16553,202737,128,53,102,144,229,1508,9347,11500,7831,11881,7894,4269,54902,32,12,82,263,305,1521,2231,1215,620,731,360,611,7978,101,57,150,285,515,5349,19181,13644,9177,13209,4006,4186,69867,30,17,23,68,111,870,2890,2554,1663,2390,935,920,12458,124,82,224,670,2035
3RQLD,541,29,383,637,766,4346,16549,13542,5429,8052,2842,1163,54290,100,7,267,912,1037,3351,2275,797,297,404,234,235,9910,151,12,237,581,986,7224,12113,5314,2216,2838,616,705,32992,42,3,59,189,219,963,1912,1085,496,719,195,325,6208,193,62,329,1250,2709,6867,6505,1161,2858,674,215,1056,23889,110,123,927,3619,2688,3620,1885,398,331,220,116,430,14460,61,13,110,399,376,736,672,133,310,69,23,245,3150,49,3,39,79,106,355,599,366,183,252,101,328,2465,2074,303,4729,32534,12896,16968,6078,1265,752,653,559,3111,81914,88,9,115,757,256,374,168,31,40,17,26,19222,21084,3400,560,7202,40952,22039,44793,48761,24097,12907,13895,4931,26824,250369,263,84,232,390,448,2594,10719,10539,6620,9261,4613,5031,50790,33,9,110,356,398,2152,2663,1120,564,552,241,706,8909,149,93,278,572,911,7841,22123,12358,7408,8675,2266,4599,67268,35,15,52,106,169,1165,2992,2147,1317,1616,489,967,11077,147,106,319,937,2384
