GCCSA_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,88,0,45,93,159,1294,7595,8089,3454,4307,1500,301,26919,25,3,116,446,473,1714,1302,398,176,246,132,80,5114,43,6,54,158,398,3375,6540,3175,1156,1525,394,239,17068,20,0,18,46,94,469,947,632,277,342,103,127,3070,47,17,103,469,1453,3930,3630,646,1363,443,138,338,12582,47,81,459,1749,1421,2287,1255,335,239,175,94,176,8316,12,12,50,163,156,334,319,60,99,36,18,76,1333,15,0,12,28,48,138,283,233,98,142,64,82,1141,913,108,2149,17234,7495,10306,3248,683,327,320,302,1409,44498,37,5,80,396,164,189,92,16,8,8,9,6866,7867,1249,224,3089,20791,11858,24043,25211,14253,7210,7540,2747,9695,127894,70,22,59,76,135,817,4908,5488,3774,5338,3113,2406,26203,14,9,59,235,269,1259,1816,728,344,418,170,462,5778,59,42,86,184,401,4257,13944,8980,5018,6634,1991,2920,44524,14,7,22,60,89,700,1977,1481,857,1072,377,579,7236,66,56,125,505,1448
4RSAU,110,4,115,182,225,885,2790,1867,718,795,310,173,8178,27,0,70,252,260,775,518,118,46,54,35,42,2199,36,3,62,175,295,1688,2519,920,298,366,101,108,6571,14,0,22,50,47,271,367,177,61,74,26,51,1151,31,7,84,289,503,1290,967,146,288,69,21,166,3853,10,24,209,934,623,807,314,62,28,19,6,73,3113,11,3,23,86,84,169,125,14,33,14,3,49,611,17,0,10,25,23,89,167,74,33,41,12,50,542,299,54,935,7759,2892,3431,910,171,77,68,69,597,17275,17,3,27,180,54,88,32,4,4,4,6,2870,3284,558,105,1553,9929,5006,9492,8717,3558,1594,1510,589,4166,46770,49,20,49,120,107,532,1821,1415,845,832,366,800,6949,3,0,20,74,97,437,480,148,74,44,18,156,1554,37,16,79,194,254,2073,4512,2060,961,939,227,911,12256,8,0,9,29,54,307,608,303,169,161,43,154,1847,27,16,57,219,432
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,131,9,56,88,142,1169,7895,11375,5947,10336,5383,511,43050,50,4,164,440,638,2011,1789,733,353,507,258,97,7064,69,3,49,169,340,3121,7753,4672,2524,3787,881,309,23678,21,0,30,82,105,482,1180,933,558,878,354,193,4817,93,17,99,490,1234,4326,5583,982,3767,913,385,590,18467,75,79,576,1894,1586,2746,1707,386,477,336,157,318,10335,21,3,61,189,196,490,496,112,306,87,23,132,2114,17,3,13,45,36,178,385,384,206,358,173,142,1928,1501,165,2862,17346,7782,10695,3958,894,548,474,476,1668,48374,56,0,78,416,136,238,94,41,34,23,19,13988,15126,2031,297,3984,21157,12207,25454,30847,20510,14724,17690,8114,17952,174961,117,29,63,79,105,750,4591,6291,4955,9106,7119,3615,36808,31,13,51,167,254,1164,1906,1016,643,834,485,630,7198,111,58,105,179,324,3445,14523,11334,9116,13496,4854,4320,61872,23,10,30,50,69,514,1889,1676,1461,2068,1036,873,9706,169,101,173,498,1275
5RWAU,191,3,94,187,196,796,2724,2751,1395,2700,1315,270,12615,43,4,72,207,226,668,527,220,83,134,62,48,2296,59,7,74,137,224,1259,2598,1337,653,1011,197,134,7688,19,0,17,37,41,214,421,277,155,263,99,59,1608,44,7,63,221,415,1181,1418,241,880,177,57,217,4911,17,24,215,709,516,763,383,85,63,47,19,91,2935,8,5,47,92,67,158,173,35,91,21,8,76,784,13,0,13,39,23,108,186,84,75,110,49,71,776,362,41,899,5329,1970,2620,960,205,115,87,90,529,13213,18,3,37,134,49,69,29,11,16,0,6,4725,5095,779,100,1533,7088,3721,7835,9417,5251,3527,4548,1896,6224,51917,87,13,74,88,96,409,1494,1547,1142,2018,1351,1246,9570,14,0,28,89,84,388,510,228,147,123,47,180,1840,59,14,82,157,211,1405,4195,2504,1935,2354,631,1188,14738,12,5,5,37,36,220,565,411,384,457,174,267,2574,47,32,90,221,434
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,13,0,11,27,37,271,1357,1317,569,690,236,43,4568,10,0,25,78,98,279,274,94,27,36,17,11,955,3,0,9,31,81,644,1175,556,257,325,59,42,3178,3,0,9,10,17,120,176,111,43,47,19,22,585,9,0,14,100,204,565,597,133,228,95,8,44,2008,3,13,89,357,266,427,315,75,44,20,12,39,1682,7,0,9,35,24,76,57,12,13,6,0,9,260,0,0,6,7,4,23,49,27,9,21,11,7,170,110,9,317,2745,1219,1941,656,131,47,70,37,261,7550,9,0,3,75,24,42,17,8,5,3,0,1352,1536,163,32,500,3462,1980,4388,4676,2467,1250,1317,406,1836,22486,9,3,11,9,16,130,795,895,573,878,444,471,4238,0,4,5,42,43,242,413,209,80,98,33,83,1257,5,7,15,33,81,766,2364,1624,841,1018,273,554,7574,5,4,0,12,17,164,343,262,151,162,46,92,1249,4,6,23,72,198
6RTAS,35,0,45,88,107,582,1925,1304,495,506,143,86,5321,9,0,43,173,157,526,346,123,32,40,18,23,1490,10,4,41,112,180,1245,1712,644,249,263,61,63,4586,0,0,16,34,54,180,287,138,53,60,12,28,867,18,5,45,191,449,989,791,120,198,55,11,111,2981,9,23,163,798,497,619,304,56,48,16,11,62,2614,9,7,29,89,67,118,80,12,18,4,0,31,471,7,0,9,28,11,70,76,36,21,16,11,21,311,200,45,772,5971,2023,2463,693,121,60,54,49,394,12831,11,0,37,166,38,86,31,11,13,3,5,2082,2490,304,85,1185,7658,3583,6885,6252,2558,1181,1026,319,2908,33950,9,3,17,38,49,289,1212,1090,591,670,232,590,4797,0,0,9,58,82,419,459,153,58,43,16,116,1420,15,18,28,70,151,1425,3480,1614,754,684,197,739,9169,4,0,3,24,36,247,529,249,120,127,37,144,1512,11,11,30,132,381
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,14,0,3,8,15,122,837,1220,650,912,384,65,4231,7,0,10,10,22,76,89,49,22,35,10,10,346,5,0,6,9,21,172,467,290,148,192,61,25,1403,0,0,0,0,7,36,112,138,65,100,31,18,509,6,0,4,17,73,250,355,98,152,78,24,40,1096,0,0,25,55,44,91,73,18,28,8,0,5,345,0,0,3,11,10,27,22,20,19,4,6,9,128,6,0,0,4,0,8,27,44,19,44,15,13,185,61,6,92,396,184,290,142,37,23,16,7,55,1316,3,0,5,11,13,10,8,0,0,0,0,1053,1105,102,8,149,522,384,1086,2141,1911,1130,1399,536,1291,10663,16,0,4,0,10,64,513,886,674,1095,691,352,4315,0,0,3,10,15,33,92,74,34,44,28,30,358,3,0,4,4,16,164,715,528,344,540,186,158,2677,6,0,0,4,5,27,148,181,153,192,109,55,885,11,7,8,34,64
7RNTE,8,0,5,23,19,117,461,521,318,394,171,36,2076,0,0,13,34,18,37,50,19,8,3,3,6,193,4,0,3,17,10,89,185,138,61,85,14,7,606,0,0,4,6,11,22,35,49,24,40,6,10,201,3,0,16,43,56,127,158,38,78,18,6,18,560,0,8,29,62,30,42,23,10,0,5,0,6,228,3,4,8,16,3,19,17,4,8,0,0,4,94,0,0,4,6,7,8,24,19,13,11,7,10,110,44,16,199,380,113,132,63,9,10,3,5,41,1014,0,3,8,16,11,3,9,4,4,0,0,520,567,68,25,283,600,276,612,1018,818,513,565,204,664,5650,4,0,4,24,20,127,335,398,275,398,203,180,1968,0,0,25,55,29,113,81,33,23,20,8,45,435,8,0,3,19,23,113,367,234,170,216,52,90,1297,0,4,4,10,15,37,84,64,50,69,19,41,392,7,0,20,107,98
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,27,0,4,10,20,192,1395,2806,1708,3363,2104,69,11698,4,0,12,46,49,237,254,195,84,169,64,7,1131,7,0,4,21,45,395,1125,827,483,852,320,23,4099,0,0,0,6,3,67,208,238,126,271,162,19,1118,15,0,22,63,154,590,1038,355,740,448,106,58,3588,6,10,65,188,162,433,499,234,153,123,46,39,1957,9,3,9,23,14,79,108,63,55,54,11,12,439,0,0,0,4,5,23,34,74,44,106,73,6,366,173,23,277,1633,941,2346,1760,531,212,226,126,197,8439,0,0,12,50,23,42,19,7,11,3,4,2159,2320,236,41,408,2043,1427,4395,6442,5319,3610,5623,3014,2594,35151,19,4,7,8,27,115,870,1648,1530,3610,3901,1019,12756,3,0,7,24,44,128,264,264,186,282,149,101,1449,12,9,18,19,41,411,1980,2132,1776,3492,1466,642,12002,0,3,3,5,14,107,381,536,454,893,543,169,3111,5,16,18,67,167
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,4,13,14,7,10,7,0,59,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,5,4,4,0,0,3,23,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,5,6,8,0,4,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,9,9,8,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,4,21,11,31,34,33,25,18,7,29,205,0,0,0,0,0,0,12,13,13,17,9,3,83,0,0,0,0,0,9,3,0,0,0,0,4,17,0,0,0,0,0,3,17,7,8,13,0,3,51,0,0,0,0,0,0,3,6,0,0,0,0,9,0,0,0,0,3
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
