GCCSA_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
1GSYD,1311,2322,3522,4179,5083,4798,3044,950,269,25483,679,1967,4307,6391,10707,11753,9360,4519,1641,51326,6139,20195,44737,46474,49688,43425,24853,9734,3357,248599,197,858,2893,3206,2965,3237,3310,1977,640,19281,6919,10373,28445,24176,18997,17888,18129,17440,15255,157619,14816,90646,345908,327892,252997,186047,120416,57204,27135,1423057,37,3958,61224,53892,40126,25810,10180,2984,666,198881,32,1011,12191,14857,13141,10407,3404,1002,208,56261,391,48742,190635,148370,103463,66915,27673,11361,3404,600957,2084,26157,70768,77173,62854,43970,22143,10146,3227,318513,7821,38844,90550,92915,87018,61549,36071,18485,5799,439049,2492,4610,8627,8042,7023,4625,1806,645,217,38085,1025,3554,8480,12335,13438,11594,6294,2725,1050,60493,11336,47000,107663,113286,107487,77766,44173,21859,7065,537631,935,3896,10670,12326,14596,13215,8658,5234,2215,71751,26361,25834,54868,47441,45028,40525,35196,32535,20646,328437,41180,156602,508017,467350,386702,278604,151427,85122,37430,2112430,49,5292,89566,82544,52193,34412,17662,5157,1228,288103,99,1428,14094,17392,15019,13320,6652,1742,381,70126,565,64646,234896,180582,121434,84135,44803,16521,5185,752772
1RNSW,1226,2135,3435,3150,3650,4358,3046,881,211,22082,520,1298,2476,3091,5679,8139,7363,3345,1004,32916,5635,18975,42090,39106,42383,42116,24261,7772,2213,224563,119,255,725,808,998,1629,2055,1334,476,8398,6313,5678,12650,12427,13049,15802,18056,17007,11123,112113,12607,39309,129838,131062,128243,123294,92191,43572,18006,718120,9,390,6192,9138,9582,8851,4031,1206,238,39629,3,309,3442,5687,6971,6965,2209,570,91,26241,67,10166,42529,43487,35654,31402,14699,5538,1552,185094,593,6492,20197,30878,32883,28210,15441,6534,1661,142891,6690,31190,67851,74619,81240,60559,35548,17175,4389,379255,2672,4439,6525,5750,5496,3744,1514,467,114,30721,818,2189,4418,6582,8169,8087,4547,1876,575,37264,10179,37819,78785,86962,94905,72389,41605,19523,5080,447242,394,1142,2421,3766,6313,6631,4529,2337,831,28365,16687,11031,19496,23887,28399,30212,31649,30786,15506,207642,27936,67343,173058,203804,214699,184658,114160,66494,24956,1077110,11,438,10079,12697,11873,11328,7116,2035,428,56011,35,457,4608,6395,6995,8898,4447,1061,205,33093,78,11424,50358,50589,39078,37581,23201,8211,2307,222831
19499,11,10,12,11,9,10,12,0,0,72,0,7,10,8,11,36,21,9,0,104,19,69,127,100,109,137,63,15,0,636,0,3,3,0,0,8,5,0,0,25,93,133,352,309,221,156,85,31,11,1390,115,259,843,611,522,498,255,66,20,3187,0,15,160,78,35,40,11,0,0,345,0,0,37,17,32,16,4,0,0,113,5,179,540,230,132,140,48,13,0,1277,5,66,152,129,111,126,50,6,0,644,34,132,342,273,271,213,163,19,3,1451,25,39,33,23,15,9,9,0,0,164,8,22,47,31,34,34,17,0,0,190,62,199,421,328,328,260,183,19,4,1804,4,10,44,30,28,27,12,5,3,170,144,227,584,607,604,406,240,88,59,2966,217,694,1939,1417,1272,1019,564,140,73,7320,0,11,164,86,40,34,21,6,0,369,0,5,31,21,19,26,16,0,0,118,0,196,497,193,147,115,85,13,4,1250
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,4,0,0,4,0,0,4,0,4,8,8,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,9,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,6,9,0,20,0,0,0,6,10,12,16,15,0,63,0,0,4,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,8,7,0,3,33
2GMEL,1254,1996,3451,3677,3533,3275,2080,647,144,20056,521,1705,4119,5574,7866,7660,5417,2770,1085,36706,5142,18350,45786,44937,45964,37974,20050,7436,2591,228242,134,714,2381,2442,1902,1921,2016,1334,610,13449,6270,9153,25200,20834,17025,15730,16677,15635,11861,138380,12523,86057,337434,311927,234528,164834,105132,49416,21908,1323761,20,3096,49311,40686,29521,19315,8004,2327,524,152805,17,1388,17044,21277,17999,12848,4085,1045,194,75903,282,48454,180024,133155,87014,56263,23504,9418,2845,540967,1481,26411,66191,64859,53203,40377,21218,9328,2784,285845,8803,38354,86416,89104,82334,55846,32160,16338,4727,414093,2831,4017,7122,5785,4792,3150,1111,419,124,29348,1041,3364,7529,9732,9470,7186,3678,1665,657,44318,12677,45733,101066,104623,96594,66185,36948,18426,5503,487757,450,2111,5850,6231,6371,5584,3945,2438,1017,33997,23897,23436,45743,41124,39700,37695,35209,33786,20558,301147,38827,150629,465233,411949,330404,238261,132918,76774,33421,1878416,42,5195,78336,65706,40137,26154,13673,3880,922,234053,102,1959,20118,23587,21357,17294,7823,1921,402,94565,402,61847,217303,165108,106081,70870,37642,13835,4496,677593
2RVIC,659,942,1701,1794,1651,1739,1269,316,77,10148,211,556,1152,1515,2208,2416,2048,872,291,11268,2473,8846,21970,21014,21126,19898,11178,3094,808,110407,31,120,396,371,409,554,730,579,215,3402,3443,2894,6737,6926,7359,9029,10899,9743,6330,63358,6111,20653,74197,75226,70334,65705,50499,23410,9591,395733,4,189,2729,4105,4290,3787,1713,427,88,17323,0,269,3056,4602,4974,4531,1555,307,65,19357,39,5962,24177,22936,18816,16637,7378,2692,674,99312,242,3747,11689,16134,16956,16251,8938,3584,945,78486,4114,17706,36601,39972,41452,30456,16598,7454,1844,196197,1537,2175,3303,2509,2222,1568,548,135,48,14053,400,1214,2386,2861,3090,2899,1463,569,202,15072,6049,21095,42295,45339,46766,34920,18609,8159,2096,225319,166,485,1188,1586,2135,2430,1845,1075,376,11283,8844,5235,9779,12079,14391,16248,17046,16935,8810,109378,15346,36984,94902,106785,108328,94804,57083,33174,13047,560453,7,505,4787,5898,5327,5090,3189,802,144,25753,20,361,3811,5287,5579,5759,3006,641,102,24569,53,6711,27956,27669,20289,19781,12227,4061,1141,119881
29499,0,7,11,11,9,8,5,0,0,54,0,0,12,4,12,4,4,0,0,41,15,36,122,95,68,58,32,3,0,435,4,0,0,4,3,6,0,0,0,15,85,96,303,350,186,127,69,15,11,1244,102,177,705,618,379,303,140,29,11,2459,0,12,132,55,23,15,9,0,0,245,0,0,40,33,10,13,4,0,0,98,0,125,452,193,88,66,14,3,6,939,3,60,147,79,59,56,14,8,0,421,24,111,223,185,162,112,65,9,6,888,15,21,30,17,14,10,0,0,0,106,7,16,15,22,16,16,0,0,0,104,46,157,266,226,185,136,65,9,6,1098,0,3,16,13,12,11,5,0,0,62,132,224,415,402,298,139,86,45,21,1760,181,581,1466,998,678,436,199,70,27,4631,0,7,113,64,21,17,15,4,0,237,0,0,34,18,14,13,4,0,0,93,0,122,360,129,74,69,35,9,4,792
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,7,3,6,5,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
3GBRI,2673,2150,2970,2358,2029,1811,1336,380,63,15782,794,1104,2463,3343,4378,4299,3222,1364,416,21383,9602,17291,33897,31518,30428,24581,12995,3807,959,165078,169,345,870,1019,1013,1002,1054,708,244,6424,3912,5179,12258,10328,8650,7874,8226,7672,5807,69913,15665,50042,152727,150811,122979,86817,54034,23771,9766,666614,3,1108,17213,17389,14262,9307,3487,979,183,63928,19,646,6114,8542,7161,4928,1509,368,72,29359,175,21920,75755,60568,39328,25786,10808,3908,1080,239317,1409,10031,27032,31586,28038,20262,9702,3650,1011,132716,7117,24330,54709,52655,48887,36040,19262,8519,2214,253721,3669,3690,5129,3482,2525,1705,599,176,41,21031,809,2055,4511,5234,4756,4055,1848,732,255,24248,11593,30072,64345,61379,56161,41803,21706,9426,2507,298994,348,1138,2833,3248,3406,3148,2173,1244,416,17949,12536,11828,22087,20735,19285,17537,15276,14325,9095,142705,26093,76742,215383,203445,167634,122764,64657,33901,14352,924969,13,1250,23905,25209,18720,12404,6263,1693,403,89860,46,987,7929,9819,9265,6809,3064,811,137,38865,187,25570,85796,72379,48802,31749,17657,5810,1594,289549
3RQLD,2972,2581,3359,2970,2581,2476,1761,489,68,19253,837,1134,2489,3452,4557,4764,3877,1622,415,23150,10009,18184,37828,37522,37473,33066,17689,5123,1058,197943,142,260,724,869,946,1153,1268,832,273,6473,6023,6674,15431,13808,13949,14214,14090,12569,7649,104405,17627,42288,126237,130147,122502,102682,67316,30889,11553,651237,9,447,5907,7671,7399,5688,2576,654,120,30470,15,413,3202,5238,5217,4068,1487,315,56,20013,121,11560,44217,40446,30390,22421,10647,3598,932,164322,927,6216,21339,30635,29405,22133,11401,4246,1007,127315,8535,28990,66866,69500,67935,50480,27474,10949,2542,333285,4362,4308,5948,4293,3420,2167,823,220,55,25603,1009,2089,4466,5850,5423,4566,2378,782,220,26785,13905,35389,77286,79643,76781,57214,30678,11951,2818,385672,441,1045,2757,3450,4272,4307,3180,1666,511,21624,15656,13132,25876,27478,28265,26285,24659,21271,11403,194025,31072,68210,180579,194563,181734,142113,84622,43700,16844,943442,7,608,8823,10938,9797,7889,4547,1292,209,44113,35,696,4677,6114,6707,5879,2805,743,100,27763,163,13341,51025,48294,36274,28165,17009,5944,1521,201724
