GCCSA_CODE_2021,C16_F_65_69_Tot_LF,C16_F_65_69_Not_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Not_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75over_Em_FT,C16_F_75over_Em_PT,C16_F_75over_Emp_A_fr_wo,C16_F_75over_Em_Hou_wor_ns,C16_F_75over_Em_Tot,C16_F_75over_Unem_Lo_ft_wor,C16_F_75over_Unem_Lo_pt_wor,C16_F_75over_Unem_Tot,C16_F_75over_Tot_LF,C16_F_75over_N_lab_forc,C16_F_75over_LF_NS,C16_F_75over_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_Tot_Tot_labo_for,C16_F_Tot_Not_LF,C16_F_Tot_LF_NS,C16_F_Tot_Tot,C21_F_15_19_Em_FT,C21_F_15_19_Em_PT,C21_F_15_19_Em_AFW,C21_F_15_19_Em_Hrs_NS,C21_F_15_19_Em_Tot,C21_F_15_19_Unem_Look_FT,C21_F_15_19_Unem_Look_PT,C21_F_15_19_Unem_Tot,C21_F_15_19_Tot_LF,C21_F_15_19_Not_LF,C21_F_15_19_LF_NS,C21_F_15_19_Tot,C21_F_20_24_Em_FT,C21_F_20_24_Em_PT,C21_F_20_24_Em_AFW,C21_F_20_24_Em_Hrs_NS,C21_F_20_24_Em_Tot,C21_F_20_24_Unem_Look_FT,C21_F_20_24_Unem_Look_PT,C21_F_20_24_Unem_Tot,C21_F_20_24_Tot_LF,C21_F_20_24_Not_LF,C21_F_20_24_LF_NS,C21_F_20_24_Tot,C21_F_25_29_Em_FT,C21_F_25_29_Em_PT,C21_F_25_29_Em_AFW,C21_F_25_29_Em_Hrs_NS,C21_F_25_29_Em_Tot,C21_F_25_29_Unem_Look_FT,C21_F_25_29_Unem_Look_PT,C21_F_25_29_Unem_Tot,C21_F_25_29_Tot_LF,C21_F_25_29_Not_LF,C21_F_25_29_LF_NS,C21_F_25_29_Tot,C21_F_30_34_Em_FT,C21_F_30_34_Em_PT,C21_F_30_34_Em_AFW,C21_F_30_34_Em_Hrs_NS,C21_F_30_34_Em_Tot,C21_F_30_34_Unem_Look_FT,C21_F_30_34_Unem_Look_PT,C21_F_30_34_Unem_Tot,C21_F_30_34_Tot_LF,C21_F_30_34_Not_LF,C21_F_30_34_LF_NS,C21_F_30_34_Tot,C21_F_35_39_Em_FT,C21_F_35_39_Em_PT,C21_F_35_39_Em_AFW,C21_F_35_39_Em_Hrs_NS,C21_F_35_39_Em_Tot,C21_F_35_39_Unem_Look_FT,C21_F_35_39_Unem_Look_PT,C21_F_35_39_Unem_Tot,C21_F_35_39_Tot_LF,C21_F_35_39_Not_LF,C21_F_35_39_LF_NS,C21_F_35_39_Tot,C21_F_40_44_Em_FT,C21_F_40_44_Em_PT,C21_F_40_44_Em_AFW,C21_F_40_44_Em_Hrs_NS,C21_F_40_44_Em_Tot,C21_F_40_44_Unem_Look_FT,C21_F_40_44_Unem_Look_PT,C21_F_40_44_Unem_Tot,C21_F_40_44_Tot_LF,C21_F_40_44_Not_LF,C21_F_40_44_LF_NS,C21_F_40_44_Tot,C21_F_45_49_Em_FT,C21_F_45_49_Em_PT,C21_F_45_49_Em_AFW,C21_F_45_49_Em_Hrs_NS,C21_F_45_49_Em_Tot,C21_F_45_49_Unem_Look_FT,C21_F_45_49_Unem_Look_PT,C21_F_45_49_Unem_Tot,C21_F_45_49_Tot_LF,C21_F_45_49_Not_LF,C21_F_45_49_LF_NS,C21_F_45_49_Tot,C21_F_50_54_Em_FT,C21_F_50_54_Em_PT,C21_F_50_54_Em_AFW,C21_F_50_54_Em_Hrs_NS,C21_F_50_54_Em_Tot,C21_F_50_54_Unem_Look_FT,C21_F_50_54_Unem_Look_PT,C21_F_50_54_Unem_Tot,C21_F_50_54_Tot_LF,C21_F_50_54_Not_LF,C21_F_50_54_LF_NS,C21_F_50_54_Tot,C21_F_55_59_Em_FT,C21_F_55_59_Em_PT,C21_F_55_59_Em_AFW,C21_F_55_59_Em_Hrs_NS,C21_F_55_59_Em_Tot,C21_F_55_59_Unem_Look_FT,C21_F_55_59_Unem_Look_PT,C21_F_55_59_Unem_Tot,C21_F_55_59_Tot_LF,C21_F_55_59_Not_LF,C21_F_55_59_LF_NS,C21_F_55_59_Tot,C21_F_60_64_Em_FT,C21_F_60_64_Em_PT,C21_F_60_64_Em_AFW,C21_F_60_64_Em_Hrs_NS,C21_F_60_64_Em_Tot,C21_F_60_64_Unem_Look_FT,C21_F_60_64_Unem_Look_PT,C21_F_60_64_Unem_Tot,C21_F_60_64_Tot_LF,C21_F_60_64_Not_LF,C21_F_60_64_LF_NS,C21_F_60_64_Tot,C21_F_65_69_Em_FT,C21_F_65_69_Em_PT,C21_F_65_69_Em_AFW,C21_F_65_69_Em_Hrs_NS,C21_F_65_69_Em_Tot,C21_F_65_69_Unem_Look_FT,C21_F_65_69_Unem_Look_PT,C21_F_65_69_Unem_Tot,C21_F_65_69_Tot_LF,C21_F_65_69_Not_LF,C21_F_65_69_LF_NS,C21_F_65_69_Tot,C21_F_70_74_Em_FT,C21_F_70_74_Em_PT,C21_F_70_74_Em_AFW,C21_F_70_74_Em_Hrs_NS,C21_F_70_74_Em_Tot,C21_F_70_74_Unem_Look_FT,C21_F_70_74_Unem_Look_PT,C21_F_70_74_Unem_Tot,C21_F_70_74_Tot_LF,C21_F_70_74_Not_LF,C21_F_70_74_LF_NS,C21_F_70_74_Tot,C21_F_75over_Em_FT,C21_F_75over_Em_PT,C21_F_75over_Emp_Aw_fr_w,C21_F_75over_Emp_Hou_w_ns,C21_F_75over_Em_Tot,C21_F_75over_Unem_Lo_ft_wor,C21_F_75over_Unem_Lo_pt_wor,C21_F_75over_Unemp_Tot,C21_F_75over_Tot_lab_for,C21_F_75over_N_lab_forc,C21_F_75over_LF_NS,C21_F_75over_yr_Tot,C21_F_Tot_Em_FT,C21_F_Tot_Em_PT,C21_F_Tot_Em_AFW,C21_F_Tot_Em_Hrs_NS
59499,10,138,27,174,0,0,0,0,0,0,0,0,0,59,20,85,0,0,0,0,0,0,0,0,0,41,8,53,363,206,56,17,643,97,48,145,794,884,547,2223,7,19,0,0,33,8,6,15,43,44,57,147,39,37,7,0,84,12,8,22,111,47,104,256,84,43,10,6,130,19,9,31,157,68,126,358,54,39,12,0,103,9,6,17,123,85,135,339,29,29,17,0,75,8,7,16,93,87,135,315,30,27,6,0,67,9,10,15,80,75,142,298,18,20,7,0,44,11,3,18,61,62,124,244,27,17,7,0,50,11,9,15,68,68,96,228,34,22,3,0,59,3,0,7,66,88,74,226,11,19,8,0,40,4,7,11,56,119,82,250,4,5,3,0,12,0,0,0,12,134,51,204,0,0,0,0,0,0,0,0,4,71,35,112,0,0,0,0,0,0,0,0,0,34,26,58,341,274,80,12
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,0,15,3,4,27,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,5,0,5,11,8,0,0,0,8,0,0,0,8,0,3,7,5,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,6,0,0,0,6,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,4,0
6GHOB,1183,5034,382,6595,66,263,23,11,353,0,0,0,356,4286,364,5008,18,109,13,21,163,3,5,7,173,8939,955,10072,21148,25093,2516,623,49385,1142,1715,2856,52241,37325,5363,94930,251,2433,141,51,2882,113,535,642,3521,2672,254,6453,1893,2881,223,94,5094,240,316,562,5663,1372,313,7341,3548,3119,397,149,7215,346,298,642,7860,1542,475,9877,3195,3526,616,121,7456,248,232,479,7939,1642,381,9956,2768,3389,439,77,6667,139,170,310,6977,1409,362,8753,2705,2875,236,47,5855,116,116,234,6094,1132,269,7499,3101,2758,191,43,6091,91,101,185,6283,1107,259,7649,3016,2531,286,46,5877,88,108,198,6078,1446,265,7782,2510,2455,298,50,5319,71,95,163,5476,1969,258,7709,1527,2233,249,38,4041,48,99,146,4192,3513,260,7959,450,1113,123,16,1706,13,23,31,1742,5284,276,7301,106,395,38,14,554,3,12,12,571,5601,334,6506,29,159,22,15,223,0,0,3,225,10472,850,11547,25104,29853,3269,763
6RTAS,1620,7754,770,10145,105,335,28,37,503,0,0,3,509,6377,625,7519,56,154,15,40,267,0,8,5,277,11597,1401,13267,22243,30406,2973,989,56605,1909,2068,3980,60587,52428,8184,121199,512,3124,195,104,3931,150,407,559,4488,3170,376,8039,2436,2622,236,120,5411,244,231,474,5888,1485,451,7822,3063,2891,474,124,6555,215,183,394,6948,1817,480,9243,2536,3209,533,87,6370,160,173,334,6700,1929,492,9116,2534,3474,387,81,6480,113,143,256,6738,1862,454,9048,2725,3334,223,80,6362,134,144,279,6642,1612,405,8656,3215,3375,249,115,6962,152,151,306,7270,1796,393,9451,3592,3692,375,97,7763,137,141,275,8034,2345,519,10899,2998,3700,425,65,7198,126,174,303,7497,3329,519,11351,1878,3235,408,65,5593,109,175,281,5873,5432,602,11910,615,1393,170,41,2212,35,47,77,2293,7863,529,10684,172,544,45,31,792,4,4,10,801,8385,596,9780,57,221,31,42,349,4,3,6,357,13936,1489,15780,26344,34815,3751,1060
69499,0,24,4,27,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,6,0,5,46,41,3,3,99,22,15,39,138,169,54,351,0,6,0,0,8,5,6,12,20,24,10,48,8,9,0,0,18,3,0,11,20,22,7,53,7,3,5,0,19,4,6,11,27,14,9,45,10,8,0,0,15,4,4,5,20,15,3,43,0,6,0,0,13,3,0,3,14,22,8,42,4,11,0,0,20,0,3,5,22,21,15,56,4,8,0,0,9,0,0,0,9,10,8,26,8,4,0,0,14,6,0,6,21,19,7,47,9,11,0,0,14,0,4,7,16,29,12,57,3,0,0,0,3,0,4,4,3,26,10,42,0,0,0,0,5,0,0,0,5,16,14,34,0,0,0,0,0,0,0,0,0,21,14,36,0,0,0,0,0,0,0,0,0,7,4,13,53,69,15,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,11,4,0,4,10,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,676,1233,230,2134,74,96,9,0,186,5,3,3,190,929,139,1256,19,35,0,3,67,0,0,0,67,1331,185,1579,20767,9484,1583,633,32468,854,730,1584,34058,12101,5317,51479,331,1359,68,42,1801,68,203,273,2077,1372,292,3735,1655,1165,132,73,3029,102,79,181,3210,558,373,4144,3047,1388,299,106,4840,106,82,188,5025,775,580,6377,3016,1587,426,83,5111,107,99,202,5322,950,548,6821,2786,1455,310,64,4626,73,62,132,4757,797,497,6052,2696,1142,160,45,4039,75,57,132,4173,628,428,5230,2554,896,133,41,3620,47,44,88,3717,513,389,4615,2412,831,141,49,3431,53,44,99,3528,565,334,4428,1854,708,163,31,2751,51,23,75,2832,710,300,3842,1184,586,125,35,1938,43,25,69,2003,1048,248,3301,428,328,73,22,848,10,10,21,870,1472,184,2525,122,170,21,6,325,0,3,3,323,1495,169,1993,41,56,6,7,106,0,3,0,111,1889,243,2243,22136,11686,2049,599
7RNTE,393,608,158,1159,42,46,6,4,92,3,0,3,93,506,95,698,20,24,7,3,53,3,0,0,53,661,114,828,9609,4027,740,492,14871,1338,486,1826,16694,12408,4620,33720,262,394,34,26,720,110,71,176,899,1917,245,3057,795,330,65,51,1238,155,79,231,1471,1473,284,3225,1382,475,130,55,2043,124,60,187,2231,1464,409,4104,1425,584,174,58,2237,154,60,214,2453,1430,406,4287,1153,610,120,45,1929,100,43,143,2074,1304,320,3696,944,489,67,33,1538,92,60,153,1683,924,299,2910,998,390,60,34,1479,67,32,100,1583,866,256,2711,1102,360,93,31,1591,62,34,99,1689,921,279,2888,945,304,77,30,1358,33,21,57,1414,751,257,2426,643,252,62,19,977,26,20,46,1024,864,207,2086,275,153,33,7,472,7,3,12,482,794,166,1446,62,77,9,5,143,0,0,3,151,623,80,858,23,24,3,0,49,5,0,0,59,763,101,924,10010,4436,925,403
79499,0,53,9,71,0,0,0,0,0,0,0,0,0,23,7,32,0,0,0,0,0,0,0,0,0,8,3,11,145,60,32,7,249,26,14,29,282,426,338,1042,3,6,0,0,13,0,0,3,17,24,27,64,16,3,0,0,18,4,0,7,29,36,39,99,36,14,14,3,60,7,0,7,68,55,66,185,22,9,5,3,39,10,3,9,49,63,66,175,12,13,8,3,31,9,8,7,42,57,44,145,12,4,7,0,26,5,3,0,30,45,47,122,11,7,9,0,20,3,0,3,23,47,72,139,6,9,8,0,28,6,0,5,35,48,59,142,6,6,0,0,11,3,0,3,16,71,57,138,7,0,0,0,3,0,3,3,10,75,53,139,0,3,0,0,7,0,0,0,7,55,26,89,0,0,0,0,0,0,0,0,0,23,7,25,0,0,0,0,0,0,0,0,0,14,0,16,121,73,53,11
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,0,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
8ACTE,1917,6691,464,9072,137,342,29,20,531,6,18,22,554,5449,429,6432,43,153,22,23,240,3,13,11,250,10028,1475,11752,57370,36591,5495,1349,100807,1928,2866,4798,105598,50601,9278,165484,779,5543,400,58,6782,119,990,1112,7891,4450,560,12899,6203,6623,505,173,13498,265,447,711,14207,2054,873,17132,10899,4141,805,214,16056,319,251,568,16627,2018,866,19514,9534,4853,1437,176,15997,261,183,445,16444,2247,796,19487,9088,5293,1224,111,15720,205,199,411,16127,2113,667,18905,8583,4424,547,86,13642,162,138,298,13939,1680,485,16102,8503,3504,416,76,12505,143,122,274,12777,1572,439,14789,7523,3033,497,66,11119,108,104,217,11332,1817,403,13559,5414,2664,447,50,8575,96,120,216,8795,3141,322,12249,2813,2219,359,28,5413,78,101,171,5584,5308,324,11212,872,1252,160,21,2309,13,48,62,2372,7133,354,9866,228,605,55,7,903,3,13,15,918,7891,342,9154,45,239,25,7,325,0,3,3,330,13586,957,14871,70490,44406,6861,1076
89499,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,5,62,35,0,0,99,10,3,12,116,65,32,208,4,8,0,0,14,0,9,10,22,21,0,37,5,14,0,0,23,3,0,0,23,14,4,40,15,3,0,0,19,5,0,3,22,7,7,33,6,0,0,0,8,0,0,0,8,4,0,19,6,3,0,0,8,0,0,0,8,6,0,15,7,5,4,0,11,0,0,0,15,7,4,26,0,0,0,0,6,0,0,0,7,0,5,12,3,0,0,0,9,0,0,0,11,3,0,14,0,0,0,0,7,0,0,0,6,4,0,15,4,6,0,0,8,0,0,0,11,7,3,21,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,0,7,49,54,6,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,59,49,17,123,13,14,6,0,24,0,0,0,24,57,9,86,0,8,0,0,10,0,0,0,10,91,14,116,518,359,62,33,973,16,10,28,1002,497,202,1702,13,41,0,0,60,0,0,0,61,26,14,103,29,32,4,5,70,0,0,0,76,17,16,108,41,29,7,0,84,0,0,0,84,13,24,113,41,35,12,0,84,0,0,0,84,11,29,126,54,56,7,0,117,3,0,3,125,28,24,166,56,28,8,0,97,0,0,3,96,16,22,140,68,31,11,4,107,0,0,3,111,16,12,140,77,42,0,3,122,0,0,0,125,18,25,171,70,44,14,4,127,5,3,9,132,38,25,193,54,51,4,0,114,0,6,3,121,47,21,187,17,38,6,0,57,0,0,0,62,77,12,155,18,20,0,0,39,0,0,0,39,63,12,108,0,15,0,0,23,0,0,0,23,116,29,164,534,473,73,20
99499,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,3,12,15,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
