GCCSA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
1GSYD,4114,3270,1659,871,9909,5845,4652,2114,1122,13723,23852,18980,7681,3831,54347,26335,23576,8784,3765,62454,33495,32245,10538,3791,80076,27235,29895,9129,3087,69347,43505,52778,15848,4345,116465,62255,99253,33412,8083,203000,12519,15057,6650,3153,37374,2057,2153,859,479,5551,247738,286898,99111,34008,667760
1RNSW,1820,1110,525,286,3749,2664,1686,758,447,5550,12645,8704,3877,1890,27113,13967,13097,5433,2170,34663,16595,17739,6893,2423,43646,13463,15942,6167,1869,37436,17697,23527,9100,2535,52850,14866,22976,9683,2636,50165,8557,9363,4942,2171,25037,978,753,350,144,2232,105331,116240,48367,16893,286830
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,3964,3262,1350,739,9324,6112,4983,1993,1041,14128,24923,20743,7438,3241,56345,27290,27635,8803,3314,67038,33461,36154,10472,3227,83314,27240,32355,9338,2473,71408,39317,52045,14258,3470,109088,45778,77649,25466,5415,154314,12280,14999,6424,2994,36696,1928,2117,779,314,5135,228679,276981,88424,27488,621573
2RVIC,1041,686,293,156,2178,1636,1087,540,250,3524,7549,5719,2623,1100,16989,8429,8452,3667,1340,21885,9457,10890,4308,1330,25995,7493,9075,3675,988,21235,9312,12117,4885,1259,27567,6887,10534,4996,1289,23700,4581,5097,2650,1132,13465,635,582,235,89,1536,58233,65123,28234,9157,160744
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1558,1146,464,302,3470,2485,1769,726,441,5416,11156,8525,3358,1856,24893,13137,12083,4540,2182,31934,16462,16591,5609,2149,40814,13343,15290,4972,1661,35271,19787,25603,7769,2161,55323,21167,34745,12205,3007,71123,7328,8323,3833,1992,21473,756,725,317,159,1960,109248,126280,44399,16356,296285
3RQLD,1693,1144,493,327,3655,2669,1697,738,461,5563,11626,8715,3631,1883,25858,12991,12382,4968,2140,32481,15393,16404,6015,2177,39985,12205,14672,5109,1648,33637,15841,20589,7254,2158,45847,13179,19415,7461,2131,42187,10413,12097,5658,2417,30581,1095,911,381,181,2566,99319,109536,42306,15883,267037
