GCCSA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,995,728,294,199,2218,1704,1171,478,261,3616,7345,5604,1959,863,15773,7935,7775,2504,923,19145,9794,10354,2921,888,23950,7795,9418,2685,698,20592,10146,13785,3836,929,28701,8699,14995,4999,1122,29812,4155,4959,2044,893,12046,366,318,128,54,876,60207,70077,22256,7126,159659
4RSAU,339,217,125,56,733,435,316,142,82,978,1956,1604,784,348,4695,1940,2046,944,359,5286,2138,2354,1005,297,5793,1550,1787,782,251,4370,1684,2152,927,243,5007,1137,1588,702,201,3626,1561,1649,884,384,4477,148,98,69,29,335,13239,14042,6487,2312,36077
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1194,942,357,208,2700,1845,1400,557,315,4113,8500,6663,2322,1135,18618,10108,10248,3471,1323,25159,12948,14120,4695,1492,33257,10999,13295,3940,1121,29349,16619,21900,6563,1587,46674,19322,31385,10725,2425,63859,10573,13231,5583,2058,31451,659,651,203,127,1640,94561,115101,38926,12129,260717
5RWAU,335,215,128,73,746,453,300,145,86,985,1762,1378,686,306,4132,2021,2158,927,371,5473,2451,3012,1193,412,7061,2119,2676,1093,321,6206,2942,3999,1633,443,9016,2885,3901,1682,508,8977,2849,3560,1707,670,8789,190,187,82,57,517,18504,21707,9423,3317,52952
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,190,107,35,28,354,323,166,62,37,595,1258,858,302,127,2549,1396,1142,407,169,3112,1755,1472,525,143,3884,1365,1432,450,127,3377,1702,2148,667,143,4650,1396,2184,710,193,4482,730,854,367,186,2143,53,32,16,3,107,10398,10516,3590,1179,25680
6RTAS,305,179,91,39,620,433,283,148,71,938,1830,1356,601,268,4056,1789,1784,656,274,4495,1921,1932,665,279,4798,1389,1589,537,195,3707,1532,1838,697,184,4251,988,1361,534,155,3035,1127,1196,521,256,3101,94,58,30,15,189,11702,11752,4546,1760,29765
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,58,29,25,10,122,90,51,35,17,191,487,322,108,62,981,589,463,173,70,1292,873,744,294,89,2001,716,749,267,90,1823,1201,1380,470,152,3199,1357,1629,551,211,3752,721,810,314,177,2020,37,33,22,3,102,6229,6267,2279,896,15671
7RNTE,215,184,97,64,554,164,167,107,67,506,321,288,196,153,959,205,205,132,108,646,268,249,127,89,735,292,262,101,47,709,390,426,181,75,1071,322,375,166,67,931,274,345,191,199,1007,58,58,39,36,195,3126,2960,1561,1050,8698
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,143,90,54,24,313,235,151,63,38,479,1123,734,265,127,2253,1514,1205,437,169,3327,2331,2075,641,195,5247,2253,2330,682,175,5442,4445,5465,1565,369,11843,6863,10874,3249,693,21685,1000,1289,531,194,3019,79,81,28,15,201,20222,24432,7591,2024,54271
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,3,0,0,0,9,4,0,0,0,8,18,15,11,0,44,21,20,14,0,56,21,23,15,4,62,21,14,13,5,57,25,26,17,0,71,12,21,10,0,52,11,22,15,3,54,0,5,0,0,8,145,152,86,20,413
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
