GCCSA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
1GSYD,136321,262452,168731,204862,99200,54496,926058,28292,26506,12777,10558,3611,1702,83454,24821,34891,21897,18641,6928,3531,110715,53123,61400,34673,29207,10544,5237,194170,41523,30275,12964,7623,2390,969,95740,49922,50101,21667,11863,3084,1127,137767,57441,59960,22218,11870,2937,1047,155472,..,..,..,..,..,..,..,1362,831,310,243,109,66,2910,150247,141171,57151,31598,8508,3209,391885,1770,670,119,77,13,18,2667,57,22,19,8,11,11,125,1341,1352,668,516,191,159,4212,3167,2036,797,597,219,181,7006,955,671,290,218,100,47,2271,343812,467718,261650,266479,118570,63168,1521394,129056,251870,167538,209150,103388,63213,924227,27918,25104,12721,11483,3635,1554,82411,31388,41382,28557,27490,10479,5530,144831,59305,66486,41270,38977,14119,7081,227236,37967,29539,13654,8967,2812,1249,94184,51448,54790,25925,14893,4026,1506,152577,66733,78460,34621,19712,5486,2655,207675,..,..,..,..,..,..,..,675,572,254,188,68,40,1797,156818,163359,74451,43758,12389,5451,456235,1349,587,146,82,30,18,2210,171,65,42,40,21,22,367,1864,2020,1176,806
1RNSW,171735,295914,121641,119719,56447,26176,791638,23935,16107,4211,2206,740,282,47481,8216,8300,3193,1783,557,225,22274,32147,24402,7402,3985,1302,510,69755,33813,15077,3798,1594,509,189,54969,4909,3269,782,309,77,22,9373,3317,3158,741,291,49,15,7574,..,..,..,..,..,..,..,822,351,109,60,31,15,1380,42868,21848,5432,2251,665,234,73302,6555,3318,363,196,75,48,10558,335,139,65,38,27,20,617,1240,987,358,228,91,65,2968,8130,4447,781,462,191,128,14138,459,342,126,76,44,21,1071,255341,346963,135391,126497,58650,27070,949899,178285,300083,123496,121121,56217,26396,805594,31985,18973,4852,2474,767,281,59328,12388,10863,4251,2348,730,291,30877,44377,29837,9104,4821,1498,572,90211,25821,11355,3216,1432,417,199,42431,5169,3332,922,350,78,31,9875,4601,4305,1020,375,79,22,10400,..,..,..,..,..,..,..,239,126,24,28,15,8,439,35830,19111,5179,2190,582,255,63149,6268,3120,371,188,87,60,10107,469,279,80,59,39,22,943,1101,1209,457,378
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,176000,317229,191047,219031,93908,42129,1039340,40459,36964,14723,9478,2814,1179,105614,13266,21848,11849,9010,2745,1144,59869,53723,58811,26572,18492,5556,2324,165487,58006,43161,15037,7440,2113,835,126592,19186,15653,3765,1237,271,110,40216,22373,20479,5422,2004,565,348,51196,..,..,..,..,..,..,..,557,302,132,72,26,19,1103,100125,79595,24353,10752,2979,1303,219110,2273,701,91,33,20,4,3123,64,34,11,4,4,3,128,909,975,493,346,112,77,2905,3245,1712,600,384,135,86,6161,193,193,75,77,18,7,567,333286,457538,242652,248734,102604,45850,1430664,178154,314287,198172,230623,97737,48659,1067638,59665,51861,24070,17009,5077,2141,159826,21901,36056,21753,17209,5452,2208,104585,81564,87919,45821,34220,10526,4352,264410,39542,30009,11105,5840,1573,614,88691,22715,19352,4917,1657,376,137,49147,38865,38793,10220,3681,979,579,93123,..,..,..,..,..,..,..,151,107,41,22,8,10,340,101280,88261,26281,11196,2940,1336,231298,1822,506,74,41,17,17,2477,103,22,11,12,0,9,161,1226,1273,603,387
2RVIC,108325,170768,67590,65717,31097,13134,456631,10680,4998,1124,597,200,64,17665,825,1042,363,252,87,21,2591,11501,6037,1484,845,293,87,20249,20063,8055,1670,590,162,53,30595,216,113,26,4,3,0,367,66,66,15,9,0,0,146,..,..,..,..,..,..,..,169,67,18,11,3,3,270,20515,8294,1734,613,176,53,31383,2618,1039,132,81,27,8,3909,160,78,29,25,19,17,326,400,492,175,145,51,31,1299,3181,1605,339,249,97,58,5535,70,79,34,26,14,5,231,143590,186792,71184,67447,31679,13338,514023,120921,178679,69094,66927,30917,12769,479311,19569,8864,2226,1100,334,148,32236,1664,1572,571,335,94,38,4273,21237,10435,2794,1429,427,189,36511,9365,3330,800,309,73,35,13913,301,139,24,14,5,0,478,194,75,25,6,7,4,313,..,..,..,..,..,..,..,29,11,6,0,0,3,44,9890,3557,855,327,77,38,14746,2015,736,82,85,32,10,2954,103,52,19,14,10,4,207,518,540,198,171
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,91665,192619,106667,112275,49738,25882,578854,12844,8432,2601,1395,485,273,26034,11380,13781,6709,3266,1008,373,36520,24224,22215,9311,4668,1496,645,62555,22219,13425,3842,1540,402,147,41574,9905,9102,2247,743,150,36,22182,8132,9332,2369,1015,175,67,21097,..,..,..,..,..,..,..,440,292,87,51,18,16,904,40695,32159,8543,3342,748,270,85752,2972,1065,131,65,20,12,4257,53,35,10,13,4,5,117,224,205,71,58,29,12,603,3250,1300,209,141,61,31,4980,133,120,40,38,16,8,354,159967,248416,124771,120456,52045,26837,732490,95166,195624,111502,119289,52367,28993,602947,13388,8101,2312,1247,439,234,25722,16048,18687,10508,5635,1812,799,53501,29439,26790,12821,6882,2255,1040,79224,19113,11057,3381,1482,394,152,35580,12814,12360,3478,1353,275,84,30365,12654,14977,3798,1643,333,137,33549,..,..,..,..,..,..,..,72,71,18,14,4,9,184,44654,38458,10679,4493,1009,376,99676,2549,910,133,66,30,7,3697,88,44,15,16,5,5,172,220,237,127,105
3RQLD,114202,236406,105749,106396,48137,25571,636452,16489,13823,3835,2065,664,295,37174,8593,11801,5144,2939,881,344,29702,25080,25630,8983,5000,1547,636,66873,29477,17322,4989,2211,691,325,55015,8318,8191,2032,754,151,47,19498,7845,9835,2122,782,164,45,20787,..,..,..,..,..,..,..,375,167,58,36,16,14,668,46012,35519,9201,3779,1025,427,95967,6858,4244,420,230,102,74,11932,538,360,101,98,46,24,1168,518,566,198,129,57,21,1492,7920,5169,716,459,202,126,14596,327,380,91,73,37,12,924,193535,303106,124731,115719,50944,26772,814809,124894,246522,109959,110165,49118,26043,666709,25349,16903,4680,2325,695,296,50253,15152,17043,7469,4146,1266,427,45507,40504,33940,12152,6472,1959,730,95756,20820,11291,3452,1622,485,236,37916,9290,8878,2295,884,181,55,21580,10424,12667,2811,1119,300,97,27419,..,..,..,..,..,..,..,117,58,8,8,6,3,197,40655,32892,8565,3633,966,398,87109,5984,2964,292,170,66,50,9530,554,362,118,79,39,29,1181,469,510,176,152
