GCCSA_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
7GDAR,3087,3673,1412,534,8704,1126,886,312,161,2484,4213,4558,1721,695,11191,1669,1046,397,175,3275,5879,5605,2115,867,14461,3755,4389,1601,561,10298,1341,1030,344,120,2835,5098,5418,1944,680,13134,1667,988,336,178,3169,6762,6406,2277,857,16306,3942,4414,1522,525,10402,1372,1126,391,165,3056,5314,5544,1913,682,13454,2008,1284,407,186,3888,7318,6829,2326,874,17346
7RNTE,2170,2282,1202,786,6435,727,575,280,192,1777,2899,2856,1489,974,8214,1493,903,453,304,3153,4389,3761,1942,1280,11369,2136,2139,1044,569,5881,699,622,305,209,1831,2828,2762,1349,776,7712,1454,882,396,243,2975,4282,3642,1741,1019,10685,2201,2086,971,489,5749,742,647,307,155,1856,2948,2734,1275,643,7599,1603,937,418,213,3167,4547,3671,1693,854,10764
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,11353,14464,4898,1340,32054,2056,1830,528,189,4604,13412,16298,5427,1522,36659,4953,3097,921,288,9267,18368,19397,6349,1813,45924,12863,16600,5231,1331,36023,2488,2092,600,202,5386,15352,18692,5829,1532,41410,4920,3142,943,341,9346,20270,21834,6775,1874,50754,14370,19050,5644,1313,40379,2937,2504,755,252,6446,17306,21557,6396,1558,46823,5650,3968,1077,363,11064,22953,25528,7478,1924,57885
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,101,75,36,8,227,8,9,4,0,19,111,78,41,8,238,20,19,3,4,49,130,98,41,11,292,99,107,67,15,290,31,33,12,0,80,131,139,76,18,364,47,30,9,6,89,180,170,79,24,457,88,112,63,12,281,26,27,9,4,68,120,143,77,16,347,51,36,6,0,94,162,174,85,18,440
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
