GCCSA_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
39499,0,7,27,13,4,17,6,4,0,81,4,8,22,8,9,10,4,0,0,58,10,64,175,146,139,300,185,32,0,1049,4,21,89,49,61,113,61,17,0,414,6,13,30,21,21,20,13,5,0,113,0,9,20,20,20,23,13,4,0,103,0,6,10,7,19,29,22,4,0,86,3,24,80,37,41,61,31,9,0,288,0,17,37,25,28,37,19,3,0,163,0,3,44,14,14,15,6,0,0,97,0,15,28,27,21,25,18,4,0,141,0,0,0,0,0,0,0,0,0,0,0,0,12,15,8,16,9,3,0,58,76,129,255,247,233,224,134,45,7,1357,102,321,833,635,609,876,510,126,8,4023,0,4,29,10,6,9,12,0,0,76,3,3,15,11,10,8,4,0,0,61,5,35,163,108,145,207,208,44,0,928,4,18,82,48,52,76,86,15,0,387,3,10,28,19,19,20,19,0,0,112
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,15,5,12,0,0,63,0,5,4,4,8,4,0,4,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,3,0,8,3,0,0,4,0,0,0,18,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,9,19,8,5,0,0,61,3,23,38,29,43,24,14,8,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4GADE,22,608,2052,2099,1843,1728,922,327,99,9699,156,899,4160,2614,1630,811,156,17,0,10448,534,4349,13452,16101,16825,14733,9210,5076,1534,81828,427,2156,4354,4600,4476,3728,2614,1450,421,24224,82,536,1465,1463,1301,837,389,206,69,6351,59,632,2927,2976,2941,2302,1162,623,189,13810,21,261,1363,1643,2190,3240,1674,509,115,11012,324,2682,9093,9150,8041,6320,2922,1240,422,40189,228,1608,4488,4278,3980,3825,1791,686,173,21065,121,1063,2274,1550,1085,797,379,130,42,7443,245,1206,2632,2225,1648,1088,592,220,75,9926,38,62,60,44,45,33,28,23,13,335,51,199,780,792,711,573,278,177,67,3633,3653,3299,5887,5614,5928,4924,4336,4524,2268,40441,5956,19556,54986,55155,52653,44935,26448,15207,5493,280394,12,607,2175,2199,1985,1812,1374,520,142,10823,201,934,3996,3681,2030,1199,381,47,3,12485,593,4295,14938,14970,16906,14878,11897,6305,2165,86937,512,2281,5968,4471,4755,4293,3119,1876,616,27881,83,508,1592,1583,1492,1122,613,238,95,7330
4RSAU,0,48,209,216,242,302,154,44,4,1209,28,101,242,170,113,91,19,0,0,762,224,1566,3834,4715,5243,4751,3316,1417,329,25391,119,591,1047,1111,1386,1262,900,427,116,6955,116,411,1186,1344,1047,781,340,125,32,5386,5,42,264,426,545,461,211,106,25,2082,3,74,360,397,473,862,436,99,23,2728,101,210,882,1211,1176,1208,615,201,57,5667,49,184,487,521,590,670,348,108,16,2980,16,55,137,126,149,147,103,43,6,793,72,261,681,691,533,396,243,73,12,2962,6,3,8,19,8,10,14,15,0,76,14,40,122,168,162,151,96,55,19,823,1236,913,1817,2175,2327,2199,2021,1733,661,15065,1989,4511,11276,13286,13977,13287,8807,4451,1301,72889,3,31,230,252,245,292,278,66,14,1413,36,93,247,214,151,120,62,5,3,945,251,1537,4275,4319,5162,5331,4306,1995,517,27705,109,528,1303,1028,1251,1435,1196,577,144,7574,129,365,1131,1432,1259,933,587,207,87,6133
49499,0,0,5,4,0,0,4,0,0,23,0,0,9,5,0,0,0,0,0,16,0,10,48,33,47,46,34,0,0,229,0,5,17,18,8,15,12,0,0,71,0,0,15,0,0,0,0,0,0,19,0,4,4,7,8,5,0,0,0,29,0,0,12,5,6,0,0,0,0,26,0,11,16,22,6,16,4,0,0,83,0,0,6,16,8,12,4,0,3,51,0,0,7,10,7,0,0,0,0,16,0,3,13,4,3,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,13,23,64,63,74,53,33,28,23,374,15,66,226,174,171,160,81,32,29,963,0,0,3,0,3,0,0,0,0,16,0,0,0,4,0,0,0,0,0,4,4,12,52,30,27,41,39,10,5,213,0,0,21,12,17,12,10,4,0,76,0,0,8,5,6,3,9,0,0,33
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,33,966,3341,3524,3147,2473,1197,403,109,15190,485,1487,6062,3919,2165,874,187,17,3,15191,1459,8958,26179,28021,28680,22864,12498,5562,1389,135620,853,3950,8091,7841,7689,6196,4012,1983,470,41082,112,592,1978,1907,1536,1077,680,309,72,8270,71,919,3782,3912,3503,2433,1365,644,173,16802,45,335,1773,2303,2992,3068,1727,721,178,13141,479,4131,13253,13051,11061,8266,3955,1460,458,56124,399,2006,5451,5350,4605,3991,1933,724,175,24634,357,1482,3133,1939,1278,1008,436,160,44,9839,270,1513,3931,3246,2593,1556,860,310,79,14363,61,95,64,78,73,60,46,32,14,520,63,263,869,1027,958,701,380,202,77,4548,5822,6536,13155,11419,9920,8302,6170,5313,2433,69074,10515,33246,91049,87533,80208,62874,35454,17836,5681,424396,44,1328,3871,3747,3555,2715,1897,589,174,17925,412,1529,5963,5706,3010,1380,406,49,6,18461,1310,9735,33465,31729,30689,25434,17033,7699,1964,159064,706,3718,11934,8895,8541,6738,4793,2734,680,48741,105,514,2001,2086,1846,1351,911,410,115,9333
5RWAU,13,112,493,566,402,323,166,49,10,2144,104,177,438,282,177,100,28,0,0,1308,566,3287,8966,9369,8944,6400,3054,1084,222,41893,266,1146,2388,2317,2461,1937,1055,425,77,12084,170,412,1304,1383,1287,949,478,185,26,6201,16,79,478,816,829,551,260,92,17,3134,12,72,499,696,819,934,385,101,20,3532,99,314,1378,1839,1643,1314,588,160,41,7376,67,231,669,806,756,667,279,113,13,3603,36,120,283,269,241,241,96,35,3,1311,83,272,1018,1142,861,452,248,90,14,4167,25,17,22,25,18,19,15,3,4,143,24,56,187,284,278,195,108,39,14,1180,2215,2774,6349,6016,5420,3751,2162,1499,553,30732,3705,9073,24464,25813,24131,17823,8921,3879,1010,118803,14,100,522,597,435,392,295,88,20,2462,87,194,426,367,234,121,57,12,0,1508,538,2877,10111,9561,9208,7576,4529,1627,362,46390,224,874,2775,2308,2313,2185,1333,597,128,12736,160,390,1126,1434,1367,1156,730,317,74,6756
59499,0,10,23,21,12,7,0,0,0,72,0,9,19,6,0,5,0,0,0,51,5,47,185,142,126,154,95,3,0,753,6,31,61,40,31,48,24,6,0,248,0,3,22,12,14,13,0,0,0,63,0,5,12,8,10,10,5,0,0,55,0,0,5,6,10,15,15,0,0,45,0,20,42,35,17,37,6,0,0,158,0,9,26,16,24,20,3,0,0,96,0,5,21,15,8,4,0,0,0,58,0,4,29,8,17,14,5,0,0,79,0,0,5,0,0,0,0,0,0,5,0,0,6,4,3,4,7,0,0,24,39,76,224,189,191,132,56,27,0,933,48,217,674,514,466,458,224,43,3,2644,0,7,9,12,3,4,0,0,0,38,0,0,14,3,5,11,5,0,0,38,0,35,144,81,109,104,69,7,3,558,5,11,53,42,22,36,15,3,0,185,0,6,14,12,4,15,11,0,0,61
59799,0,0,5,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,42,33,30,9,0,0,0,122,0,0,10,8,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,11,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,8,0,3,21,13,9,5,0,0,0,63,0,19,95,73,54,21,4,3,0,276,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,47,52,41,13,0,0,0,156,0,0,15,0,3,0,0,0,0,20,0,0,4,5,0,0,0,0,0,6
6GHOB,0,104,359,477,451,399,189,89,29,2093,49,243,706,406,251,118,21,7,0,1788,91,624,1712,2232,2514,2231,1533,811,234,11974,109,529,931,1066,1234,829,579,296,86,5652,17,93,306,358,342,181,85,63,11,1450,3,68,347,428,471,432,220,117,31,2122,3,33,266,316,436,560,291,124,27,2047,60,401,1217,1202,1214,1052,500,226,61,5918,17,215,705,775,763,783,334,119,33,3737,6,124,291,277,231,217,97,44,10,1293,52,218,575,471,330,229,123,29,14,2036,3,10,8,7,3,8,6,0,0,49,6,32,117,139,104,104,61,33,13,620,656,610,991,970,1041,1028,959,758,348,7365,1071,3292,8535,9107,9372,8151,5001,2699,910,48144,0,114,430,480,475,433,305,104,44,2375,32,234,786,507,310,188,61,7,0,2120,66,559,1843,1965,2332,2395,1856,1008,318,12335,59,454,1314,974,1099,1082,661,371,129,6152,22,76,292,386,359,290,120,57,19,1616
6RTAS,0,29,145,231,249,279,188,58,11,1187,38,154,419,228,210,112,30,0,0,1196,212,1074,2651,3478,4084,3537,2320,995,254,18605,119,648,950,1293,1565,1317,829,398,85,7202,68,217,671,751,665,454,230,97,20,3176,7,88,310,422,533,425,224,88,30,2120,0,39,303,360,502,664,361,112,38,2388,55,237,816,1032,1061,993,443,163,25,4829,30,145,342,510,574,619,312,99,19,2641,21,87,215,200,170,209,111,42,11,1065,86,241,557,579,495,372,196,63,11,2611,10,5,3,3,8,10,11,3,8,53,8,21,93,117,156,163,87,45,10,701,939,538,909,1224,1437,1530,1513,1293,515,9897,1589,3527,8393,10431,11714,10674,6853,3460,1038,57675,0,45,146,200,252,284,277,88,26,1310,38,159,392,299,233,153,63,17,0,1365,165,1055,2734,3003,3705,3992,2982,1376,370,19380,101,573,1343,1034,1373,1556,1034,538,104,7657,57,243,660,749,771,555,334,156,35,3566
69499,0,0,0,0,0,5,0,0,0,8,0,0,3,0,3,0,0,0,0,5,0,4,25,15,20,4,10,0,0,71,0,3,4,6,4,0,3,0,0,20,0,0,6,0,0,0,0,0,0,6,0,0,0,0,3,6,0,0,0,8,0,0,7,0,0,4,0,0,0,3,0,0,7,3,3,0,0,0,0,19,0,0,5,4,5,8,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,10,4,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,0,0,0,7,3,10,37,26,17,13,10,5,0,115,5,21,96,66,56,47,27,8,0,322,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,3,16,8,8,10,8,0,0,59,0,0,0,11,3,7,3,0,0,18,0,4,3,0,0,0,0,0,0,12
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,6,4,6,0,0,0,20,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,5,0,4,3,0,0,13,0,5,13,13,13,9,8,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,4,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,0,29,160,177,162,128,58,13,0,729,26,114,373,211,117,71,9,4,0,928,93,738,1972,2119,1912,1313,572,139,19,8882,40,250,631,556,540,435,188,57,5,2696,13,72,184,226,174,99,46,7,3,821,3,54,317,268,232,183,56,16,8,1127,3,19,125,166,230,250,94,17,0,907,31,214,774,822,631,463,126,25,6,3077,20,140,488,455,385,285,123,35,8,1929,12,50,172,118,88,77,30,7,0,549,32,138,368,299,201,123,36,4,0,1204,4,6,6,5,7,6,0,4,0,33,7,44,140,139,91,72,22,4,0,519,842,953,2027,1670,1385,1012,504,251,50,8697,1126,2814,7738,7236,6146,4507,1853,585,102,32112,0,36,169,196,186,148,73,22,4,830,28,129,382,326,146,78,17,0,0,1110,119,798,3320,2646,2383,1597,764,239,44,11906,34,206,1147,769,612,490,268,100,20,3644,11,41,188,216,189,135,57,12,4,853
7RNTE,0,17,66,64,67,50,19,6,0,284,0,22,84,45,36,19,0,0,0,202,46,310,904,976,925,639,204,51,0,4066,25,123,394,328,306,226,93,9,0,1513,22,67,202,201,159,77,27,0,0,761,4,18,155,170,156,93,28,7,0,644,5,22,120,153,181,182,48,5,0,718,8,55,263,318,256,225,33,5,0,1164,14,71,283,283,219,167,48,4,0,1087,11,21,84,66,53,42,16,0,0,293,17,72,179,130,119,53,14,3,0,586,0,3,9,7,6,4,0,0,0,31,3,14,59,73,64,22,13,0,0,250,610,613,1300,1098,833,601,291,94,27,5463,775,1429,4112,3919,3377,2394,840,192,30,17073,0,10,54,54,53,48,25,5,0,255,11,13,74,51,37,33,7,0,0,224,35,267,876,720,797,658,287,70,12,3728,11,73,332,275,246,204,104,32,9,1286,22,71,191,174,184,88,32,11,0,776
79499,0,4,0,0,4,0,0,0,0,11,0,0,4,4,0,0,0,0,0,7,3,12,31,20,32,50,23,0,0,179,0,0,17,12,10,15,10,0,0,68,0,0,6,11,5,5,0,0,0,27,0,0,4,0,0,3,0,0,0,16,0,3,0,0,4,13,4,0,0,20,0,0,7,6,3,6,7,0,0,33,0,3,12,9,5,3,6,0,0,37,0,0,4,0,4,4,0,0,0,10,0,4,3,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,3,13,42,30,24,35,19,0,0,176,8,40,135,98,97,143,73,6,0,609,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,0,0,0,6,0,4,26,18,41,40,37,5,0,174,0,4,10,10,9,10,9,0,0,62,0,0,6,5,0,5,4,0,0,23
79799,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,9,7,3,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,11,0,7,21,8,13,5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5,357,1166,1216,1319,1217,644,243,75,6243,121,635,3134,2375,1782,791,154,12,0,9012,65,851,3178,3401,3360,2772,1618,854,217,16321,64,685,1474,1417,1229,1043,686,343,104,7046,13,105,462,496,420,327,179,97,18,2117,7,148,645,688,669,497,221,133,38,3056,10,84,559,602,590,657,404,145,25,3087,68,1075,3613,3464,2952,2093,852,271,124,14513,63,972,3606,3088,2766,2686,1418,517,142,15269,47,447,1091,651,479,315,114,51,17,3203,74,355,779,645,381,202,108,57,9,2608,7,28,14,6,0,13,4,7,0,90,11,91,300,366,340,254,137,89,31,1609,1013,1334,2031,1615,1396,1051,786,640,322,10182,1582,7169,22049,20038,17676,13935,7335,3450,1123,94355,18,451,1336,1179,1280,1196,928,355,126,6866,99,673,3034,3254,2044,1184,355,35,5,10678,52,863,3546,3509,3332,2821,2106,1040,357,17636,75,607,1992,1545,1262,1020,769,441,134,7847,4,111,458,485,444,378,217,119,31,2249
89499,0,0,3,3,0,0,3,0,0,10,0,0,3,0,3,0,0,0,0,14,0,4,8,4,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,3,8,0,0,0,0,0,12,0,0,0,4,0,3,0,0,0,10,0,6,11,5,0,5,0,0,0,33,0,0,9,7,0,4,0,0,0,24,0,0,8,0,0,0,0,0,0,4,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,10,10,11,9,0,0,0,52,10,21,60,40,30,30,6,0,4,200,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,3,6,4,4,6,0,0,0,31,0,0,0,0,0,0,0,0,0,6,0,6,0,0,5,0,0,0,0,6
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,6,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,9,0,7,20,39,49,29,8,0,0,158,0,0,9,10,12,11,6,0,0,44,0,0,7,10,6,3,0,0,0,22,0,0,7,0,0,3,0,0,0,10,0,0,3,10,6,4,0,0,0,27,0,4,11,11,11,5,3,0,0,44,0,0,7,16,7,5,0,0,0,35,0,0,4,0,5,0,0,0,0,3,0,0,5,5,4,0,0,0,0,13,0,0,0,0,0,6,0,0,0,4,0,0,3,0,4,0,0,0,0,5,49,138,445,135,56,33,12,4,4,885,54,166,522,228,157,108,26,3,4,1278,0,0,6,13,6,10,0,4,0,36,0,0,8,3,4,0,0,0,0,11,6,9,44,53,76,73,42,13,3,318,0,5,10,23,29,42,14,10,0,127,0,3,3,12,9,12,0,0,0,41
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
