GCCSA_CODE_2021,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5,C16_SH_Tot_NPGH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPGH_2,C16_SDRTHT_0b_s_a_b_NPGH_3,C16_SDRTHT_0b_s_a_b_NPGH_4,C16_SDRTHT_0b_s_a_b_NPGH_5,C16_SDRTHT_0b_s_a_b_NPGH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPGH_2,C16_SDRTHT_1b_NPGH_3,C16_SDRTHT_1b_NPGH_4,C16_SDRTHT_1b_NPGH_5,C16_SDRTHT_1b_NPGH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPGH_2,C16_SDRTHT_2b_NPGH_3,C16_SDRTHT_2b_NPGH_4,C16_SDRTHT_2b_NPGH_5,C16_SDRTHT_2b_NPGH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPGH_2,C16_SDRTHT_3b_NPGH_3,C16_SDRTHT_3b_NPGH_4,C16_SDRTHT_3b_NPGH_5,C16_SDRTHT_3b_NPGH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPGH_2,C16_SDRTHT_4mb_NPGH_3,C16_SDRTHT_4mb_NPGH_4,C16_SDRTHT_4mb_NPGH_5,C16_SDRTHT_4mb_NPGH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPGH_2,C16_SDRTHT_NB_NS_NPGH_3,C16_SDRTHT_NB_NS_NPGH_4,C16_SDRTHT_NB_NS_NPGH_5,C16_SDRTHT_NB_NS_NPGH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPGH_2,C16_SDRTHT_Tot_NPGH_3,C16_SDRTHT_Tot_NPGH_4,C16_SDRTHT_Tot_NPGH_5,C16_SDRTHT_Tot_NPGH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPGH_2,C16_F_a_0b_s_a_b_NPGH_3,C16_F_a_0b_s_a_b_NPGH_4,C16_F_a_0b_s_a_b_NPGH_5,C16_F_a_0b_s_a_b_NPGH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPGH_2,C16_F_a_1b_NPGH_3,C16_F_a_1b_NPGH_4,C16_F_a_1b_NPGH_5,C16_F_a_1b_NPGH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPGH_2,C16_F_a_2b_NPGH_3,C16_F_a_2b_NPGH_4,C16_F_a_2b_NPGH_5,C16_F_a_2b_NPGH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPGH_2,C16_F_a_3b_NPGH_3,C16_F_a_3b_NPGH_4,C16_F_a_3b_NPGH_5,C16_F_a_3b_NPGH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPGH_2,C16_F_a_4mb_NPGH_3,C16_F_a_4mb_NPGH_4,C16_F_a_4mb_NPGH_5,C16_F_a_4mb_NPGH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPGH_2,C16_F_a_NB_NS_NPGH_3,C16_F_a_NB_NS_NPGH_4,C16_F_a_NB_NS_NPGH_5,C16_F_a_NB_NS_NPGH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPGH_2,C16_F_a_Tot_NPGH_3,C16_F_a_Tot_NPGH_4,C16_F_a_Tot_NPGH_5,C16_F_a_Tot_NPGH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPGH_2,C16_OD_0b_s_a_b_NPGH_3,C16_OD_0b_s_a_b_NPGH_4,C16_OD_0b_s_a_b_NPGH_5,C16_OD_0b_s_a_b_NPGH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPGH_2,C16_OD_1b_NPGH_3,C16_OD_1b_NPGH_4,C16_OD_1b_NPGH_5,C16_OD_1b_NPGH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPGH_2,C16_OD_2b_NPGH_3,C16_OD_2b_NPGH_4,C16_OD_2b_NPGH_5,C16_OD_2b_NPGH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPGH_2,C16_OD_3b_NPGH_3,C16_OD_3b_NPGH_4,C16_OD_3b_NPGH_5,C16_OD_3b_NPGH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPGH_2,C16_OD_4mb_NPGH_3,C16_OD_4mb_NPGH_4,C16_OD_4mb_NPGH_5,C16_OD_4mb_NPGH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPGH_2,C16_OD_NB_NS_NPGH_3,C16_OD_NB_NS_NPGH_4,C16_OD_NB_NS_NPGH_5,C16_OD_NB_NS_NPGH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPGH_2,C16_OD_Tot_NPGH_3,C16_OD_Tot_NPGH_4,C16_OD_Tot_NPGH_5,C16_OD_Tot_NPGH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPGH_2,C16_DS_NS_NPGH_3,C16_DS_NS_NPGH_4,C16_DS_NS_NPGH_5,C16_DS_NS_NPGH_6_mor,C16_DS_NS_Tot,C16_Tot_NPGH_2,C16_Tot_NPGH_3,C16_Tot_NPGH_4,C16_Tot_NPGH_5,C16_Tot_NPGH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPGH_2,C21_SH_0b_s_a_b_NPGH_3,C21_SH_0b_s_a_b_NPGH_4,C21_SH_0b_s_a_b_NPGH_5,C21_SH_0b_s_a_b_NPGH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPGH_2,C21_SH_1b_NPGH_3,C21_SH_1b_NPGH_4,C21_SH_1b_NPGH_5,C21_SH_1b_NPGH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPGH_2,C21_SH_2b_NPGH_3,C21_SH_2b_NPGH_4,C21_SH_2b_NPGH_5,C21_SH_2b_NPGH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPGH_2,C21_SH_3b_NPGH_3,C21_SH_3b_NPGH_4,C21_SH_3b_NPGH_5,C21_SH_3b_NPGH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPGH_2,C21_SH_4mb_NPGH_3,C21_SH_4mb_NPGH_4,C21_SH_4mb_NPGH_5,C21_SH_4mb_NPGH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPGH_2,C21_SH_NB_NS_NPGH_3,C21_SH_NB_NS_NPGH_4,C21_SH_NB_NS_NPGH_5,C21_SH_NB_NS_NPGH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPGH_2,C21_SH_Tot_NPGH_3,C21_SH_Tot_NPGH_4,C21_SH_Tot_NPGH_5
1GSYD,437,151,149,9383,3485,1384,1204,734,625,7437,680,229,111,85,97,1201,13899,3678,1819,999,915,21311,35,5,0,3,3,43,226,28,5,7,4,265,2755,270,67,16,9,3110,2643,2111,440,100,60,5358,547,467,870,330,204,2419,314,130,51,37,31,566,6518,3007,1439,494,308,11763,301,43,27,11,6,395,2740,242,64,36,18,3094,21037,4204,1915,532,283,27976,2503,3807,1155,410,353,8232,161,170,326,188,135,981,990,330,195,97,67,1678,27734,8795,3683,1281,852,42349,3,0,0,0,0,7,69,4,0,0,0,77,288,57,16,0,3,371,106,124,27,13,7,280,20,20,32,19,7,97,36,17,0,6,3,63,524,229,83,43,25,898,298,87,51,22,13,469,48973,15798,7075,2833,2111,76791,71,15,6,0,4,97,287,54,17,9,8,377,2726,235,48,15,10,3026,6877,1868,421,124,64,9358,4388,1749,1598,825,574,9138,352,123,59,41,41,619,14699,4048,2151,1018
1RNSW,216,50,10,11426,3935,1081,856,325,197,6388,658,134,50,26,26,887,18071,3128,1146,409,239,22994,12,0,0,0,0,12,124,8,0,0,0,137,1798,84,9,0,0,1899,1278,534,105,11,4,1923,93,61,81,22,11,269,118,24,4,4,0,147,3427,714,204,36,18,4395,15,0,0,0,0,16,222,11,4,0,0,233,2353,188,28,5,4,2572,477,357,64,11,6,918,44,25,38,11,7,123,128,26,16,0,0,168,3225,609,143,33,17,4032,21,0,0,0,0,22,49,3,0,0,0,55,225,15,0,0,0,236,74,13,0,0,3,92,28,4,4,0,3,44,51,10,5,6,0,64,445,46,10,0,4,507,228,30,8,3,10,286,25395,4524,1511,488,288,32215,91,16,4,0,0,112,290,38,17,3,3,350,3730,207,36,7,4,3984,9830,2092,331,48,25,12316,4767,1494,1144,490,252,8146,473,93,35,22,11,635,19177,3942,1563,568
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1045,324,200,16431,3781,1794,2114,1007,728,9422,859,310,174,104,97,1540,19335,6512,3455,1467,1071,31850,23,6,9,3,0,41,226,21,11,4,4,268,5767,577,131,29,17,6523,3526,3589,720,141,71,8042,405,498,1016,418,172,2512,389,155,66,36,21,670,10345,4841,1959,626,284,18058,160,17,12,0,4,199,2123,144,45,7,7,2331,16410,2519,740,198,80,19947,1319,2254,439,127,72,4211,93,121,221,72,31,545,558,214,78,33,17,900,20670,5277,1537,436,209,28129,6,0,0,0,0,9,30,4,3,0,0,35,179,17,0,0,0,198,52,82,14,8,5,164,13,15,27,8,4,67,11,5,4,0,0,25,303,122,46,22,10,500,229,84,31,16,16,375,50881,16840,7025,2576,1595,78913,44,6,7,4,0,58,171,22,7,10,0,211,3457,242,57,13,6,3783,11457,4926,1046,286,132,17850,5192,2424,3073,1336,661,12687,513,201,110,71,54,942,20835,7822,4286,1724
2RVIC,178,55,22,7787,1803,546,473,211,164,3194,376,79,28,24,22,520,10845,1870,699,294,208,13922,5,0,0,0,0,5,75,3,4,0,0,86,820,41,12,4,5,880,406,189,31,0,3,631,37,46,50,10,5,143,55,12,4,0,0,74,1397,292,99,13,14,1812,3,0,0,0,0,3,55,10,0,0,0,64,361,26,15,4,0,402,99,44,3,0,0,140,9,9,7,0,3,28,27,5,0,0,0,32,556,83,25,5,3,668,6,0,0,0,0,7,19,0,3,0,0,27,47,0,0,0,0,54,32,3,8,0,0,44,4,0,3,4,0,13,10,0,3,5,0,16,126,6,16,7,4,162,82,15,0,0,0,107,13001,2266,848,325,235,16672,26,0,0,0,0,29,99,10,0,0,3,113,2086,115,19,3,3,2228,6602,1479,238,62,34,8410,2437,814,681,240,193,4362,287,69,19,12,17,408,11532,2483,963,320
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,364,76,29,10720,4714,1963,1647,754,393,9476,573,208,110,43,38,976,15145,4698,2189,889,480,23394,10,0,4,0,0,14,57,6,4,0,0,63,1420,93,24,8,4,1552,2069,1324,254,53,29,3734,130,87,128,46,20,402,135,44,18,6,8,208,3821,1555,417,115,63,5976,43,4,0,0,3,49,523,25,7,0,0,560,6827,743,254,61,24,7913,935,1360,250,62,37,2641,60,75,118,29,24,307,238,84,25,12,7,362,8631,2286,652,170,97,11833,12,0,0,0,0,12,29,0,0,0,0,29,68,0,0,0,0,69,22,11,6,0,0,35,9,7,3,0,0,23,16,3,0,0,0,14,155,20,7,0,0,191,140,49,19,7,9,213,27888,8607,3284,1183,645,41610,53,14,0,3,3,73,172,26,12,0,10,225,1866,108,15,0,0,1989,7766,2290,283,48,18,10404,5213,2020,1595,655,284,9765,315,85,50,19,11,485,15388,4540,1959,733
3RQLD,219,43,25,10575,4975,1684,921,267,134,7987,653,127,65,25,32,907,17313,3498,1230,346,200,22589,8,0,0,0,0,12,84,6,0,0,0,91,2080,121,28,7,4,2232,2029,670,98,16,8,2825,134,98,72,25,12,343,147,35,4,0,4,197,4484,929,207,48,28,5696,19,4,3,0,0,27,354,21,7,0,0,379,4304,428,110,23,11,4871,864,563,105,34,24,1581,48,45,37,13,10,158,218,45,19,11,5,292,5807,1104,273,74,53,7318,37,4,4,0,0,45,84,11,0,0,0,99,157,6,0,0,0,162,55,11,3,0,0,71,26,14,8,3,7,53,38,6,6,0,3,50,391,51,27,6,9,484,165,23,8,11,5,217,28160,5618,1745,480,288,36291,107,17,4,0,5,125,254,22,3,8,6,289,2590,137,20,3,4,2753,8964,1714,263,43,13,11001,5905,1894,1060,318,189,9367,458,125,45,20,9,661,18280,3915,1393,395
