GCCSA_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
59499,273,272,545,437,513,769,411,53,10,3283,0,6,10,3,4,0,0,0,0,25,4,7,11,9,7,0,0,0,0,44,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,12,11,8,7,0,0,0,40,5,4,14,12,8,7,0,0,0,51,188,319,550,340,268,303,92,14,0,2081,118,220,380,325,278,242,95,24,3,1684,606,840,1544,1146,1091,1339,608,93,16,7294,0,7,36,19,14,9,7,0,0,89,23,36,59,66,95,174,128,19,0,612,0,0,0,0,0,0,0,0,0,0,13,7,10,9,10,10,12,0,0,63,0,0,0,0,0,0,0,0,0,0,40,65,149,105,120,145,103,11,4,746,3,3,0,0,3,0,0,0,0,18,0,0,3,0,5,0,3,0,0,9,0,4,8,9,6,4,3,0,0,35
59799,0,11,61,51,43,21,3,5,0,187,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,16,54,30,15,3,4,0,0,123,0,13,41,20,7,6,5,0,0,84,0,37,152,105,69,30,6,5,0,415,0,0,0,9,7,0,0,0,0,17,0,0,6,9,9,11,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,30,17,5,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,19188,13470,11947,16004,19544,18637,13291,8519,3593,124207,202,130,219,148,95,71,33,9,0,908,290,272,275,128,97,62,31,3,3,1162,13,15,23,17,15,28,17,7,9,145,0,4,0,0,6,0,3,0,0,14,34,18,51,27,8,3,0,4,0,150,74,120,170,163,159,131,40,16,6,881,108,147,228,192,167,135,43,17,6,1037,15667,10999,10241,8788,7325,5636,2303,1108,461,62528,4142,2951,2699,2486,2457,2170,1426,1050,470,19851,39771,28333,25998,28053,29993,26989,17232,10735,4551,211657,208,305,413,361,290,280,141,22,10,2027,4467,3404,2955,4648,6740,7996,7417,4393,1959,43980,0,0,0,0,0,0,0,0,0,0,205,182,176,150,234,296,237,157,58,1695,42,50,24,35,35,32,17,17,19,273,6765,4358,3881,4517,5546,5476,4035,2368,944,37879,26,20,16,16,44,54,46,40,17,284,315,203,146,198,285,190,159,159,30,1691,73,44,70,94,94,96,59,64,30,624
6RTAS,24768,16736,13813,21225,27656,28469,21297,12159,4561,170690,160,107,178,119,71,41,19,9,0,709,142,97,120,95,43,27,12,4,0,542,12,4,5,20,16,14,16,0,3,101,12,6,8,10,5,0,0,0,0,34,12,12,19,6,9,6,4,0,0,70,111,127,162,202,184,151,70,19,6,1044,135,144,189,217,200,162,75,19,9,1154,22354,12765,11483,11124,9494,7451,3535,1227,422,79842,6249,3581,2983,3495,3592,3226,2397,1502,698,27712,53997,33718,29051,36615,41388,39661,27444,14937,5692,282508,250,300,297,327,350,262,181,21,13,2003,5893,4483,3427,5664,9477,11604,10772,6062,2343,59726,0,0,0,0,0,0,0,0,0,0,808,518,429,550,844,971,995,555,207,5868,185,181,128,105,145,91,132,70,42,1070,6964,4641,3949,4708,6343,6365,5044,2602,860,41469,109,50,38,55,75,118,109,45,30,626,51,62,50,53,88,88,58,40,12,508,152,125,114,168,218,269,203,130,37,1422
69499,30,65,63,74,68,80,43,18,0,447,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,8,0,0,3,0,4,0,0,0,0,9,48,91,74,52,48,46,12,0,0,367,23,43,51,32,28,29,12,7,0,227,97,198,207,164,153,157,73,20,0,1075,0,4,6,0,0,0,4,0,0,19,6,13,14,12,21,22,25,7,4,120,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,14,20,21,19,11,3,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
69799,0,3,8,8,11,12,5,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,12,9,0,6,0,0,0,31,0,0,0,7,6,0,3,0,0,19,0,13,21,21,24,20,9,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,12439,8233,9531,10157,9686,7542,3531,1240,277,62643,239,164,506,194,110,56,27,5,5,1299,304,205,320,228,149,105,28,10,0,1341,12,13,22,16,14,19,7,5,0,103,17,16,18,18,15,4,0,0,0,93,15,42,76,14,16,6,6,0,0,174,34,67,102,107,82,53,20,11,3,490,67,120,195,141,115,65,26,10,7,753,7949,5250,6333,5084,3938,2581,872,234,49,32300,3872,3113,3610,3163,2526,1796,735,281,78,19173,25383,17487,21055,19544,17003,12486,5364,1835,426,120586,604,389,728,722,626,401,190,82,13,3766,1595,1105,1461,1763,2245,1953,1216,401,128,11864,0,0,0,0,0,0,0,0,0,0,361,225,305,282,287,195,91,42,8,1787,0,0,0,0,0,0,0,0,0,3,6155,3593,5498,4888,4098,2925,1597,612,147,29508,29,24,22,27,21,15,7,4,0,146,977,500,572,690,526,373,275,135,20,4069,101,36,71,80,55,48,33,5,3,432
7RNTE,14361,8324,8432,7821,7047,5059,2069,679,167,53957,68,31,136,57,21,16,3,0,0,339,43,29,57,45,31,18,5,0,0,231,10,0,7,10,7,4,0,0,0,41,846,513,460,382,215,126,53,24,11,2633,7,18,34,6,4,0,0,0,0,68,98,72,82,69,58,39,10,11,0,438,956,605,579,461,273,167,56,34,11,3140,4841,2810,3477,2817,2223,1480,400,110,18,18181,3257,2094,2244,2026,1541,993,429,156,65,12806,23616,13982,15100,13363,11286,7821,2973,982,267,89372,100,68,169,161,143,96,39,5,0,768,1286,839,933,941,1210,1052,617,190,45,7118,0,0,0,0,0,0,0,0,0,0,982,497,523,469,373,276,103,41,6,3273,5,0,0,0,0,0,0,0,0,12,3969,2306,2666,2217,2126,1649,690,243,51,15916,4,3,6,7,3,10,3,0,0,39,29,15,24,23,16,14,10,4,0,134,14,15,8,13,25,9,19,3,3,110
79499,48,65,129,94,138,239,152,16,0,882,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,13,0,0,7,6,0,4,0,0,0,10,50,69,139,78,63,114,38,3,0,553,36,29,79,50,64,86,34,5,0,377,147,172,365,231,274,441,223,24,4,1870,0,3,8,0,5,3,3,0,0,20,11,7,24,26,39,77,56,11,0,243,0,0,0,0,0,0,0,0,0,0,4,0,9,8,10,6,5,0,0,39,0,0,0,0,0,0,0,0,0,0,27,30,60,86,93,63,37,4,0,405,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
79799,0,13,15,13,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,0,0,0,0,0,32,0,3,10,0,0,0,0,0,0,18,0,20,38,17,13,11,3,0,0,105,0,0,4,0,0,0,0,0,0,5,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,35385,26192,25809,28739,28362,24337,15384,8897,3663,196764,1195,718,1878,983,635,380,149,74,14,6039,1939,1169,1927,1173,642,366,160,42,10,7419,121,86,105,94,89,85,58,27,11,670,13,13,12,13,10,9,0,0,0,67,225,183,336,152,84,32,33,7,4,1056,127,241,354,337,284,209,63,28,9,1644,362,440,698,499,376,245,100,40,13,2771,20696,18930,20749,15435,12707,9470,3945,1463,491,103884,5319,5566,5194,4188,3561,2835,1501,981,566,29716,66281,54600,58092,52819,47930,38722,21644,11663,4825,356591,1180,1371,1943,1810,1577,1186,594,189,59,9908,6084,4063,4192,5547,6760,6259,5444,2988,1358,42686,7,5,0,5,5,0,4,0,0,21,654,539,606,583,543,528,381,187,75,4097,3,3,9,0,10,3,4,3,4,58,17996,11623,11905,12364,12154,9535,7383,4041,1539,88544,30,23,33,19,30,61,62,19,15,285,1112,733,613,903,987,626,565,476,115,6121,107,66,81,117,97,94,61,40,6,675
89499,26,41,56,51,35,32,13,0,3,254,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,11,27,56,61,46,24,11,7,0,0,229,7,30,24,18,18,11,0,0,0,113,61,146,153,113,76,63,18,4,3,631,0,0,0,0,0,0,0,0,0,12,0,3,3,14,11,9,9,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,18,18,11,5,6,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,120,73,58,110,126,70,30,0,0,589,6,0,3,0,0,0,0,0,0,10,178,99,112,69,122,85,37,19,5,727,0,0,0,0,0,0,0,0,0,0,19,3,14,3,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,24,3,13,5,4,0,0,0,0,57,92,34,51,57,50,37,6,0,0,338,50,189,454,150,51,28,8,0,0,928,496,428,721,444,418,337,119,35,4,3002,35,19,20,38,53,91,63,20,0,341,131,37,27,96,111,117,99,43,27,690,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,0,22,0,0,0,0,0,0,0,0,0,0,72,28,49,64,86,66,37,15,4,418,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,4,0,0,3,0,0,0,13
99499,0,6,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,7,8,5,8,3,0,0,0,30,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
